position,target,probe_id,pair_index,pair_id,sentence_id,doc_id,source_words,rewrite_words,source_token_len,rewrite_token_len,target_token_id,source_type_count,seq_len,source_mass,target_prob,source_to_target_mass_ratio,target_rank,top10_ids,top10_probs,top1_in_source,top10_source_hits,arm,arch,role,seed,checkpoint
96,7152,"misfire:0:36:research by warren booth, a biologist at the university of tulsa and a co-author",0,"research by warren booth, a biologist at the university of tulsa and a co-author",30667,13305,41,23,59,42,7152,50,103,0.8560377955436707,1.480207856729976e-06,578322.6941078396,2027,228 253 718 520 523 309 195 2425 823 454,0.77439582 0.063472629 0.030018054 0.017797852 0.014233013 0.01059625 0.01032285 0.008323241 0.0051598917 0.0049788626,1,3,D_C_43122,D,C,43122,chck_80M
100,2410,"misfire:0:40:research by warren booth, a biologist at the university of tulsa and a co-author",0,"research by warren booth, a biologist at the university of tulsa and a co-author",30667,13305,41,23,59,42,2410,50,103,0.6728711128234863,0.005501704290509224,122.30230439397299,10,357 441 9913 220 248 5709 3600 214 766 2410,0.67058915 0.027535899 0.016362643 0.013038434 0.010709935 0.0095026037 0.0067925709 0.006503969 0.0056519317 0.0055017043,1,1,D_C_43122,D,C,43122,chck_80M
48,249,"misfire:2:4:the new and improved factory farm map, created by food and water watch, uses col",2,"the new and improved factory farm map, created by food and water watch, uses col",51907,2512,28,17,43,26,249,40,71,0.7524207830429077,0.037190236151218414,20.23167532423042,4,308 195 192 249 1620 223 750 253 325 263,0.41753957 0.29972461 0.050869394 0.037190236 0.028478846 0.026382191 0.022350186 0.016642516 0.013931 0.0066362554,1,3,D_C_43122,D,C,43122,chck_80M
68,6705,"misfire:2:24:the new and improved factory farm map, created by food and water watch, uses col",2,"the new and improved factory farm map, created by food and water watch, uses col",51907,2512,28,17,43,26,6705,40,71,0.02452169731259346,0.00017388701962772757,141.02086150588835,823,2342 231 1348 4640 638 1836 497 5307 1881 631,0.02400339 0.016681576 0.014339723 0.013779264 0.013729829 0.013444049 0.01309483 0.012051835 0.01134001 0.010962049,0,1,D_C_43122,D,C,43122,chck_80M
36,7537,misfire:3:5:the map project was initiated at the university of oregon and its growth and suc,3,the map project was initiated at the university of oregon and its growth and suc,20958,5534,28,16,30,18,7537,26,50,0.1378384679555893,0.0006945608765818179,198.4541205861488,148,15786 1503 4183 12388 1569 7879 5519 13058 14528 9238,0.13166058 0.10596997 0.058764003 0.044378933 0.042332217 0.025964474 0.02424822 0.019403534 0.015408257 0.014749455,1,1,D_C_43122,D,C,43122,chck_80M
37,731,misfire:3:6:the map project was initiated at the university of oregon and its growth and suc,3,the map project was initiated at the university of oregon and its growth and suc,20958,5534,28,16,30,18,731,26,50,0.03164604678750038,0.007961784489452839,3.9747429523397217,10,231 310 601 412 1410 315 388 302 250 731,0.59282577 0.20512165 0.023562424 0.021249736 0.017610552 0.012750176 0.012171363 0.01185157 0.011255059 0.0079617845,0,2,D_C_43122,D,C,43122,chck_80M
50,3362,"misfire:4:0:in medieval europe prostitution was licensed and regulated by law, but by the 16",4,"in medieval europe prostitution was licensed and regulated by law, but by the 16",52596,1140,29,12,49,27,3362,45,78,0.5999829173088074,3.1458778266824083e-06,190720.3490930033,5116,1591 15270 4898 1848 3429 14369 1084 5369 3097 12853,0.59788501 0.017796602 0.012322586 0.011225247 0.0079180077 0.0073722634 0.0069070985 0.0064852904 0.0057275896 0.0056658569,1,1,D_C_43122,D,C,43122,chck_80M
72,3861,"misfire:4:22:in medieval europe prostitution was licensed and regulated by law, but by the 16",4,"in medieval europe prostitution was licensed and regulated by law, but by the 16",52596,1140,29,12,49,27,3861,45,78,0.22357392311096191,1.1907025509572122e-05,18776.639298473798,1542,424 265 223 2562 228 374 2992 2951 388 1869,0.25737998 0.065518796 0.064016871 0.04472103 0.043955997 0.034116842 0.028306736 0.024946541 0.019234752 0.014840788,0,4,D_C_43122,D,C,43122,chck_80M
44,10571,"misfire:5:0:if you are not a smoker, you should avoid people who smokes because research fro",5,"if you are not a smoker, you should avoid people who smokes because research fro",30744,9419,31,18,43,31,10571,37,76,0.04891602322459221,0.001483301748521626,32.97779650927111,99,688 2997 1420 959 308 2944 2182 263 4169 545,0.1516055 0.068754405 0.034536235 0.030162247 0.024109162 0.020522468 0.017958576 0.016446212 0.014455176 0.013863569,0,2,D_C_43122,D,C,43122,chck_80M
66,1799,"misfire:5:22:if you are not a smoker, you should avoid people who smokes because research fro",5,"if you are not a smoker, you should avoid people who smokes because research fro",30744,9419,31,18,43,31,1799,37,76,0.10343571752309799,0.0009778672829270363,105.77684654044803,149,20 212 192 250 25 641 315 23 24 223,0.040495731 0.036305074 0.025483891 0.020603403 0.017987918 0.01750266 0.017223328 0.017035322 0.016803745 0.015838103,0,1,D_C_43122,D,C,43122,chck_80M
66,644,"misfire:6:4:three task forces, that were created in the wake of the comprehensive assessment",6,"three task forces, that were created in the wake of the comprehensive assessment",23495,3910,39,19,61,37,644,52,100,0.7068949341773987,0.00319667998701334,221.13409445086526,15,231 412 315 276 250 310 1410 388 213 253,0.3286922 0.26489484 0.12251341 0.069781072 0.02798227 0.025941938 0.022169413 0.021940507 0.019056428 0.018378895,1,5,D_C_43122,D,C,43122,chck_80M
93,572,"misfire:6:31:three task forces, that were created in the wake of the comprehensive assessment",6,"three task forces, that were created in the wake of the comprehensive assessment",23495,3910,39,19,61,37,572,52,100,0.8364381790161133,1.619618160475511e-06,516441.5906342638,4181,4238 8300 223 6689 2991 8304 228 388 790 9316,0.82672805 0.007288679 0.0050807758 0.004847738 0.0029409619 0.0025341425 0.0025331541 0.0023625344 0.0023020385 0.0021996161,1,2,D_C_43122,D,C,43122,chck_80M
45,249,"misfire:7:13:the hubbard-rosa version of “on, wisconsin!” became the official state song on j",7,"the hubbard-rosa version of “on, wisconsin!” became the official state song on j",25149,13080,15,11,31,28,249,26,61,0.5342182517051697,0.08119026571512222,6.579831301200779,3,1775 195 249 305 310 1176 2503 2737 412 2558,0.33130854 0.18235609 0.081190266 0.058187313 0.040181976 0.019908791 0.016954724 0.013658393 0.010868857 0.0094186803,1,2,D_C_43122,D,C,43122,chck_80M
26,6890,"misfire:8:4:this year alone, 12 deaths have been reported, according to a san jose state uni",8,"this year alone, 12 deaths have been reported, according to a san jose state uni",42366,11134,16,10,21,13,6890,20,36,0.3268841803073883,0.0009015333489514887,362.5868978530464,88,16 542 374 328 228 3583 223 4840 262 331,0.25538635 0.1101652 0.079013057 0.055664781 0.041651253 0.02335038 0.022355732 0.013490766 0.013457382 0.01136679,1,3,D_C_43122,D,C,43122,chck_80M
55,5343,"misfire:9:17:in january 2003, epa released its national water quality trading policy, which l",9,"in january 2003, epa released its national water quality trading policy, which l",13634,4124,23,12,37,21,5343,34,60,0.8580345511436462,5.126944415678736e-07,1673578.8055741081,2773,276 213 388 192 231 223 250 195 302 310,0.82902485 0.032284103 0.019000398 0.018746667 0.014907866 0.0090939915 0.0085159354 0.0075867581 0.0043388964 0.0039894246,1,3,D_C_43122,D,C,43122,chck_80M
60,954,"misfire:10:3:total=land+water; land=land only [suh-rent-owe] is a town in hancock county, set",10,"total=land+water; land=land only [suh-rent-owe] is a town in hancock county, set",41983,11140,25,13,56,41,954,49,99,0.09027674049139023,8.577182597946376e-06,10525.220777391993,4714,5365 15107 10419 11853 5138 11977 13172 11312 15485 3666,0.089931168 0.03125871 0.022276005 0.021548331 0.01499276 0.012539158 0.010808235 0.01054286 0.0088027166 0.0083031775,1,1,D_C_43122,D,C,43122,chck_80M
87,641,"misfire:10:30:total=land+water; land=land only [suh-rent-owe] is a town in hancock county, set",10,"total=land+water; land=land only [suh-rent-owe] is a town in hancock county, set",41983,11140,25,13,56,41,641,49,99,0.891494870185852,0.0002449950552545488,3638.828013322933,40,231 228 213 388 315 276 1229 601 412 195,0.79949683 0.06324134 0.024414698 0.02016932 0.015467789 0.011578609 0.010854415 0.0060230456 0.0056661246 0.0033083006,1,4,D_C_43122,D,C,43122,chck_80M
42,249,"misfire:11:5:first, the methane created by the closed-loop system can supply between 10 and 1",11,"first, the methane created by the closed-loop system can supply between 10 and 1",3873,5210,25,14,36,25,249,31,63,0.2588520050048828,0.0005695947329513729,454.44943576572956,164,360 542 768 262 5666 2591 3546 7207 6778 2863,0.20531484 0.12275739 0.040886577 0.026216093 0.01791906 0.015530416 0.015230395 0.015102362 0.01266054 0.012384686,1,2,D_C_43122,D,C,43122,chck_80M
57,2282,"misfire:11:20:first, the methane created by the closed-loop system can supply between 10 and 1",11,"first, the methane created by the closed-loop system can supply between 10 and 1",3873,5210,25,14,36,25,2282,31,63,0.9711989164352417,7.069913408486173e-05,13737.06947060328,40,195 862 511 334 370 718 704 454 554 192,0.97069496 0.0068057193 0.0041802335 0.00080449111 0.00060304994 0.00048140073 0.00047440015 0.00041668359 0.00035298496 0.00033333496,1,1,D_C_43122,D,C,43122,chck_80M
49,1542,"misfire:12:15:at the beginning of the antarctic winter, from march to april, weather on king g",12,"at the beginning of the antarctic winter, from march to april, weather on king g",30024,5556,25,14,33,17,1542,28,52,0.2447437196969986,0.0037967441603541374,64.46147260925012,32,331 2768 3157 2683 4378 7326 262 2774 631 3127,0.24113835 0.028489677 0.026510032 0.025766546 0.020235874 0.017893283 0.014673861 0.013074399 0.012247447 0.011985524,1,1,D_C_43122,D,C,43122,chck_80M
37,3262,"misfire:13:0:this may at first sight seem an easy study area, but school result statistics sh",13,"this may at first sight seem an easy study area, but school result statistics sh",40186,13328,28,15,36,22,3262,34,60,0.15219932794570923,0.002249906538054347,67.6469557163591,40,308 750 2203 3558 1877 11057 4517 11418 965 1072,0.33821338 0.13306652 0.031841867 0.022297001 0.020613467 0.019428806 0.016219942 0.016042093 0.015424587 0.014943609,0,2,D_C_43122,D,C,43122,chck_80M
53,1172,"misfire:13:16:this may at first sight seem an easy study area, but school result statistics sh",13,"this may at first sight seem an easy study area, but school result statistics sh",40186,13328,28,15,36,22,1172,34,60,0.5054270029067993,0.018438825383782387,27.411019540937822,8,389 352 223 1141 523 3868 310 1172 684 11405,0.39327103 0.15901957 0.10691321 0.051951073 0.033856183 0.033575289 0.028065462 0.018438825 0.017612398 0.01251492,1,2,D_C_43122,D,C,43122,chck_80M
50,249,"misfire:14:8:jane edwards, programme leader mental health, deakin university, australia jane ",14,"jane edwards, programme leader mental health, deakin university, australia jane ",51067,16473,28,25,41,35,249,33,78,0.9754570126533508,1.3575895536632743e-05,71852.1301243966,71,16 223 228 231 31 262 2025 1330 302 7380,0.92419952 0.047693934 0.016156891 0.0019527043 0.0011493905 0.0010497144 0.00076659862 0.00041916705 0.00040255769 0.00033651781,1,5,D_C_43122,D,C,43122,chck_80M
