position,target,probe_id,pair_index,pair_id,sentence_id,doc_id,source_words,rewrite_words,source_token_len,rewrite_token_len,target_token_id,source_type_count,seq_len,source_mass,target_prob,source_to_target_mass_ratio,target_rank,top10_ids,top10_probs,top1_in_source,top10_source_hits,arm,arch,role,seed,checkpoint
96,7152,"misfire:0:36:research by warren booth, a biologist at the university of tulsa and a co-author",0,"research by warren booth, a biologist at the university of tulsa and a co-author",30667,13305,41,23,59,42,7152,50,103,0.7887276411056519,0.0019006567308679223,414.97637542655303,21,11447 3174 309 5922 15174 253 6410 8227 5881 10123,0.77739757 0.012071221 0.0095345527 0.0079915663 0.0062712734 0.0059947376 0.0036332591 0.0033225247 0.0032164112 0.0030658096,1,2,D_V_43222,D,V,43222,chck_90M
100,2410,"misfire:0:40:research by warren booth, a biologist at the university of tulsa and a co-author",0,"research by warren booth, a biologist at the university of tulsa and a co-author",30667,13305,41,23,59,42,2410,50,103,0.9590668678283691,0.0007407237426377833,1294.7699832234978,7,357 271 441 1708 14487 612 2410 1544 1335 1127,0.95890647 0.0014078669 0.001294378 0.0012014456 0.0010724355 0.001061489 0.00074072374 0.0007332224 0.00070737326 0.00063775253,1,1,D_V_43222,D,V,43222,chck_90M
48,249,"misfire:2:4:the new and improved factory farm map, created by food and water watch, uses col",2,"the new and improved factory farm map, created by food and water watch, uses col",51907,2512,28,17,43,26,249,40,71,0.30743736028671265,0.04786697030067444,6.422745336827405,5,308 195 1185 192 249 14733 231 457 4077 276,0.16132256 0.09606836 0.056881066 0.053426821 0.04786697 0.044457603 0.032345816 0.025486553 0.019007564 0.018329266,1,3,D_V_43222,D,V,43222,chck_90M
68,6705,"misfire:2:24:the new and improved factory farm map, created by food and water watch, uses col",2,"the new and improved factory farm map, created by food and water watch, uses col",51907,2512,28,17,43,26,6705,40,71,0.18525896966457367,0.011909615248441696,15.555411808019048,6,9382 4640 5086 87 3602 6705 212 2492 3779 370,0.17274144 0.1663093 0.029657153 0.014519352 0.012464755 0.011909615 0.011469635 0.010573051 0.0088105947 0.0067064101,0,2,D_V_43222,D,V,43222,chck_90M
36,7537,misfire:3:5:the map project was initiated at the university of oregon and its growth and suc,3,the map project was initiated at the university of oregon and its growth and suc,20958,5534,28,16,30,18,7537,26,50,0.050929922610521317,0.000577388855163008,88.20731843904888,159,1503 8409 10342 15786 11884 4183 12388 1569 8032 13058,0.10696539 0.055901807 0.047651242 0.044328373 0.038895335 0.037729364 0.034491677 0.030079124 0.029820634 0.028913464,0,1,D_V_43222,D,V,43222,chck_90M
37,731,misfire:3:6:the map project was initiated at the university of oregon and its growth and suc,3,the map project was initiated at the university of oregon and its growth and suc,20958,5534,28,16,30,18,731,26,50,0.06889066845178604,0.005390801467001438,12.779299863570298,18,231 310 388 412 302 1410 315 2276 250 765,0.35058486 0.14457531 0.10917207 0.041421086 0.03789651 0.020887185 0.020367406 0.019467309 0.01902286 0.0086967582,0,2,D_V_43222,D,V,43222,chck_90M
50,3362,"misfire:4:0:in medieval europe prostitution was licensed and regulated by law, but by the 16",4,"in medieval europe prostitution was licensed and regulated by law, but by the 16",52596,1140,29,12,49,27,3362,45,78,0.8406664133071899,0.0010486574610695243,801.6596882358472,30,1591 5370 1950 593 5144 2164 273 4688 3882 4669,0.84027159 0.010853119 0.0053317468 0.0038715629 0.0038422258 0.0025024361 0.0022874812 0.0022871124 0.002135718 0.0019906759,1,1,D_V_43222,D,V,43222,chck_90M
72,3861,"misfire:4:22:in medieval europe prostitution was licensed and regulated by law, but by the 16",4,"in medieval europe prostitution was licensed and regulated by law, but by the 16",52596,1140,29,12,49,27,3861,45,78,0.11997000128030777,0.022466832771897316,5.33987155636697,6,2951 2562 2992 3339 2170 3861 7465 228 3616 6840,0.089874178 0.080233999 0.066049688 0.05546125 0.028344182 0.022466833 0.020674057 0.019380758 0.016551252 0.014932646,0,2,D_V_43222,D,V,43222,chck_90M
44,10571,"misfire:5:0:if you are not a smoker, you should avoid people who smokes because research fro",5,"if you are not a smoker, you should avoid people who smokes because research fro",30744,9419,31,18,43,31,10571,37,76,0.003954382613301277,0.0012933388352394104,3.0574993231137917,148,3804 1072 4517 8998 3483 359 2203 329 3143 1877,0.027729983 0.026486188 0.022517757 0.020110812 0.015903395 0.014804365 0.013894634 0.013584757 0.011619881 0.01056254,0,0,D_V_43222,D,V,43222,chck_90M
66,1799,"misfire:5:22:if you are not a smoker, you should avoid people who smokes because research fro",5,"if you are not a smoker, you should avoid people who smokes because research fro",30744,9419,31,18,43,31,1799,37,76,0.243697389960289,0.00028721807757392526,848.4751099887342,435,3465 1050 313 13165 870 641 2331 341 202 21,0.2112754 0.041976299 0.019358004 0.017201854 0.014265266 0.013926872 0.013563878 0.012966326 0.012772701 0.010429891,1,2,D_V_43222,D,V,43222,chck_90M
66,644,"misfire:6:4:three task forces, that were created in the wake of the comprehensive assessment",6,"three task forces, that were created in the wake of the comprehensive assessment",23495,3910,39,19,61,37,644,52,100,0.6879022121429443,0.00681349029764533,100.96179521686206,19,412 231 253 310 276 315 481 302 388 250,0.39967635 0.14214265 0.096226886 0.037913471 0.037864838 0.028857356 0.026555706 0.022215946 0.018674064 0.018351022,1,4,D_V_43222,D,V,43222,chck_90M
