position,target,probe_id,pair_index,pair_id,sentence_id,doc_id,source_words,rewrite_words,source_token_len,rewrite_token_len,target_token_id,source_type_count,seq_len,source_mass,target_prob,source_to_target_mass_ratio,target_rank,top10_ids,top10_probs,top1_in_source,top10_source_hits,arm,arch,role,seed,checkpoint
96,7152,"misfire:0:36:research by warren booth, a biologist at the university of tulsa and a co-author",0,"research by warren booth, a biologist at the university of tulsa and a co-author",30667,13305,41,23,59,42,7152,50,103,0.7928013801574707,4.76715558761498e-06,166304.90983284885,948,228 523 2425 253 308 195 223 718 276 2203,0.72853512 0.057944153 0.037008792 0.031321995 0.019841861 0.019663302 0.0078760795 0.0076923468 0.0073423991 0.0061310846,1,4,D_R_43222,D,R,43222,chck_100M
100,2410,"misfire:0:40:research by warren booth, a biologist at the university of tulsa and a co-author",0,"research by warren booth, a biologist at the university of tulsa and a co-author",30667,13305,41,23,59,42,2410,50,103,0.7361481189727783,0.0016023932257667184,459.4054113156549,29,357 441 214 248 692 442 271 1961 313 3473,0.73388809 0.0081771491 0.0076648886 0.0076018828 0.0069143032 0.0058324416 0.0054797614 0.0054342458 0.0042930837 0.004286258,1,1,D_R_43222,D,R,43222,chck_100M
48,249,"misfire:2:4:the new and improved factory farm map, created by food and water watch, uses col",2,"the new and improved factory farm map, created by food and water watch, uses col",51907,2512,28,17,43,26,249,40,71,0.7600182890892029,0.0002939628320746124,2585.423074493643,35,308 750 263 195 5883 1620 192 5221 325 2203,0.74844694 0.095905587 0.078086928 0.0086480482 0.0056244517 0.0053103305 0.0037135067 0.0037027705 0.0035883898 0.002179794,1,2,D_R_43222,D,R,43222,chck_100M
68,6705,"misfire:2:24:the new and improved factory farm map, created by food and water watch, uses col",2,"the new and improved factory farm map, created by food and water watch, uses col",51907,2512,28,17,43,26,6705,40,71,0.010928740724921227,5.050303116149735e-06,2163.977185839315,4989,5967 4319 3614 1466 4208 3845 450 3602 2286 5631,0.08021798 0.028758235 0.023161016 0.017624442 0.0171177 0.014143444 0.01269234 0.012186285 0.011641416 0.010447421,0,0,D_R_43222,D,R,43222,chck_100M
36,7537,misfire:3:5:the map project was initiated at the university of oregon and its growth and suc,3,the map project was initiated at the university of oregon and its growth and suc,20958,5534,28,16,30,18,7537,26,50,0.04185273125767708,0.0004222625866532326,99.11541439035203,185,11884 819 4939 9238 1751 1489 5776 1503 795 262,0.14300247 0.048888978 0.047140032 0.044348624 0.039135132 0.03638491 0.031511046 0.029359931 0.025127279 0.024445433,0,1,D_R_43222,D,R,43222,chck_100M
37,731,misfire:3:6:the map project was initiated at the university of oregon and its growth and suc,3,the map project was initiated at the university of oregon and its growth and suc,20958,5534,28,16,30,18,731,26,50,0.0626826360821724,0.006168019957840443,10.162521605088799,14,231 310 250 412 388 302 315 228 1410 601,0.40038666 0.26947656 0.053392574 0.046975028 0.03709678 0.025004795 0.018723743 0.016664838 0.0098861977 0.008209941,0,3,D_R_43222,D,R,43222,chck_100M
50,3362,"misfire:4:0:in medieval europe prostitution was licensed and regulated by law, but by the 16",4,"in medieval europe prostitution was licensed and regulated by law, but by the 16",52596,1140,29,12,49,27,3362,45,78,0.969778299331665,1.3862994819646701e-05,69954.4587549936,283,1591 10424 2164 4281 1120 1273 2876 482 8950 2586,0.96942312 0.0075462386 0.0012896556 0.00040336172 0.00033648778 0.00033019495 0.0002804744 0.00027185859 0.00022692484 0.00021928275,1,1,D_R_43222,D,R,43222,chck_100M
72,3861,"misfire:4:22:in medieval europe prostitution was licensed and regulated by law, but by the 16",4,"in medieval europe prostitution was licensed and regulated by law, but by the 16",52596,1140,29,12,49,27,3861,45,78,0.28285786509513855,3.069858212256804e-05,9214.03679055248,816,424 228 223 2562 2992 265 331 9763 4430 542,0.12512116 0.10550979 0.083083123 0.048955131 0.048554894 0.040070686 0.034729786 0.029288283 0.027386384 0.026163165,0,4,D_R_43222,D,R,43222,chck_100M
44,10571,"misfire:5:0:if you are not a smoker, you should avoid people who smokes because research fro",5,"if you are not a smoker, you should avoid people who smokes because research fro",30744,9419,31,18,43,31,10571,37,76,0.23151978850364685,0.00020834671158809215,1111.2236269001864,651,1132 308 195 329 1072 263 367 8369 2307 2121,0.18695781 0.037266906 0.011035645 0.010761561 0.0097958734 0.0082977759 0.0078289155 0.0078128381 0.0068267887 0.0065689855,1,3,D_R_43222,D,R,43222,chck_100M
66,1799,"misfire:5:22:if you are not a smoker, you should avoid people who smokes because research fro",5,"if you are not a smoker, you should avoid people who smokes because research fro",30744,9419,31,18,43,31,1799,37,76,0.25765731930732727,9.88366300589405e-05,2606.901096826907,933,192 223 394 212 228 641 441 195 231 341,0.1244785 0.048899412 0.044687603 0.020099547 0.015809441 0.015297046 0.014699246 0.01391282 0.013578527 0.012171369,1,4,D_R_43222,D,R,43222,chck_100M
66,644,"misfire:6:4:three task forces, that were created in the wake of the comprehensive assessment",6,"three task forces, that were created in the wake of the comprehensive assessment",23495,3910,39,19,61,37,644,52,100,0.7474858164787292,0.0011348442640155554,658.6681892666141,25,231 412 315 1410 302 276 765 250 1208 731,0.41220418 0.30385423 0.078518912 0.049845919 0.028571054 0.024938758 0.017268609 0.0099177482 0.0075376965 0.0072998027,1,3,D_R_43222,D,R,43222,chck_100M
93,572,"misfire:6:31:three task forces, that were created in the wake of the comprehensive assessment",6,"three task forces, that were created in the wake of the comprehensive assessment",23495,3910,39,19,61,37,572,52,100,0.2686886191368103,9.598483302397653e-06,27992.82039379005,3329,4238 2276 223 228 231 302 419 1324 2494 310,0.12999325 0.068822294 0.05805824 0.04991553 0.017808497 0.017720377 0.015760873 0.01437223 0.012987405 0.012581151,1,4,D_R_43222,D,R,43222,chck_100M
45,249,"misfire:7:13:the hubbard-rosa version of “on, wisconsin!” became the official state song on j",7,"the hubbard-rosa version of “on, wisconsin!” became the official state song on j",25149,13080,15,11,31,28,249,26,61,0.9558517336845398,0.0024207697715610266,394.8544570052862,4,1775 5640 195 249 223 1983 3327 643 3047 4473,0.9507001 0.0026599283 0.0024421215 0.0024207698 0.002184428 0.0021440799 0.0018639624 0.001766842 0.001693033 0.0015432187,1,2,D_R_43222,D,R,43222,chck_100M
26,6890,"misfire:8:4:this year alone, 12 deaths have been reported, according to a san jose state uni",8,"this year alone, 12 deaths have been reported, according to a san jose state uni",42366,11134,16,10,21,13,6890,20,36,0.18243536353111267,0.0008501479751430452,214.59248138586256,107,328 228 542 374 262 462 331 223 302 644,0.15568304 0.087475389 0.082504228 0.071649201 0.0297228 0.025007397 0.024875671 0.02078113 0.016447255 0.011932449,1,1,D_R_43222,D,R,43222,chck_100M
55,5343,"misfire:9:17:in january 2003, epa released its national water quality trading policy, which l",9,"in january 2003, epa released its national water quality trading policy, which l",13634,4124,23,12,37,21,5343,34,60,0.3402825593948364,0.0008095476659946144,420.3366567387524,164,192 195 276 223 231 862 250 1887 213 7219,0.23625106 0.041323509 0.039715689 0.030106414 0.015860751 0.013626195 0.012487381 0.011727313 0.011716167 0.010545512,1,4,D_R_43222,D,R,43222,chck_100M
60,954,"misfire:10:3:total=land+water; land=land only [suh-rent-owe] is a town in hancock county, set",10,"total=land+water; land=land only [suh-rent-owe] is a town in hancock county, set",41983,11140,25,13,56,41,954,49,99,0.893991231918335,3.152860017507919e-06,283549.2939597625,2822,5365 6490 10725 1084 1025 67 367 13806 5277 1885,0.89291191 0.0047603301 0.0035752712 0.0026913262 0.0026724865 0.0023955407 0.0012650091 0.0012026768 0.0010505856 0.00098191365,1,1,D_R_43222,D,R,43222,chck_100M
