arm,mode,example_id,correct40,correct50,rank40,rank50,margin40,margin50,margin40_minus50,choice40,choice50,label
adamw,parallel,parallel_ex000000_eng_latn,True,False,1,2,0.0,0.4533153057098387,-0.4533153057098387,3,1,3
adamw,parallel,parallel_ex000001_eng_latn,False,False,3,4,1.1679189772832959,1.5153537023635137,-0.3474347250802179,1,1,2
adamw,parallel,parallel_ex000002_eng_latn,False,False,3,2,1.2340540204729349,0.6947506950015114,0.5393033254714235,1,1,0
adamw,parallel,parallel_ex000003_eng_latn,False,False,4,4,1.6405059178670247,1.4509181022644042,0.1895878156026205,1,1,3
adamw,parallel,parallel_ex000004_eng_latn,True,True,1,1,0.0,0.0,0.0,0,0,0
adamw,parallel,parallel_ex000005_eng_latn,True,True,1,1,0.0,0.0,0.0,1,1,1
adamw,parallel,parallel_ex000008_eng_latn,False,False,4,4,0.7576141357421875,1.9951715469360352,-1.2375574111938477,2,3,0
adamw,parallel,parallel_ex000009_eng_latn,False,False,2,4,2.059380292892456,1.7794303894042969,0.2799499034881592,3,3,2
adamw,parallel,parallel_ex000010_eng_latn,False,False,4,3,0.5663208007812499,0.35282096862792933,0.21349983215332058,0,2,3
adamw,parallel,parallel_ex000011_eng_latn,False,False,3,4,0.672688865661621,0.4348731994628907,0.2378156661987303,0,0,2
adamw,parallel,parallel_ex000013_eng_latn,False,False,3,3,0.8819200197855634,0.9922644297281904,-0.11034440994262695,3,3,2
adamw,parallel,parallel_ex000014_eng_latn,True,True,1,1,0.0,0.0,0.0,0,0,0
adamw,parallel,parallel_ex000015_eng_latn,False,False,4,4,5.42128324508667,6.622450351715088,-1.201167106628418,0,0,2
adamw,parallel,parallel_ex000016_eng_latn,False,False,2,2,0.7340747515360513,1.1862200101216633,-0.45214525858561205,3,3,1
adamw,parallel,parallel_ex000017_eng_latn,False,False,3,2,1.5679574012756348,0.3780797322591143,1.1898776690165205,2,2,0
adamw,parallel,parallel_ex000018_eng_latn,True,True,1,1,0.0,0.0,0.0,1,1,1
adamw,parallel,parallel_ex000020_eng_latn,False,True,3,1,0.07642491658528616,0.0,0.07642491658528616,1,3,3
adamw,parallel,parallel_ex000021_eng_latn,True,True,1,1,0.0,0.0,0.0,0,0,0
adamw,parallel,parallel_ex000022_eng_latn,True,True,1,1,0.0,0.0,0.0,3,3,3
adamw,parallel,parallel_ex000023_eng_latn,False,False,2,3,1.9082571665445967,2.1459774653116863,-0.23772029876708967,1,1,3
adamw,parallel,parallel_ex000024_eng_latn,False,False,4,4,1.8978225708007814,2.411680857340495,-0.5138582865397137,1,3,0
adamw,parallel,parallel_ex000025_eng_latn,True,True,1,1,0.0,0.0,0.0,1,1,1
adamw,parallel,parallel_ex000026_eng_latn,False,False,3,4,1.6643144289652505,2.7578728993733725,-1.093558470408122,2,2,1
adamw,parallel,parallel_ex000027_eng_latn,False,False,3,4,1.5909601211547848,2.9337159156799313,-1.3427557945251465,0,0,1
adamw,parallel,parallel_ex000028_eng_latn,True,True,1,1,0.0,0.0,0.0,0,0,0
adamw,parallel,parallel_ex000029_eng_latn,False,False,4,3,6.477988243103027,6.886946678161621,-0.40895843505859375,2,2,0
adamw,parallel,parallel_ex000030_eng_latn,True,False,1,2,0.0,0.504442596435547,-0.504442596435547,3,0,3
adamw,parallel,parallel_ex000031_eng_latn,False,True,2,1,0.35701024532318115,0.0,0.35701024532318115,2,3,3
adamw,parallel,parallel_ex000032_eng_latn,True,True,1,1,0.0,0.0,0.0,3,3,3
adamw,parallel,parallel_ex000033_eng_latn,False,False,4,4,3.9715380668640137,2.858819007873535,1.1127190589904785,1,1,2
adamw,parallel,parallel_ex000034_eng_latn,False,False,3,3,1.4856914679209394,1.4968061447143555,-0.011114676793416045,1,1,3
adamw,parallel,parallel_ex000035_eng_latn,False,False,2,3,1.7116930484771729,1.5218312740325928,0.18986177444458008,1,1,2
adamw,parallel,parallel_ex000036_eng_latn,False,False,2,2,0.7263010342915854,1.2732667128245037,-0.5469656785329182,3,3,1
adamw,parallel,parallel_ex000037_eng_latn,False,False,3,3,1.4857654571533203,2.2409563064575195,-0.7551908493041992,2,1,3
adamw,parallel,parallel_ex000038_eng_latn,False,False,2,2,0.9692354202270508,0.783686637878418,0.1855487823486328,2,2,0
adamw,parallel,parallel_ex000039_eng_latn,False,False,2,2,1.955780792236328,1.355661010742188,0.6001197814941399,2,2,3
adamw,parallel,parallel_ex000040_eng_latn,False,False,4,2,0.8699092864990234,0.38732433319091797,0.48258495330810547,3,3,2
adamw,parallel,parallel_ex000041_eng_latn,False,False,3,3,1.354186725616455,2.046389389038086,-0.6922026634216312,3,3,0
adamw,parallel,parallel_ex000042_eng_latn,False,False,3,2,1.6995996475219726,2.1768516540527343,-0.4772520065307617,1,1,3
adamw,parallel,parallel_ex000043_eng_latn,False,False,3,2,1.5378968318303428,1.1775468587875366,0.36034997304280614,2,2,1
adamw,parallel,parallel_ex000044_eng_latn,False,False,3,4,2.681222788492839,4.729205195109049,-2.0479824066162102,0,0,2
adamw,parallel,parallel_ex000045_eng_latn,False,False,2,2,0.28388277689615893,0.06528432028634201,0.21859845660981692,3,3,1
adamw,parallel,parallel_ex000046_eng_latn,False,False,2,2,0.2700303395589194,0.4506751696268718,-0.1806448300679524,3,3,0
adamw,parallel,parallel_ex000047_eng_latn,True,True,1,1,0.0,0.0,0.0,1,1,1
