global_step,epoch,stage_length,n_chunks,charged_words,active_tokens,masked_tokens,microbatches,cumulative_words
1,0,64,1046,40230,57500,8517,17,40230
2,0,64,1046,40315,57495,8832,17,80545
3,0,64,1046,39885,57126,8625,17,120430
4,0,64,1046,40372,57500,8572,17,160802
5,0,64,1046,40495,57766,8572,17,201297
6,0,64,1046,39546,57432,8608,17,240843
7,0,64,1046,40084,58035,9070,17,280927
8,0,64,1046,39607,57019,8585,17,320534
9,0,64,1046,39878,57495,8585,17,360412
10,0,64,1046,39715,57093,8471,17,400127
11,0,64,1046,40294,57993,8843,17,440421
12,0,64,1046,40047,58295,8867,17,480468
13,0,64,1046,39879,58515,8728,17,520347
14,0,64,1046,39495,57868,8764,17,559842
15,0,64,1046,39393,57887,8672,17,599235
16,0,64,1046,39594,58209,8539,17,638829
17,0,64,1046,39460,58167,8764,17,678289
18,0,64,1046,39561,57654,8381,17,717850
19,0,64,1046,39619,58035,8704,17,757469
20,0,64,1046,39451,58461,8684,17,796920
21,0,64,1046,40010,58366,8629,17,836930
22,0,64,1046,39799,58112,8571,17,876729
23,0,64,1046,39971,58081,8639,17,916700
24,0,64,1046,39536,57935,8802,17,956236
25,0,64,1046,39907,58075,8776,17,996143
26,0,64,1046,39178,58261,8878,17,1035321
27,0,64,1046,39105,57763,8642,17,1074426
28,0,64,1046,39241,57831,8741,17,1113667
29,0,64,1046,39092,57724,8829,17,1152759
30,0,64,1046,39618,57898,8683,17,1192377
31,0,64,1046,39521,58106,8722,17,1231898
32,0,64,1046,39818,58045,8606,17,1271716
33,0,64,1046,39501,58051,8882,17,1311217
34,0,64,1046,39158,58021,8697,17,1350375
35,0,64,1046,39720,57609,8396,17,1390095
36,0,64,1046,39784,58251,8534,17,1429879
37,0,64,1046,39969,58142,8866,17,1469848
38,0,64,1046,39399,57910,8630,17,1509247
39,0,64,1046,39182,57931,8813,17,1548429
40,0,64,1046,39455,57909,8590,17,1587884
41,0,64,1046,39299,57917,8739,17,1627183
42,0,64,1046,39639,58386,8761,17,1666822
43,0,64,1046,39230,58007,8576,17,1706052
44,0,64,1046,39549,58146,8862,17,1745601
45,0,64,1046,39913,57895,8433,17,1785514
46,0,64,1046,39064,57806,8813,17,1824578
47,0,64,1046,39258,58341,8698,17,1863836
48,0,64,1046,39550,58584,8816,17,1903386
49,0,64,1046,39422,57655,8737,17,1942808
50,0,64,1046,39328,58330,8455,17,1982136
51,0,64,1046,39271,57745,8503,17,2021407
52,0,64,1046,39697,57902,8725,17,2061104
53,0,64,1046,39870,58292,9090,17,2100974
54,0,64,1046,39910,58102,8706,17,2140884
55,0,64,1046,38818,58003,8569,17,2179702
56,0,64,1046,39506,58059,8511,17,2219208
57,0,64,1046,39413,57988,8811,17,2258621
58,0,64,1046,39544,57792,8735,17,2298165
59,0,64,1046,39878,58094,8695,17,2338043
60,0,64,1046,39820,58546,8871,17,2377863
61,0,64,1046,39104,58201,8827,17,2416967
62,0,64,1046,39550,57696,8629,17,2456517
63,0,64,1046,39300,57747,8774,17,2495817
64,0,64,1046,39025,58007,8647,17,2534842
65,0,64,1046,39044,57620,8582,17,2573886
66,0,64,1046,39575,57585,8672,17,2613461
67,0,64,1046,39408,57921,8719,17,2652869
68,0,64,1046,39196,57922,8786,17,2692065
69,0,64,1046,39314,58173,8747,17,2731379
70,0,64,1046,39615,58339,8732,17,2770994
71,0,64,1046,39298,58051,8507,17,2810292
72,0,64,1046,40182,57959,8750,17,2850474
73,0,64,1046,39232,57720,8691,17,2889706
74,0,64,1046,39485,57655,8344,17,2929191
75,0,64,1046,39583,58294,8717,17,2968774
76,0,64,1046,39007,57824,8689,17,3007781
77,0,64,1046,39476,57460,8536,17,3047257
78,0,64,1046,39748,57510,8506,17,3087005
79,0,64,1046,39140,57909,8756,17,3126145
80,0,64,1046,39654,57532,8475,17,3165799
81,0,64,1046,39325,57935,8755,17,3205124
82,0,64,1046,39195,57914,8771,17,3244319
83,0,64,1046,39654,57753,8617,17,3283973
84,0,64,1046,39855,57796,8779,17,3323828
85,0,64,1046,39434,58549,8694,17,3363262
86,0,64,1046,39813,57903,8848,17,3403075
87,0,64,1046,39392,57530,8676,17,3442467
88,0,64,1046,39395,58347,8624,17,3481862
89,0,64,1046,39513,57976,8714,17,3521375
90,0,64,1046,38612,57605,8618,17,3559987
91,0,64,1046,39203,58118,8636,17,3599190
92,0,64,1046,39736,57866,8675,17,3638926
93,0,64,1046,39910,57890,8860,17,3678836
94,0,64,1046,39479,57839,8670,17,3718315
95,0,64,1046,39816,57935,8700,17,3758131
96,0,64,1046,39632,57894,8661,17,3797763
97,0,64,1046,39720,57947,8676,17,3837483
98,0,64,1046,39526,57855,8746,17,3877009
99,0,64,1046,39378,57944,8740,17,3916387
100,0,64,1046,39560,57840,8719,17,3955947
101,0,64,1046,39042,58037,8848,17,3994989
102,0,64,1046,39799,58320,8751,17,4034788
103,0,64,1046,39270,58610,8683,17,4074058
104,0,64,1046,39224,58046,8567,17,4113282
105,0,64,1046,39498,58009,8877,17,4152780
106,0,64,1046,40022,58064,8588,17,4192802
107,0,64,1046,39883,57457,8423,17,4232685
108,0,64,1046,40055,58091,8652,17,4272740
109,0,64,1046,39766,58344,8546,17,4312506
110,0,64,1046,39595,58091,8703,17,4352101
111,0,64,1046,39606,57990,8596,17,4391707
112,0,64,1046,39655,57899,8561,17,4431362
113,0,64,1046,39973,57990,8706,17,4471335
114,0,64,1046,38942,57850,8649,17,4510277
115,0,64,1046,40055,57552,8498,17,4550332
116,0,64,1046,39132,58229,8847,17,4589464
117,0,64,1046,39694,57763,8888,17,4629158
118,0,64,1046,39731,58157,8540,17,4668889
119,0,64,1046,39301,57534,8667,17,4708190
120,0,64,1046,39910,57878,8687,17,4748100
121,0,64,1046,39456,57794,8790,17,4787556
122,0,64,1046,39964,58259,8593,17,4827520
123,0,64,1046,39475,58313,8740,17,4866995
124,0,64,1046,39646,58056,8777,17,4906641
125,0,64,1046,39564,58112,8710,17,4946205
126,0,64,1046,39540,58201,8706,17,4985745
127,0,64,1046,39387,58317,8734,17,5025132
128,0,64,1046,39683,57917,8455,17,5064815
129,0,64,1046,40465,58228,8596,17,5105280
130,0,64,1046,39622,58106,8750,17,5144902
131,0,64,1046,40040,58008,8646,17,5184942
132,0,64,1046,39619,57925,8620,17,5224561
133,0,64,1046,39374,57857,8708,17,5263935
134,0,64,1046,39093,57982,8799,17,5303028
135,0,64,1046,39803,58006,8441,17,5342831
136,0,64,1046,38970,57925,8571,17,5381801
137,0,64,1046,39196,58091,8582,17,5420997
138,0,64,1046,39806,58104,8873,17,5460803
139,0,64,1046,38912,58089,8756,17,5499715
140,0,64,1046,39730,57891,8791,17,5539445
141,0,64,1046,39642,58009,8788,17,5579087
142,0,64,1046,39059,57916,8786,17,5618146
143,0,64,1046,39972,58012,8698,17,5658118
144,0,64,1046,39900,58159,8533,17,5698018
145,0,64,1046,39376,58170,8813,17,5737394
146,0,64,1046,39679,57894,8692,17,5777073
147,0,64,1046,39312,58068,8762,17,5816385
148,0,64,1046,39187,57881,8720,17,5855572
149,0,64,1046,39557,57648,8402,17,5895129
150,0,64,1046,38970,58222,8562,17,5934099
151,0,64,1046,39905,58535,8679,17,5974004
152,0,64,1046,39897,58408,8639,17,6013901
153,0,64,1046,39642,57977,8609,17,6053543
154,0,64,1046,40098,57975,8797,17,6093641
155,0,64,1046,39924,58203,8706,17,6133565
156,0,64,1046,39284,57708,8698,17,6172849
157,0,64,1046,39948,58108,8921,17,6212797
158,0,64,1046,39049,58325,8695,17,6251846
159,0,64,1046,39611,57455,8645,17,6291457
160,0,64,1046,39349,57946,8749,17,6330806
161,0,64,1046,38765,58018,8561,17,6369571
162,0,64,1046,39637,58080,8740,17,6409208
163,0,64,1046,39394,58121,8850,17,6448602
164,0,64,1046,40163,58352,8877,17,6488765
165,0,64,1046,39234,57612,8984,17,6527999
166,0,64,1046,40014,57838,8727,17,6568013
167,0,64,1046,39404,57432,8813,17,6607417
168,0,64,1046,38984,57511,8783,17,6646401
169,0,64,1046,39450,58534,8582,17,6685851
170,0,64,1046,39637,58240,8743,17,6725488
171,0,64,1046,39293,57714,8659,17,6764781
172,0,64,1046,39360,57850,8690,17,6804141
173,0,64,1046,38969,58117,8705,17,6843110
174,0,64,1046,39489,58501,8825,17,6882599
175,0,64,1046,39686,58122,8972,17,6922285
176,0,64,1046,39752,58260,8751,17,6962037
177,0,64,1046,39735,57957,8718,17,7001772
178,0,64,1046,39622,57735,8414,17,7041394
179,0,64,1046,39332,58157,8865,17,7080726
180,0,64,1046,39268,58210,8871,17,7119994
181,0,64,1046,39310,58006,8803,17,7159304
182,0,64,1046,39534,57897,8661,17,7198838
183,0,64,1046,39411,58299,8623,17,7238249
184,0,64,1046,39877,58018,8742,17,7278126
185,0,64,1046,39026,57596,8628,17,7317152
186,0,64,1046,39392,57744,8678,17,7356544
187,0,64,1046,39184,58049,8534,17,7395728
188,0,64,1046,38616,58034,8639,17,7434344
189,0,64,1046,38885,58161,8781,17,7473229
190,0,64,1046,39471,58166,8539,17,7512700
191,0,64,1046,39639,57693,8639,17,7552339
192,0,64,1046,39272,58027,8590,17,7591611
193,0,64,1046,39344,57593,8743,17,7630955
194,0,64,1046,38951,57488,8624,17,7669906
195,0,64,1046,39543,58170,8688,17,7709449
196,0,64,1046,39498,57970,8673,17,7748947
197,0,64,1046,39083,57674,8580,17,7788030
198,0,64,1046,39405,58178,8827,17,7827435
199,0,64,1046,39284,57603,8804,17,7866719
200,0,64,1046,38748,57656,8809,17,7905467
201,0,64,1046,39826,58271,8545,17,7945293
202,0,64,1046,39329,57815,8263,17,7984622
203,0,64,1046,39351,57654,8884,17,8023973
204,0,64,1046,39228,57863,8568,17,8063201
205,0,64,1046,40259,58007,8615,17,8103460
206,0,64,1046,39801,58137,8867,17,8143261
207,0,64,1046,39604,58038,8691,17,8182865
208,0,64,1046,39122,58313,8775,17,8221987
209,0,64,1045,39087,58038,8650,17,8261074
210,0,64,1045,39564,57908,8442,17,8300638
211,0,64,1045,39437,57813,8746,17,8340075
212,0,64,1045,39912,58378,8619,17,8379987
213,0,64,1045,39970,58127,8675,17,8419957
214,0,64,1045,39431,57803,8632,17,8459388
215,0,64,1045,39310,58053,8781,17,8498698
216,0,64,1045,39247,57885,8727,17,8537945
217,0,64,1045,39581,57977,8742,17,8577526
218,0,64,1045,39369,58549,8560,17,8616895
219,0,64,1045,39039,58098,8610,17,8655934
220,0,64,1045,38735,58115,8718,17,8694669
221,0,64,1045,39907,58158,8703,17,8734576
222,0,64,1045,39391,58009,8855,17,8773967
223,0,64,1045,39563,57497,8668,17,8813530
224,0,64,1045,39368,58178,8739,17,8852898
225,0,64,1045,39460,58129,8579,17,8892358
226,0,64,1045,39100,57680,8557,17,8931458
227,0,64,1045,39659,57883,8616,17,8971117
228,0,64,1045,39291,57491,8784,17,9010408
229,0,64,1045,39850,57797,8589,17,9050258
230,0,64,1045,39485,57936,8666,17,9089743
231,0,64,1045,39220,57775,8720,17,9128963
232,0,64,1045,39809,57965,8773,17,9168772
233,0,64,1045,39911,57721,8754,17,9208683
234,0,64,1045,40257,58063,8803,17,9248940
235,0,64,1045,38960,57921,8757,17,9287900
236,0,64,1045,39397,57749,8775,17,9327297
237,0,64,1045,39330,58496,8818,17,9366627
238,0,64,1045,39734,58012,8701,17,9406361
239,0,64,1045,39516,57519,8536,17,9445877
240,0,64,1045,39376,57960,8725,17,9485253
241,0,64,1045,39796,58309,8676,17,9525049
242,0,64,1045,40434,58039,8727,17,9565483
243,0,64,1045,39439,58067,8778,17,9604922
244,0,64,1045,39517,57575,8527,17,9644439
245,0,64,1045,39344,57778,8610,17,9683783
246,0,64,1045,39396,57409,8743,17,9723179
247,0,64,1045,39191,57715,8436,17,9762370
248,0,64,1045,39522,57870,8642,17,9801892
249,0,64,1045,39711,57905,8684,17,9841603
250,0,64,1045,39632,57939,8475,17,9881235
251,0,64,1045,40116,58096,8776,17,9921351
252,0,64,1045,39086,57737,8544,17,9960437
253,0,64,1045,39563,58488,8656,17,10000000
254,1,64,1046,40230,57500,8685,17,10040230
255,1,64,1046,40315,57495,8673,17,10080545
256,1,64,1046,39885,57126,8572,17,10120430
257,1,64,1046,40372,57500,8676,17,10160802
258,1,64,1046,40495,57766,8556,17,10201297
259,1,64,1046,39546,57432,8666,17,10240843
260,1,64,1046,40084,58035,8674,17,10280927
261,1,64,1046,39607,57019,8620,17,10320534
262,1,64,1046,39878,57495,8590,17,10360412
263,1,64,1046,39715,57093,8512,17,10400127
264,1,64,1046,40294,57993,8772,17,10440421
265,1,64,1046,40047,58295,8816,17,10480468
266,1,64,1046,39879,58515,8748,17,10520347
267,1,64,1046,39495,57868,8650,17,10559842
268,1,64,1046,39393,57887,8619,17,10599235
269,1,64,1046,39594,58209,8909,17,10638829
270,1,64,1046,39460,58167,8870,17,10678289
271,1,64,1046,39561,57654,8774,17,10717850
272,1,64,1046,39619,58035,8664,17,10757469
273,1,64,1046,39451,58461,8719,17,10796920
274,1,64,1046,40010,58366,8621,17,10836930
275,1,64,1046,39799,58112,8682,17,10876729
276,1,64,1046,39971,58081,8549,17,10916700
277,1,64,1046,39536,57935,8572,17,10956236
278,1,64,1046,39907,58075,8858,17,10996143
279,1,64,1046,39178,58261,8732,17,11035321
280,1,64,1046,39105,57763,8805,17,11074426
281,1,64,1046,39241,57831,8654,17,11113667
282,1,64,1046,39092,57724,8568,17,11152759
283,1,64,1046,39618,57898,8578,17,11192377
284,1,64,1046,39521,58106,8772,17,11231898
285,1,64,1046,39818,58045,8605,17,11271716
286,1,64,1046,39501,58051,8647,17,11311217
287,1,64,1046,39158,58021,8806,17,11350375
288,1,64,1046,39720,57609,8568,17,11390095
289,1,64,1046,39784,58251,8665,17,11429879
290,1,64,1046,39969,58142,8684,17,11469848
291,1,64,1046,39399,57910,8647,17,11509247
292,1,64,1046,39182,57931,8691,17,11548429
293,1,64,1046,39455,57909,8733,17,11587884
294,1,64,1046,39299,57917,8754,17,11627183
295,1,64,1046,39639,58386,8838,17,11666822
296,1,64,1046,39230,58007,8819,17,11706052
297,1,64,1046,39549,58146,8566,17,11745601
298,1,64,1046,39913,57895,8492,17,11785514
299,1,64,1046,39064,57806,8703,17,11824578
300,1,64,1046,39258,58341,8961,17,11863836
301,1,64,1046,39550,58584,8928,17,11903386
302,1,64,1046,39422,57655,8740,17,11942808
303,1,64,1046,39328,58330,8865,17,11982136
304,1,64,1046,39271,57745,8654,17,12021407
305,1,64,1046,39697,57902,8641,17,12061104
306,1,64,1046,39870,58292,8515,17,12100974
307,1,64,1046,39910,58102,8701,17,12140884
308,1,64,1046,38818,58003,8954,17,12179702
309,1,64,1046,39506,58059,8727,17,12219208
310,1,64,1046,39413,57988,8834,17,12258621
311,1,64,1046,39544,57792,8712,17,12298165
312,1,64,1046,39878,58094,8774,17,12338043
313,1,64,1046,39820,58546,8794,17,12377863
314,1,64,1046,39104,58201,8811,17,12416967
315,1,64,1046,39550,57696,8638,17,12456517
316,1,64,1046,39300,57747,8758,17,12495817
317,1,64,1046,39025,58007,8743,17,12534842
318,1,64,1046,39044,57620,8588,17,12573886
319,1,64,1046,39575,57585,8779,17,12613461
320,1,64,1046,39408,57921,8750,17,12652869
321,1,64,1046,39196,57922,8747,17,12692065
322,1,64,1046,39314,58173,8591,17,12731379
323,1,64,1046,39615,58339,8905,17,12770994
324,1,64,1046,39298,58051,8646,17,12810292
325,1,64,1046,40182,57959,8747,17,12850474
326,1,64,1046,39232,57720,8557,17,12889706
327,1,64,1046,39485,57655,8479,17,12929191
328,1,64,1046,39583,58294,8824,17,12968774
329,1,64,1046,39007,57824,8883,17,13007781
330,1,64,1046,39476,57460,8452,17,13047257
331,1,64,1046,39748,57510,8712,17,13087005
332,1,64,1046,39140,57909,8665,17,13126145
333,1,64,1046,39654,57532,8514,17,13165799
334,1,64,1046,39325,57935,8895,17,13205124
335,1,64,1046,39195,57914,8639,17,13244319
336,1,64,1046,39654,57753,8607,17,13283973
337,1,64,1046,39855,57796,8761,17,13323828
338,1,64,1046,39434,58549,8749,17,13363262
339,1,64,1046,39813,57903,8794,17,13403075
340,1,64,1046,39392,57530,8677,17,13442467
341,1,64,1046,39395,58347,8819,17,13481862
342,1,64,1046,39513,57976,8613,17,13521375
343,1,64,1046,38612,57605,8844,17,13559987
344,1,64,1046,39203,58118,8743,17,13599190
345,1,64,1046,39736,57866,8667,17,13638926
346,1,64,1046,39910,57890,8559,17,13678836
347,1,64,1046,39479,57839,8556,17,13718315
348,1,64,1046,39816,57935,8405,17,13758131
349,1,64,1046,39632,57894,8863,17,13797763
350,1,64,1046,39720,57947,8685,17,13837483
351,1,64,1046,39526,57855,8895,17,13877009
352,1,64,1046,39378,57944,8634,17,13916387
353,1,64,1046,39560,57840,8743,17,13955947
354,1,64,1046,39042,58037,8723,17,13994989
355,1,64,1046,39799,58320,8937,17,14034788
356,1,64,1046,39270,58610,8907,17,14074058
357,1,64,1046,39224,58046,8722,17,14113282
358,1,64,1046,39498,58009,8740,17,14152780
359,1,64,1046,40022,58064,8620,17,14192802
360,1,64,1046,39883,57457,8913,17,14232685
361,1,64,1046,40055,58091,8583,17,14272740
362,1,64,1046,39766,58344,8582,17,14312506
363,1,64,1046,39595,58091,8731,17,14352101
364,1,64,1046,39606,57990,8659,17,14391707
365,1,64,1046,39655,57899,8628,17,14431362
366,1,64,1046,39973,57990,8670,17,14471335
367,1,64,1046,38942,57850,8782,17,14510277
368,1,64,1046,40055,57552,8711,17,14550332
369,1,64,1046,39132,58229,8704,17,14589464
370,1,64,1046,39694,57763,8482,17,14629158
371,1,64,1046,39731,58157,8930,17,14668889
372,1,64,1046,39301,57534,8559,17,14708190
373,1,64,1046,39910,57878,8842,17,14748100
