probe_id,pair_id,token_class_replayed,target_word_norm,strict_word_nonoverlap,source_word_count
rewritecond:0:0:compact:frontier_consolidation_fwcompact_medium_006297,compact:frontier_consolidation_fwcompact_medium_006297,nonoverlap,chickenpox,False,22
rewritecond:0:4:compact:frontier_consolidation_fwcompact_medium_006297,compact:frontier_consolidation_fwcompact_medium_006297,nonoverlap,chickenpox spread,True,22
rewritecond:0:18:compact:frontier_consolidation_fwcompact_medium_006297,compact:frontier_consolidation_fwcompact_medium_006297,nonoverlap,scabs form,True,22
rewritecond:0:20:compact:frontier_consolidation_fwcompact_medium_006297,compact:frontier_consolidation_fwcompact_medium_006297,nonoverlap,so,True,22
rewritecond:0:23:compact:frontier_consolidation_fwcompact_medium_006297,compact:frontier_consolidation_fwcompact_medium_006297,nonoverlap,people often,True,22
rewritecond:0:26:compact:frontier_consolidation_fwcompact_medium_006297,compact:frontier_consolidation_fwcompact_medium_006297,nonoverlap,don't know,True,22
rewritecond:0:3:compact:frontier_consolidation_fwcompact_medium_006297,compact:frontier_consolidation_fwcompact_medium_006297,overlap,chickenpox,False,22
rewritecond:0:11:compact:frontier_consolidation_fwcompact_medium_006297,compact:frontier_consolidation_fwcompact_medium_006297,overlap,2 day,True,22
rewritecond:0:14:compact:frontier_consolidation_fwcompact_medium_006297,compact:frontier_consolidation_fwcompact_medium_006297,overlap,rash,False,22
rewritecond:0:15:compact:frontier_consolidation_fwcompact_medium_006297,compact:frontier_consolidation_fwcompact_medium_006297,overlap,rash until,True,22
rewritecond:0:21:compact:frontier_consolidation_fwcompact_medium_006297,compact:frontier_consolidation_fwcompact_medium_006297,overlap,so infected,True,22
rewritecond:0:28:compact:frontier_consolidation_fwcompact_medium_006297,compact:frontier_consolidation_fwcompact_medium_006297,overlap,they have,True,22
rewritecond:1:2:compact:frontier_consolidation_fwcompact_medium_038651,compact:frontier_consolidation_fwcompact_medium_038651,nonoverlap,study show,True,26
rewritecond:1:7:compact:frontier_consolidation_fwcompact_medium_038651,compact:frontier_consolidation_fwcompact_medium_038651,nonoverlap,alcohol-induced,True,26
rewritecond:1:12:compact:frontier_consolidation_fwcompact_medium_038651,compact:frontier_consolidation_fwcompact_medium_038651,nonoverlap,mice link,True,26
rewritecond:1:14:compact:frontier_consolidation_fwcompact_medium_038651,compact:frontier_consolidation_fwcompact_medium_038651,nonoverlap,to disrupted,True,26
rewritecond:1:16:compact:frontier_consolidation_fwcompact_medium_038651,compact:frontier_consolidation_fwcompact_medium_038651,nonoverlap,disrupted,True,26
rewritecond:1:28:compact:frontier_consolidation_fwcompact_medium_038651,compact:frontier_consolidation_fwcompact_medium_038651,nonoverlap,molecular method,True,26
rewritecond:1:1:compact:frontier_consolidation_fwcompact_medium_038651,compact:frontier_consolidation_fwcompact_medium_038651,overlap,the study,True,26
rewritecond:1:11:compact:frontier_consolidation_fwcompact_medium_038651,compact:frontier_consolidation_fwcompact_medium_038651,overlap,in mice,True,26
rewritecond:1:22:compact:frontier_consolidation_fwcompact_medium_038651,compact:frontier_consolidation_fwcompact_medium_038651,overlap,24-hour,False,26
rewritecond:1:26:compact:frontier_consolidation_fwcompact_medium_038651,compact:frontier_consolidation_fwcompact_medium_038651,overlap,using molecular,True,26
rewritecond:1:30:compact:frontier_consolidation_fwcompact_medium_038651,compact:frontier_consolidation_fwcompact_medium_038651,overlap,and long-term,True,26
rewritecond:1:33:compact:frontier_consolidation_fwcompact_medium_038651,compact:frontier_consolidation_fwcompact_medium_038651,overlap,alcohol feeding,True,26
rewritecond:2:0:compact:frontier_consolidation_fwcompact_medium_058642,compact:frontier_consolidation_fwcompact_medium_058642,nonoverlap,many,False,24
rewritecond:2:5:compact:frontier_consolidation_fwcompact_medium_058642,compact:frontier_consolidation_fwcompact_medium_058642,nonoverlap,media group,True,24
rewritecond:2:6:compact:frontier_consolidation_fwcompact_medium_058642,compact:frontier_consolidation_fwcompact_medium_058642,nonoverlap,groups face,True,24
rewritecond:2:8:compact:frontier_consolidation_fwcompact_medium_058642,compact:frontier_consolidation_fwcompact_medium_058642,nonoverlap,threats due,True,24
rewritecond:2:22:compact:frontier_consolidation_fwcompact_medium_058642,compact:frontier_consolidation_fwcompact_medium_058642,nonoverlap,repressive policie,True,24
rewritecond:2:24:compact:frontier_consolidation_fwcompact_medium_058642,compact:frontier_consolidation_fwcompact_medium_058642,nonoverlap,laws,True,24
rewritecond:2:1:compact:frontier_consolidation_fwcompact_medium_058642,compact:frontier_consolidation_fwcompact_medium_058642,overlap,many journalist,True,24
rewritecond:2:4:compact:frontier_consolidation_fwcompact_medium_058642,compact:frontier_consolidation_fwcompact_medium_058642,overlap,and media,True,24
rewritecond:2:13:compact:frontier_consolidation_fwcompact_medium_058642,compact:frontier_consolidation_fwcompact_medium_058642,overlap,inadequate,False,24
rewritecond:2:15:compact:frontier_consolidation_fwcompact_medium_058642,compact:frontier_consolidation_fwcompact_medium_058642,overlap,inadequate,False,24
rewritecond:2:20:compact:frontier_consolidation_fwcompact_medium_058642,compact:frontier_consolidation_fwcompact_medium_058642,overlap,repressive,False,24
