tokenizer,boost,base_uniform_group_prob,relation_group_prob,nonrelation_group_prob_normalized,valid_probability_budget,expected_selected_groups_per_epoch,expected_relation_selected_groups_per_epoch,relation_selected_group_fraction,expected_target_tokens_per_epoch,expected_relation_target_tokens_per_epoch,relation_target_token_fraction,target_token_multiplier_vs_uniform_visible_groups
legal16k,1.5,0.15,0.22499999999999998,0.14076865869765662,True,1470239.7,241696.57499999998,0.16439263271152316,2124370.4542278587,297975.37499999994,0.14026526042431922,0.9904670667930731
legal16k,2.0,0.15,0.3,0.1315373173953132,True,1470239.7000000002,322262.1,0.2191901769486975,2103924.058455717,397300.5,0.1888378520143066,0.9809341335861459
legal16k,3.0,0.15,0.44999999999999996,0.11307463479062643,True,1470239.7,483393.14999999997,0.3287852654230463,2063031.2669114345,595950.7499999999,0.28887140954106727,0.9618682671722923
legal16k,4.0,0.15,0.6,0.09461195218593965,True,1470239.7,644524.2,0.4383803538973951,2022138.4753671517,794601.0,0.3929508338224599,0.9428024007584385
legal40k,1.5,0.15,0.22499999999999998,0.14078795231676108,True,1480689.15,242961.3,0.16408663492941783,2040512.8215563945,296172.89999999997,0.14514630678678855,0.9925038687253196
legal40k,2.0,0.15,0.3,0.1315759046335222,True,1480689.15,323948.39999999997,0.21878217990589044,2025101.3431127893,394897.2,0.19500120393629405,0.9850077374506394
legal40k,3.0,0.15,0.44999999999999996,0.11315180926704439,True,1480689.15,485922.6,0.32817326985883566,1994278.3862255788,592345.7999999999,0.2970226243694535,0.9700154749012787
legal40k,4.0,0.15,0.6,0.09472771390056661,True,1480689.15,647896.7999999999,0.4375643598117809,1963455.4293383686,789794.4,0.4022471751580016,0.9550232123519182
legal40k_minfreq25,1.5,0.15,0.22499999999999998,0.14078296824906877,True,1478256.0,242678.925,0.16416569592817482,2063857.667504988,296579.925,0.14370173373367243,0.991904972172834
legal40k_minfreq25,2.0,0.15,0.3,0.13156593649813758,True,1478256.0,323571.89999999997,0.21888759457089974,2047014.335009976,395439.89999999997,0.19317886212949886,0.9838099443456682
legal40k_minfreq25,3.0,0.15,0.44999999999999996,0.11313187299627515,True,1478256.0,485357.85,0.32833139185634963,2013327.670019952,593159.85,0.2946166482647714,0.9676198886913363
legal40k_minfreq25,4.0,0.15,0.6,0.09469780949441274,True,1478256.0,647143.7999999999,0.43777518914179947,1979641.0050299284,790879.7999999999,0.399506677215975,0.9514298330370046
legal40k_minfreq50,1.5,0.15,0.22499999999999998,0.1407742794966381,True,1473288.6,242066.47499999998,0.16430350102485008,2103718.2566253333,297468.675,0.14140138493506374,0.9909477501933329
legal40k_minfreq50,2.0,0.15,0.3,0.13154855899327617,True,1473288.5999999999,322755.3,0.21907133469980017,2084500.9132506666,396624.89999999997,0.19027331553502888,0.9818955003866657
legal40k_minfreq50,3.0,0.15,0.44999999999999996,0.11309711798655235,True,1473288.5999999999,484132.94999999995,0.3286070020497002,2046066.2265013335,594937.35,0.290771306565825,0.9637910007733317
legal40k_minfreq50,4.0,0.15,0.6,0.09464567697982854,True,1473288.5999999999,645510.6,0.43814266939960034,2007631.5397520005,793249.7999999999,0.39511722360069557,0.9456865011599976
