row_index,source,words,raw_tokens,row256_active_tokens,u256_recovered_tokens,u256_recovered_full_words,u256_boundary_tokens,shift_score,prefix_cue_density,suffix_cue_density,suffix_sample,prefix_tail_sample,suffix_action,suffix_causal_temporal,suffix_physical_object,suffix_spatial_state,suffix_mental_social,suffix_material_property,suffix_quantitative,suffix_numbers,suffix_capitalized,suffix_cleanish_flag,suffix_encoding_noise_flag,suffix_allcaps_dense_flag,suffix_is_childes_like,suffix_is_subtitle_like,suffix_is_list_like
7555,simple_wiki,160,266,256,10,1,0,1.8742138364779874,0.12578616352201258,2.0,16.1–20.0,"frog (""Roarchestes honnametti"") is a frog. It lives in India, Bangladesh, and China. Scientists think it could also live in Myanmar. Scientists have seen it 1272 meters above sea level. The adult male frog is",0,0,0,0,0,0,2,2,0,0,1,0,0,0,1
45713,childes,160,259,256,3,1,2,1.8742138364779874,0.12578616352201258,2.0,metal,*BRO: man I'm gettin' lots of 'em. *MOT: Chi. *BRO: bombs away www [crash sound]! *MOT: easy. *BRO: look it. *BRO: bomb. *MOT: Chi can you pick all these up at the same time? [stacking,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
33335,gutenberg,160,258,256,2,1,1,0.9559748427672956,0.0440251572327044,1.0,in,"black crow; But the shot went wide, for he aimed too low; And the stockman said, ""Fat stock is low."" (Sing, di-dum, wattle-gum, Jerridiiii Joe. For a lifting lay sing hey!) They spread their swags",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
61600,childes,160,257,256,1,1,0,0.9371069182389937,0.06289308176100629,1.0,up,*MOT: parrots. *MOT: they were pretty birds weren't they? *MOT: did you hold the baby chicks? *CHI: yeah [yes]. *CHI: hold the baby chicks. *MOT: you held the baby chicks. *CHI: that's my chicken. [picks,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
46643,childes,160,257,256,1,1,0,0.9308176100628931,0.06918238993710692,1.0,one,dis is macaroni. *MOT: how d' you cook macaroni? *CHI: xxx fish. *MOT: how d' you cook it? *CHI: yes. *CHI: why you have a Bandaid on my finger? *MOT: I don't know. *CHI: put,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
25481,childes,160,257,256,1,1,0,0.9182389937106918,0.08176100628930817,1.0,want,can write a note saying *FAT: can Ross please bring his Autobot. *CHI: Michael and Steven. *FAT: okay. *FAT: I want them to write notes and I don't want them in your handwriting. *FAT: I,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
34671,childes,160,257,256,1,1,0,0.9182389937106918,0.08176100628930817,1.0,bed,*CHI: when they go crazy. *FAT: mhm [yes]. *CHI: yeah. *CHI: uhhuh. *CHI: what? *CHI: what? *MOT: do you have any idea? *CHI: I don't know. *MOT: sexy xxx. *FAT: and then they go to,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
31857,childes,160,258,256,2,1,0,0.9119496855345912,0.0880503144654088,1.0,one.,one. *CHI: I looking for a. *CHI: what happened to the a? *MOT: maybe it ran away. *CHI: I know where de is de a. *MOT: where is the a? *CHI: I goin' get number,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
33198,childes,160,258,256,2,1,0,0.9119496855345912,0.0880503144654088,1.0,off.,'cause if you don't eat it I will. *CHI: don't eat it. *CHI: no don't eat. *MOT: well you eat it then. *CHI: what you eat? *MOT: just a little part of it that fell,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
44374,childes,160,257,256,1,1,0,0.9119496855345912,0.0880503144654088,1.0,two,'n 'ere. *CHI: I don't know. *CHI: the nose wanna... [looking in Ursula's bag] *URS: Adam what are you peeking at already? *CHI: I looking for something to eat. *URS: to eat? *URS: you had,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
56953,open_subtitles,160,261,256,5,3,0,0.910828025477707,0.08917197452229299,1.0,"out, child. Tell","But in war, we aren't always masters of our own time. May I ask your name? - Margarethe Lorenz. Heil, my Führer. - Fulda. Heil, my Führer. Ursula Puttkammer. Heil, my Führer. - Leave that",0,0,0,1,2,0,0,0,1,1,0,0,0,1,0
41204,open_subtitles,160,264,256,8,1,4,0.9056603773584906,0.09433962264150944,1.0,'73?,"was Kennedy assassinated? . GATES: No. -John or Robert? . -I haven't heard a thing. -I was hoping you had. -Do I look fat? . -No, sit down. When was Bobby killed? . -1 978.",0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
28889,childes,160,257,256,1,1,0,0.9056603773584906,0.09433962264150944,1.0,make,*CHI: he may have it tomorrow. *MOT: you look sleepy. %add: Paul *CHI: dat's why he hasta have dat tomorrow. *CHI: he look sleepy. *CHI: now watch me do it now. *CHI: see... *CHI: to,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
54863,simple_wiki,160,261,256,5,2,1,0.9050632911392404,0.0949367088607595,1.0,Top 50,"his debut album ""Eu tenho a senha"". One song from the album, ""Meu Pedaço de Pecado"", was the most played song among Brazil's Spotify users as of 1 July 2021, and also appeared in Spotify's",0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
20959,childes,160,261,256,5,3,2,0.9044585987261147,0.09554140127388536,1.0,go out through,out arrangements for next visit] *CHI: how d' you know? [Ursula and Mrs Smith work out arrangements for next visit] *MOT: we'll be at thirty two Williams Street in Roxbury. *CHI: Roxbury. [describes house] *CHI:,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0
43845,simple_wiki,160,261,256,5,1,4,0.89937106918239,0.10062893081761007,1.0,on,"Sheep was created by Aardman Animations. Season 1 was released on 5 March 2007. In February 2008, Aardman Animations introduced the mobile game ""Shaun The Sheep: Mobile Game"". It was released on 27 February 2008,",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
14593,childes,160,259,256,3,1,2,0.89937106918239,0.10062893081761007,1.0,more,*CHI: bad crying. *CHI: kangaroo. *MOT: are you hitting the kangaroo? *CHI: nice. [nina making the kangaroo jump around the room.] *CHI: jumping xxx. *MOT: what is the kangaroo doing? *CHI: don't fall down. *CHI:,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
5492,childes,160,257,256,1,1,0,0.89937106918239,0.10062893081761007,1.0,Girl,oh they're little. *MEL: thank you. *MEL: Girl Scout cookies? *MOT: uh the walnut ones aren't. *MOT: the chocolate mints are. *MEL: mhm. *MOT: y' mean nobody rang your doorbell up on Myrtle Av' with,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
38591,childes,160,257,256,1,1,0,0.89937106918239,0.10062893081761007,1.0,second,*MOT: oh. *MOT: that's pretty neat. *CHI: and they went on a one field trip to Egypt I think or something like that. *MOT: did they really? *MOT: that's pretty nice. *MOT: yeah? *CHI: not,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
45675,simple_wiki,160,257,256,1,1,0,0.89937106918239,0.10062893081761007,1.0,in,"to pin Dean Ambrose at ""Battleground"" and that would have brought the World Championship to ""Raw"" but Roman Reigns was selfish and broke up the pin. Because of that, Stephanie gave Seth the first spot",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
53860,open_subtitles,160,257,256,1,1,0,0.89937106918239,0.10062893081761007,1.0,up,"What you doing for holidays? . I was thinking to visit Ray but he's going away with his girlfriend. His girlfriend? . Morris, that storage locker in Indiana called. They said if you don't pay",0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
42863,simple_wiki,160,263,256,7,1,1,0.8930817610062893,0.1069182389937107,1.0,1978),"for energy and environment. In September 2022, President Joe Biden announced that Zaidi would replace Gina McCarthy as White House National Climate Advisor. = = = Laurence Fox = = = Laurence Paul Fox (born",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
21834,childes,160,259,256,3,1,2,0.8930817610062893,0.1069182389937107,1.0,on,a single bound. *FAT: tall buildings. *CHI: tall buildings. *CHI: everybody knows that! *ALX: all the money needed to complete payment is this type of sum. *FAT: lump? *MOT: yeah I think it is. [nobody,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
