mode,example_id,hard52,categories,reference_correct,reference_rank,reference_margin,reference_choice,control_correct,control_rank,control_margin,control_choice,treatment_correct,treatment_rank,treatment_margin,treatment_choice,treat_minus_control_rank,treat_minus_control_margin
parallel,parallel_ex000000_eng_latn,False,physical_object_interaction;officialcat:object_properties_interactions,False,3,0.8362889051437379,1,False,2,0.5152151107788088,1,False,2,0.264247751235962,1,0,-0.25096735954284677
parallel,parallel_ex000001_eng_latn,True,physical_object_interaction;officialcat:object_properties_interactions,False,3,1.6217753546578542,0,False,4,1.9071668897356306,0,False,4,2.64931447165353,0,0,0.7421475819178993
parallel,parallel_ex000002_eng_latn,True,physical_object_interaction;officialcat:object_properties_interactions,False,2,1.2506678444998602,1,False,2,1.337262062799363,1,False,3,1.5101217542375833,1,1,0.17285969143822033
parallel,parallel_ex000003_eng_latn,True,physical_object_interaction;officialcat:object_properties_interactions,False,4,3.199648412068685,1,False,4,2.764262517293294,1,False,4,2.4188580830891926,1,0,-0.3454044342041014
parallel,parallel_ex000004_eng_latn,False,direction_spatial;physical_object_interaction;officialcat:object_properties_interactions,True,1,0.0,0,True,1,0.0,0,True,1,0.0,0,0,0.0
parallel,parallel_ex000005_eng_latn,False,physical_object_interaction;officialcat:object_properties_interactions,True,1,0.0,1,False,2,0.1335731506347657,3,True,1,0.0,1,-1,-0.1335731506347657
parallel,parallel_ex000008_eng_latn,False,"temporal_arithmetic_or_order;officialcat:time, counting",False,4,3.026693344116211,3,False,3,2.0036754608154297,3,False,4,1.4626827239990234,3,1,-0.5409927368164062
parallel,parallel_ex000009_eng_latn,True,"temporal_arithmetic_or_order;officialcat:time, counting",False,4,3.4620227813720703,3,False,3,2.410342216491699,3,False,3,3.235536575317383,3,0,0.8251943588256836
parallel,parallel_ex000010_eng_latn,False,"temporal_arithmetic_or_order;officialcat:time, counting",False,2,0.0963804244995119,2,False,2,0.15949039459228498,2,False,3,0.30015316009521475,2,1,0.14066276550292978
parallel,parallel_ex000011_eng_latn,True,"temporal_arithmetic_or_order;officialcat:time, counting",False,2,0.042766571044921875,3,False,2,0.2680526733398443,0,False,4,0.4627506256103513,0,2,0.194697952270507
parallel,parallel_ex000013_eng_latn,True,temporal_arithmetic_or_order;officialcat:time,False,3,1.2936561902364092,3,False,3,1.4682497183481855,3,False,3,0.9331466356913252,3,0,-0.5351030826568604
parallel,parallel_ex000014_eng_latn,True,temporal_arithmetic_or_order;direction_spatial;officialcat:spatial,False,2,1.1481142044067383,3,False,2,1.0646986961364746,3,False,3,1.4325647354125977,3,1,0.36786603927612305
parallel,parallel_ex000015_eng_latn,True,temporal_arithmetic_or_order;direction_spatial;officialcat:spatial,False,3,4.486438751220703,0,False,4,4.683346748352051,0,False,4,5.5914506912231445,0,0,0.9081039428710938
parallel,parallel_ex000016_eng_latn,True,direction_spatial;physical_object_interaction;officialcat:spatial,False,2,0.9162560701370238,3,False,2,0.5680094162623088,3,False,2,0.41025098164876295,3,0,-0.15775843461354588
parallel,parallel_ex000017_eng_latn,True,"physical_object_interaction;tool_affordance;officialcat:object_properties_interactions, affordances",False,3,3.5422736803690587,3,False,3,2.64620844523112,2,False,3,3.6600373586018886,2,0,1.0138289133707685
parallel,parallel_ex000018_eng_latn,False,physical_object_interaction;officialcat:time,True,1,0.0,1,True,1,0.0,1,False,2,0.2818784713745117,2,1,0.2818784713745117
parallel,parallel_ex000020_eng_latn,False,"physical_object_interaction;tool_affordance;officialcat:object_properties_interactions, affordances",False,2,0.5636496543884277,2,True,1,0.0,3,False,2,1.4365296363830566,2,1,1.4365296363830566
parallel,parallel_ex000021_eng_latn,False,physical_object_interaction;officialcat:object_properties_interactions,True,1,0.0,0,False,2,0.02631314595540335,3,True,1,0.0,0,-1,-0.02631314595540335
parallel,parallel_ex000022_eng_latn,False,physical_object_interaction;officialcat:object_properties_interactions,True,1,0.0,3,True,1,0.0,3,True,1,0.0,3,0,0.0
parallel,parallel_ex000023_eng_latn,True,physical_object_interaction;officialcat:object_properties_interactions,True,1,0.0,3,False,3,0.9561752319335941,1,False,4,1.4532140096028643,1,1,0.4970387776692702
parallel,parallel_ex000024_eng_latn,True,physical_object_interaction;officialcat:object_properties_interactions,False,2,0.9944327036539713,3,False,3,1.8207521438598633,3,False,3,1.1788670857747396,3,0,-0.6418850580851236
parallel,parallel_ex000025_eng_latn,False,physical_object_interaction;officialcat:object_properties_interactions,True,1,0.0,1,True,1,0.0,1,True,1,0.0,1,0,0.0
parallel,parallel_ex000026_eng_latn,True,"physical_object_interaction;officialcat:object_properties_interactions, affordances",False,4,1.806826114654541,0,False,4,3.5099048614501953,0,False,4,3.3990042209625244,0,0,-0.1109006404876709
parallel,parallel_ex000027_eng_latn,True,"physical_object_interaction;officialcat:object_properties_interactions, affordances",False,4,2.217292308807373,0,False,3,1.4491970062255861,0,False,3,1.8901615142822266,0,0,0.44096450805664045
parallel,parallel_ex000028_eng_latn,False,"physical_object_interaction;officialcat:object_properties_interactions, affordances",False,3,0.6822094917297363,1,False,3,0.9858226776123047,3,False,3,1.1078813076019287,1,0,0.12205862998962402
parallel,parallel_ex000029_eng_latn,True,physical_object_interaction;officialcat:object_properties_interactions,False,4,6.465858459472656,2,False,4,6.247884273529053,2,False,3,6.377647399902344,2,-1,0.12976312637329102
parallel,parallel_ex000030_eng_latn,False,physical_object_interaction;officialcat:object_properties_interactions,False,2,0.6080435752868654,0,False,2,0.9361333370208741,0,True,1,0.0,3,-1,-0.9361333370208741
parallel,parallel_ex000031_eng_latn,False,physical_object_interaction;officialcat:object_properties_interactions,False,2,0.1787333965301514,1,False,2,0.28021907806396484,1,False,2,0.36410369873046866,1,0,0.08388462066650382
parallel,parallel_ex000032_eng_latn,False,physical_object_interaction;officialcat:object_properties_interactions,True,1,0.0,3,True,1,0.0,3,True,1,0.0,3,0,0.0
parallel,parallel_ex000033_eng_latn,True,"direction_spatial;physical_object_interaction;tool_affordance;officialcat:object_properties_interactions, affordances",False,4,1.573338508605957,3,False,3,0.8454408645629883,3,False,4,0.47659969329833984,0,1,-0.36884117126464844
parallel,parallel_ex000034_eng_latn,False,direction_spatial;officialcat:spatial,False,3,0.9838182926177979,1,False,3,1.7434301376342773,0,False,4,1.2331584294637046,1,1,-0.5102717081705728
parallel,parallel_ex000035_eng_latn,True,physical_object_interaction;officialcat:object_properties_interactions,False,3,0.6082544326782227,0,False,2,0.30090975761413574,1,False,2,0.5438892841339111,1,0,0.2429795265197754
parallel,parallel_ex000036_eng_latn,True,physical_object_interaction;officialcat:object_properties_interactions,False,2,0.5428907871246338,3,True,1,0.0,1,True,1,0.0,1,0,0.0
parallel,parallel_ex000037_eng_latn,True,physical_object_interaction;officialcat:object_properties_interactions,False,4,0.8906087875366211,1,False,2,1.570927619934082,1,False,3,0.7972421646118164,1,1,-0.7736854553222656
parallel,parallel_ex000038_eng_latn,False,physical_object_interaction;officialcat:object_properties_interactions,True,1,0.0,0,True,1,0.0,0,True,1,0.0,0,0,0.0
parallel,parallel_ex000039_eng_latn,False,physical_object_interaction;officialcat:object_properties_interactions,False,4,1.4329452514648438,2,True,1,0.0,3,False,3,1.074891662597656,2,2,1.074891662597656
parallel,parallel_ex000040_eng_latn,False,physical_object_interaction;officialcat:object_properties_interactions,False,3,1.2524439493815103,3,False,2,1.1947501500447588,3,False,2,0.7018667856852217,3,0,-0.49288336435953717
parallel,parallel_ex000041_eng_latn,True,officialcat:spatial,False,4,2.871018886566162,3,False,4,3.4683942317962644,3,False,4,3.4874064922332764,3,0,0.019012260437011985
parallel,parallel_ex000042_eng_latn,True,officialcat:spatial,False,3,2.06422004699707,1,False,3,3.019798421859741,1,False,3,2.963376188278198,1,0,-0.05642223358154297
parallel,parallel_ex000043_eng_latn,True,"physical_object_interaction;officialcat:object_properties_interactions, spatial",False,4,1.6259228587150574,2,False,3,2.211814562479655,2,False,4,1.9695056676864624,2,1,-0.2423088947931924
parallel,parallel_ex000044_eng_latn,True,officialcat:counting,False,3,2.512861633300781,0,False,3,2.5709523518880206,0,False,4,2.9381818135579425,0,1,0.3672294616699219
parallel,parallel_ex000045_eng_latn,False,physical_object_interaction;officialcat:spatial,True,1,0.0,1,True,1,0.0,1,True,1,0.0,1,0,0.0
parallel,parallel_ex000046_eng_latn,True,physical_object_interaction;officialcat:spatial,False,2,0.2635496457417805,3,False,2,0.2723960876464844,3,False,2,0.6797986030578613,3,0,0.40740251541137695
parallel,parallel_ex000047_eng_latn,False,officialcat:spatial,False,2,0.015329742431640758,0,False,2,0.018943595886230513,0,True,1,0.0,1,-1,-0.018943595886230513
parallel,parallel_ex000048_eng_latn,True,officialcat:spatial,False,4,2.014606475830078,3,False,2,0.13101657231648778,3,False,2,0.6538607279459634,3,0,0.5228441556294756
parallel,parallel_ex000049_eng_latn,True,physical_object_interaction;officialcat:spatial,False,3,1.2213235310145785,2,False,2,0.9166756766183033,2,False,3,0.8558358873639786,2,1,-0.06083978925432465
parallel,parallel_ex000050_eng_latn,True,physical_object_interaction;officialcat:object_properties_interactions,False,3,1.0215324560801187,0,False,3,0.8180267016092935,0,False,3,1.2159331639607749,0,0,0.3979064623514814
parallel,parallel_ex000051_eng_latn,False,physical_object_interaction;officialcat:object_properties_interactions,True,1,0.0,0,True,1,0.0,0,True,1,0.0,0,0,0.0
parallel,parallel_ex000053_eng_latn,False,officialcat:counting,False,2,0.008323860168456987,0,True,1,0.0,3,True,1,0.0,3,0,0.0
parallel,parallel_ex000054_eng_latn,True,officialcat:counting,False,2,0.2367349104447799,2,False,2,0.2855899117209695,2,False,2,0.3335510600696911,2,0,0.047961148348721616
parallel,parallel_ex000055_eng_latn,True,physical_object_interaction;officialcat:counting,False,3,0.8703680688684636,2,False,2,0.2538573741912842,1,False,3,0.5927132909948176,2,1,0.33885591680353344
parallel,parallel_ex000056_eng_latn,True,officialcat:counting,False,4,1.5112293561299643,2,False,4,1.1458181275261772,2,False,4,0.6953811645507814,3,0,-0.4504369629753958
parallel,parallel_ex000057_eng_latn,True,officialcat:counting,False,4,0.9660630659623579,0,False,4,0.21047422620985223,2,False,3,0.45501539442274286,2,-1,0.24454116821289062
parallel,parallel_ex000058_eng_latn,False,"physical_object_interaction;tool_affordance;officialcat:object_properties_interactions, spatial",True,1,0.0,1,True,1,0.0,1,True,1,0.0,1,0,0.0
parallel,parallel_ex000059_eng_latn,True,"physical_object_interaction;tool_affordance;officialcat:object_properties_interactions, affordances",False,4,2.6467337608337402,3,False,4,3.1612513065338135,3,False,4,3.643993854522705,3,0,0.4827425479888916
parallel,parallel_ex000061_eng_latn,True,direction_spatial;officialcat:spatial,False,4,4.293375287737165,1,False,4,2.7505520638965426,1,False,4,3.7349717276436945,1,0,0.9844196637471518
parallel,parallel_ex000062_eng_latn,True,direction_spatial;officialcat:spatial,False,3,0.46420256296793605,2,False,3,1.0718889236450195,1,False,3,0.8970235188802085,1,0,-0.17486540476481105
parallel,parallel_ex000063_eng_latn,False,"physical_object_interaction;officialcat:object_properties_interactions, affordances",False,2,0.5583769480387373,0,False,3,0.6136519114176435,0,False,3,1.0467770894368487,0,0,0.43312517801920514
parallel,parallel_ex000064_eng_latn,True,direction_spatial;officialcat:spatial,False,4,1.9026109059651692,2,False,4,1.6593130747477214,2,False,4,1.8075270334879554,2,0,0.14821395874023402
parallel,parallel_ex000065_eng_latn,False,"physical_object_interaction;officialcat:object_properties_interactions, affordances",True,1,0.0,1,True,1,0.0,1,True,1,0.0,1,0,0.0
parallel,parallel_ex000066_eng_latn,False,"physical_object_interaction;officialcat:object_properties_interactions, affordances",True,1,0.0,2,True,1,0.0,2,True,1,0.0,2,0,0.0
parallel,parallel_ex000067_eng_latn,False,"physical_object_interaction;officialcat:object_properties_interactions, affordances",False,2,0.9678637186686201,3,False,4,2.4818286895751953,3,False,3,2.4808807373046875,3,-1,-0.0009479522705078125
parallel,parallel_ex000068_eng_latn,False,"physical_object_interaction;officialcat:object_properties_interactions, affordances",False,2,0.003925868443080738,2,False,2,0.4221017020089288,2,False,2,0.5835593087332587,2,0,0.16145760672432985
parallel,parallel_ex000069_eng_latn,False,temporal_arithmetic_or_order;physical_object_interaction;officialcat:object_properties_interactions,True,1,0.0,3,True,1,0.0,3,True,1,0.0,3,0,0.0
parallel,parallel_ex000070_eng_latn,True,"physical_object_interaction;officialcat:object_properties_interactions, affordances",False,3,1.0479289253989417,2,False,3,1.758297218071236,2,False,4,1.5349476154033956,2,1,-0.22334960266784032
parallel,parallel_ex000071_eng_latn,True,"physical_object_interaction;officialcat:object_properties_interactions, spatial",True,1,0.0,3,True,1,0.0,3,True,1,0.0,3,0,0.0
parallel,parallel_ex000072_eng_latn,True,physical_object_interaction;officialcat:spatial,False,3,0.593002579428933,0,False,2,0.4198374314741654,0,False,2,0.29039105502041906,0,0,-0.12944637645374635
