mode,example_id,reference_correct,reference_rank,reference_margin,reference_choice,control_correct,control_rank,control_margin,control_choice,treatment_correct,treatment_rank,treatment_margin,treatment_choice,treat_minus_control_rank,treat_minus_control_margin
nonparallel,group0123_ex000000_eng_latn_0_v1,True,1,0.0,0,True,1,0.0,0,True,1,0.0,0,0,0.0
nonparallel,group0123_ex000001_eng_latn_0_v1,False,2,0.02651999653249515,0,False,2,0.06393048871000584,0,False,2,0.057349495265794914,0,0,-0.006580993444210925
nonparallel,group0123_ex000002_eng_latn_0_v1,True,1,0.0,0,True,1,0.0,0,True,1,0.0,0,0,0.0
nonparallel,group0123_ex000003_eng_latn_0_v1,True,1,0.0,1,True,1,0.0,1,True,1,0.0,1,0,0.0
nonparallel,group0123_ex000004_eng_latn_0_v1,True,1,0.0,1,False,2,0.14253912004156177,0,False,2,0.03464855874829009,0,0,-0.10789056129327168
nonparallel,group0123_ex000005_eng_latn_0_v1,True,1,0.0,0,True,1,0.0,0,True,1,0.0,0,0,0.0
nonparallel,group0123_ex000006_eng_latn_0_v1,False,2,0.53407481137444,1,False,2,0.7141637381385353,1,False,2,0.6361986328573792,1,0,-0.07796510528115608
nonparallel,group0123_ex000007_eng_latn_0_v1,True,1,0.0,0,True,1,0.0,0,True,1,0.0,0,0,0.0
nonparallel,group0123_ex000008_eng_latn_0_v1,True,1,0.0,1,False,2,0.2691307067871094,0,False,2,0.16204452514648438,0,0,-0.107086181640625
nonparallel,group0123_ex000009_eng_latn_0_v1,False,2,0.33433369227818055,0,False,2,0.34760701155462126,0,False,2,0.3419123737751937,0,0,-0.00569463777942758
nonparallel,group0123_ex000010_eng_latn_0_v1,False,2,0.262837907744617,1,False,2,0.34996496991413384,1,False,2,0.295906922875381,1,0,-0.05405804703875283
nonparallel,group0123_ex000011_eng_latn_0_v1,True,1,0.0,1,True,1,0.0,1,True,1,0.0,1,0,0.0
nonparallel,group0123_ex000012_eng_latn_0_v1,True,1,0.0,0,False,2,0.4121395013271236,1,False,2,0.1551216810177527,1,0,-0.2570178203093709
nonparallel,group0123_ex000013_eng_latn_0_v1,True,1,0.0,0,True,1,0.0,0,True,1,0.0,0,0,0.0
nonparallel,group0123_ex000014_eng_latn_0_v1,False,2,0.5113326299758185,0,False,2,0.6810970124744236,0,False,2,0.9764896211170013,0,0,0.29539260864257777
nonparallel,group0123_ex000015_eng_latn_0_v1,False,2,0.05803231632008288,0,False,2,0.201186685001149,0,False,2,0.18790660184972463,0,0,-0.013280083151424371
nonparallel,group0123_ex000016_eng_latn_0_v1,True,1,0.0,0,True,1,0.0,0,True,1,0.0,0,0,0.0
nonparallel,group0123_ex000017_eng_latn_0_v1,True,1,0.0,0,True,1,0.0,0,True,1,0.0,0,0,0.0
nonparallel,group0123_ex000018_eng_latn_0_v1,False,2,0.06804808909758897,0,False,2,0.32278435777276027,0,False,2,0.0318802011993542,0,0,-0.29090415657340607
nonparallel,group0123_ex000020_eng_latn_0_v1,False,2,0.14874630882626505,0,True,1,0.0,1,True,1,0.0,1,0,0.0
nonparallel,group0123_ex000021_eng_latn_0_v1,False,2,0.03859153160682105,1,True,1,0.0,0,False,2,0.07146982046273997,1,1,0.07146982046273997
nonparallel,group0123_ex000022_eng_latn_0_v1,True,1,0.0,0,True,1,0.0,0,True,1,0.0,0,0,0.0
nonparallel,group0123_ex000023_eng_latn_0_v1,False,2,0.08096504211425781,0,True,1,0.0,1,True,1,0.0,1,0,0.0
nonparallel,group0123_ex000024_eng_latn_0_v1,True,1,0.0,1,False,2,0.30842531644381044,0,True,1,0.0,1,-1,-0.30842531644381044
nonparallel,group0123_ex000025_eng_latn_0_v1,False,2,1.119008382161458,0,False,2,1.3424929994525332,0,False,2,1.2409806685014209,0,0,-0.10151233095111234
nonparallel,group0123_ex000026_eng_latn_0_v1,False,2,0.27283516985625633,1,False,2,0.2211398173697856,1,False,2,0.390899130478207,1,0,0.1697593131084214
