arm,checkpoint,seed,role,probe_family,probe_id,effect_no_all_relevant_updates,effect_no_initial_qbox,effect_no_last_relevant_update,entity_type,irrelevant_ops,item_index,margin_full,margin_no_all_relevant_updates,margin_no_initial_qbox,margin_no_last_relevant_update,prefix_words_full,query_box,relevant_updates,reported_numops,stale_idx,total_ops,uid
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:0:regular_2_ops:7,1.4327046871185303,-0.3550671339035034,-0.6166723966598511,regular,1,7,6.351923823356628,7.784628510475159,5.996856689453125,5.735251426696777,89,0,2,2,1,3,regular_2_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1000:move_contents_3_ops:54,-1.6870965957641602,-2.61751651763916,-1.2554750442504883,move_contents,5,54,0.505244255065918,-1.1818523406982422,-2.112272262573242,-0.7502307891845703,136,5,3,3,1,8,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1001:move_contents_3_ops:56,-12.781903505325317,-3.631848096847534,1.902518391609192,move_contents,5,56,13.406087160110474,0.6241836547851562,9.77423906326294,15.308605551719666,111,2,3,3,1,8,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1002:move_contents_3_ops:71,-1.0357794761657715,-0.5788288116455078,0.7920618057250977,move_contents,5,71,1.6264610290527344,0.5906815528869629,1.0476322174072266,2.418522834777832,134,5,3,3,1,8,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1003:move_contents_3_ops:78,0.6906757354736328,-0.11094188690185547,0.43729114532470703,move_contents,5,78,0.2581157684326172,0.94879150390625,0.14717388153076172,0.6954069137573242,119,2,3,3,1,8,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1004:move_contents_3_ops:91,-0.09848165512084961,-4.053008079528809,1.5895028114318848,move_contents,5,91,2.1718392372131348,2.073357582092285,-1.8811688423156738,3.7613420486450195,124,2,3,3,1,8,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1005:move_contents_3_ops:97,-1.0373891592025757,3.1204692125320435,0.7947007417678833,move_contents,7,97,7.359315514564514,6.3219263553619385,10.479784727096558,8.154016256332397,149,4,2,3,1,9,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1006:move_contents_3_ops:108,-0.9453229904174805,0.11123180389404297,-1.2465291023254395,move_contents,6,108,2.2695860862731934,1.324263095855713,2.3808178901672363,1.023056983947754,143,0,3,3,1,9,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1007:move_contents_3_ops:109,-3.230177402496338,0.08483076095581055,-3.0008959770202637,move_contents,7,109,-3.12666654586792,-6.356843948364258,-3.0418357849121094,-6.127562522888184,119,4,2,3,1,9,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1008:move_contents_3_ops:111,-0.922337532043457,-0.10585260391235352,0.11340141296386719,move_contents,7,111,-2.2609405517578125,-3.1832780838012695,-2.366793155670166,-2.1475391387939453,130,0,2,3,1,9,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1009:move_contents_3_ops:112,-0.23473834991455078,-1.6111326217651367,-1.4478607177734375,move_contents,6,112,-2.6491947174072266,-2.8839330673217773,-4.260327339172363,-4.097055435180664,128,2,3,3,1,9,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:100:regular_2_ops:234,-0.43790769577026367,-0.011368751525878906,-0.4412422180175781,regular,9,234,-0.9019937515258789,-1.3399014472961426,-0.9133625030517578,-1.343235969543457,127,1,2,2,1,11,regular_2_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1010:move_contents_3_ops:122,-0.4616422653198242,0.8378806114196777,0.5793170928955078,move_contents,6,122,0.13379383087158203,-0.3278484344482422,0.9716744422912598,0.7131109237670898,149,5,3,3,1,9,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1011:move_contents_3_ops:123,-1.440321445465088,1.0153393745422363,-0.4100508689880371,move_contents,7,123,-2.2086949348449707,-3.6490163803100586,-1.1933555603027344,-2.618745803833008,127,4,2,3,1,9,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1012:move_contents_3_ops:127,-2.3374476432800293,-1.1234688758850098,-0.45340871810913086,move_contents,6,127,2.36497163772583,0.02752399444580078,1.2415027618408203,1.9115629196166992,140,1,3,3,1,9,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1013:move_contents_3_ops:134,-1.8006930351257324,-1.416555404663086,-0.05020618438720703,move_contents,6,134,2.078110694885254,0.2774176597595215,0.661555290222168,2.027904510498047,145,5,3,3,1,9,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1014:move_contents_3_ops:140,-7.614889621734619,0.6141395568847656,-7.736098289489746,move_contents,7,140,0.6170196533203125,-6.997869968414307,1.2311592102050781,-7.119078636169434,122,3,2,3,1,9,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1015:move_contents_3_ops:151,-15.176035761833191,0.06262922286987305,-12.636417269706726,move_contents,7,151,9.038926005363464,-6.137109756469727,9.101555228233337,-3.5974912643432617,137,2,3,3,1,10,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1016:move_contents_3_ops:153,-2.592543601989746,-0.775996208190918,1.0608582496643066,move_contents,7,153,4.367459297180176,1.7749156951904297,3.591463088989258,5.428317546844482,136,3,3,3,1,10,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1017:move_contents_3_ops:155,-0.6880249977111816,-0.5881309509277344,-0.023723125457763672,move_contents,7,155,2.2380762100219727,1.550051212310791,1.6499452590942383,2.214353084564209,133,2,3,3,1,10,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1018:move_contents_3_ops:157,2.1293869018554688,-4.005643844604492,-0.2714672088623047,move_contents,7,157,-2.041510581970215,0.0878763198852539,-6.047154426574707,-2.3129777908325195,152,2,3,3,1,10,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1019:move_contents_3_ops:158,-0.9934024810791016,0.9358892440795898,-0.15931344032287598,move_contents,8,158,11.402897596359253,10.409495115280151,12.338786840438843,11.243584156036377,158,4,2,3,1,10,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:101:regular_2_ops:237,-0.15366554260253906,0.057709693908691406,8.58306884765625e-06,regular,9,237,-0.28067684173583984,-0.4343423843383789,-0.22296714782714844,-0.2806682586669922,130,6,2,2,1,11,regular_2_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1020:move_contents_3_ops:161,-2.586760997772217,-0.07413721084594727,-2.8906102180480957,move_contents,8,161,-2.7966113090515137,-5.3833723068237305,-2.870748519897461,-5.687221527099609,125,4,2,3,1,10,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1021:move_contents_3_ops:169,-2.945535182952881,0.8387284278869629,-4.193629741668701,move_contents,8,169,5.884308338165283,2.9387731552124023,6.723036766052246,1.690678596496582,137,2,2,3,1,10,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1022:move_contents_3_ops:175,-1.250108242034912,0.6195459365844727,-0.860692024230957,move_contents,7,175,-2.9480514526367188,-4.198159694671631,-2.328505516052246,-3.808743476867676,139,2,3,3,1,10,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1023:move_contents_3_ops:181,-4.700164318084717,0.7541556358337402,-4.31870698928833,move_contents,8,181,-1.9937500953674316,-6.693914413452148,-1.2395944595336914,-6.312457084655762,131,3,2,3,1,10,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1024:move_contents_3_ops:185,-2.7766640186309814,-0.11464011669158936,-0.24150264263153076,move_contents,7,185,3.6223007440567017,0.8456367254257202,3.5076606273651123,3.380798101425171,142,4,3,3,1,10,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1025:move_contents_3_ops:191,-2.345766067504883,0.33855438232421875,2.9058709144592285,move_contents,8,191,0.00676727294921875,-2.338998794555664,0.3453216552734375,2.9126381874084473,125,0,2,3,1,10,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1026:move_contents_3_ops:192,-12.482644319534302,-1.5221381187438965,-9.326287984848022,move_contents,7,192,7.1815345287323,-5.301109790802002,5.659396409988403,-2.1447534561157227,146,6,3,3,1,10,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1027:move_contents_3_ops:193,0.7564458847045898,-3.720417022705078,0.8641433715820312,move_contents,7,193,-1.0397615432739258,-0.28331565856933594,-4.760178565979004,-0.17561817169189453,137,2,3,3,1,10,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1028:move_contents_3_ops:197,-0.7603216171264648,-0.08652305603027344,-0.44945621490478516,move_contents,8,197,-1.7448854446411133,-2.505207061767578,-1.8314085006713867,-2.1943416595458984,136,0,2,3,1,10,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1029:move_contents_3_ops:205,-4.681866645812988,0.7975211143493652,-4.402047634124756,move_contents,7,205,8.187921524047852,3.5060548782348633,8.985442638397217,3.7858738899230957,149,6,3,3,1,10,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:102:regular_2_ops:238,-0.2189769744873047,0.07859039306640625,-0.15009403228759766,regular,9,238,-0.3345060348510742,-0.5534830093383789,-0.25591564178466797,-0.4846000671386719,121,1,2,2,1,11,regular_2_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1030:move_contents_3_ops:207,-0.008974075317382812,-1.2709980010986328,-0.39736270904541016,move_contents,7,207,3.2282657623291016,3.2192916870117188,1.9572677612304688,2.8309030532836914,136,2,3,3,1,10,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1031:move_contents_3_ops:212,-16.357882857322693,0.37573933601379395,-13.553419470787048,move_contents,7,212,15.110892653465271,-1.2469902038574219,15.486631989479065,1.5574731826782227,137,2,3,3,1,10,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1032:move_contents_3_ops:213,-0.3942890167236328,-5.751806259155273,-1.3189325332641602,move_contents,7,213,5.921147346496582,5.526858329772949,0.1693410873413086,4.602214813232422,142,5,3,3,1,10,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1033:move_contents_3_ops:217,-2.347062110900879,-1.403778076171875,-1.1733756065368652,move_contents,7,217,3.6849679946899414,1.3379058837890625,2.2811899185180664,2.511592388153076,149,1,3,3,1,10,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1034:move_contents_3_ops:225,-2.373373031616211,-0.2498311996459961,0.5995101928710938,move_contents,8,225,2.5355005264282227,0.16212749481201172,2.2856693267822266,3.1350107192993164,148,3,3,3,1,11,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1035:move_contents_3_ops:232,-0.9621400833129883,-0.4741220474243164,-1.687941551208496,move_contents,8,232,-1.513321876525879,-2.475461959838867,-1.9874439239501953,-3.201263427734375,143,2,3,3,1,11,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1036:move_contents_3_ops:249,-0.6652050018310547,-0.006525993347167969,-0.5499334335327148,move_contents,9,249,-1.230621337890625,-1.8958263397216797,-1.237147331237793,-1.7805547714233398,145,0,2,3,1,11,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1037:move_contents_3_ops:251,-4.734391689300537,-0.6507682800292969,-3.935482978820801,move_contents,8,251,3.7202768325805664,-1.0141148567199707,3.0695085525512695,-0.21520614624023438,140,5,3,3,1,11,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1038:move_contents_3_ops:257,-0.2889566421508789,1.614675521850586,0.8296575546264648,move_contents,9,257,-2.532062530517578,-2.821019172668457,-0.9173870086669922,-1.7024049758911133,145,4,2,3,1,11,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1039:move_contents_3_ops:258,0.4274454116821289,-1.079878807067871,-0.14511966705322266,move_contents,8,258,0.6525745391845703,1.0800199508666992,-0.4273042678833008,0.5074548721313477,118,4,3,3,1,11,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:103:regular_2_ops:239,-1.4339485168457031,-0.08751773834228516,-0.27512264251708984,regular,9,239,0.7642631530761719,-0.6696853637695312,0.6767454147338867,0.48914051055908203,144,4,2,2,1,11,regular_2_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1040:move_contents_3_ops:260,0.3142824172973633,-2.2644853591918945,0.1293964385986328,move_contents,8,260,-4.559199333190918,-4.244916915893555,-6.8236846923828125,-4.429802894592285,136,1,3,3,1,11,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1041:move_contents_3_ops:265,-0.7005858421325684,0.2765507698059082,-0.41519641876220703,move_contents,9,265,3.273303508758545,2.5727176666259766,3.549854278564453,2.858107089996338,137,4,2,3,1,11,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1042:move_contents_3_ops:271,-15.951075077056885,-0.014414072036743164,-16.180514335632324,move_contents,9,271,19.360219478607178,3.409144401550293,19.345805406570435,3.1797051429748535,149,2,2,3,1,11,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1043:move_contents_3_ops:274,-1.1340456008911133,-0.038776397705078125,0.016755104064941406,move_contents,8,274,-1.533055305480957,-2.6671009063720703,-1.5718317031860352,-1.5163002014160156,148,6,3,3,1,11,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1044:move_contents_3_ops:277,-1.4615249633789062,0.08243656158447266,2.16790771484375,move_contents,9,277,-1.14788818359375,-2.6094131469726562,-1.0654516220092773,1.02001953125,131,0,2,3,1,11,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1045:move_contents_3_ops:284,1.1873397827148438,-5.200624465942383,1.0931434631347656,move_contents,8,284,-1.2811546325683594,-0.09381484985351562,-6.481779098510742,-0.18801116943359375,143,2,3,3,1,11,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1046:move_contents_3_ops:290,-6.885453701019287,-1.0527658462524414,-3.7914047241210938,move_contents,8,290,3.9920082092285156,-2.8934454917907715,2.939242362976074,0.20060348510742188,155,3,3,3,1,11,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1047:move_contents_3_ops:294,-12.936242580413818,-0.6314260959625244,-9.05161428451538,move_contents,8,294,7.55849027633667,-5.377752304077148,6.9270641803741455,-1.493124008178711,152,6,3,3,1,11,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1048:move_contents_3_ops:296,-1.3379125595092773,1.0232875347137451,-0.27251362800598145,move_contents,9,296,12.06748080253601,10.729568243026733,13.090768337249756,11.79496717453003,164,4,2,3,1,11,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1049:move_contents_3_ops:300,-0.30793142318725586,-1.8183159828186035,-0.4204750061035156,move_contents,9,300,0.5512509346008301,0.24331951141357422,-1.2670650482177734,0.13077592849731445,152,5,3,3,1,12,move_contents_3_ops
D_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:104:regular_2_ops:243,1.85927152633667,1.2797813415527344,1.8676552772521973,regular,9,243,-4.281342506408691,-2.4220709800720215,-3.001561164855957,-2.413687229156494,126,3,2,2,1,11,regular_2_ops
