endpoint,split,correct,total,accuracy,delta_correct_vs_coherent86
clean_pres_seed62064,nonparallel,50,100,50.0,2
clean_pres_seed62064,parallel,31,103,30.097087378640776,1
clean_pres_seed62065,nonparallel,50,100,50.0,2
clean_pres_seed62065,parallel,31,103,30.097087378640776,1
coherent86,nonparallel,48,100,48.0,0
coherent86,parallel,30,103,29.126213592233007,0
dense_seed62064,nonparallel,50,100,50.0,2
dense_seed62064,parallel,31,103,30.097087378640776,1
dense_seed62065,nonparallel,50,100,50.0,2
dense_seed62065,parallel,31,103,30.097087378640776,1
