endpoint,split,example_id,row_index,label,gold_key,gold,prediction,correct,prompt,solution0,solution1,prediction_path
coherent86,parallel,parallel_ex000000_eng_latn,0,3,solution3,The amount of air in the bag stays the same, The amount of air in the bag increases,False,"A plastic bag is filled with air and then sealed. When an object is placed on the bag, what happens?",The amount of air in the bag decreases,The amount of air in the bag increases,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000001_eng_latn,1,2,solution2,The water splashes off the cup, The water goes into the cup,False,"A cup is placed with the opening on the table. When I pour water over the cup, what happens to the water?",The water does not touch the cup,The water goes into the cup,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000002_eng_latn,2,0,solution0,The ball bounces off the window, The ball sticks to the window,False,A child throws a paper ball at a glass window. What happens to the ball?,The ball bounces off the window,The ball sticks to the window,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000003_eng_latn,3,3,solution3,The ball breaks the window, The ball sticks to the window,False,A child throws a metal ball at a glass window. What happens to the ball?,The ball breaks into pieces,The ball sticks to the window,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000004_eng_latn,4,0,solution0,You see the light from the lightbulb through the glass, You see the light from the lightbulb through the glass,True,"There is a lightbulb in front of you. Between you and the lightbulb, there is a sheet of glass. When you turn the lightbulb on, what happens?",You see the light from the lightbulb through the glass,The lightbulb does not emit any light,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000005_eng_latn,5,1,solution1,The center of the fabric gets closer to the ground, The center of the fabric gets closer to the ground,True,"You hold a square of cotton fabric in your hands so that it is taut and parallel with the ground. When you move your hands closer to each other, what happens to the fabric?",The edges of the fabric get further from the ground,The center of the fabric gets closer to the ground,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000008_eng_latn,6,0,solution0,September, January,False,"If a building undergoes maintenance every eight months and the last maintenance was in January, which month will the next maintenance be?",September,October,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000009_eng_latn,7,2,solution2,Saturday, Wednesday,False,Today is Wednesday. You want to meet your friend in three days. Which day do you want to meet your friend?,Sunday,Friday,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000010_eng_latn,8,3,solution3,1936, 1940,False,"A species of cicada emerges every 22 years. If they last emerged in 1914, when will they next emerge?",1940,1934,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000011_eng_latn,9,2,solution2,1983, 1984,False,The year is 2026. George is 43 years old. What year is George most likely born?,1985,1984,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
