mode,pass,start_word,end_word,total_words_approx,source_words__childes,source_words__qwen_pair_packed,source_words__simple_wiki,source_words__open_subtitles,source_words__bnc_spoken,source_words__gutenberg,source_words__cleanqwen_fineweb_compact_view_reinvest,source_words__switchboard,source_words__neutral_cleanqwen_topup_compact_reinvest::open_subtitles
current,1,0,10000000,10000000,2574880,1656800,1059040,1829440,575840,1859360,423511,21120,9
current,2,10000000,20000000,10000000,2574880,1656800,1059040,1829440,575840,1859360,423511,21120,9
current,3,20000000,30000000,10000000,2574880,1656800,1059040,1829440,575840,1859360,423511,21120,9
current,4,30000000,40000000,10000000,2574880,1656800,1059040,1829440,575840,1859360,423511,21120,9
current,5,40000000,50000000,10000000,2574880,1656800,1059040,1829440,575840,1859360,423511,21120,9
current,6,50000000,60000000,10000000,2574880,1656800,1059040,1829440,575840,1859360,423511,21120,9
current,7,60000000,70000000,10000000,2574880,1656800,1059040,1829440,575840,1859360,423511,21120,9
current,8,70000000,80000000,10000000,2574880,1656800,1059040,1829440,575840,1859360,423511,21120,9
current,9,80000000,90000000,10000000,2574880,1656800,1059040,1829440,575840,1859360,423511,21120,9
current,10,90000000,100000000,10000000,2574880,1656800,1059040,1829440,575840,1859360,423511,21120,9
source_childes_taper_f25_d15,1,0,10000000,10000034,4106400,1315189,840640,1452160,457120,1476000,336196,16320,9
source_childes_taper_f25_d15,2,10000000,20000000,10000074,3624000,1422741,909440,1571040,494560,1596800,363724,17760,9
source_childes_taper_f25_d15,3,20000000,30000000,9999964,3208960,1515394,968640,1673280,526720,1700640,387441,18880,9
source_childes_taper_f25_d15,4,30000000,40000000,9999988,2851680,1595098,1019680,1761280,554400,1790240,407761,19840,9
source_childes_taper_f25_d15,5,40000000,50000000,9999960,2544160,1663701,1063520,1837120,578240,1867200,425361,20640,18
source_childes_taper_f25_d15,6,50000000,60000000,10000116,2279360,1722765,1101280,1902400,598880,1933440,440373,21600,18
source_childes_taper_f25_d15,7,60000000,70000000,9999871,2051520,1773587,1133760,1958400,616480,1990560,453466,22080,18
source_childes_taper_f25_d15,8,70000000,80000000,10000114,1855520,1817450,1161760,2006720,631680,2039680,464584,22720,
source_childes_taper_f25_d15,9,80000000,90000000,9999917,1686720,1855115,1185760,2048320,644800,2081920,474242,23040,
source_childes_taper_f25_d15,10,90000000,100000000,9999962,1540480,1886960,1205920,2083680,655520,2117120,481962,28320,
source_childes_taper_f25_d25,1,0,10000000,10000116,5297440,1049370,670880,1158720,364800,1177600,268337,12960,9
source_childes_taper_f25_d25,2,10000000,20000000,9999912,4268160,1279039,817600,1412320,444640,1435520,326944,15680,9
source_childes_taper_f25_d25,3,20000000,30000000,10000037,3466400,1457969,932000,1609920,506720,1636160,372779,18080,9
source_childes_taper_f25_d25,4,30000000,40000000,10000089,2842080,1597275,1020960,1763680,555200,1792480,408405,20000,9
source_childes_taper_f25_d25,5,40000000,50000000,9999912,2355840,1705796,1090400,1883520,592960,1914240,436018,21120,18
source_childes_taper_f25_d25,6,50000000,60000000,9999955,1977120,1790261,1144320,1976800,622240,2009120,457676,22400,18
source_childes_taper_f25_d25,7,60000000,70000000,10000031,1682240,1856028,1186400,2049440,645120,2083040,474545,23200,18
source_childes_taper_f25_d25,8,70000000,80000000,9999995,1452480,1907318,1219200,2106080,663040,2140480,487557,23840,
source_childes_taper_f25_d25,9,80000000,90000000,9999992,1273600,1947323,1244800,2150080,676800,2185280,497789,24320,
source_childes_taper_f25_d25,10,90000000,100000000,9999961,1133440,1977621,1263840,2183840,686880,2219680,505060,29600,
source_childes_taper_f25_d40,1,0,10000000,10000096,7129280,640653,409600,707360,222720,719040,163754,7680,9
source_childes_taper_f25_d40,2,10000000,20000000,10000017,4991040,1117741,714560,1234240,388480,1254400,285787,13760,9
source_childes_taper_f25_d40,3,20000000,30000000,10000005,3557920,1437615,918880,1587360,499680,1613280,367501,17760,9
source_childes_taper_f25_d40,4,30000000,40000000,10000000,2597120,1651862,1056000,1824000,574240,1853920,422369,20480,9
source_childes_taper_f25_d40,5,40000000,50000000,9999942,1953120,1795578,1147840,1982720,624160,2015200,459066,22240,18
source_childes_taper_f25_d40,6,50000000,60000000,9999967,1521440,1891957,1209440,2089120,657600,2123200,483672,23520,18
source_childes_taper_f25_d40,7,60000000,70000000,10000105,1232160,1956458,1250720,2160320,680000,2195680,500109,24640,18
source_childes_taper_f25_d40,8,70000000,80000000,9999903,1038240,1999767,1278240,2208160,695040,2244320,511176,24960,
source_childes_taper_f25_d40,9,80000000,90000000,10000002,908160,2028820,1296800,2240160,705120,2276800,518702,25440,
source_childes_taper_f25_d40,10,90000000,100000000,9999963,820320,2047549,1308320,2260960,711360,2297760,522974,30720,
source_childes_taper_f25_d60,1,0,10000000,10000090,9378560,138805,88640,153120,48320,155680,35516,1440,9
source_childes_taper_f25_d60,2,10000000,20000000,9999928,5437600,1018166,650880,1124160,353920,1142560,260313,12320,9
source_childes_taper_f25_d60,3,20000000,30000000,10000116,3274720,1500709,959360,1657120,521600,1684160,383718,18720,9
source_childes_taper_f25_d60,4,30000000,40000000,9999975,2087680,1765639,1128640,1949600,613760,1981440,451438,21760,18
source_childes_taper_f25_d60,5,40000000,50000000,9999983,1436160,1910906,1221600,2110080,664160,2144640,488579,23840,18
source_childes_taper_f25_d60,6,50000000,60000000,10000020,1078720,1990795,1272480,2198240,692000,2234080,508887,24800,18
source_childes_taper_f25_d60,7,60000000,70000000,10000032,882400,2034574,1300480,2246560,707200,2283200,520169,25440,9
source_childes_taper_f25_d60,8,70000000,80000000,10000007,774720,2058500,1315840,2273120,715520,2310240,526307,25760,
source_childes_taper_f25_d60,9,80000000,90000000,9999857,715680,2071718,1324320,2287680,720160,2324960,529579,25760,
source_childes_taper_f25_d60,10,90000000,100000000,9999992,682560,2078188,1328160,2294720,721760,2332640,530604,31360,
source_childes_taper_f40_d15,1,0,10000000,10000157,3800000,1383565,884320,1527680,480960,1552640,353703,17280,9
source_childes_taper_f40_d15,2,10000000,20000000,9999850,3414240,1469624,939360,1622720,510880,1649280,375657,18080,9
source_childes_taper_f40_d15,3,20000000,30000000,10000028,3082080,1543660,986720,1704640,536640,1732480,394599,19200,9
source_childes_taper_f40_d15,4,30000000,40000000,10000052,2796320,1607516,1027520,1775040,558720,1804000,410927,20000,9
source_childes_taper_f40_d15,5,40000000,50000000,10000004,2550240,1662412,1062720,1835680,577760,1865600,424934,20640,18
source_childes_taper_f40_d15,6,50000000,60000000,10000029,2338560,1709691,1092800,1887840,594240,1918720,437040,21120,18
source_childes_taper_f40_d15,7,60000000,70000000,9999911,2156320,1750320,1118880,1932640,608320,1964320,447493,21600,18
source_childes_taper_f40_d15,8,70000000,80000000,9999994,1999360,1785355,1141280,1971360,620480,2003520,456399,22240,
source_childes_taper_f40_d15,9,80000000,90000000,10000009,1864320,1815438,1160480,2004640,631040,2037440,464091,22560,
source_childes_taper_f40_d15,10,90000000,100000000,9999966,1747360,1840419,1176320,2032160,639360,2065600,470267,28480,
source_childes_taper_f40_d25,1,0,10000000,10000053,4752960,1170807,748480,1292960,407040,1314080,299317,14400,9
source_childes_taper_f40_d25,2,10000000,20000000,10000036,3929440,1354679,865920,1495840,470880,1520320,346308,16640,9
source_childes_taper_f40_d25,3,20000000,30000000,10000012,3288160,1497708,957440,1653760,520640,1680800,382935,18560,9
source_childes_taper_f40_d25,4,30000000,40000000,9999928,2788640,1609138,1028640,1776800,559360,1805920,411421,20000,9
source_childes_taper_f40_d25,5,40000000,50000000,9999982,2399680,1695985,1084160,1872640,589440,1903360,433579,21120,18
source_childes_taper_f40_d25,6,50000000,60000000,10000040,2096640,1763604,1127360,1947360,612960,1979200,450818,22080,18
source_childes_taper_f40_d25,7,60000000,70000000,10000037,1860800,1816291,1160960,2005440,631360,2038240,464368,22560,18
source_childes_taper_f40_d25,8,70000000,80000000,9999958,1676960,1857190,1187200,2050720,645600,2084320,474768,23200,
source_childes_taper_f40_d25,9,80000000,90000000,10000109,1533920,1889198,1207680,2086080,656640,2120160,482911,23520,
source_childes_taper_f40_d25,10,90000000,100000000,9999845,1421600,1913400,1222560,2112800,664480,2147200,488685,29120,
source_childes_taper_f40_d40,1,0,10000000,10000143,6218400,843876,539520,931840,293440,947040,215778,10240,9
source_childes_taper_f40_d40,2,10000000,20000000,9999986,4507840,1225594,783360,1353280,426080,1375360,313263,15200,9
source_childes_taper_f40_d40,3,20000000,30000000,9999884,3361280,1481456,947040,1635840,514880,1662560,378739,18080,9
source_childes_taper_f40_d40,4,30000000,40000000,10000038,2592800,1652921,1056640,1825120,574560,1855040,422628,20320,9
source_childes_taper_f40_d40,5,40000000,50000000,9999990,2077600,1767886,1130080,1952000,614560,1984000,451926,21920,18
source_childes_taper_f40_d40,6,50000000,60000000,10000023,1732160,1844941,1179360,2037120,641280,2070560,471704,22880,18
source_childes_taper_f40_d40,7,60000000,70000000,10000016,1500640,1896545,1212320,2094240,659200,2128480,484893,23680,18
source_childes_taper_f40_d40,8,70000000,80000000,10000026,1345600,1931222,1234400,2132480,671200,2167360,493764,24000,
source_childes_taper_f40_d40,9,80000000,90000000,9999930,1241600,1954417,1249280,2158080,679360,2193280,499593,24320,
source_childes_taper_f40_d40,10,90000000,100000000,9999964,1170880,1969142,1258400,2174400,683840,2209920,502822,30560,
source_childes_taper_f40_d60,1,0,10000000,10000142,8017920,442335,282720,488480,153760,496480,113158,5280,9
source_childes_taper_f40_d60,2,10000000,20000000,9999958,4865120,1145857,732480,1265280,398240,1285920,292972,14080,9
source_childes_taper_f40_d60,3,20000000,30000000,9999960,3134720,1531969,979200,1691520,532480,1719200,391662,19200,9
source_childes_taper_f40_d60,4,30000000,40000000,10000071,2185120,1743790,1114720,1925600,606080,1957120,445863,21760,18
source_childes_taper_f40_d60,5,40000000,50000000,9999929,1664000,1860078,1189120,2053920,646560,2087520,475513,23200,18
source_childes_taper_f40_d60,6,50000000,60000000,9999976,1377920,1923954,1229920,2124480,668800,2159200,491844,23840,18
source_childes_taper_f40_d60,7,60000000,70000000,9999977,1220960,1958990,1252160,2163200,680960,2198560,500818,24320,9
source_childes_taper_f40_d60,8,70000000,80000000,10000008,1134880,1978154,1264480,2184320,687680,2220000,505694,24800,
source_childes_taper_f40_d60,9,80000000,90000000,10000068,1087520,1988734,1271200,2196000,691200,2231840,508454,25120,
source_childes_taper_f40_d60,10,90000000,100000000,9999911,1060640,1994139,1274400,2201600,692640,2237760,509132,29600,
source_childes_taper_f55_d15,1,0,10000000,10000115,3493760,1451827,928000,1603200,504640,1629280,371159,18240,9
source_childes_taper_f55_d15,2,10000000,20000000,9999982,3204480,1516445,969280,1674400,527040,1701760,387688,18880,9
source_childes_taper_f55_d15,3,20000000,30000000,9999956,2955360,1572005,1004800,1735840,546400,1764160,401862,19520,9
source_childes_taper_f55_d15,4,30000000,40000000,10000023,2740960,1619827,1035520,1788640,563040,1817920,414107,20000,9
source_childes_taper_f55_d15,5,40000000,50000000,10000036,2556480,1660961,1061760,1834080,577280,1864000,424657,20800,18
source_childes_taper_f55_d15,6,50000000,60000000,10000027,2397600,1696480,1084480,1873280,589600,1903840,433769,20960,18
source_childes_taper_f55_d15,7,60000000,70000000,9999913,2260960,1726998,1103840,1906880,600320,1938080,441537,21280,18
source_childes_taper_f55_d15,8,70000000,80000000,10000042,2143200,1753147,1120640,1935840,609440,1967520,448175,22080,
source_childes_taper_f55_d15,9,80000000,90000000,10000033,2042080,1775818,1135200,1960800,617280,1992960,453975,21920,
source_childes_taper_f55_d15,10,90000000,100000000,9999873,1953920,1794492,1146880,1981440,623360,2014080,458181,27520,
source_childes_taper_f55_d25,1,0,10000000,10000050,4208480,1292348,826080,1427040,449280,1450400,330413,16000,9
source_childes_taper_f55_d25,2,10000000,20000000,9999979,3590880,1430198,914240,1579200,497120,1605120,365612,17600,9
source_childes_taper_f55_d25,3,20000000,30000000,10000012,3109760,1537525,982880,1697760,534400,1725440,393038,19200,9
source_childes_taper_f55_d25,4,30000000,40000000,10000106,2735200,1621137,1036320,1790080,563520,1819360,414480,20000,9
source_childes_taper_f55_d25,5,40000000,50000000,9999907,2443520,1686220,1077920,1861920,586080,1892320,431109,20800,18
source_childes_taper_f55_d25,6,50000000,60000000,10000048,2216320,1736937,1110240,1917920,603680,1949280,444053,21600,18
source_childes_taper_f55_d25,7,60000000,70000000,10000002,2039360,1776374,1135520,1961440,617440,1993600,454170,22080,18
