family,role,checkpoint_path,exists,architectures,model_type,auto_map_present,adapter_enabled,adapter_scale,dynamic_modeling_files,safetensor_param_count,adapter_tensor_param_count,tensor_count,scientific_metrics_parameter_count,requires_trusted_remote_code_for_deployed_object,lineage_reading,adapter_bottleneck,adapter_key_examples,auto_map,config_exists,has_dynamic_modeling_file,scientific_metrics_loss_last,scientific_metrics_word_exposure,weight_file,weight_file_exists
REPRESENTATION_FRONTIER_STUDIES_CLEAN_REPEAT_VIEW_stock_DeBERTa,CLEAN,experiments/archive/frontier_consolidation/training/runs/full_p2c_c2p_abs_clean_dose2p64x_matched_rowholdout_deberta100M_seed43022/hf_model/chck_100M,True,DebertaV2ForMaskedLM,deberta-v2,False,,,,34467424,0,170,34467424,False,stock relation-family model; plain AutoModel loader should be the deployed object,,,{},True,False,2.446653127670288,100000000,experiments/archive/frontier_consolidation/training/runs/full_p2c_c2p_abs_clean_dose2p64x_matched_rowholdout_deberta100M_seed43022/hf_model/chck_100M/model.safetensors,True
REPRESENTATION_FRONTIER_STUDIES_CLEAN_REPEAT_VIEW_stock_DeBERTa,REPEAT,experiments/archive/frontier_consolidation/training/runs/full_p2c_c2p_abs_repeat_dose2p64x_matched_rowholdout_deberta100M_seed43022/hf_model/chck_100M,True,DebertaV2ForMaskedLM,deberta-v2,False,,,,34467424,0,170,34467424,False,stock relation-family model; plain AutoModel loader should be the deployed object,,,{},True,False,2.337937355041504,100000000,experiments/archive/frontier_consolidation/training/runs/full_p2c_c2p_abs_repeat_dose2p64x_matched_rowholdout_deberta100M_seed43022/hf_model/chck_100M/model.safetensors,True
REPRESENTATION_FRONTIER_STUDIES_CLEAN_REPEAT_VIEW_stock_DeBERTa,VIEW,experiments/archive/frontier_consolidation/training/runs/full_p2c_c2p_abs_view_dose2p64x_matched_rowholdout_deberta100M_seed43022/hf_model/chck_100M,True,DebertaV2ForMaskedLM,deberta-v2,False,,,,34467424,0,170,34467424,False,stock relation-family model; plain AutoModel loader should be the deployed object,,,{},True,False,2.4930362701416016,100000000,experiments/archive/frontier_consolidation/training/runs/full_p2c_c2p_abs_view_dose2p64x_matched_rowholdout_deberta100M_seed43022/hf_model/chck_100M/model.safetensors,True
split_same_multiset_stock_DeBERTa,REPEAT_SPLIT,experiments/archive/relation_learning/training/runs/full_p2c_c2p_abs_repeat_split_dose2p64x_rowholdout_deberta100M_seed43022/hf_model/chck_100M,True,DebertaV2ForMaskedLM,deberta-v2,False,,,,34467424,0,170,34467424,False,stock split-locality model; plain AutoModel loader should be the deployed object,,,{},True,False,2.9183952808380127,100000000,experiments/archive/relation_learning/training/runs/full_p2c_c2p_abs_repeat_split_dose2p64x_rowholdout_deberta100M_seed43022/hf_model/chck_100M/model.safetensors,True
split_same_multiset_stock_DeBERTa,VIEW_SPLIT,experiments/archive/relation_learning/training/runs/full_p2c_c2p_abs_view_split_dose2p64x_rowholdout_deberta100M_seed43022/hf_model/chck_100M,True,DebertaV2ForMaskedLM,deberta-v2,False,,,,34467424,0,170,34467424,False,stock split-locality model; plain AutoModel loader should be the deployed object,,,{},True,False,2.9345955848693848,100000000,experiments/archive/relation_learning/training/runs/full_p2c_c2p_abs_view_split_dose2p64x_rowholdout_deberta100M_seed43022/hf_model/chck_100M/model.safetensors,True
hash_and_half_view_stock_DeBERTa,HASH_MIX,experiments/archive/relation_learning/training/runs/full_p2c_c2p_abs_hash_mixed_dose2p64x_matched_rowholdout_deberta100M_seed43022/hf_model/chck_100M,True,DebertaV2ForMaskedLM,deberta-v2,False,,,,34467424,0,170,34467424,False,stock control-family model; plain AutoModel loader should be the deployed object,,,{},True,False,2.4560482501983643,100000000,experiments/archive/relation_learning/training/runs/full_p2c_c2p_abs_hash_mixed_dose2p64x_matched_rowholdout_deberta100M_seed43022/hf_model/chck_100M/model.safetensors,True
hash_and_half_view_stock_DeBERTa,HALF_VIEW,experiments/archive/relation_learning/training/runs/full_p2c_c2p_abs_half_view_noexact_dose2p64x_matched_rowholdout_deberta100M_seed43022/hf_model/chck_100M,True,DebertaV2ForMaskedLM,deberta-v2,False,,,,34467424,0,170,34467424,False,stock control-family model; plain AutoModel loader should be the deployed object,,,{},True,False,2.7374510765075684,100000000,experiments/archive/relation_learning/training/runs/full_p2c_c2p_abs_half_view_noexact_dose2p64x_matched_rowholdout_deberta100M_seed43022/hf_model/chck_100M/model.safetensors,True
RoBERTa_boundary_stock,VIEW,experiments/archive/frontier_consolidation/training/runs/roberta_view_dose2p64x_matched_rowholdout_100M_seed43022/hf_model/chck_100M,True,RobertaForMaskedLM,roberta,False,,,,30528064,0,138,30528064,False,stock RoBERTa boundary model; plain AutoModel loader should be the deployed object,,,{},True,False,4.483391284942627,100000000,experiments/archive/frontier_consolidation/training/runs/roberta_view_dose2p64x_matched_rowholdout_100M_seed43022/hf_model/chck_100M/model.safetensors,True
causal_GPT_boundary_stock,CLEAN,experiments/archive/relation_learning/training/runs/causal_gpt_c_dose2p64x_seed43022/hf_model/chck_100M,True,GPT2LMHeadModel,gpt2,False,,,,30156480,0,100,,False,stock causal-LM boundary model; plain AutoModel loader should be the deployed object for causal scoring,,,{},True,False,,,experiments/archive/relation_learning/training/runs/causal_gpt_c_dose2p64x_seed43022/hf_model/chck_100M/model.safetensors,True
COMPACT_EXPERIENCE_five_arm_stock_DeBERTa,OFF,experiments/archive/compact_experience/training/runs/official_lengthmatched_16k_seed43022/hf_model/chck_100M,True,DebertaV2ForMaskedLM,deberta-v2,False,,,,34467424,0,170,34467424,False,stock COMPACT_EXPERIENCE relation-design model; plain AutoModel loader should be the deployed object,,,{},True,False,2.4715240001678467,100000000,experiments/archive/compact_experience/training/runs/official_lengthmatched_16k_seed43022/hf_model/chck_100M/model.safetensors,True
