pair_id,match_level,pair_cost,category,opposition_axis,pivot_norm_a,pivot_norm_b,target_norm_a,target_norm_b,target_class,target_token_len,target_freq_bin_a,target_freq_bin_b,distance_bin_a,distance_bin_b,target_side_a,target_side_b,slot_content_jaccard,slot_surface_jaccard,shared_content_count,row_a,row_b
p0000000,2,12.618545454545455,physical_change,build_destroy,broke,built,roar,variety,content,1,51-100,101-250,3-4,2,after,after,0.0,0.09090909090909091,0,901,16910
p0000001,2,8.628260869565217,causal_connector,cause_concession,though,because,necessary,able,adjectival,1,501-1000,1001+,3-4,3-4,after,after,0.0,0.08695652173913043,0,3146,16327
p0000002,2,12.72857142857143,causal_connector,cause_concession,though,because,thread,movements,content,1,51-100,101-250,2,3-4,after,after,0.0,0.09523809523809523,0,9494,19022
p0000003,2,5.52,causal_connector,cause_concession,because,though,tore,sees,content,1,51-100,101-250,2,2,after,after,0.08333333333333333,0.2,1,6958,20216
p0000004,2,12.606545454545456,causal_connector,cause_concession,though,because,souls,lack,content,1,101-250,251-500,2,3-4,after,after,0.0,0.09090909090909091,0,2169,3343
p0000005,0,-1.6,causal_connector,cause_concession,because,though,honour,benefit,content,1,101-250,101-250,3-4,3-4,after,after,0.0,0.125,0,8209,2162
p0000006,2,8.76,causal_connector,cause_concession,because,though,goods,vessel,content,1,101-250,251-500,2,2,after,after,0.0,0.04,0,4808,1751
p0000007,2,9.645727272727271,causal_connector,cause_concession,although,because,exact,blind,content,1,101-250,251-500,2,3-4,after,after,0.09090909090909091,0.18181818181818182,1,9223,3033
p0000008,2,8.255,causal_connector,cause_concession,because,though,belongs,ought,content,1,251-500,501-1000,2,2,after,after,0.0,0.125,0,11980,13440
p0000009,2,12.640260869565218,causal_connector,cause_concession,because,though,joke,knowledge,content,1,251-500,501-1000,3-4,2,after,after,0.0,0.08695652173913043,0,4522,13321
p0000010,2,8.525,causal_connector,cause_concession,because,although,value,enjoy,content,1,251-500,501-1000,2,2,after,after,0.0,0.08,0,1763,15796
p0000011,2,5.244,causal_connector,cause_concession,though,because,tiny,single,content,1,501-1000,1001+,3-4,3-4,after,after,0.1111111111111111,0.16666666666666666,1,1242,9201
p0000012,2,12.517391304347827,causal_connector,cause_concession,because,though,amount,point,content,1,501-1000,1001+,3-4,5-8,after,after,0.0,0.13043478260869565,0,6507,15258
p0000013,2,6.46,causal_connector,cause_concession,because,though,students,others,content,1,501-1000,1001+,2,2,after,after,0.08333333333333333,0.04,1,15436,16649
p0000014,2,8.454545454545455,causal_connector,cause_concession,though,because,roll,pick,content,1,501-1000,1001+,2,2,after,after,0.0,0.09090909090909091,0,6479,9271
p0000015,2,7.807142857142859,causal_connector,cause_concession,because,though,husband,few,content,1,501-1000,1001+,2,3-4,after,after,0.2,0.19047619047619047,2,18213,19019
p0000016,2,5.43,causal_connector,cause_concession,though,thus,neither,far,content,1,501-1000,1001+,1,1,after,after,0.125,0.12,2,11178,15401
p0000017,2,8.454545454545455,causal_connector,cause_concession,because,though,starts,means,content,1,501-1000,1001+,2,2,after,after,0.0,0.09090909090909091,0,10360,1248
p0000018,2,8.503260869565217,causal_connector,cause_concession,because,although,couple,lot,content,1,501-1000,1001+,2,2,after,after,0.0,0.08695652173913043,0,13238,1112
p0000019,2,8.8,causal_connector,cause_concession,although,because,support,power,content,1,501-1000,1001+,2,3-4,after,after,0.16666666666666666,0.125,2,6007,16242
p0000020,1,2.7285714285714286,causal_connector,cause_concession,because,though,thought,guess,content,1,1001+,1001+,2,3-4,after,after,0.0,0.09523809523809523,0,2642,16567
p0000021,1,-2.2,causal_connector,cause_concession,though,because,yet,afraid,content,1,1001+,1001+,5-8,3-4,after,after,0.2222222222222222,0.15,2,11455,19826
p0000022,0,-5.098999999999999,causal_connector,cause_concession,though,because,little,love,content,1,1001+,1001+,3-4,3-4,after,after,0.16666666666666666,0.08333333333333333,2,6770,1000
p0000023,0,-1.743,causal_connector,cause_concession,although,because,hope,love,content,1,1001+,1001+,2,2,after,after,0.0,0.125,0,13650,10203
p0000024,0,-1.75,causal_connector,cause_concession,although,because,due,best,content,1,1001+,1001+,5-8,5-8,after,after,0.0,0.125,0,14804,10367
p0000025,0,-1.24,causal_connector,cause_concession,because,though,knows,knew,content,1,1001+,1001+,2,2,after,after,0.0,0.04,0,10559,19892
p0000026,0,-8.155882352941177,causal_connector,cause_concession,because,though,company,problem,content,1,1001+,1001+,3-4,3-4,after,after,0.3333333333333333,0.11764705882352941,2,13183,5844
p0000027,0,-4.95,causal_connector,cause_concession,because,though,saw,heard,content,1,1001+,1001+,3-4,3-4,after,after,0.16666666666666666,0.08333333333333333,2,8083,10388
p0000028,0,-1.72,causal_connector,cause_concession,because,though,love,knew,content,1,1001+,1001+,2,2,after,after,0.0,0.12,0,18307,10388
p0000029,0,-1.5454545454545454,causal_connector,cause_concession,thus,although,member,lot,content,1,1001+,1001+,3-4,3-4,after,after,0.0,0.09090909090909091,0,3534,18400
p0000030,1,-1.0527272727272732,causal_connector,cause_concession,because,though,stay,hurt,content,1,1001+,1001+,5-8,3-4,after,after,0.18181818181818182,0.08,2,11117,15715
p0000031,0,-1.462,causal_connector,cause_concession,because,though,rest,hour,content,1,1001+,1001+,2,2,after,after,0.0,0.08333333333333333,0,17074,8816
p0000032,2,12.65,causal_connector,cause_concession,because,though,alternatives,fees,content,2,26-50,51-100,3-4,2,after,after,0.0,0.08333333333333333,0,8660,15172
p0000033,2,8.67,causal_connector,cause_concession,though,because,truth,past,content,2,501-1000,1001+,3-4,3-4,after,after,0.0,0.08,0,7844,356
p0000034,2,8.478260869565217,causal_connector,cause_concession,because,although,consequence,majority,nominal,1,101-250,251-500,2,2,after,after,0.0,0.08695652173913043,0,20220,18336
p0000035,2,8.628260869565217,causal_connector,cause_concession,because,though,similarity,consolation,nominal,2,11-25,26-50,3-4,3-4,after,after,0.0,0.08695652173913043,0,4843,4221
p0000036,2,12.65,causal_connector,cause_concession,because,though,innocence,abundance,nominal,2,26-50,51-100,2,3-4,after,after,0.0,0.08333333333333333,0,7777,10031
p0000037,2,8.4,causal_connector,cause_concession,because,though,deemed,packed,verbish,1,51-100,101-250,3-4,3-4,after,after,0.0,0.125,0,7922,12784
p0000038,2,8.212818181818182,causal_connector,cause_concession,though,because,forbidden,reported,verbish,1,101-250,251-500,3-4,3-4,after,after,0.0,0.13636363636363635,0,9716,14121
p0000039,0,-4.7558823529411764,causal_connector,cause_concession,though,because,seen,given,verbish,1,1001+,1001+,3-4,3-4,after,after,0.125,0.11764705882352941,1,8043,9515
p0000040,2,8.322117647058825,causal_connector,condition_exception,unless,if,resolve,fail,content,1,51-100,101-250,2,2,after,after,0.0,0.11764705882352941,0,16775,15408
p0000041,2,8.76923076923077,causal_connector,condition_exception,if,unless,activists,conditions,content,1,101-250,251-500,2,2,after,after,0.0,0.038461538461538464,0,16301,4377
p0000042,0,-1.5,causal_connector,condition_exception,if,unless,lose,level,content,1,501-1000,501-1000,2,2,after,after,0.0,0.08333333333333333,0,6373,19742
p0000043,0,-5.32,causal_connector,condition_exception,unless,if,wants,woman,content,1,1001+,1001+,2,2,after,after,0.16666666666666666,0.12,2,4953,19634
p0000044,1,-1.9954545454545451,causal_connector,condition_exception,if,unless,forget,done,content,1,1001+,1001+,2,3-4,after,after,0.2222222222222222,0.09090909090909091,2,17875,18193
