n,ngram,component_kind,pair_id,source,example_id,cohort_or_doc,attribution,original_has_ngram,rewrite_has_ngram,eval_hit_rows_in_detail_csv,eval_top_dirs,original_words,rewrite_words,original_text_prefix,rewrite_text_prefix
10,on the first tuesday after the first monday in november,official_source_qwen_paraphrase_rewrite,rw2s1_027837,simple_wiki,59441,extra_shard1,copied_or_preserved_from_pair_original,True,True,2,"{""glue_filtered"": 2}",18,18,The gubernatorial election is held every four years on the first Tuesday after the first Monday in November.,"Every four years, the gubernatorial election takes place on the first Tuesday after the first Monday in November."
8,seasons in major league baseball mlb for the,official_source_qwen_paraphrase_rewrite,rw2s0_005947,simple_wiki,59146,extra_shard0,copied_or_preserved_from_pair_original,True,True,1,"{""glue_filtered"": 1}",20,20,He played sixteen seasons in Major League Baseball (MLB) for the Chicago Cubs and two seasons for the Oakland Athletics.,He spent two seasons with the Oakland Athletics and sixteen seasons in Major League Baseball (MLB) for the Chicago Cubs.
8,of the federal government of the united states,official_source_qwen_paraphrase_rewrite,rw2s1_002112,simple_wiki,58361,extra_shard1,copied_or_preserved_from_pair_original,True,True,2,"{""glue_filtered"": 2}",19,21,The order tells agencies and officers of the Federal government of the United States things that they must do.,The order instructs agencies and officers of the Federal government of the United States on matters they are required to perform.
8,diagnostic and statistical manual of mental disorders dsm,official_source_qwen_paraphrase_rewrite,rw2s1_026025,simple_wiki,57381,extra_shard1,copied_or_preserved_from_pair_original,True,True,1,"{""glue_filtered"": 1}",18,18,He was a major figure in the development of the Diagnostic and Statistical Manual of Mental Disorders (DSM).,He played a major role in the development of the Diagnostic and Statistical Manual of Mental Disorders (DSM).
8,the diagnostic and statistical manual of mental disorders,official_source_qwen_paraphrase_rewrite,rw2s1_026025,simple_wiki,57381,extra_shard1,copied_or_preserved_from_pair_original,True,True,1,"{""glue_filtered"": 1}",18,18,He was a major figure in the development of the Diagnostic and Statistical Manual of Mental Disorders (DSM).,He played a major role in the development of the Diagnostic and Statistical Manual of Mental Disorders (DSM).
8,first tuesday after the first monday in november,official_source_qwen_paraphrase_rewrite,rw2s1_027837,simple_wiki,59441,extra_shard1,copied_or_preserved_from_pair_original,True,True,2,"{""glue_filtered"": 2}",18,18,The gubernatorial election is held every four years on the first Tuesday after the first Monday in November.,"Every four years, the gubernatorial election takes place on the first Tuesday after the first Monday in November."
8,on the first tuesday after the first monday,official_source_qwen_paraphrase_rewrite,rw2s1_027837,simple_wiki,59441,extra_shard1,copied_or_preserved_from_pair_original,True,True,2,"{""glue_filtered"": 2}",18,18,The gubernatorial election is held every four years on the first Tuesday after the first Monday in November.,"Every four years, the gubernatorial election takes place on the first Tuesday after the first Monday in November."
8,the first tuesday after the first monday in,official_source_qwen_paraphrase_rewrite,rw2s1_027837,simple_wiki,59441,extra_shard1,copied_or_preserved_from_pair_original,True,True,2,"{""glue_filtered"": 2}",18,18,The gubernatorial election is held every four years on the first Tuesday after the first Monday in November.,"Every four years, the gubernatorial election takes place on the first Tuesday after the first Monday in November."
8,into the rock and roll hall of fame,official_source_qwen_paraphrase_rewrite,rw_000958,simple_wiki,56808,base,copied_or_preserved_from_pair_original,True,True,2,"{""glue_filtered"": 2}",17,17,Hunter was added into the Rock and Roll Hall of Fame with the Grateful Dead in 1994.,"In 1994, Hunter was inducted into the Rock and Roll Hall of Fame alongside the Grateful Dead."
8,office of the high commissioner for human rights,official_source_qwen_paraphrase_rewrite,rw_002766,simple_wiki,61482,base,copied_or_preserved_from_pair_original,True,True,2,"{""glue_filtered"": 2}",30,30,"Joia Perry had spoken in the United Nations Office of the High Commissioner for Human Rights, asking the office to make a human rights framework to improve maternal mortality conditions.","Joia Perry addressed the United Nations Office of the High Commissioner for Human Rights, urging the establishment of a human rights framework aimed at improving conditions related to maternal mortality."
8,into the rock and roll hall of fame,official_source_qwen_paraphrase_rewrite,rw_029530,simple_wiki,61165,base,copied_or_preserved_from_pair_original,True,True,2,"{""glue_filtered"": 2}",14,14,Bolan was posthumously honored into the Rock and Roll Hall of Fame in 2020.,"In 2020, Bolan received posthumous induction into the Rock and Roll Hall of Fame."
