n,ngram,component_kind_counts,branch_counts,pair_count,eval_record_count,top_dir_counts
10,corps bowed out of that because that's uh uh something,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,3,"{""glue_filtered"": 3}"
10,peace corps bowed out of that because that's uh uh,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,3,"{""glue_filtered"": 3}"
10,out of that because that's uh uh something that nationalized,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,3,"{""glue_filtered"": 3}"
10,that because that's uh uh something that nationalized very quickly,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,3,"{""glue_filtered"": 3}"
10,bowed out of that because that's uh uh something that,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,3,"{""glue_filtered"": 3}"
10,of that because that's uh uh something that nationalized very,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,3,"{""glue_filtered"": 3}"
10,on the first tuesday after the first monday in november,"{""official_source_for_qwen_paraphrase"": 1, ""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 2}",1,2,"{""glue_filtered"": 4}"
10,was inducted into the rock and roll hall of fame,"{""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 1}",1,1,"{""glue_filtered"": 1}"
10,selected for preservation in the united states national film registry,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,1,"{""glue_filtered"": 1}"
8,into the rock and roll hall of fame,"{""official_source_for_qwen_paraphrase"": 2, ""official_source_qwen_paraphrase_rewrite"": 2}","{""clean_qwen_official"": 4}",2,2,"{""glue_filtered"": 8}"
8,was awarded the nobel prize in literature for,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,15,"{""glue_filtered"": 15}"
8,that because that's uh uh something that nationalized,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,3,"{""glue_filtered"": 3}"
8,bowed out of that because that's uh uh,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,3,"{""glue_filtered"": 3}"
8,peace corps bowed out of that because that's,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,3,"{""glue_filtered"": 3}"
8,because that's uh uh something that nationalized very,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,3,"{""glue_filtered"": 3}"
8,that's uh uh something that nationalized very quickly,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,3,"{""glue_filtered"": 3}"
8,of that because that's uh uh something that,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,3,"{""glue_filtered"": 3}"
8,out of that because that's uh uh something,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,3,"{""glue_filtered"": 3}"
8,corps bowed out of that because that's uh,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,3,"{""glue_filtered"": 3}"
8,of the federal government of the united states,"{""official_source_for_qwen_paraphrase"": 1, ""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 2}",1,2,"{""glue_filtered"": 4}"
8,on the first tuesday after the first monday,"{""official_source_for_qwen_paraphrase"": 1, ""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 2}",1,2,"{""glue_filtered"": 4}"
8,first tuesday after the first monday in november,"{""official_source_for_qwen_paraphrase"": 1, ""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 2}",1,2,"{""glue_filtered"": 4}"
8,the first tuesday after the first monday in,"{""official_source_for_qwen_paraphrase"": 1, ""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 2}",1,2,"{""glue_filtered"": 4}"
8,office of the high commissioner for human rights,"{""official_source_for_qwen_paraphrase"": 1, ""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 2}",1,2,"{""glue_filtered"": 4}"
8,based on the novel of the same name,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,2,"{""glue_filtered"": 2}"
8,president and vice president of the united states,"{""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 1}",1,2,"{""glue_filtered"": 2}"
8,the president and vice president of the united,"{""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 1}",1,2,"{""glue_filtered"": 2}"
8,how can i help a friend who is,"{""fineweb_compact_original_source"": 1}","{""compact_fineweb"": 1}",1,1,"{""glue_filtered"": 1}"
8,seasons in major league baseball mlb for the,"{""official_source_for_qwen_paraphrase"": 1, ""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 2}",1,1,"{""glue_filtered"": 2}"
8,the diagnostic and statistical manual of mental disorders,"{""official_source_for_qwen_paraphrase"": 1, ""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 2}",1,1,"{""glue_filtered"": 2}"
8,diagnostic and statistical manual of mental disorders dsm,"{""official_source_for_qwen_paraphrase"": 1, ""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 2}",1,1,"{""glue_filtered"": 2}"
8,inducted into the rock and roll hall of,"{""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 1}",1,1,"{""glue_filtered"": 1}"
8,was inducted into the rock and roll hall,"{""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 1}",1,1,"{""glue_filtered"": 1}"
8,was based on the novel of the same,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,1,"{""glue_filtered"": 1}"
8,academy award for best supporting actor for the,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,1,"{""glue_filtered"": 1}"
8,was nominated for the academy award for best,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,1,"{""glue_filtered"": 1}"
8,selected for preservation in the united states national,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,1,"{""glue_filtered"": 1}"
8,for preservation in the united states national film,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,1,"{""glue_filtered"": 1}"
8,preservation in the united states national film registry,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,1,"{""glue_filtered"": 1}"
8,doing the same thing over and over again,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,1,"{""glue_filtered"": 1}"
8,the rock and roll hall of fame in,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,1,"{""glue_filtered"": 1}"
8,induction into the rock and roll hall of,"{""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 1}",1,1,"{""glue_filtered"": 1}"
8,thought it would be a good idea to,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,1,"{""glue_filtered"": 1}"
7,once upon a time there was a,"{""official_source_for_qwen_paraphrase"": 2, ""official_source_qwen_paraphrase_rewrite"": 2}","{""clean_qwen_official"": 4}",3,17,"{""glue_filtered"": 68}"
7,to be on the other side of,"{""official_source_for_qwen_paraphrase"": 3}","{""clean_qwen_official"": 3}",3,17,"{""glue_filtered"": 51}"
7,it would be a good idea to,"{""fineweb_compact_original_source"": 1, ""official_source_for_qwen_paraphrase"": 2}","{""clean_qwen_official"": 2, ""compact_fineweb"": 1}",3,2,"{""aoa"": 3, ""glue_filtered"": 3}"
7,the rock and roll hall of fame,"{""official_source_for_qwen_paraphrase"": 2, ""official_source_qwen_paraphrase_rewrite"": 2}","{""clean_qwen_official"": 4}",2,4,"{""glue_filtered"": 16}"
7,into the rock and roll hall of,"{""official_source_for_qwen_paraphrase"": 2, ""official_source_qwen_paraphrase_rewrite"": 2}","{""clean_qwen_official"": 4}",2,2,"{""glue_filtered"": 8}"
7,of the president of the united states,"{""official_source_for_qwen_paraphrase"": 2, ""official_source_qwen_paraphrase_rewrite"": 2}","{""clean_qwen_official"": 4}",2,1,"{""glue_filtered"": 4}"
7,in the united states and canada and,"{""official_source_for_qwen_paraphrase"": 2, ""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 3}",2,1,"{""glue_filtered"": 3}"
7,a member of the house of representatives,"{""official_source_for_qwen_paraphrase"": 1, ""official_source_qwen_paraphrase_rewrite"": 2}","{""clean_qwen_official"": 3}",2,1,"{""glue_filtered"": 3}"
7,academy award for best supporting actor for,"{""official_source_for_qwen_paraphrase"": 2}","{""clean_qwen_official"": 2}",2,1,"{""glue_filtered"": 2}"
7,won the nobel prize for literature in,"{""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 1}",1,23,"{""glue_filtered"": 23}"
7,widely regarded as one of the most,"{""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 1}",1,23,"{""glue_filtered"": 23}"
7,he was awarded the nobel prize in,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,15,"{""glue_filtered"": 15}"
7,was awarded the nobel prize in literature,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,15,"{""glue_filtered"": 15}"
7,awarded the nobel prize in literature for,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,15,"{""glue_filtered"": 15}"
7,life takes a turn for the worse,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,14,"{""glue_filtered"": 14}"
7,the federal government of the united states,"{""official_source_for_qwen_paraphrase"": 1, ""official_source_qwen_paraphrase_rewrite"": 1}","{""clean_qwen_official"": 2}",1,6,"{""glue_filtered"": 12}"
7,of s h i e l d,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,6,"{""glue_filtered"": 6}"
7,how long does it take to get,"{""official_source_for_qwen_paraphrase"": 1}","{""clean_qwen_official"": 1}",1,5,"{""glue_filtered"": 5}"
