n,ngram,component_kind,branch,pair_id,source_label,words,lexical_tokens,eval_top_dir,eval_file,eval_locator,component_text_prefix,eval_text_prefix,meta
10,was inducted into the rock and roll hall of fame,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw_000958,qwen3.5-9b paraphrase of simple_wiki,17,17,glue_filtered,glue_filtered/boolq.valid.jsonl,line:38,"In 1994, Hunter was inducted into the Rock and Roll Hall of Fame alongside the Grateful Dead.","Jefferson Airplane -- The ``classic'' lineup of Jefferson Airplane, from October 1966 to February 1970, was Marty Balin (vocals), Paul Kantner (guitar, vocals), Grace Slick (vocals), Jorma Kaukonen (lead guitar, vocals), Jack Casady (bass), and Spencer Dryden (drums). Marty Balin left the band in 1971. After 1972, Jeff","{""cohort"": ""base"", ""example_id"": 56808, ""source"": ""simple_wiki""}"
10,on the first tuesday after the first monday in november,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw2s1_027837,qwen3.5-9b paraphrase of simple_wiki,18,18,glue_filtered,glue_filtered/qqp.valid.jsonl,line:3072,"Every four years, the gubernatorial election takes place on the first Tuesday after the first Monday in November.",Why are U.S. presidential elections held on the first Tuesday after the first Monday in November?,"{""cohort"": ""extra_shard1"", ""example_id"": 59441, ""source"": ""simple_wiki""}"
10,on the first tuesday after the first monday in november,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw2s1_027837,qwen3.5-9b paraphrase of simple_wiki,18,18,glue_filtered,glue_filtered/qqp.valid.jsonl,line:3072,"Every four years, the gubernatorial election takes place on the first Tuesday after the first Monday in November.",Why does election day fall on the first Tuesday after the first Monday in November?,"{""cohort"": ""extra_shard1"", ""example_id"": 59441, ""source"": ""simple_wiki""}"
8,president and vice president of the united states,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw_037110,qwen3.5-9b paraphrase of open_subtitles,29,29,glue_filtered,glue_filtered/boolq.valid.jsonl,line:919,"Since the President and Vice President of the United States are both incapacitated and unable to perform their official duties, I am hereby initiating Secret Service protection for you.","President's Guest House -- The President's Guest House is one of several residences owned by the United States government for use by the President and Vice President of the United States; other such residences include the White House, Camp David, One Observatory Circle, the Presidential Townhouse, and Trowbridge House.","{""cohort"": ""base"", ""example_id"": 52101, ""source"": ""open_subtitles""}"
8,president and vice president of the united states,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw_037110,qwen3.5-9b paraphrase of open_subtitles,29,29,glue_filtered,glue_filtered/boolq.valid.jsonl,line:1076,"Since the President and Vice President of the United States are both incapacitated and unable to perform their official duties, I am hereby initiating Secret Service protection for you.","District of Columbia voting rights -- In the United States House of Representatives, the District is represented by a delegate, who is not allowed to vote on the House floor but can vote on procedural matters and in congressional committees. D.C. residents have no representation in the United States Senate. The Twenty-","{""cohort"": ""base"", ""example_id"": 52101, ""source"": ""open_subtitles""}"
8,the president and vice president of the united,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw_037110,qwen3.5-9b paraphrase of open_subtitles,29,29,glue_filtered,glue_filtered/boolq.valid.jsonl,line:919,"Since the President and Vice President of the United States are both incapacitated and unable to perform their official duties, I am hereby initiating Secret Service protection for you.","President's Guest House -- The President's Guest House is one of several residences owned by the United States government for use by the President and Vice President of the United States; other such residences include the White House, Camp David, One Observatory Circle, the Presidential Townhouse, and Trowbridge House.","{""cohort"": ""base"", ""example_id"": 52101, ""source"": ""open_subtitles""}"
8,the president and vice president of the united,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw_037110,qwen3.5-9b paraphrase of open_subtitles,29,29,glue_filtered,glue_filtered/boolq.valid.jsonl,line:1076,"Since the President and Vice President of the United States are both incapacitated and unable to perform their official duties, I am hereby initiating Secret Service protection for you.","District of Columbia voting rights -- In the United States House of Representatives, the District is represented by a delegate, who is not allowed to vote on the House floor but can vote on procedural matters and in congressional committees. D.C. residents have no representation in the United States Senate. The Twenty-","{""cohort"": ""base"", ""example_id"": 52101, ""source"": ""open_subtitles""}"
8,into the rock and roll hall of fame,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw_029530,qwen3.5-9b paraphrase of simple_wiki,14,14,glue_filtered,glue_filtered/boolq.valid.jsonl,line:38,"In 2020, Bolan received posthumous induction into the Rock and Roll Hall of Fame.","Jefferson Airplane -- The ``classic'' lineup of Jefferson Airplane, from October 1966 to February 1970, was Marty Balin (vocals), Paul Kantner (guitar, vocals), Grace Slick (vocals), Jorma Kaukonen (lead guitar, vocals), Jack Casady (bass), and Spencer Dryden (drums). Marty Balin left the band in 1971. After 1972, Jeff","{""cohort"": ""base"", ""example_id"": 61165, ""source"": ""simple_wiki""}"
8,into the rock and roll hall of fame,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw_029530,qwen3.5-9b paraphrase of simple_wiki,14,14,glue_filtered,glue_filtered/boolq.valid.jsonl,line:298,"In 2020, Bolan received posthumous induction into the Rock and Roll Hall of Fame.","Los Lobos -- On October 9, 2015, Los Lobos was nominated for induction into the Rock and Roll Hall of Fame for the first time.","{""cohort"": ""base"", ""example_id"": 61165, ""source"": ""simple_wiki""}"
8,induction into the rock and roll hall of,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw_029530,qwen3.5-9b paraphrase of simple_wiki,14,14,glue_filtered,glue_filtered/boolq.valid.jsonl,line:298,"In 2020, Bolan received posthumous induction into the Rock and Roll Hall of Fame.","Los Lobos -- On October 9, 2015, Los Lobos was nominated for induction into the Rock and Roll Hall of Fame for the first time.","{""cohort"": ""base"", ""example_id"": 61165, ""source"": ""simple_wiki""}"
8,office of the high commissioner for human rights,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw_002766,qwen3.5-9b paraphrase of simple_wiki,30,30,glue_filtered,glue_filtered/boolq.valid.jsonl,line:429,"Joia Perry addressed the United Nations Office of the High Commissioner for Human Rights, urging the establishment of a human rights framework aimed at improving conditions related to maternal mortality.","United Nations Human Rights Council -- The UNHRC was established by the UN General Assembly on March 15, 2006 (by resolution A/RES/60/251) to replace the UN Commission on Human Rights (UNCHR, herein CHR) that had been strongly criticised for allowing countries with poor human rights records to be members. UN Secretarie","{""cohort"": ""base"", ""example_id"": 61482, ""source"": ""simple_wiki""}"
8,office of the high commissioner for human rights,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw_002766,qwen3.5-9b paraphrase of simple_wiki,30,30,glue_filtered,glue_filtered/boolq.valid.jsonl,line:1216,"Joia Perry addressed the United Nations Office of the High Commissioner for Human Rights, urging the establishment of a human rights framework aimed at improving conditions related to maternal mortality.","Intersex -- Intersex people are born with any of several variations in sex characteristics including chromosomes, gonads, sex hormones, or genitals that, according to the UN Office of the High Commissioner for Human Rights, ``do not fit the typical definitions for male or female bodies''. Such variations may involve ge","{""cohort"": ""base"", ""example_id"": 61482, ""source"": ""simple_wiki""}"
8,inducted into the rock and roll hall of,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw_000958,qwen3.5-9b paraphrase of simple_wiki,17,17,glue_filtered,glue_filtered/boolq.valid.jsonl,line:38,"In 1994, Hunter was inducted into the Rock and Roll Hall of Fame alongside the Grateful Dead.","Jefferson Airplane -- The ``classic'' lineup of Jefferson Airplane, from October 1966 to February 1970, was Marty Balin (vocals), Paul Kantner (guitar, vocals), Grace Slick (vocals), Jorma Kaukonen (lead guitar, vocals), Jack Casady (bass), and Spencer Dryden (drums). Marty Balin left the band in 1971. After 1972, Jeff","{""cohort"": ""base"", ""example_id"": 56808, ""source"": ""simple_wiki""}"
8,into the rock and roll hall of fame,official_source_qwen_paraphrase_rewrite,clean_qwen_official,rw_000958,qwen3.5-9b paraphrase of simple_wiki,17,17,glue_filtered,glue_filtered/boolq.valid.jsonl,line:38,"In 1994, Hunter was inducted into the Rock and Roll Hall of Fame alongside the Grateful Dead.","Jefferson Airplane -- The ``classic'' lineup of Jefferson Airplane, from October 1966 to February 1970, was Marty Balin (vocals), Paul Kantner (guitar, vocals), Grace Slick (vocals), Jorma Kaukonen (lead guitar, vocals), Jack Casady (bass), and Spencer Dryden (drums). Marty Balin left the band in 1971. After 1972, Jeff","{""cohort"": ""base"", ""example_id"": 56808, ""source"": ""simple_wiki""}"
