row_pos,masked_tokens_cpu_proxy,masked_source_tokens_cpu_proxy,masked_view_tokens_cpu_proxy,masked_other_tokens_cpu_proxy,selected_groups_cpu_proxy
0,22,14,8,0,18
1,42,23,19,0,25
2,31,19,12,0,23
3,23,12,11,0,16
4,26,13,13,0,20
5,28,19,9,0,20
6,26,9,17,0,21
7,21,16,5,0,20
8,17,13,4,0,16
9,30,17,13,0,24
10,33,22,11,0,27
11,36,23,13,0,24
12,28,17,11,0,20
13,20,15,5,0,18
14,24,13,11,0,20
15,31,23,8,0,26
16,40,32,8,0,25
17,27,16,11,0,20
18,26,10,16,0,19
19,34,18,16,0,18
20,14,9,5,0,13
21,35,24,11,0,22
22,26,14,12,0,18
23,17,13,4,0,16
24,27,16,11,0,20
25,17,15,2,0,14
26,22,12,10,0,19
27,35,19,16,0,22
28,25,15,10,0,18
29,29,14,15,0,23
30,27,17,10,0,16
31,40,19,21,0,23
32,47,25,22,0,25
33,21,11,10,0,17
34,32,16,16,0,20
35,24,14,10,0,18
36,20,9,11,0,16
37,27,13,14,0,19
38,34,19,15,0,26
39,30,24,6,0,23
40,20,12,8,0,18
41,46,24,22,0,28
42,43,23,20,0,21
43,23,13,10,0,15
44,29,16,13,0,23
45,38,20,18,0,30
46,32,22,10,0,21
47,25,15,10,0,19
48,21,17,4,0,19
49,31,16,15,0,18
50,33,23,10,0,27
51,29,21,8,0,23
52,31,18,13,0,25
53,29,22,7,0,21
54,16,11,5,0,15
55,17,8,9,0,14
56,23,9,14,0,20
57,40,24,16,0,27
58,24,16,8,0,21
59,24,17,7,0,19
60,35,15,20,0,19
61,26,14,12,0,18
62,22,15,7,0,16
63,36,18,18,0,24
64,19,12,7,0,14
65,21,13,8,0,15
66,24,13,11,0,18
67,26,13,13,0,21
68,22,16,6,0,19
69,19,13,6,0,19
70,26,16,10,0,21
71,35,21,14,0,24
72,26,19,7,0,18
73,22,7,15,0,15
74,33,18,15,0,26
75,26,13,13,0,17
76,15,10,5,0,15
77,20,15,5,0,19
78,35,23,12,0,22
79,32,12,20,0,17
80,26,11,15,0,20
81,32,20,12,0,24
82,23,16,7,0,16
83,40,27,13,0,29
84,38,27,11,0,31
85,41,22,19,0,27
86,32,26,6,0,25
87,25,15,10,0,17
88,42,33,9,0,29
89,28,18,10,0,22
90,27,25,2,0,18
91,22,9,13,0,15
92,27,11,16,0,19
93,33,11,22,0,19
94,33,23,10,0,22
95,30,19,11,0,23
96,23,18,5,0,14
97,23,13,10,0,18
98,29,13,16,0,22
99,31,15,16,0,21
100,29,20,9,0,20
101,33,16,17,0,24
102,26,15,11,0,24
103,24,14,10,0,20
104,25,15,10,0,16
105,29,15,14,0,22
106,24,19,5,0,17
107,35,21,14,0,30
108,20,12,8,0,19
109,43,32,11,0,29
110,33,17,16,0,21
111,40,31,9,0,26
112,26,15,11,0,21
113,19,12,7,0,16
114,37,20,17,0,28
115,24,18,6,0,18
116,34,10,24,0,21
