mode,pass,start_word,end_word,total_words_approx,source_words__childes,source_words__qwen_pair_packed,source_words__simple_wiki,source_words__open_subtitles,source_words__bnc_spoken,source_words__gutenberg,source_words__cleanqwen_fineweb_compact_view_reinvest,source_words__switchboard
current,1,0,10000000,308649,79520,50472,35520,53440,18080,57600,13377,640
current,2,10000000,20000000,0,,,,,,,,
current,3,20000000,30000000,0,,,,,,,,
current,4,30000000,40000000,0,,,,,,,,
current,5,40000000,50000000,0,,,,,,,,
current,6,50000000,60000000,0,,,,,,,,
current,7,60000000,70000000,0,,,,,,,,
current,8,70000000,80000000,0,,,,,,,,
current,9,80000000,90000000,0,,,,,,,,
current,10,90000000,100000000,0,,,,,,,,
source_childes_taper_f25_d15,1,0,10000000,308649,79520,50472,35520,53440,18080,57600,13377,640
source_childes_taper_f25_d15,2,10000000,20000000,0,,,,,,,,
source_childes_taper_f25_d15,3,20000000,30000000,0,,,,,,,,
source_childes_taper_f25_d15,4,30000000,40000000,0,,,,,,,,
source_childes_taper_f25_d15,5,40000000,50000000,0,,,,,,,,
source_childes_taper_f25_d15,6,50000000,60000000,0,,,,,,,,
source_childes_taper_f25_d15,7,60000000,70000000,0,,,,,,,,
source_childes_taper_f25_d15,8,70000000,80000000,0,,,,,,,,
source_childes_taper_f25_d15,9,80000000,90000000,0,,,,,,,,
source_childes_taper_f25_d15,10,90000000,100000000,0,,,,,,,,
source_childes_taper_f25_d25,1,0,10000000,308649,79520,50472,35520,53440,18080,57600,13377,640
source_childes_taper_f25_d25,2,10000000,20000000,0,,,,,,,,
source_childes_taper_f25_d25,3,20000000,30000000,0,,,,,,,,
source_childes_taper_f25_d25,4,30000000,40000000,0,,,,,,,,
source_childes_taper_f25_d25,5,40000000,50000000,0,,,,,,,,
source_childes_taper_f25_d25,6,50000000,60000000,0,,,,,,,,
source_childes_taper_f25_d25,7,60000000,70000000,0,,,,,,,,
source_childes_taper_f25_d25,8,70000000,80000000,0,,,,,,,,
source_childes_taper_f25_d25,9,80000000,90000000,0,,,,,,,,
source_childes_taper_f25_d25,10,90000000,100000000,0,,,,,,,,
source_childes_taper_f25_d40,1,0,10000000,308649,79520,50472,35520,53440,18080,57600,13377,640
source_childes_taper_f25_d40,2,10000000,20000000,0,,,,,,,,
source_childes_taper_f25_d40,3,20000000,30000000,0,,,,,,,,
source_childes_taper_f25_d40,4,30000000,40000000,0,,,,,,,,
