arch,arm,checkpoint,seed,role,probe_family,probe_id,effect_no_all_relevant_updates,effect_no_initial_qbox,effect_no_last_relevant_update,entity_type,irrelevant_ops,item_index,margin_full,margin_no_all_relevant_updates,margin_no_initial_qbox,margin_no_last_relevant_update,prefix_words_full,query_box,relevant_updates,reported_numops,stale_idx,total_ops,uid
RBT,RBT_RS_43022,chck_60M,43022,R,entity_gold_stale_cue_ablation,entityabl:0:regular_2_ops:7,-0.6662867069244385,0.3457348346710205,-1.4713118076324463,regular,1,7,9.995826244354248,9.32953953742981,10.341561079025269,8.524514436721802,89,0,2,2,1,3,regular_2_ops
RBT,RBT_RS_43022,chck_60M,43022,R,entity_gold_stale_cue_ablation,entityabl:1000:move_contents_3_ops:54,-1.277139663696289,-0.06692218780517578,-1.7654314041137695,move_contents,5,54,-2.0135183334350586,-3.2906579971313477,-2.0804405212402344,-3.778949737548828,136,5,3,3,1,8,move_contents_3_ops
RBT,RBT_RS_43022,chck_60M,43022,R,entity_gold_stale_cue_ablation,entityabl:1001:move_contents_3_ops:56,1.4943532943725586,0.5716500282287598,2.72727108001709,move_contents,5,56,4.46092414855957,5.955277442932129,5.03257417678833,7.18819522857666,111,2,3,3,1,8,move_contents_3_ops
RBT,RBT_RS_43022,chck_60M,43022,R,entity_gold_stale_cue_ablation,entityabl:1002:move_contents_3_ops:71,-0.2037200927734375,-0.31681346893310547,-0.5931177139282227,move_contents,5,71,-2.0839195251464844,-2.287639617919922,-2.40073299407959,-2.677037239074707,134,5,3,3,1,8,move_contents_3_ops
RBT,RBT_RS_43022,chck_60M,43022,R,entity_gold_stale_cue_ablation,entityabl:1003:move_contents_3_ops:78,0.45021724700927734,-0.30974292755126953,0.03999042510986328,move_contents,5,78,0.3943519592285156,0.844569206237793,0.0846090316772461,0.4343423843383789,119,2,3,3,1,8,move_contents_3_ops
RBT,RBT_RS_43022,chck_60M,43022,R,entity_gold_stale_cue_ablation,entityabl:1004:move_contents_3_ops:91,-0.02532958984375,-0.2869901657104492,0.2890958786010742,move_contents,5,91,0.6244440078735352,0.5991144180297852,0.33745384216308594,0.9135398864746094,124,2,3,3,1,8,move_contents_3_ops
RBT,RBT_RS_43022,chck_60M,43022,R,entity_gold_stale_cue_ablation,entityabl:1005:move_contents_3_ops:97,0.8601281642913818,0.7722921371459961,0.7655396461486816,move_contents,7,97,5.65313982963562,6.513267993927002,6.425431966781616,6.418679475784302,149,4,2,3,1,9,move_contents_3_ops
RBT,RBT_RS_43022,chck_60M,43022,R,entity_gold_stale_cue_ablation,entityabl:1006:move_contents_3_ops:108,-0.5950069427490234,-0.7353124618530273,-1.1959829330444336,move_contents,6,108,3.286587715148926,2.6915807723999023,2.5512752532958984,2.090604782104492,143,0,3,3,1,9,move_contents_3_ops
RBT,RBT_RS_43022,chck_60M,43022,R,entity_gold_stale_cue_ablation,entityabl:1007:move_contents_3_ops:109,-0.09016609191894531,0.04551410675048828,-0.19011688232421875,move_contents,7,109,-2.7437191009521484,-2.8338851928710938,-2.69820499420166,-2.933835983276367,119,4,2,3,1,9,move_contents_3_ops
RBT,RBT_RS_43022,chck_60M,43022,R,entity_gold_stale_cue_ablation,entityabl:1008:move_contents_3_ops:111,-0.25447750091552734,-0.04685783386230469,0.2616138458251953,move_contents,7,111,-2.5410404205322266,-2.795517921447754,-2.5878982543945312,-2.2794265747070312,130,0,2,3,1,9,move_contents_3_ops
