source,window_index,byte_start,byte_end,bytes_received,tokens,candidate_rows,accepted_rows_cumulative,accepted_rows_this_window,reject_ngram_cumulative,reject_duplicate_cumulative
bnc_spoken,0,4064608,4514607,450000,88340,218,218,218,0,0
childes,0,15159891,15609890,450000,83060,519,519,519,0,0
childes,1,99637558,100087557,450000,83890,977,976,457,1,0
gutenberg,0,14031163,14481162,450000,80569,503,503,503,0,0
gutenberg,1,92296140,92746139,450000,80824,705,705,202,0,0
open_subtitles,0,0,449999,450000,85426,533,0,0,533,0
open_subtitles,1,74619875,75069874,450000,84594,1061,528,528,533,0
open_subtitles,2,28502256,28952255,450000,85461,1225,692,164,533,0
simple_wiki,0,8861946,9311945,450000,78253,407,401,401,6,0
switchboard,0,0,449999,450000,91702,163,8,8,155,0
