stream_alias,stream_path,exists,rows_scanned,hit_occurrences,unique_candidate_rows_hit,elapsed_sec
compact_experience_OFF,experiments/archive/compact_experience/data/qwen_clean_aligned/training_corpora/official_only_10M.jsonl,True,64381,0,0,0.95
compact_experience_ALN,experiments/archive/compact_experience/data/qwen_clean_aligned/training_corpora/qwen_aligned_10M.jsonl,True,64381,0,0,0.99
compact_experience_SHUF,experiments/archive/compact_experience/data/qwen_shuffled_control/training_corpora/qwen_shuffled_10M.jsonl,True,64386,0,0,1.05
compact_experience_DUP,experiments/archive/compact_experience/data/selected_original_dup_all_control/training_corpora/selected_original_dup_all_10M.jsonl,True,64438,0,0,1.08
compact_experience_SEP,experiments/archive/compact_experience/data/qwen_separated_pair_control/training_corpora/qwen_separated_pair_10M.jsonl,True,63340,0,0,1.05
max_C_clean,experiments/archive/frontier_consolidation/data/dose_2p64x_rowholdout_pools/cleanqwen_lengthmatched_dose2p64x_10M.jsonl,True,65313,0,0,1.0
max_R_repeat,experiments/archive/frontier_consolidation/data/dose_2p64x_rowholdout_pools/compact_repeat_dose2p64x_10M.jsonl,True,65313,0,0,1.01
max_V_view,experiments/archive/frontier_consolidation/data/dose_2p64x_rowholdout_pools/compact_view_dose2p64x_10M.jsonl,True,65313,0,0,1.01
split_RS_repeat,experiments/archive/relation_learning/data/split_inwindow_rowholdout_pools/compact_repeat_split_dose2p64x_10M.jsonl,True,64828,0,0,1.01
split_VS_view,experiments/archive/relation_learning/data/split_inwindow_rowholdout_pools/compact_view_split_dose2p64x_10M.jsonl,True,64828,0,0,1.0
HM_hash_mixed,experiments/archive/relation_learning/data/hash_mixed_inwindow_pools/compact_hash_mixed_dose2p64x_10M.jsonl,True,65313,0,0,1.0
HV_half_view,experiments/archive/relation_learning/data/half_view_control_pools/compact_half_view_noexact_dose2p64x_10M.jsonl,True,65313,0,0,1.0
current_base_compact_view_reinvest,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/cleanqwen_fineweb_compact_view_reinvest_10M.jsonl,True,64740,0,0,1.0
current_dose21_probe_clean,experiments/archive/relation_learning/data/probe_clean_nested_dose_streams/dose21/dose21_compact_view_reinvest_100M.jsonl,True,647400,0,0,9.9
current_dose25_probe_clean,experiments/archive/relation_learning/data/probe_clean_nested_dose_streams/dose25/dose25_compact_view_reinvest_100M.jsonl,True,647400,0,0,9.92
