base_correct,cand_correct,checkpoint,column,gold_completion_full_nll_mean,gold_completion_full_nll_sum,gold_completion_ig_r8_mean,gold_completion_local_r8_nll_mean,gold_completion_token_count_scored,gold_full_nll_delta_chck100_minus_chck82,gold_ig_r8_delta_chck100_minus_chck82,item_id,status_82_to_100,target_tokens_preview,uid
True,True,chck82,EWoK,1.597857117785939,11.184999824501574,1.545714040286839,3.143571158072778,7,0.038520760168986756,-0.11962529498019392,EWoK:physical-interactions:372,both_correct,ĠCha o Ġis Ġpushing Ġthe Ġwheel .,physical-interactions
True,True,chck82,EWoK,2.24769659464558,13.486179567873478,2.346616256982088,4.5943128516276674,6,-0.0529259194930396,-0.16359831144412373,EWoK:physical-relations:296,both_correct,ĠThe Ġcontainer Ġcontains Ġthe Ġbus .,physical-relations
True,True,chck82,EWoK,2.3396172678718963,14.037703607231379,0.02569459844380617,2.3653118663157024,6,0.02378539896259735,-0.13691116962581873,EWoK:quantitative-properties:66,both_correct,ĠThere Ġare Ġenough Ġst eaks .,quantitative-properties
True,True,chck82,EWoK,3.13325173035264,31.3325173035264,1.22903121560812,4.36228294596076,10,0.04812828130088764,-0.09785992330871518,EWoK:agent-properties:1927,both_correct,ĠCha o Ġpre fers Ġthe Ġtruck Ġover Ġthe Ġwheel .,agent-properties
True,True,chck82,EWoK,1.6203178500873037,12.96254280069843,0.1476487449835986,1.7679665950709023,8,-0.05513089010491967,0.026810424169525504,EWoK:social-relations:339,both_correct,ĠY an Ġis ĠCha o 's Ġboss .,social-relations
True,True,chck82,EWoK,1.5017297634311642,22.525946451467462,2.456869308126625,3.958599071557789,15,0.09251752834534277,0.11993130870590285,EWoK:agent-properties:877,both_correct,ĠLi Ġmakes Ġless Ġeffort Ġto Ġget Ġthe Ġcool er Ġthan Ġto Ġget,agent-properties
True,True,chck82,EWoK,3.635634431615472,25.449441021308303,0.04050956613251141,3.676143997747983,7,0.0694605881082162,-0.10077654729996408,EWoK:material-properties:74,both_correct,ĠThe Ġvolleyball Ġis Ġfra g ile .,material-properties
True,True,chck82,EWoK,3.1026900224387646,24.821520179510117,5.429683972150087,8.532373994588852,8,0.15417647268623114,0.06229287479072809,EWoK:agent-properties:1968,both_correct,ĠMohammed Ġpre fers ĠCar men Ġover ĠLi .,agent-properties
True,True,chck82,EWoK,1.9981976374983788,11.989185824990273,0.834512747824192,2.832710385322571,6,0.10151308340330933,0.018320318932334545,EWoK:physical-interactions:527,both_correct,ĠAli Ġis Ġtouching Ġthe Ġcandle .,physical-interactions
True,True,chck82,EWoK,2.781696248392109,22.25356998713687,4.102789935132023,6.884486183524132,8,-0.1554439565879875,-0.07494430851511424,EWoK:social-relations:1249,both_correct,ĠAli Ġand ĠWe i Ġare Ġromantic Ġpartners .,social-relations
True,True,chck82,EWoK,2.1512203509254113,15.05854245647788,-0.3428157227379935,1.808404628187418,7,0.21634778965796775,-0.09686602758509777,EWoK:agent-properties:473,both_correct,ĠAli Ġdoes Ġnot Ġfeel Ġthe Ġcandle .,agent-properties
True,True,chck82,EWoK,2.087831533836344,27.141809939872473,3.140510494928234,5.228342028764578,13,0.05222693809236478,-0.06972568346044206,EWoK:agent-properties:107,both_correct,ĠAli Ġdoub ts Ġthat Ġthe Ġcandle Ġis Ġin Ġthe Ġb ak ery,agent-properties
True,True,chck82,EWoK,3.936614040285349,31.49291232228279,0.35719085671007633,4.293804896995425,8,0.03397914208471775,0.16617311909794807,EWoK:social-relations:860,both_correct,ĠMohammed Ġis ĠCar men 's Ġlandl ord .,social-relations
True,True,chck82,EWoK,1.9112991640965145,22.935589969158173,3.1127518406137824,5.024051004710297,12,0.06649977931131912,-0.05593824603905295,EWoK:agent-properties:849,both_correct,ĠJesse Ġmakes Ġless Ġeffort Ġto Ġinteract Ġwith ĠAlex Ġthan Ġwith ĠMohammed .,agent-properties
True,True,chck82,EWoK,3.5447973032881106,24.813581123016775,0.8692446979028838,4.414042001190994,7,0.22486946053270795,0.04654229858091896,EWoK:physical-relations:674,both_correct,ĠThe Ġbus Ġis Ġon Ġthe Ġstone .,physical-relations
True,True,chck82,EWoK,1.14577889767959,14.89512566983467,3.6293799603725065,4.775158858052096,13,0.07413131661731032,-0.032648557049329785,EWoK:agent-properties:1096,both_correct,ĠMohammed Ġmakes Ġless Ġeffort Ġto Ġplay Ġsoccer Ġthan Ġto Ġplay Ġc hess,agent-properties
True,True,chck82,EWoK,2.8107841376266958,25.297057238640264,3.0631401574808277,5.873924295107524,9,0.036640190338302236,0.09724166169245185,EWoK:agent-properties:1810,both_correct,ĠAli Ġpre fers Ġthe Ġcandle Ġover Ġthe Ġairplane .,agent-properties
True,True,chck82,EWoK,2.2525887670261517,15.768121369183064,0.2699194209916251,2.522508188017777,7,0.044384928686278524,0.01636685643877306,EWoK:spatial-relations:235,both_correct,ĠThe Ġtruck Ġis Ġfar Ġfrom ĠJesse .,spatial-relations
True,True,chck82,EWoK,0.539973255363293,4.319786042906344,3.656559029011987,4.19653228437528,8,-0.09058362724681501,0.09556838161734049,EWoK:spatial-relations:324,both_correct,ĠThe Ġgallery Ġis Ġin Ġfront Ġof ĠMohammed .,spatial-relations
True,True,chck82,EWoK,3.158191780058237,41.056493140757084,3.1443650940289865,6.302556874087224,13,0.35318267144835946,-0.3412936395750594,EWoK:agent-properties:1605,both_correct,ĠLi Ġmakes Ġless Ġeffort Ġto Ġinteract Ġwith ĠMaria Ġthan Ġwith ĠFat ima,agent-properties
True,True,chck82,EWoK,5.83175003528595,34.9905002117157,1.166544516881307,6.998294552167256,6,-0.11232670148213675,0.10566981633504247,EWoK:physical-interactions:332,both_correct,ĠMohammed Ġis Ġkicking Ġthe Ġvolleyball .,physical-interactions
True,True,chck82,EWoK,3.6530372804651656,21.918223682790995,0.8929060343652964,4.545943314830462,6,0.1337982642774782,-0.14588831147799886,EWoK:physical-dynamics:41,both_correct,ĠThe Ġballoon Ġis Ġshr inking .,physical-dynamics
