adult_kind,adult_text_sha,child_kind,child_text_sha,clean_source,clean_text_sha,row,subset,words
original_clean_unselected,a045caf5224848bb31ee08130a3f68a1032156a470c0fa456bf27fa913d32620,position_matched_direct_fineweb_replacement,ba1112137d0067f0d96a858f47fc5313de445f9d2dbecb65497d9279efc94fca,cleanqwen_lengthmatched_dose2p64x::childes,a045caf5224848bb31ee08130a3f68a1032156a470c0fa456bf27fa913d32620,13,child_replaced_only,128
original_clean_unselected,210e1a97d7e749420a5a1d57260a82d116cdf665daab33278c2928af9365c848,position_matched_direct_fineweb_replacement,913bfd7e8bd14f8c6a30e30d9a49e435a2e5235c7e73a12f655e8ba44438e1fb,cleanqwen_lengthmatched_dose2p64x::childes,210e1a97d7e749420a5a1d57260a82d116cdf665daab33278c2928af9365c848,14,child_replaced_only,135
original_clean_unselected,4fd375da054d58a35d3545c3684bc90e468912ce955e5aedaccd5cc7759f693f,position_matched_direct_fineweb_replacement,b1614863a81e51c4c2b6b1fd84bc4dc53d160cf2c74d502e5e36d9cf1d969ea7,cleanqwen_lengthmatched_dose2p64x::open_subtitles,4fd375da054d58a35d3545c3684bc90e468912ce955e5aedaccd5cc7759f693f,15,child_replaced_only,158
original_clean_unselected,ae6fb3764992732c9538f0c7eb8ae056193f87176e88dcedd93b4de86250b1a4,position_matched_direct_fineweb_replacement,d15fe704a889a7ef27fe2e652a99c460c15e74164efe7e652beb6671d66672da,cleanqwen_lengthmatched_dose2p64x::childes,ae6fb3764992732c9538f0c7eb8ae056193f87176e88dcedd93b4de86250b1a4,26,child_replaced_only,137
original_clean_unselected,e1115e4f31034084948f885a6946c836d83439023e7fbe26e24b4ff9e0648dac,position_matched_direct_fineweb_replacement,d1874f1416f2c1596ea0d8535e0eb21abd1a5739f903216b496a8da9f505c729,cleanqwen_lengthmatched_dose2p64x::childes,e1115e4f31034084948f885a6946c836d83439023e7fbe26e24b4ff9e0648dac,34,child_replaced_only,133
original_clean_unselected,c3e2a29471dd09e93a338969f1259e4ec68c1fc936e073bdaab5a7882f5df323,position_matched_direct_fineweb_replacement,f973cde78a17ea5b691fbffc8745ef3953ae210d562a0a6863e0a609493ef148,cleanqwen_lengthmatched_dose2p64x::open_subtitles,c3e2a29471dd09e93a338969f1259e4ec68c1fc936e073bdaab5a7882f5df323,36,child_replaced_only,134
original_clean_unselected,84abb09caaefee35dd4d0de7eeaf8780ee8018bcb6eacd4a61f5b75164afae07,position_matched_direct_fineweb_replacement,5db1eb1255101984d415b05d2e794aedceb0b575dce60b345564cdb1993af6c6,cleanqwen_lengthmatched_dose2p64x::simple_wiki,84abb09caaefee35dd4d0de7eeaf8780ee8018bcb6eacd4a61f5b75164afae07,37,child_replaced_only,133
original_clean_unselected,5e2afd955015f8540c3f4c323020bf6eab0067845c9fcd202e478b908392ef4d,position_matched_direct_fineweb_replacement,7ec118bb7a34a8ff156a31275cbcfdfd7fcfccdd4df8a3542f30873f43619021,cleanqwen_lengthmatched_dose2p64x::childes,5e2afd955015f8540c3f4c323020bf6eab0067845c9fcd202e478b908392ef4d,44,child_replaced_only,148
original_clean_unselected,92826f7d0c97239f13dec8b90e64516815d3efe04eb71b5e2ba1876827dcb59e,position_matched_direct_fineweb_replacement,0c44fb510ae5011b74b00fe7ddb79201de8c7c3a6c6c33f9505050a9583a4878,cleanqwen_lengthmatched_dose2p64x::open_subtitles,92826f7d0c97239f13dec8b90e64516815d3efe04eb71b5e2ba1876827dcb59e,57,child_replaced_only,154
original_clean_unselected,3dfccc0c656b9b0d1a0e93d2ee4a725faf7f6806e9d21177251c59614b963fdd,position_matched_direct_fineweb_replacement,93d3de7c2b04fef592538ca78c1ba6efc79ec9e655abb22679ed261bdbbd3b43,cleanqwen_lengthmatched_dose2p64x::childes,3dfccc0c656b9b0d1a0e93d2ee4a725faf7f6806e9d21177251c59614b963fdd,59,child_replaced_only,123
original_clean_unselected,348963bbc37b266e189ce7da2da2ee35148f66d492d3eacc42dd714632eb0f1a,position_matched_direct_fineweb_replacement,0f1d20b0a7bb82c647ac87914d600826ae0b90da0539a4542a1dd8081dd201b9,cleanqwen_lengthmatched_dose2p64x::open_subtitles,348963bbc37b266e189ce7da2da2ee35148f66d492d3eacc42dd714632eb0f1a,64,child_replaced_only,125
original_clean_unselected,0bdff4975c2bd14279dba6268db5e49b3d0e93f88ac72a485115086fd6761202,position_matched_direct_fineweb_replacement,74b07bb1f241e438504c1fc413d444c9ed97721b61aaf870e1be47468251c0d4,cleanqwen_lengthmatched_dose2p64x::childes,0bdff4975c2bd14279dba6268db5e49b3d0e93f88ac72a485115086fd6761202,69,child_replaced_only,132
position_matched_direct_fineweb_replacement,913bfd7e8bd14f8c6a30e30d9a49e435a2e5235c7e73a12f655e8ba44438e1fb,original_clean_unselected,191d3000b901c8f59d5e745ed7f3936e5d46f05a2baad6054c02f50f8f977f78,cleanqwen_lengthmatched_dose2p64x::gutenberg,191d3000b901c8f59d5e745ed7f3936e5d46f05a2baad6054c02f50f8f977f78,0,adult_replaced_only,135
position_matched_direct_fineweb_replacement,0c44fb510ae5011b74b00fe7ddb79201de8c7c3a6c6c33f9505050a9583a4878,original_clean_unselected,e58cbf07cd6a426eeabfb614b20e659b14300ab61a2d35b28bc9761d2693dd13,cleanqwen_lengthmatched_dose2p64x::simple_wiki,e58cbf07cd6a426eeabfb614b20e659b14300ab61a2d35b28bc9761d2693dd13,10,adult_replaced_only,154
position_matched_direct_fineweb_replacement,ba1112137d0067f0d96a858f47fc5313de445f9d2dbecb65497d9279efc94fca,original_clean_unselected,00c929623ff109be2a3af706a593f5d327e315d3c9006fa461179473b650b8cd,cleanqwen_lengthmatched_dose2p64x::bnc_spoken,00c929623ff109be2a3af706a593f5d327e315d3c9006fa461179473b650b8cd,11,adult_replaced_only,128
position_matched_direct_fineweb_replacement,d1874f1416f2c1596ea0d8535e0eb21abd1a5739f903216b496a8da9f505c729,original_clean_unselected,7ce2316ee8628729184a4a0fa9ec448d898b5c9a1839b3e1bcc35fdcb4121e93,cleanqwen_lengthmatched_dose2p64x::childes,7ce2316ee8628729184a4a0fa9ec448d898b5c9a1839b3e1bcc35fdcb4121e93,23,adult_replaced_only,133
position_matched_direct_fineweb_replacement,d15fe704a889a7ef27fe2e652a99c460c15e74164efe7e652beb6671d66672da,original_clean_unselected,b742ba01bb207232fb4a6db1bf659c5049ba5397dba4b4e531995e0cdf3b7d82,cleanqwen_lengthmatched_dose2p64x::gutenberg,b742ba01bb207232fb4a6db1bf659c5049ba5397dba4b4e531995e0cdf3b7d82,25,adult_replaced_only,137
position_matched_direct_fineweb_replacement,5ff97cef135210c762021f4b6ae116816fc2bf6f6c2bef83901e89e28acca9cc,original_clean_unselected,64b029debf94cd09e23d2331d7a324a9f7a8911545d9fa8aeb98271337dd9464,cleanqwen_lengthmatched_dose2p64x::simple_wiki,64b029debf94cd09e23d2331d7a324a9f7a8911545d9fa8aeb98271337dd9464,28,adult_replaced_only,138
position_matched_direct_fineweb_replacement,f973cde78a17ea5b691fbffc8745ef3953ae210d562a0a6863e0a609493ef148,original_clean_unselected,eca46ed703f418d75bd04fb230dbaac5ac69d8cbcc329ece5161659679bbc2c9,cleanqwen_lengthmatched_dose2p64x::gutenberg,eca46ed703f418d75bd04fb230dbaac5ac69d8cbcc329ece5161659679bbc2c9,33,adult_replaced_only,134
