line_no,example_id,source,nearest_cue,distance_to_cue_chars,target_word,target_word_freq,alternative_word,alternative_word_freq,local_alt_rank,scale_local_margin_target_minus_alt,scale_full_margin_target_minus_alt,base_full_margin_target_minus_alt,context_gain_full_minus_local,scale_minus_base_full_margin,scale_full_target_rank,scale_full_alt_rank,base_full_target_rank,base_full_alt_rank,scale_full_error_vs_alt,unsaturated_abs_full_margin_le_0p5,context_decides_local_alt_full_gold,scale_weaker_than_base_by_0p5,snippet
24,950023,cleanqwen_fineweb_compact_view_reinvest,around,36,department,1180,energy,758,2,0.21176624298095703,14.10942554473877,14.65582525730133,13.897659301757812,-0.546399712562561,1,1395,1,2577,False,False,False,True,"Department of Energy shows that while around 86,000 people were employed in the coal industry nationally in 2016, a full 373,000 Americans had jobs in the solar industry. In 2016, the Department of Energy showed 373,000 Americans worked in solar while 86,000 worked in coal. If there is more than that, then it means someone is using your network. More than that means someone uses your network. There are various trusted sources from which one can g"
83,950082,cleanqwen_fineweb_compact_view_reinvest,higher,16,never,7464,state,2630,3,-8.279696702957153,1.3044426441192627,4.400338172912598,9.584139347076416,-3.095895528793335,242,697,393,5808,False,False,True,True,"One of the reasons is fraud, waste and abuse, which diverts significant resources away from necessary care. Fraud, waste, and abuse divert significant resources from necessary care. Even the synthetic fibers used in cutting-edge wicking technology that kicks into gear when we sweat, cooling us by drawing that water away from our skin, still trap the infrared radiation. Even synthetic fibers in cutting-edge wicking tech that cools us by drawing sw"
100,950099,cleanqwen_fineweb_compact_view_reinvest,more,24,deep,908,reading,1114,33,-2.2056572437286377,11.697267085313797,9.773668944835663,13.902924329042435,1.9235981404781342,1,3234,1,2041,False,False,True,False,"Deep reading allows for more immersion, as opposed to nonlinear reading. Deep reading allows more immersion than nonlinear reading. Hiebert is correct in calling for more research on other kinds of groupings. Hiebert correctly calls for more research on other groupings. A sidebar lists some of the ""close calls,"" including one in 1998 when John Glenn was aboard. A sidebar lists close calls, including one in 1998 when John Glenn was aboard. Once a "
149,950148,cleanqwen_fineweb_compact_view_reinvest,first,38,institute,354,various,888,17,-5.924116492271423,-2.8210577964782715,-3.8446590900421143,3.103058695793152,1.0236012935638428,4261,562,5864,522,True,False,False,False,"Institute researchers are reporting the first detailed molecular snapshots of a deadly gastrointestinal virus as it is caught in the grasp of an immune system molecule with the capacity to destroy ... Researchers report the first detailed molecular snapshots of a deadly gastrointestinal virus caught by an immune molecule that can destroy it. In addition, one in four eye injuries that occurred in the home were due to home repair or use of power to"
188,950187,cleanqwen_fineweb_compact_view_reinvest,more,86,according,1034,return,1312,4,0.3312416076660156,1.6872081756591797,3.8834691047668457,1.355966567993164,-2.196260929107666,6,25,1,18,False,False,False,True,"According to a Scottish study, people with mental health problems reported experiencing more than twice as much harassment as the general population. A Scottish study found people with mental health problems faced more than twice as much harassment. Rocks and retaining walls are likely to displace and accelerate the problem of erosion on neighboring lands (end effect) or on the beaches in front of the structure. Rocks and walls may displace and a"
212,950211,cleanqwen_fineweb_compact_view_reinvest,more,60,hoover,156,easily,527,3,-11.618472337722778,13.456087350845337,7.897094249725342,25.074559688568115,5.558993101119995,1,3475,1,175,False,False,True,False,"Hoover easily won the presidential election with a margin of more than six million votes. Hoover won the election by more than six million votes. The rationalist view is that self-interest is hard-wired into human nature, though some research indicates that cooperation and altruism may have played a more important role in human evolution than originally thought. Rationalists say self-interest is hard-wired, yet some research suggests cooperation "
225,950224,cleanqwen_fineweb_compact_view_reinvest,under,23,park,1297,closed,640,8,-7.4701433181762695,8.07496452331543,12.018694579601288,15.5451078414917,-3.943730056285858,1,337,1,2187,False,False,True,True,"Park keepers also came under scrutiny - as it was thought they may have broken the ice out of concern for the large collection of exotic water fowl housed on the lake…. Park keepers faced scrutiny because they might have broken the ice to protect the exotic water fowl on the lake. Specifically, it provides you with the public API you will use. - Let's look at the documentation for the AWT Button, widget for example. It provides the public API you"
265,950264,cleanqwen_fineweb_compact_view_reinvest,inside,49,roll,518,door,3220,2,-5.204209804534912,-4.439736604690552,-1.312225580215454,0.7644731998443604,-3.1275110244750977,863,10,529,166,True,False,False,True,"At the same time, 60 kW of power at 160 volts and multiple data channels are carried across each joint by copper “roll rings” contained within. Copper roll rings inside each joint carry 60 kW at 160 volts and multiple data channels simultaneously. The disease is triggered by gluten, a protein found in wheat, rye, and barley, which damages the lining of the small intestine so that it cannot properly absorb food. Gluten in wheat, rye, and barley tr"
307,950306,cleanqwen_fineweb_compact_view_reinvest,later,59,nicholas,135,alexander,336,7,-1.869391918182373,8.67361831665039,6.102355003356934,10.543010234832764,2.571263313293457,1,188,1,54,False,False,True,False,"Nicholas was incompetent monarch; he lost war with Japan and later suffered huge losses during First World War. Nicholas lost war with Japan and suffered huge losses in First World War. To address the problems of obesity, health officials are working with the food industry to remove 20% of sugar from food served by 2020. Officials work with the food industry to remove 20% of sugar from food by 2020. English scientist and philosopher who is noted "
338,950337,cleanqwen_fineweb_compact_view_reinvest,same,23,children,3675,people,12507,3,-7.073759317398071,2.007345199584961,2.1684112548828125,9.081104516983032,-0.16106605529785156,2,13,2,7,False,False,True,False,Children tend to eat the same number of calories every day if they are allowed to eat in response to their internal hunger gauge. Children eat same daily calories if allowed to eat based on internal hunger. Benefits of Baking Soda (Sodium Bicarbonate) This is another abrasive agent which helps in brightening and whitening of the teeth. Baking soda (Sodium Bicarbonate) brightens and whitens teeth as an abrasive agent. As the Arctic icecap catastro
