label,pid,pred,gold,pred_wc,gold_wc,pred_ic,gold_ic,is_nothing,is_recency,matches_initial,irrelevant_ops,entity_type
binding_ep25_alpha0p50,ambiref_0_ops_4,the small paper and the yellow rose.,the small paper and the big egg.,7,7,2,2,False,0,False,0,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_22,the blue dish and the yellow rose and the blue bag.,the big radio and the yellow rose and the blue bag.,11,11,3,3,False,0,False,0,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_44,the big ring.,the big disk.,3,3,1,1,False,0,False,0,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_49,the blue shoe and the yellow shoe and the blue shirt.,the big cheese and the red cheese and the big hat.,11,11,3,3,False,0,False,0,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_57,the green bomb and the red jacket and the small hat.,the blue ball and the yellow chemical and the small magazine.,11,11,3,3,False,0,False,0,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_82,the green leaf and the red hat and the big ring.,the blue train and the big bomb and the yellow clock.,11,11,3,3,False,0,False,0,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_83,the blue shirt and the red cigarette.,the red shirt and the red cigarette.,7,7,2,2,False,0,False,0,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_100,the green brain and the blue tie and the green suit.,the big pipe and the red bus and the blue drink.,11,11,3,3,False,0,False,1,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_114,the big cake and the big bread and the big watch.,the big cake and the big bread and the small watch.,11,11,3,3,False,0,False,1,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_129,the blue shirt and the small cake and the red tie.,the blue shirt and the small cake and the small engine.,11,11,3,3,False,0,False,1,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_133,the green car and the yellow fish and the big newspaper.,the green glass and the yellow bread and the blue branch.,11,11,3,3,False,0,False,1,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_143,the blue string.,the red paper.,3,3,1,1,False,0,False,1,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_147,the red game.,the small game.,3,3,1,1,False,0,False,1,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_164,the yellow meat and the red mirror.,the small newspaper and the big cross.,7,7,2,2,False,1,False,1,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_177,the red flower.,the small note.,3,3,1,1,False,0,False,2,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_190,the big drug.,the blue painting.,3,3,1,1,False,0,False,2,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_217,the yellow suit.,the red bone.,3,3,1,1,False,0,False,2,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_229,the green brain and the blue tie and the yellow suit.,the green brain and the blue tie and the green suit.,11,11,3,3,False,0,False,2,ambiref
binding_ep25_alpha0p50,ambiref_0_ops_276,the blue gift and the red gift.,the blue gift and the yellow watch.,7,7,2,2,False,0,False,3,ambiref
