variant,copy_zone,lex_class,targets,view_active_tokens,wwm_token_mass,wwm_groups,expected_masked_token_mass_p015,full_visible_frac,counterpart_any_visible_frac,counterpart_full_visible_frac,whole_word_copy_frac,complete_bpe_copy_frac,same_bpe_any_frac,mean_frac_view_bpes_seen_in_source,mean_min_visible_gap,contentlike_frac
best_contiguous_span,absent,punct_or_symbol,382,409,410,382,61.5,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0
best_contiguous_span,both_prefix_tail,capitalized_content,541,1065,1065,541,159.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.462107208872457,1.0
best_contiguous_span,both_prefix_tail,content,3190,4860,4863,3189,729.4499999999999,0.9996865203761756,1.0,1.0,1.0,0.9996865203761756,0.9996865203761756,1.0,17.935089369708372,1.0
best_contiguous_span,both_prefix_tail,function,14958,15031,15031,14944,2254.65,0.999064045995454,1.0,1.0,1.0,0.999064045995454,0.999064045995454,1.0,18.50669164882227,0.0
best_contiguous_span,both_prefix_tail,number,39,110,140,39,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.333333333333332,1.0
best_contiguous_span,both_prefix_tail,short_other,218,277,279,218,41.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.61467889908257,0.0
best_contiguous_span,prefix_only,capitalized_content,6580,13988,13989,6574,2098.35,0.9989361702127659,0.9998480243161094,0.9998480243161094,1.0,0.9987841945288753,0.9990881458966565,1.0,28.708092485549134,1.0
best_contiguous_span,prefix_only,content,39485,59163,59180,39455,8877.0,0.9992402178042294,0.9998986957072306,0.9998733696340383,1.0,0.9992402178042294,0.9992402178042294,1.0,24.92497782283614,1.0
best_contiguous_span,prefix_only,function,32120,32399,32399,32093,4859.849999999999,0.999159402241594,0.9998443337484434,0.9998443337484434,1.0,0.999159402241594,0.999159402241594,1.0,24.00180724768641,0.0
best_contiguous_span,prefix_only,number,1264,4449,5588,1263,838.1999999999999,0.9992088607594937,1.0,1.0,1.0,0.997626582278481,0.9992088607594937,1.0,28.954077593032462,1.0
best_contiguous_span,prefix_only,short_other,2043,2426,2430,2040,364.5,0.9985315712187959,1.0,1.0,1.0,0.9985315712187959,0.9985315712187959,1.0,24.591176470588234,0.0
