word,stream_count,occurrence_row_count,char_len,vowel_group_count,suffix_ing,suffix_ed,suffix_plural_s,suffix_y,subword_len,single_piece,first_piece_id_scaled,piece_logfreq_mean,piece_logfreq_min,piece_logfreq_max,whole_logfreq,row_logfreq,occurrences_per_row,count_src__bnc_spoken,logfreq_src__bnc_spoken,count_src__childes,logfreq_src__childes,count_src__cleanqwen_fineweb_compact_view_reinvest,logfreq_src__cleanqwen_fineweb_compact_view_reinvest,count_src__gutenberg,logfreq_src__gutenberg,count_src__neutral_cleanqwen_topup_compact_reinvest::open_subtitles,logfreq_src__neutral_cleanqwen_topup_compact_reinvest::open_subtitles,count_src__open_subtitles,logfreq_src__open_subtitles,count_src__qwen_pair_packed,logfreq_src__qwen_pair_packed,count_src__simple_wiki,logfreq_src__simple_wiki,count_src__switchboard,logfreq_src__switchboard,childes_logfreq,childes_enrichment,spoken_logfreq,spoken_enrichment,childes_occurrence_fraction,spoken_occurrence_fraction,qwen_occurrence_fraction,source_presence_count,source_entropy,first_occurrence_log10_position,median_occurrence_log10_position,occurrence_centroid_fraction,occurrence_position_sd_fraction,early_1m_fraction,early_5m_fraction,early_10m_fraction,early_20m_fraction,early_50m_fraction,last_10m_fraction,mean_occurrence_row_words,sd_occurrence_row_words,mean_relative_row_position,first_row_quarter_fraction,last_row_quarter_fraction,mean_clause_words,clause_le3_fraction,clause_le8_fraction,clause_initial_fraction,uppercase_fraction,speaker_tagged_fraction,child_speaker_fraction,prev_determiner_fraction,prev_possessive_fraction,prev_to_fraction,prev_pronoun_fraction,prev_copula_fraction,next_copula_fraction
airplane,6060,3130,8.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.24989318195690655,3.676159386061053,3.676159386061053,3.676159386061053,4.104377397922475,8.483738952675358,1.9361022364217253,0,-2.4438068389025744,5330,5.332812297308436,60,2.6592340632441234,140,2.0223900532873285,10,11.667076144797488,120,1.8850547508431947,310,2.9307107772802503,90,2.145401920323359,0,0.8618025465900853,5.332812297308436,1.2284348993859613,5.124303367258007,1.0199259693355325,0.8795379537953796,0.8795379537953796,0.05115511551155116,7.0,0.24961920551161323,4.77540537474116,7.703291386718552,0.49839771918947356,0.28864534091642113,0.009075907590759076,0.05148514851485148,0.1,0.2,0.5,0.09999999999999998,158.7953795379538,7.660346124277775,0.506755787860773,0.21287128712871287,0.24092409240924093,8.427392739273927,0.23597359735973597,0.7062706270627063,0.1188118811881188,0.041254125412541254,0.8531353135313532,0.4174917491749175,0.5627062706270627,0.05115511551155116,0.0016501650165016502,0.0033003300330033004,0.0016501650165016502,0.024752475247524754
alligator,1150,590,9.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8126106329732039,1.84895910121726,1.84895910121726,1.84895910121726,2.4427817234873292,6.8157605731274105,1.9491525423728813,0,-2.4438068389025744,1000,3.6598671299416945,20,1.57701558435169,10,-0.5714421783229946,0,8.622553707074063,20,0.11382988405684742,70,1.44813958572494,30,1.0577787532308447,0,0.8618025465900853,3.6598671299416945,1.2170854064543652,3.4513581998912657,1.0085764764039364,0.8695652173913043,0.8695652173913043,0.06086956521739131,6.0,0.2590635010404352,5.056593392556468,7.703291386718552,0.5018442489030717,0.28982965029975527,0.00608695652173913,0.0408695652173913,0.1,0.2,0.5,0.09999999999999998,157.88695652173914,9.14973529423818,0.5201388043808666,0.23478260869565218,0.23478260869565218,7.321739130434783,0.3391304347826087,0.7304347826086957,0.08695652173913043,0.20869565217391303,0.8695652173913043,0.3652173913043478,0.5739130434782609,0.017391304347826087,0.0,0.008695652173913044,0.0,0.017391304347826087
animal,8970,6370,6.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1937374107306354,4.049358914402423,4.049358914402423,4.049358914402423,4.496526508871348,9.194224175911428,1.4081632653061225,270,3.849612439943907,3330,4.8624896977711405,1040,5.504047344041017,1020,4.0052305467634275,0,8.622553707074063,1020,4.021452980162384,1580,4.5580234075623896,710,4.206021017154634,0,0.8618025465900853,4.8624896977711405,0.3659631888997925,4.731931049556399,0.23540454068505134,0.3712374581939799,0.4013377926421405,0.17614269788182832,7.0,0.7847148372736352,3.2922310334802534,7.703291386718552,0.4998927616029083,0.28856442590194326,0.010813823857302118,0.05150501672240803,0.1,0.2,0.5,0.09999999999999998,153.8283166109253,12.205028513834307,0.533468041173408,0.20624303232998886,0.2731326644370123,17.235228539576365,0.06911928651059086,0.3221850613154961,0.033444816053511704,0.07469342251950947,0.3701226309921962,0.10702341137123746,0.35228539576365664,0.020066889632107024,0.0033444816053511705,0.0011148272017837235,0.005574136008918618,0.03121516164994426
ankle,660,420,5.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.8119392052737594,3.7677514605406306,1.84895910121726,5.686543819864001,1.8878269379742887,6.476235416902996,1.5714285714285714,10,0.6007155988208485,80,1.1398691603424242,90,3.061940548913208,80,1.4654397489380457,0,8.622553707074063,240,2.576125087458301,110,1.8975423968645244,50,1.5620254058987928,0,0.8618025465900853,1.1398691603424242,-0.7479577776318644,1.0484528965733584,-0.8393740414009303,0.12121212121212122,0.13636363636363635,0.16666666666666666,7.0,0.777660108552873,5.512663617367907,7.703291386718552,0.5008378249598889,0.2876374748226385,0.004545454545454545,0.03787878787878788,0.1,0.2,0.5,0.09999999999999998,152.0,14.91897307376604,0.5215287560578238,0.24242424242424243,0.2878787878787879,24.90909090909091,0.030303030303030304,0.18181818181818182,0.030303030303030304,0.015151515151515152,0.12121212121212122,0.06060606060606061,0.13636363636363635,0.48484848484848486,0.0,0.0,0.0,0.030303030303030304
ant,1350,890,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.17005432460477324,3.2039086295985197,3.2039086295985197,3.2039086295985197,2.603059987244579,7.22657404021971,1.5168539325842696,20,1.2697652278017333,550,3.0624389320806413,90,3.061940548913208,160,2.1554765070835984,0,8.622553707074063,200,2.3942192446591086,170,2.3312621726302885,160,2.718346012187549,0,0.8618025465900853,3.0624389320806413,0.45937894483606234,2.889616215169608,0.2865562279250291,0.4074074074074074,0.4222222222222222,0.1259259259259259,7.0,0.7546400437656912,4.1445135552782535,7.703291386718552,0.49910093503649605,0.286616651840336,0.006666666666666667,0.047407407407407405,0.1,0.2,0.5,0.09999999999999998,155.14814814814815,10.9324650864725,0.5272117466887153,0.2222222222222222,0.2814814814814815,12.481481481481481,0.23703703703703705,0.5111111111111111,0.15555555555555556,0.6,0.4,0.1037037037037037,0.1925925925925926,0.0,0.014814814814814815,0.0,0.0,0.0
apple,9750,6150,5.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.188182872489776,4.095815884297611,4.095815884297611,4.095815884297611,4.579903658740204,9.159079595798833,1.5853658536585367,30,1.667067025270737,7040,5.611046445275273,40,2.2578926723198207,1290,4.239967583672196,0,8.622553707074063,270,2.6936770961990213,760,3.8265029876060646,320,3.4099343459782037,0,0.8618025465900853,5.611046445275273,1.0311427865350682,5.406789523615309,0.8268858648751047,0.7220512820512821,0.7251282051282051,0.07794871794871795,7.0,0.4339371229993999,4.420042481045372,7.703291386718552,0.4997312626209713,0.28826347872479485,0.008205128205128205,0.046461538461538464,0.1,0.2,0.5,0.09999999999999998,158.25846153846155,7.167366765492109,0.5134213161029147,0.22974358974358974,0.2676923076923077,11.371282051282051,0.21128205128205127,0.5241025641025641,0.12,0.09743589743589744,0.7035897435897436,0.3364102564102564,0.3046153846153846,0.02666666666666667,0.003076923076923077,0.0020512820512820513,0.0041025641025641026,0.0071794871794871795
applesauce,800,420,10.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9155221876335226,1.660536682148395,1.660536682148395,1.660536682148395,2.080066346448678,6.476235416902996,1.9047619047619047,0,-2.4438068389025744,760,3.385588087617254,0,-2.136556482352618,0,-3.6159646160464174,0,8.622553707074063,20,0.11382988405684742,20,0.2129517620510794,0,-3.0530951109424667,0,0.8618025465900853,3.385588087617254,1.305521741168576,3.1770791575668254,1.0970128111181472,0.95,0.95,0.025,3.0,0.10612142462767919,4.841935806868305,7.703291386718552,0.4984316550083443,0.28790351058135183,0.01125,0.0625,0.1,0.2,0.5,0.09999999999999998,159.9,0.6244997998393738,0.4835797772181284,0.2875,0.2875,6.075,0.4,0.825,0.175,0.0125,0.925,0.475,0.1125,0.075,0.0,0.0,0.0125,0.05
arm,9120,6750,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.14765305499603248,4.2750749416578815,4.2750749416578815,4.2750749416578815,4.5131097201388775,9.252162792687294,1.3511111111111112,280,3.885914066620122,2620,4.622732394160128,180,3.752321475980263,2660,4.963451918549952,0,8.622553707074063,1380,4.323606029282694,1600,4.570598235316635,400,3.6327658361258925,0,0.8618025465900853,4.622732394160128,0.10962267402125025,4.515741460773596,0.0026317406347189376,0.28728070175438597,0.31798245614035087,0.17543859649122806,7.0,0.7420021545143023,3.7157094773085624,7.703291386718552,0.4999624862489509,0.28918235410924664,0.01118421052631579,0.04901315789473684,0.1,0.2,0.5,0.09999999999999998,154.82456140350877,12.44170308618659,0.5074140534580847,0.2631578947368421,0.26096491228070173,17.80811403508772,0.06359649122807018,0.3168859649122807,0.023026315789473683,0.03070175438596491,0.2916666666666667,0.1513157894736842,0.1206140350877193,0.41228070175438597,0.0021929824561403508,0.0010964912280701754,0.0010964912280701754,0.039473684210526314
asleep,5260,4490,6.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.26948666300433377,3.559059570194277,3.559059570194277,3.559059570194277,3.9628111722602513,8.844510270600997,1.1714922048997773,190,3.4989925362241263,1050,3.7086334962029617,70,2.8122034080255505,2000,4.678334992810818,0,8.622553707074063,910,3.9073988970801476,1000,4.100782029930505,40,1.3413540437299722,0,0.8618025465900853,3.7086334962029617,-0.2541776760572896,3.6663728489993335,-0.2964383232609178,0.19961977186311788,0.23574144486692014,0.19011406844106463,7.0,0.6931515016692584,4.2416084864154024,7.703291386718552,0.4996139755313067,0.28851080913920946,0.008555133079847909,0.04752851711026616,0.1,0.2,0.5,0.09999999999999998,155.4828897338403,11.370309044661612,0.5274462477306462,0.2262357414448669,0.2813688212927757,16.673003802281368,0.10646387832699619,0.34980988593155893,0.024714828897338403,0.015209125475285171,0.21292775665399238,0.06463878326996197,0.0,0.0038022813688212928,0.0,0.02091254752851711,0.1920152091254753,0.0038022813688212928
aunt,7190,4980,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.37038393456631874,3.0958268841147074,3.0958268841147074,3.0958268841147074,4.275345803338343,8.948076504075214,1.4437751004016064,90,2.754690192363251,960,3.619065958126518,20,1.57701558435169,3610,5.268784110404764,0,8.622553707074063,760,3.7273811096118323,1630,4.58916887113609,120,2.4317018225481886,0,0.8618025465900853,3.619065958126518,-0.656279845211825,3.500124566152533,-0.7752212371858103,0.13351877607788595,0.14603616133518776,0.2267037552155772,7.0,0.6045195797215631,3.3023306036125843,7.703291386718552,0.5001138434855001,0.2882749468435155,0.010013908205841447,0.04575799721835883,0.1,0.2,0.5,0.09999999999999998,155.09596662030597,11.737768664326552,0.4987312835270644,0.24200278164116829,0.23922114047287898,18.67037552155772,0.06536856745479833,0.2726008344923505,0.12934631432545202,0.6648122392211405,0.15159944367176634,0.031988873435326845,0.04033379694019471,0.25312934631432543,0.03894297635605007,0.012517385257301807,0.012517385257301807,0.02364394993045897
