model_key,uid,domain,idx,ConceptA,ConceptB,ContextType,ContextDiff,TargetDiff,selection_pattern,selection_DiD_item,score_candidate0_context1_target1,score_candidate1_context2_target1,margin_c0_minus_c1,pred_candidate_index,correct,official_prediction_match,num_cand0_completion_tokens,num_cand1_completion_tokens
clean430,agent-properties_6,agent-properties,6,believe,doubt,direct,antonym,concept swap,0110,-2,-10.395936965942383,-9.971044540405273,-0.4248924255371094,1,0,1,11,11
clean430,agent-properties_14,agent-properties,14,believe,doubt,indirect,antonym,concept swap,0110,-2,-24.785144805908203,-23.791688919067383,-0.9934558868408203,1,0,1,12,12
clean430,agent-properties_46,agent-properties,46,believe,doubt,indirect,antonym,concept swap,0110,-2,-17.107704162597656,-16.03768539428711,-1.0700187683105469,1,0,1,11,11
clean430,agent-properties_58,agent-properties,58,believe,doubt,indirect,antonym,concept swap,0110,-2,-18.283212661743164,-18.116924285888672,-0.1662883758544922,1,0,1,10,10
clean430,agent-properties_167,agent-properties,167,choose,-,indirect,antonym,variable swap,0110,-2,-36.51405715942383,-36.50178527832031,-0.012271881103515625,1,0,1,8,8
clean430,agent-properties_196,agent-properties,196,choose,-,indirect,antonym,variable swap,0110,-2,-27.186386108398438,-26.79895782470703,-0.38742828369140625,1,0,1,8,8
clean430,agent-properties_233,agent-properties,233,choose,-,indirect,antonym,variable swap,0110,-2,-45.905548095703125,-45.85607147216797,-0.04947662353515625,1,0,1,7,7
clean430,agent-properties_297,agent-properties,297,choose,-,indirect,variable swap,variable swap,0110,-2,-27.27973175048828,-26.22794532775879,-1.0517864227294922,1,0,1,10,10
clean430,agent-properties_341,agent-properties,341,choose,-,indirect,variable swap,variable swap,0110,-2,-35.36065673828125,-28.690143585205078,-6.670513153076172,1,0,1,9,9
clean430,agent-properties_435,agent-properties,435,choose,-,indirect,variable swap,variable swap,0110,-2,-40.07723617553711,-35.6672248840332,-4.410011291503906,1,0,1,8,8
reinv430,agent-properties_6,agent-properties,6,believe,doubt,direct,antonym,concept swap,0110,-2,-9.280106544494629,-9.981145858764648,0.7010393142700195,0,1,1,11,11
reinv430,agent-properties_14,agent-properties,14,believe,doubt,indirect,antonym,concept swap,0110,-2,-18.317121505737305,-20.855348587036133,2.538227081298828,0,1,1,12,12
