source,boost,rows,words,relation_group_frac,relation_token_frac,selected_group_multiplier_vs_uniform,target_token_multiplier_vs_uniform,relation_selected_group_frac,relation_target_token_frac,rows_clipped,rows_clipped_frac
ALL,1.0,64740,10000000,0.10939025882616092,0.09604074430172356,1.0000000000000002,0.9999999999997812,0.10939025882616034,0.09604074430174446,0,0.0
ALL,1.5,64740,10000000,0.10939025882616092,0.09604074430172356,1.0000000000000002,0.9932612039946928,0.16408538823924065,0.14503850132593563,0,0.0
ALL,2.0,64740,10000000,0.10939025882616092,0.09604074430172356,1.0000000000000002,0.9865224079893918,0.21878051765232068,0.19470565194248718,0,0.0
ALL,3.0,64740,10000000,0.10939025882616092,0.09604074430172356,1.0000000000000002,0.9730462742012485,0.32816642043184285,0.29609967219339395,5,7.723200494284832e-05
ALL,4.0,64740,10000000,0.10939025882616092,0.09604074430172356,1.0000000000000002,0.9596086006129232,0.4373556932921723,0.40014904122466705,120,0.0018535681186283596
bnc_spoken,1.0,3599,575840,0.13182618601888738,0.13033003921114697,1.0000000000000002,0.999999999999999,0.13182618601888726,0.13033003921114694,0,0.0
bnc_spoken,1.5,3599,575840,0.13182618601888738,0.13033003921114697,1.0000000000000002,0.9990329287522176,0.19773927902833108,0.19568429947638608,0,0.0
bnc_spoken,2.0,3599,575840,0.13182618601888738,0.13033003921114697,1.0000000000000002,0.9980658575044337,0.26365237203777453,0.26116520915167735,0,0.0
bnc_spoken,3.0,3599,575840,0.13182618601888738,0.13033003921114697,1.0000000000000002,0.9961362614156728,0.3954507722711753,0.3924820837890064,2,0.0005557099194220616
bnc_spoken,4.0,3599,575840,0.13182618601888738,0.13033003921114697,1.0000000000000002,0.994374056375952,0.5256931685173154,0.5227788087775372,57,0.015837732703528756
childes,1.0,16093,2574880,0.10654039226022187,0.08528705025010033,1.0000000000000004,1.0000000000001807,0.10654039226022174,0.08528705025008466,0,0.0
childes,1.5,16093,2574880,0.10654039226022187,0.08528705025010033,1.0000000000000004,0.9883596134686287,0.1598105883903326,0.12943727529110663,0,0.0
childes,2.0,16093,2574880,0.10654039226022187,0.08528705025010033,1.0000000000000004,0.976719226937265,0.2130807845204435,0.17463985124473871,0,0.0
childes,3.0,16093,2574880,0.10654039226022187,0.08528705025010033,1.0000000000000004,0.953442120193998,0.3196126876996446,0.2683484794482424,2,0.00012427763623935873
childes,4.0,16093,2574880,0.10654039226022187,0.08528705025010033,1.0000000000000004,0.9302623984625632,0.42584868576898505,0.36645514987241345,39,0.002423413906667495
cleanqwen_fineweb_compact_view_reinvest,1.0,3005,423511,0.10615026423042594,0.08881754557886808,1.000000000000001,1.0000000000000004,0.10615026423042578,0.08881754557886806,0,0.0
cleanqwen_fineweb_compact_view_reinvest,1.5,3005,423511,0.10615026423042594,0.08881754557886808,1.000000000000001,0.9905091229861464,0.15922539634563887,0.13450286855173743,0,0.0
cleanqwen_fineweb_compact_view_reinvest,2.0,3005,423511,0.10615026423042594,0.08881754557886808,1.000000000000001,0.9810182459722934,0.21230052846085157,0.18107215832839169,0,0.0
cleanqwen_fineweb_compact_view_reinvest,3.0,3005,423511,0.10615026423042594,0.08881754557886808,1.000000000000001,0.9620364919445837,0.31845079269127774,0.27696728655065733,0,0.0
cleanqwen_fineweb_compact_view_reinvest,4.0,3005,423511,0.10615026423042594,0.08881754557886808,1.000000000000001,0.9430602096194463,0.4245821664533613,0.37670429141067274,3,0.0009983361064891847
gutenberg,1.0,11621,1859360,0.12095187853570273,0.11443669007587402,0.9999999999999998,1.0000000000000036,0.12095187853570284,0.11443669007587369,0,0.0
gutenberg,1.5,11621,1859360,0.12095187853570273,0.11443669007587402,0.9999999999999998,0.9966524884140502,0.18142781780355358,0.17223158233113112,0,0.0
gutenberg,2.0,11621,1859360,0.12095187853570273,0.11443669007587402,0.9999999999999998,0.9933049768281015,0.24190375707140568,0.23041602074984505,0,0.0
gutenberg,3.0,11621,1859360,0.12095187853570273,0.11443669007587402,0.9999999999999998,0.9866099536562013,0.36285563560710715,0.3479693965739715,0,0.0
gutenberg,4.0,11621,1859360,0.12095187853570273,0.11443669007587402,0.9999999999999998,0.9799195406562518,0.483753518491621,0.46707145439825515,5,0.00043025557180965496
neutral_cleanqwen_topup_compact_reinvest::open_subtitles,1.0,1,9,0.1111111111111111,0.09090909090909091,1.0,1.0,0.11111111111111112,0.09090909090909091,0,0.0
neutral_cleanqwen_topup_compact_reinvest::open_subtitles,1.5,1,9,0.1111111111111111,0.09090909090909091,1.0000000000000002,0.9886363636363638,0.16666666666666663,0.1379310344827586,0,0.0
neutral_cleanqwen_topup_compact_reinvest::open_subtitles,2.0,1,9,0.1111111111111111,0.09090909090909091,1.0,0.9772727272727274,0.22222222222222224,0.18604651162790697,0,0.0
neutral_cleanqwen_topup_compact_reinvest::open_subtitles,3.0,1,9,0.1111111111111111,0.09090909090909091,1.0,0.9545454545454546,0.3333333333333333,0.2857142857142857,0,0.0
neutral_cleanqwen_topup_compact_reinvest::open_subtitles,4.0,1,9,0.1111111111111111,0.09090909090909091,1.0,0.9318181818181818,0.4444444444444445,0.3902439024390244,0,0.0
open_subtitles,1.0,11434,1829440,0.12798819726889016,0.12194713020736006,0.9999999999999998,1.0000000000000024,0.12798819726889077,0.12194713020735988,0,0.0
open_subtitles,1.5,11434,1829440,0.12798819726889016,0.12194713020736006,0.9999999999999998,0.9967250509271126,0.19198229590333515,0.18352171959648766,0,0.0
open_subtitles,2.0,11434,1829440,0.12798819726889016,0.12194713020736006,1.0,0.9934501018542238,0.2559763945377815,0.24550227531257404,0,0.0
