category,boost,candidate_groups,candidate_tokens,candidate_group_frac_of_all_visible_groups,candidate_token_frac_of_all_visible_tokens,expected_selected_groups,expected_selected_tokens,expected_group_multiplier_vs_uniform_category,expected_token_multiplier_vs_uniform_category,expected_group_frac_of_all_selected_groups,expected_token_frac_of_all_selected_tokens
causal_temporal,1.0,204064.0,226140.0,0.020672379098432066,0.016499148339265215,30609.600000109956,33921.00000010633,1.0000000000035922,1.0000000000031346,0.020672379098506326,0.016499148339320546
causal_temporal,1.5,204064.0,226140.0,0.020672379098432066,0.016499148339265215,45914.399999827714,50881.499999822016,1.4999999999943716,1.4999999999947529,0.031008568647531744,0.024916630599561295
causal_temporal,2.0,204064.0,226140.0,0.020672379098432066,0.016499148339265215,61219.20000021991,67842.00000021266,2.0000000000071845,2.000000000006269,0.04134475819701265,0.03344911013819435
causal_temporal,3.0,204064.0,226140.0,0.020672379098432066,0.016499148339265215,91828.53572261782,101762.72009760645,2.999991366192888,2.999991748403834,0.062016958813962506,0.05086840182818406
causal_temporal,4.0,204064.0,226140.0,0.020672379098432066,0.016499148339265215,122420.5048316688,135663.57794664372,3.999415373989494,3.999397952496793,0.08267743078320827,0.06876413992522684
comparison_order,1.0,77980.0,88785.0,0.007899639927158796,0.0064777433682747946,11696.999999983318,13317.749999982525,0.9999999999985738,0.9999999999986878,0.007899639927147529,0.006477743368267713
comparison_order,1.5,77980.0,88785.0,0.007899639927158796,0.0064777433682747946,17545.500000011187,19976.625000000255,1.5000000000009563,1.500000000000019,0.011849459890745748,0.009782537577561758
comparison_order,2.0,77980.0,88785.0,0.007899639927158796,0.0064777433682747946,23393.999999966636,26635.49999996505,1.9999999999971476,1.9999999999973757,0.015799279854295058,0.013132480956957546
comparison_order,3.0,77980.0,88785.0,0.007899639927158796,0.0064777433682747946,35090.86741629032,39953.117416268455,2.9999886651526304,2.9999900445847425,0.02369883024026354,0.01997147117402147
comparison_order,4.0,77980.0,88785.0,0.007899639927158796,0.0064777433682747946,46772.05761218558,53250.31198896111,3.9986370532773856,3.9984465836166856,0.03158779292028662,0.026991119946070213
material_property,1.0,22522.0,29518.0,0.0022815554044558913,0.002153629878298535,3378.300000001318,4427.7000000009975,1.0000000000003901,1.0000000000002254,0.002281555404456781,0.002153629878299491
material_property,1.5,22522.0,29518.0,0.0022815554044558913,0.002153629878298535,5067.450000000402,6641.550000000814,1.500000000000119,1.5000000000001839,0.003422333106684108,0.0032523618202905864
material_property,2.0,22522.0,29518.0,0.0022815554044558913,0.002153629878298535,6756.600000002636,8855.400000001995,2.0000000000007803,2.0000000000004508,0.004563110808913562,0.0043661043294257905
material_property,3.0,22522.0,29518.0,0.0022815554044558913,0.002153629878298535,10134.900000000804,13283.100000001628,3.000000000000238,3.0000000000003677,0.006844666213368216,0.0066398585619167946
material_property,4.0,22522.0,29518.0,0.0022815554044558913,0.002153629878298535,13511.74889333382,17708.935849854275,3.9995704624615405,3.999578980024454,0.009125241604131274,0.008976172979789613
mental_state_social,1.0,175954.0,204369.0,0.017824740237795574,0.014910738688190027,26393.10000006905,30655.350000066508,1.0000000000026164,1.0000000000021696,0.017824740237842206,0.014910738688225641
mental_state_social,1.5,175954.0,204369.0,0.017824740237795574,0.014910738688190027,39589.64999986862,45983.02499986198,1.4999999999950222,1.4999999999954976,0.02673711035660463,0.022517851238189925
mental_state_social,2.0,175954.0,204369.0,0.017824740237795574,0.014910738688190027,52786.2000001381,61310.700000133016,2.0000000000052327,2.000000000004339,0.03564948047568441,0.030228890023109772
mental_state_social,3.0,175954.0,204369.0,0.017824740237795574,0.014910738688190027,79179.29999973724,91966.04999972395,2.9999999999900444,2.999999999990995,0.05347422071320926,0.04597131426370804
mental_state_social,4.0,175954.0,204369.0,0.017824740237795574,0.014910738688190027,105556.23337234349,122602.86793804338,3.9993874676466006,3.9993954705473396,0.07128804272109569,0.062144024901374016
negation_modality,1.0,219485.0,310053.0,0.022234578987079357,0.022621431148997072,32922.75000013239,46507.95000015022,1.0000000000040212,1.00000000000323,0.022234578987168768,0.02262143114907509
negation_modality,1.5,219485.0,310053.0,0.022234578987079357,0.022621431148997072,49384.12499980527,69761.92499982315,1.4999999999940854,1.4999999999961975,0.033351868480487525,0.0341623598978209
negation_modality,2.0,219485.0,310053.0,0.022234578987079357,0.022621431148997072,65845.50000026479,93015.90000030043,2.0000000000080425,2.00000000000646,0.044469157974337536,0.04586095757353215
negation_modality,3.0,219485.0,310053.0,0.022234578987079357,0.022621431148997072,98768.13248393657,139523.659854662,2.999996430551414,2.999995911551939,0.06670365759605154,0.06974406331924253
negation_modality,4.0,219485.0,310053.0,0.022234578987079357,0.022621431148997072,131666.92002473853,185996.5550246363,3.9992685916194284,3.999242173104519,0.0889220533909078,0.09427654296685652
physical_dynamics,1.0,19273.0,24108.0,0.0019524206247259744,0.0017589169017555753,2890.9500000010225,3616.200000001122,1.0000000000003537,1.0000000000003104,0.0019524206247266648,0.0017589169017565062
physical_dynamics,1.5,19273.0,24108.0,0.0019524206247259744,0.0017589169017555753,4336.42499999922,5424.300000000202,1.4999999999997302,1.500000000000056,0.0029286309370884344,0.0026562754510318707
physical_dynamics,2.0,19273.0,24108.0,0.0019524206247259744,0.0017589169017555753,5781.900000002045,7232.400000002244,2.0000000000007074,2.000000000000621,0.0039048412494533296,0.003565893460729247
physical_dynamics,3.0,19273.0,24108.0,0.0019524206247259744,0.0017589169017555753,8672.84999999844,10848.600000000404,2.9999999999994604,3.000000000000112,0.005857261874176869,0.005422918565305117
physical_dynamics,4.0,19273.0,24108.0,0.0019524206247259744,0.0017589169017555753,11562.666027286714,14463.269579633701,3.999607750838553,3.9995767876869923,0.007808916663551055,0.0073310339311658534
