source,rows,words,relation_group_frac_mean,relation_group_frac_p50,relation_group_frac_p90,relation_group_frac_p95,relation_group_frac_p99,relation_group_frac_max,relation_token_frac_mean,relation_token_frac_p50,relation_token_frac_p90,relation_token_frac_p95,relation_token_frac_p99,relation_token_frac_max
ALL,64740,10000000,0.10891426063965735,0.10741028343224804,0.1625,0.17567567567567569,0.21250000000000002,0.37037037037037035,0.09759128450390081,0.09565217391304348,0.15343915343915343,0.1717171717171717,0.20807431472081225,0.34513274336283184
bnc_spoken,3599,575840,0.13182636861610186,0.125,0.18124999999999997,0.20625,0.2625,0.35625,0.13013698197025386,0.1256544502617801,0.18947368421052632,0.21243523316062177,0.25002325581395346,0.3230769230769231
childes,16093,2574880,0.10610373058625538,0.1032258064516129,0.15625,0.175,0.2125,0.3670886075949367,0.08567150132789586,0.08203125,0.13043478260869565,0.14692716897185412,0.18185050505050504,0.27165354330708663
cleanqwen_fineweb_compact_view_reinvest,3005,423511,0.10618264079967309,0.10344827586206896,0.1558015754737066,0.17266457680250774,0.21051290646999665,0.2585034013605442,0.0897476474165082,0.08636363636363636,0.1356443233114726,0.1543541304167702,0.18685507929031248,0.24528301886792453
gutenberg,11621,1859360,0.12059069128742808,0.11875,0.1625,0.175,0.20625,0.3,0.11474649985045854,0.11312217194570136,0.16243654822335024,0.17766497461928935,0.20812182741116753,0.31958762886597936
neutral_cleanqwen_topup_compact_reinvest::open_subtitles,1,9,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
open_subtitles,11434,1829440,0.12791156495838615,0.125,0.17325641025641045,0.1875,0.2125,0.2875,0.1223297484303897,0.1201923076923077,0.1719244909502263,0.18779342723004694,0.21984105369426904,0.33984375
qwen_pair_packed,12236,1656800,0.10356571003302843,0.1015625,0.15330900243309004,0.16981132075471697,0.20253164556962025,0.37037037037037035,0.09311025208303954,0.08982035928143713,0.14367816091954022,0.16108314690529454,0.19548872180451127,0.34513274336283184
simple_wiki,6619,1059040,0.060771047737393044,0.05625,0.10625,0.125,0.15625,0.24375,0.04740217552099353,0.04245283018867924,0.08717948717948718,0.10499999999999998,0.14105136550162678,0.26953125
switchboard,132,21120,0.1253787878787879,0.125,0.16875,0.175,0.1918125,0.2,0.12093361854142055,0.11982035018420753,0.16325676714200324,0.1776642756500576,0.20099051633298204,0.20673076923076922
