pair,rows_any_side,words_any_side,rows_single_side_swappable,rows_both_sides
in/out,55132,8520372,41318,13814
on/off,39507,6144852,34912,4595
all/none,23311,3654454,22960,351
yes/no,28120,4447498,22923,5197
up/down,25228,3955389,21137,4091
like/dislike,18460,2906035,18424,36
know/ignore,17906,2838790,17889,17
can/cannot,18126,2849173,17726,400
left/right,15807,2499371,15010,797
before/after,14949,2303529,13710,1239
first/last,13204,2058568,12378,826
over/under,12664,1975058,12133,531
more/less,12417,1932204,11996,421
give/take,12249,1926932,11202,1047
front/back,11008,1727700,10640,368
many/few,7995,1237558,7686,309
most/least,6020,928737,5889,131
same/different,6001,933134,5744,257
help/hurt,4890,768692,4801,89
near/far,4245,657762,4127,118
large/small,4115,631695,3938,177
cause/prevent,3714,581251,3698,16
earlier/later,3227,500660,3189,38
believe/doubt,3126,484826,3064,62
arrive/leave,2956,461919,2939,17
similar/different,2970,458815,2915,55
hard/soft,2923,458728,2885,38
inside/outside,2981,465683,2862,119
open/closed,2753,431226,2689,64
heavy/light,2545,397304,2505,40
friend/enemy,2332,365509,2308,24
full/empty,2292,356917,2263,29
hot/cold,2345,368120,2225,120
friends/enemies,1967,308669,1952,15
gives/takes,1931,303207,1901,30
alive/dead,1862,293154,1762,100
true/false,1714,267960,1687,27
break/fix,1651,260205,1617,34
warm/cool,1575,248199,1551,24
above/below,1597,247051,1530,67
possible/impossible,1469,226016,1445,24
buy/sell,1473,232356,1415,58
win/lose,1464,228477,1410,54
push/pull,1211,191441,1182,29
safe/dangerous,1180,183603,1165,15
longer/shorter,1141,176165,1131,10
broken/fixed,1097,171193,1086,11
clean/dirty,1091,171633,1039,52
bigger/smaller,868,135501,846,22
pushed/pulled,833,129756,822,11
wet/dry,779,121801,736,43
arrives/leaves,695,107841,693,2
include/exclude,625,94826,624,1
allow/forbid,573,86484,572,1
helps/hurts,557,86074,556,1
likes/dislikes,503,79997,499,4
enter/exit,431,64903,425,6
causes/prevents,405,60401,405,0
includes/excludes,382,57022,382,0
increase/decrease,374,56178,366,8
increased/decreased,280,41706,277,3
liquid/solid,274,41828,272,2
allows/forbids,231,33994,231,0
enters/exits,286,44990,209,77
believes/doubts,185,28222,185,0
wins/loses,179,27933,174,5
breaks/fixes,166,25894,166,0
taller/shorter,129,19950,125,4
increases/decreases,99,14614,96,3
