id	group	title	status	intervention	finding	section
R01	Models and representations	Sparse routing and prefix memory	Conditional result	Compare sparse access, capacity, and shared initialization.	Local changes did not yield a stable broad advantage; fewer active parameters are not a substitute for comparing capability.	sec:frontier
R02	Models and representations	Character, subword, and morphological pathways	Conditional result	Distinguish auxiliary word-form structure from capacity effects and lookup controls.	Surface-information gains in limited settings have not become a stable broad advantage across seeds.	sec:frontier
R03	Models and representations	Whole-word and token masking	Experimental result	Compare masking granularity against a fixed training reference, examining paired seeds and individual task scores.	Granularity changes task trade-offs, supporting specific training choices but not a uniform ranking across all capabilities.	sec:frontier
R04	Models and representations	Backbone architecture and batch-size controls	Experimental result	Compare BERT- and DeBERTa-style configurations and check batch-size differences.	The late-training advantage of the combined configuration cannot be explained by batch size alone; the contributions of position-related components have not been independently isolated.	sec:frontier
R05	Models and representations	Recursive autoregressive training	Conditional result	Reproduce the recursive training scheme, complete the corresponding evaluation, and check word coverage.	This setting did not match the leading configuration; word-coverage differences cannot explain the entire performance gap.	sec:frontier
R06	Models and representations	Vocabulary, depth, width, and budget	Experimental result	Compare vocabulary sizes and depth-width configurations, distinguishing prototypes from budget-compliant retraining.	Higher tokenization compression ratios did not automatically yield stable gains; the actual training budget must also be accounted for.	sec:frontier
R07	Models and representations	Frequency gating and fine-grained representations	Exploratory construction	Let coarse-grained word representations draw on fine-grained units and check the zero-gate limit.	The limiting implementation behaves as expected, but trained models were not stronger; other gates and seeds remain candidates.	sec:frontier
R08	Models and representations	Components of a mature training recipe	Experimental result	Examine depth, width, vocabulary, LAMB, and sequence-length and masking curricula.	No single component reproduced the full configuration's performance; interactions among components must also be studied.	sec:frontier
R09	Models and representations	Gated feed-forward and layer-weighting candidates	Not yet run	Retain proposed designs for GEGLU, attention gating, and layer weighting.	These are candidates, not validated methods, and do not count as empirical model contributions.	sec:frontier
R10	Experience construction and compression	Aligned reformulation and correspondence	Experimental result	Compare correct and incorrect correspondence, matched sources, repetition, and split windows.	Relational organization changes learning, but benefits depend on the task; follow-up studies in the main text further distinguish target types.	sec:relation
R11	Experience construction and compression	Compact views and budget reinvestment	Modeling method	Compress the second view and use the freed word budget for more pairs.	Experience coverage increased, yielding a practical frontier-model method; the effects of compression and expanded coverage must be distinguished.	sec:frontier
R12	Experience construction and compression	Adjacency, repetition, and presentation layout	Experimental result	Compare content and adjacency effects, examining block and interleaved presentation.	Effects differ across capabilities; tokenizers and window settings must be matched.	sec:relation
R13	Experience construction and compression	Extractive compression and bridging text	Exploratory construction	Construct bridging texts with balanced coverage, broader coverage, and controlled lexical scope.	Word coverage can be checked, but it is not a substitute for semantic relations or gains in the complete model.	sec:experience_branch
R14	Experience construction and compression	Rule-based rewriting	Conditional result	Compare true pairs, same-entity mismatches, source-only controls, and shuffled controls.	Short-run results showed capability trade-offs, not joint gains; visible token counts still need to be matched.	sec:experience_branch
R15	Learning objectives and supervision allocation	Entity-mention consistency	Conditional result	Compare correct correspondence, incorrect correspondence, and ordinary whole-word masking.	Local advantages from correct correspondence did not reliably translate into broad capability gains.	sec:principles
R16	Learning objectives and supervision allocation	Counterfactual and cross-span supervision	Experimental result	Compare true-relation, wrong-relation, and no-relation conditions, checking existing capabilities.	An identifiable relation effect is a different conclusion from learning a relation from scratch.	sec:principles
R17	Learning objectives and supervision allocation	State text and directed masking	Conditional result	Construct training texts and target-position controls around state selection.	Target behavior can improve while broad language performance degrades, motivating joint tests of new learning and retention.	sec:guided
R18	Learning objectives and supervision allocation	Auxiliary causal objectives	Conditional result	Match shifted targets and gradient norms, comparing batch replacement with auxiliary learning.	Similarly directed gradients did not guarantee full-model improvement; local gradient relationships do not establish a general rule for training outcomes.	sec:measurement_branch
R19	Learning objectives and supervision allocation	Self-sampled replaced-token detection	Conditional result	Add a detection objective and decompose its gradient effects.	Short-run aggregate scores showed both gains and costs; overall effectiveness in late training remains unconfirmed.	sec:measurement_branch
R20	Learning objectives and supervision allocation	Target weighting and supervision coverage	Conditional result	Compare per-word averaging, coverage floors, and source-absent content weighting.	Local fit can improve at the cost of broader performance; replacement under an equal target budget still needs separate testing.	sec:principles
R21	Learning objectives and supervision allocation	Relational pivots and counterfactual cues	Conditional result	Match supervision quantity and distinguish relational selection from direct retrieval.	If retrieval still solves the task, high scores cannot establish a new computation for state selection.	sec:principles
R22	Learning objectives and supervision allocation	Gradient exchange and projection	Exploratory construction	Use centered four-condition comparisons, directional projection, and negative examples.	Local gradient differences have been observed, but long-term training gains have not been established.	sec:measurement_branch
R23	Learning objectives and supervision allocation	Coherent-context margin loss	Conditional result	Compare against negatives with disrupted context and examine late-stage continuation.	The expected behavioral separation was not obtained; the zero-coefficient comparison was not completed, so the result cannot be fully attributed to a single factor.	sec:measurement_branch
R24	Curricula and learning dynamics	Adaptive masking granularity	Experimental result	Compare data-objective combinations along training trajectories.	Early rankings can reverse; the learning stage must be considered when judging a training scheme.	sec:frontier
R25	Curricula and learning dynamics	Data order and developmental curricula	Experimental result	Use random and developmental orderings of the same content and correct truncation.	An effective combined scheme does not establish a universal advantage for curriculum ordering.	sec:frontier
R26	Curricula and learning dynamics	Context-length caps	Conditional result	Hold paired-example exposure fixed while comparing length caps and evaluation lengths.	The observed Overall change is affected by the AoA reference; the seven task families did not improve simultaneously.	sec:measurement_branch
R27	Curricula and learning dynamics	Optimizers and mature model states	Experimental result	Compare AdamW, LAMB, optimizer switches at maturity, and trust ratios.	Local numerical changes during optimization have not yet been shown to predict late-training model outcomes.	sec:measurement_branch
R28	Curricula and learning dynamics	Checkpoint averaging and restarts	Experimental result	Compare averaging adjacent checkpoints, restarts, and another seed.	Averaging did not reliably improve on individual high-scoring models; model selection and methodological attribution must be separated.	sec:frontier
R29	Curricula and learning dynamics	Relation dose and learning maturity	Experimental result	Compare concentrated, sparse, and role-changing binding experience.	Constructed tasks can be learned, but natural-text training with a weak base and sparse exposure did not automatically reproduce the capability; additional budget is listed separately.	sec:principles
R30	Curricula and learning dynamics	Continued relation-training candidates	Not yet run	Retain proposals for continued relation losses, switching between local and full context, and remention masking.	These remain routes to test, not achieved results.	sec:principles
R31	Residual structures and incremental learning	Zero-initialized bottleneck branch	Modeling method	Check shared parameters, disabled-branch controls, and training trajectories.	The branch preserves the base function at initialization and when disabled; joint training still updates the base.	sec:frontier
R32	Residual structures and incremental learning	Main and auxiliary path separation	Experimental result	Move from broad to sparse auxiliary learning, including comparisons with the auxiliary branch disabled on the main path.	Early gains did not carry over directly to mature models, motivating ordinary coherent replay.	sec:frontier
R33	Residual structures and incremental learning	Dedicated increments on a frozen base	Modeling method	Train only newly added parameters, using ordinary prediction and KL; compare coherent and disrupted inputs.	This produced the first-generation model; disabling the branch restores the base, but retention with it enabled still requires evaluation.	sec:frontier
R34	Residual structures and incremental learning	Model lineage and scale selection	Methods and diagnostics	Distinguish continuous-packing branches, the main model, incremental branches, and the inference scale used for release.	Actual weight inheritance does not mean that every research route entered the final model in sequence.	sec:lineage
R35	Entity memory and addressing	Writing and reading with supplied addresses	Experimental result	Compare consistent address permutations, wrong addresses, overwrites, and slot swaps.	Stored signals have a functional role; results using gold-standard addresses do not establish natural-language addressing.	sec:memory_branch
R36	Entity memory and addressing	Answer shortcuts in a tiny binding task	Withdrawn	Subsequent checks found that answers did not change with the queried entity.	The original high scores no longer support compositional binding; correcting the corpus is not equivalent to verification by retraining.	sec:memory_branch
R37	Entity memory and addressing	Routing from natural text to addresses	Experimental result	Compare raw-text, lexical, recurrent, and discrete routing with correct supplied addresses.	High aggregate token accuracy concealed zero recall on critical queries, identifying an addressing bottleneck.	sec:memory_branch
R38	Entity memory and addressing	Pointer and copy initialization	Exploratory construction	Test initialization for small pointer models, embeddings, and copying behavior.	Being able to copy does not mean being able to select the correct entity state.	sec:memory_branch
R39	Selection and readout	Format preadaptation and label alignment	Experimental result	Compare preparatory training with aligned, shuffled, and unrelated labels.	Several forms of preparation can help subsequent learning, so the benefit cannot be attributed solely to one particular correspondence signal.	sec:memory_branch
R40	Selection and readout	Frozen readers and within-group selection	Experimental result	Train selection using a four-candidate within-group softmax, measuring lexical, role, and temporal semantics separately.	Lexical matching and role swaps were nearly fully successful, but selecting prior versus updated states remained weak.	sec:memory_branch
R41	Relational structure and identity	Identifiability of relational rules	Experimental result	Vary the initial owner and construct balanced counterexamples.	High training scores may reflect an anti-copy shortcut; counterfactuals help identify the intended rule.	sec:anchors
R42	Relational structure and identity	Binary relation graphs and sparse anchors	Experimental result	Compare shared and separate representations, reverse anchors, and measure whether relative relations are preserved, using multiple training seeds.	Absolute orientation can propagate along shared paths while relative relations are preserved; the conclusion is limited to the given hypothesis class.	sec:anchors
R43	Relational structure and identity	Character identity and access to relational structure	Experimental result	Learn matching from letter-equality supervision, then connect it to shared relational structure.	Coverage of the base alphabet supports new combinations; candidates and hard assignments are supplied, and edge deletion also changes the training amount.	sec:anchors
R44	Relational structure and identity	Leakage-free graph and program construction	Exploratory construction	Generate neutral, reversed, and program-structured tasks, checking categories and priors.	Candidate yield and type balance remain limited; prototypes do not establish general reasoning ability.	sec:anchors
R45	Conditional value of experience	Structural density and representation recovery	Conditional result	Compare structural densities, residualized conditions, and random controls.	Recovery of local structural readouts did not guarantee broad gains and must not be conflated with capacity.	sec:experience_branch
R46	Conditional value of experience	Tail training on shared-source clusters	Conditional result	Compare true, shuffled, repeated, and ordinary experience.	Outperforming mismatched controls does not mean outperforming all references; model measurements are incomplete.	sec:experience_branch
R47	Conditional value of experience	Views, breadth, and repetition under a fixed budget	Experimental result	Replace training experience under a common budget and retain multiple late-stage models.	Late-stage gains depend on experience type and architecture; adding distinct sentences is not equivalent to adding documents.	sec:experience_branch
R48	Conditional value of experience	Register substitution and data-value prediction	Experimental result	Hold added content fixed, vary the displaced register, and compare word distributions and task scores.	Opportunity costs differ with the material displaced; results from different measurement settings cannot directly validate the same prediction.	sec:experience_branch
R49	Conditional value of experience	Selecting explicit relational text	Exploratory construction	Compare explicit relational text with random quality controls and filter natural state text.	Qualified candidates are limited; short-run results cannot be treated as a mature large-scale training stream.	sec:experience_branch
R50	Supervision targets and sources	Deletion of source-absent and copied targets	Experimental result	Keep inputs fixed and nearly match the number of deleted targets, using source-pair-disjoint and document-disjoint splits.	Local source-pair results hold, but intervals under stricter document separation cross zero; rankings on the full task set differ.	sec:principles
R51	Supervision targets and sources	Correct, wrong, and missing sources	Experimental result	Hold target tokens fixed and vary source conditions.	Source effects can exist without added supervision and cannot directly be treated as the cause of final-model improvement.	sec:relation
R52	Supervision targets and sources	Coverage, order, and local context	Methods and diagnostics	Distinguish source presence, prefix placement, gaps, and relative text positions within windows.	Comparisons with incompletely verified model-loading identity illustrate context geometry only; they do not confirm specific mechanism effects.	sec:relation
R53	Functional mechanisms and learning signals	Ordered composition and dynamic binding	Experimental result	Compare dynamic and static relations, local and final supervision, and examine readouts.	Information decodable from representations is not necessarily a computation the model actually performs.	sec:reach
R54	Functional mechanisms and learning signals	Contextual hidden states and interventions	Experimental result	Compare consistent prefixes, mismatches, entity substitutions, and activation replacements.	Topic information can be present even when state-dependent execution fails; behavioral and functional tests are both needed.	sec:reach
R55	Functional mechanisms and learning signals	State updates in microworlds	Methods and diagnostics	Control states, actions, contradictions, answer cues, and overwrites.	These provide diagnostic tools, not automatic evidence that the same selector has formed in natural text.	sec:reach
R56	Functional mechanisms and learning signals	Gradient conflict and learning-signal estimation	Conditional result	Use comparisons with identical materials, across pairs, and with held-out objects.	Local correlations have not become stable prospective predictors of learning gains.	sec:measurement_branch
R57	Functional mechanisms and learning signals	Contrastive prediction and auxiliary readouts	Conditional result	Compare same-source, cross-source, and hard-negative conditions.	Fitting or saturating an auxiliary objective is insufficient evidence that new capability has formed.	sec:measurement_branch
R58	Functional mechanisms and learning signals	Layer-wise readouts and position editing	Conditional result	Use bilinear and ridge-regression readouts, rotated-null controls, and local edits.	Local fit does not guarantee held-out transfer; limited editing examples do not support broad mechanistic conclusions.	sec:reach
R59	Functional mechanisms and learning signals	Score changes under pair swaps	Methods and diagnostics	Check matching conditions including categories, shuffling, and length swaps.	Algebraic cancellation in scores does not mean that the model actually used the correspondence.	sec:measurement_branch
R60	Measurement, transfer, and attribution	Shared-parameter initialization	Methods and diagnostics	Explicitly copy shared tensors and separately measure architectures' absolute capability and the relative effects of data.	The same random seed does not guarantee identical initial values; after correction, evidence for a large interaction was substantially weakened.	sec:measurement_branch
R61	Measurement, transfer, and attribution	Macro averages and item-level changes	Methods and diagnostics	Compute gains, losses, net changes, and complementary items separately.	Macro averages and net changes in the number of correct answers can have opposite signs; one aggregate score cannot fully describe capability changes.	sec:measurement_branch
R62	Measurement, transfer, and attribution	Transfer conditions and representation geometry	Conditional result	Compare seed conditions, principal components, and random controls.	Correlations and radial growth have not established capability conservation or a universal law of transfer.	sec:measurement_branch
R63	Measurement, transfer, and attribution	Complete evaluation and model interfaces	Methods and diagnostics	Verify the loading implementation, AoA trajectories, and commonsense-task and Reading scoring.	Missing measurements, zero scores, and publicly displayed values are treated separately; complete model identity determines comparability.	app:evaluation
R64	Systems and computation	Word boundaries, packing, and visible budgets	Methods and diagnostics	Check pair integrity, truncation, and actual presentation in continuous windows.	Accounted word counts must correspond to visible content; prototype and final tokenizer implementations must not be mixed.	sec:measurement_branch
R65	Systems and computation	Microbatches and gradient equivalence	Methods and diagnostics	Weight by target count and compare gradients before and after activation recomputation under fixed randomness.	These checks validate limited implementation conditions, not exact identity of complete stochastic training trajectories.	sec:measurement_branch
R66	Systems and computation	Model reconstruction and cost breakdown	Methods and diagnostics	Fix the identities of weights, configuration, and code, separating training from search costs.	Same-seed reconstruction, replication across seeds, and compute savings are distinct conclusions.	app:repro
R67	Core research: extensions and empirical tests	Selectivity in relation learning	Experimental result	Compare source advantages from verbatim repetition and aligned reformulation across three seeds.	The effects on compact reformulation targets differ in direction and do not imply that repetition is universally harmful.	sec:relation
R68	Core research: extensions and empirical tests	Prediction windows with matched materials	Experimental result	Split repetition pairs and reformulation pairs into separate windows in their respective conditions.	The large source effects were substantially attenuated; content is matched between the same-window and split-window versions of each pairing condition.	sec:relation
R69	Core research: extensions and empirical tests	Transfer conditions for natural reformulations	Experimental result	Group natural-restatement targets by whether their exact tokenizer ID appears in the source.	Aligned restatement improves source use for recurring target tokens; nonrecurring targets show no equally stable improvement over the reference. This distinction is lexical, not a definition of semantic novelty.	sec:relation
