pair_id,category,pivot_norm_a,target_norm_a,target_norm_b,target_class,target_token_len,target_freq_bin_a,target_freq_bin_b,left_distance,right_distance,between_content_count,row_a,source_a
p0000000,temporal,when,trips,mister,content,1,101-250,101-250,4,1,2,255,childes
p0000001,spatial,onto,blue,silver,content,1,1001+,1001+,2,2,2,256,childes
p0000002,temporal,when,forth,heard,content,1,501-1000,1001+,2,2,2,257,gutenberg
p0000003,spatial,against,seemed,called,verbish,1,1001+,1001+,4,3,2,257,gutenberg
p0000004,causal_connector,because,loved,going,verbish,1,501-1000,1001+,2,7,3,260,bnc_spoken
p0000005,temporal,when,even,children,verbish,1,1001+,1001+,1,3,2,260,bnc_spoken
p0000006,causal_connector,if,quiet,babies,content,1,501-1000,251-500,2,3,1,262,gutenberg
p0000007,spatial,within,already,feet,content,1,1001+,1001+,1,2,2,262,gutenberg
p0000008,temporal,after,best,to-day,content,2,1001+,251-500,1,1,1,263,gutenberg
p0000009,spatial,against,various,native,adjectival,1,501-1000,501-1000,2,2,3,271,fw_preserved_compact_view
p0000010,spatial,through,church,catholic,capitalized,1,1001+,251-500,1,3,2,277,simple_wiki
p0000011,temporal,after,rome,jesus,capitalized,1,251-500,501-1000,6,4,6,277,simple_wiki
p0000012,causal_connector,if,can,brain,content,1,1001+,501-1000,3,6,2,278,childes
p0000013,temporal,until,fighting,beaten,verbish,1,501-1000,101-250,1,3,1,279,gutenberg
p0000014,temporal,until,beaten,gained,verbish,1,101-250,251-500,5,3,3,279,gutenberg
p0000015,temporal,when,number,you're,content,2,1001+,1001+,6,1,2,281,open_subtitles
p0000016,temporal,when,number,keep,content,1,1001+,1001+,1,7,3,281,open_subtitles
p0000017,spatial,across,will,mommy,content,1,1001+,1001+,5,5,2,282,childes
p0000018,spatial,across,help,mommy,content,1,1001+,1001+,3,4,1,282,childes
p0000019,temporal,while,little,play,content,1,1001+,1001+,1,2,1,283,childes
p0000020,causal_connector,if,we'll,he's,content,2,1001+,1001+,2,1,1,285,childes
p0000021,causal_connector,if,he's,goes,content,2,1001+,1001+,4,4,5,285,childes
p0000022,spatial,into,now,other,content,1,1001+,1001+,2,2,2,286,gutenberg
p0000023,comparative,longer,house,soldier,content,2,1001+,251-500,6,4,4,286,gutenberg
p0000024,causal_connector,if,would,went,content,1,1001+,1001+,2,2,2,287,qwen_pair_packed
p0000025,causal_connector,if,would,went,content,1,1001+,1001+,2,2,2,287,qwen_pair_packed
p0000026,spatial,into,father,stop,content,1,1001+,1001+,1,6,3,288,simple_wiki
p0000027,temporal,until,mother,gave,content,1,1001+,1001+,2,3,3,288,simple_wiki
p0000028,causal_connector,if,mean,you're,content,2,1001+,1001+,1,1,1,291,bnc_spoken
p0000029,causal_connector,although,should,opposite,content,1,1001+,251-500,7,6,4,291,bnc_spoken
p0000030,temporal,when,lunar,scales,content,2,11-25,51-100,2,1,2,292,fw_preserved_compact_view
p0000031,spatial,against,emperor,gold,content,1,251-500,1001+,1,1,1,292,fw_preserved_compact_view
p0000032,temporal,when,beard,bade,content,1,101-250,101-250,1,6,3,296,gutenberg
p0000033,causal_connector,if,spirit,suppose,content,1,501-1000,1001+,4,2,2,296,gutenberg
p0000034,spatial,inside,file,container,content,1,251-500,51-100,2,3,3,300,fw_preserved_compact_view
