pair_id,match_level,pair_cost,category,target_class,target_token_len,target_token_pattern,target_freq_bin_a,target_freq_bin_b,target_freq_bin_delta,distance_bin_a,distance_bin_b,distance_bin_delta,row_a,row_b,source_a,source_b,target_norm_a,target_norm_b,pivot_norm_a,pivot_norm_b
p0000000,1,2.134,causal_connector,adjectival,1,S,51-100,51-100,0,2,1,1,19772,1649,qwen_pair_packed,gutenberg,fundamental,fearful,because,though
p0000001,1,2.121,causal_connector,adjectival,1,S,51-100,51-100,0,3-4,2,1,13123,10805,simple_wiki,qwen_pair_packed,competitive,inaugural,because,although
p0000002,0,0.0,causal_connector,adjectival,1,S,101-250,101-250,0,3-4,3-4,0,6721,6670,gutenberg,bnc_spoken,delightful,arrive,if,if
p0000003,1,2.1,causal_connector,adjectival,1,S,101-250,101-250,0,5-8,3-4,1,10744,13881,gutenberg,simple_wiki,mental,administrative,if,thus
p0000004,0,0.0,causal_connector,adjectival,1,S,101-250,101-250,0,3-4,3-4,0,14682,17078,open_subtitles,simple_wiki,useless,contrary,because,because
p0000005,0,0.0,causal_connector,adjectival,1,S,101-250,101-250,0,3-4,3-4,0,12790,15629,bnc_spoken,simple_wiki,valuable,practical,because,because
p0000006,0,0.0,causal_connector,adjectival,1,S,101-250,101-250,0,3-4,3-4,0,19075,6598,childes,simple_wiki,magnetic,remarkable,if,because
p0000007,0,0.057,causal_connector,adjectival,1,S,101-250,101-250,0,3-4,3-4,0,5452,5659,qwen_pair_packed,gutenberg,practical,delightful,because,although
p0000008,0,0.10500000000000001,causal_connector,adjectival,1,S,101-250,101-250,0,3-4,3-4,0,13939,14539,qwen_pair_packed,bnc_spoken,faithful,enormous,because,thus
p0000009,0,0.0,causal_connector,adjectival,1,S,101-250,101-250,0,2,2,0,4917,5235,simple_wiki,gutenberg,internal,tremendous,because,if
p0000010,1,2.1,causal_connector,adjectival,1,S,101-250,101-250,0,3-4,2,1,16137,13891,open_subtitles,simple_wiki,impressive,initial,because,because
p0000011,0,0.0,causal_connector,adjectival,1,S,101-250,101-250,0,1,1,0,3888,6712,gutenberg,simple_wiki,visible,illegal,if,because
p0000012,0,0.042,causal_connector,adjectival,1,S,251-500,251-500,0,3-4,3-4,0,14784,370,gutenberg,qwen_pair_packed,critical,numerous,if,because
p0000013,0,0.003,causal_connector,adjectival,1,S,251-500,251-500,0,1,1,0,13559,15160,fw_preserved_compact_view,qwen_pair_packed,responsible,numerous,thus,although
p0000014,0,0.07,causal_connector,adjectival,1,S,251-500,251-500,0,3-4,3-4,0,6182,18646,qwen_pair_packed,gutenberg,unable,impossible,although,if
p0000015,0,0.0,causal_connector,adjectival,1,S,251-500,251-500,0,3-4,3-4,0,550,17984,bnc_spoken,simple_wiki,additional,official,if,although
p0000016,0,0.0,causal_connector,adjectival,1,S,251-500,251-500,0,2,2,0,1545,17134,open_subtitles,gutenberg,active,trial,because,though
p0000017,0,0.0,causal_connector,adjectival,1,S,251-500,251-500,0,3-4,3-4,0,10027,16918,open_subtitles,gutenberg,global,anxious,because,if
p0000018,0,0.1,causal_connector,adjectival,1,S,251-500,251-500,0,3-4,3-4,0,174,18042,gutenberg,simple_wiki,impossible,official,if,although
p0000019,1,2.2,causal_connector,adjectival,1,S,251-500,251-500,0,3-4,2,1,9901,2268,gutenberg,simple_wiki,impossible,previous,unless,although
p0000020,0,0.2,causal_connector,adjectival,1,S,251-500,251-500,0,5-8,5-8,0,2919,6643,open_subtitles,gutenberg,ordinary,powerful,because,if
p0000021,0,0.007,causal_connector,adjectival,1,S,251-500,251-500,0,2,2,0,3671,9874,simple_wiki,qwen_pair_packed,specific,additional,although,because
p0000022,0,0.039,causal_connector,adjectival,1,S,251-500,251-500,0,2,2,0,6544,12407,fw_preserved_compact_view,gutenberg,successful,active,if,unless
p0000023,0,0.0,causal_connector,adjectival,1,S,501-1000,501-1000,0,3-4,3-4,0,7965,7148,open_subtitles,bnc_spoken,various,final,because,because
p0000024,0,0.0,causal_connector,adjectival,1,S,501-1000,501-1000,0,5-8,5-8,0,18388,15647,bnc_spoken,gutenberg,total,wonderful,if,if
p0000025,0,0.0,causal_connector,adjectival,1,S,501-1000,501-1000,0,3-4,3-4,0,5352,3146,open_subtitles,bnc_spoken,plastic,necessary,if,though
p0000026,0,0.0,causal_connector,adjectival,1,S,501-1000,501-1000,0,3-4,3-4,0,12249,7583,simple_wiki,gutenberg,medical,personal,if,if
p0000027,1,2.128,causal_connector,adjectival,1,S,501-1000,501-1000,0,3-4,5-8,1,9515,18082,open_subtitles,fw_preserved_compact_view,terrible,necessary,because,thus
p0000028,1,2.2,causal_connector,adjectival,1,S,501-1000,501-1000,0,2,3-4,1,17025,14685,bnc_spoken,open_subtitles,total,personal,although,though
p0000029,0,0.1,causal_connector,adjectival,1,S,1001+,1001+,0,5-8,5-8,0,7819,9847,childes,gutenberg,five,able,if,though
p0000030,0,0.0,causal_connector,adjectival,1,S,1001+,1001+,0,3-4,3-4,0,15541,5552,gutenberg,bnc_spoken,live,give,though,because
p0000031,0,0.0,causal_connector,adjectival,1,S,1001+,1001+,0,1,1,0,9980,17407,open_subtitles,gutenberg,give,possible,if,if
p0000032,1,2.1,causal_connector,adjectival,1,S,1001+,1001+,0,1,2,1,5227,15546,bnc_spoken,open_subtitles,local,live,if,because
p0000033,0,0.003,causal_connector,adjectival,1,S,1001+,1001+,0,3-4,3-4,0,7779,2908,qwen_pair_packed,simple_wiki,give,several,though,although
p0000034,0,0.0,causal_connector,adjectival,1,S,1001+,1001+,0,2,2,0,17034,14697,open_subtitles,simple_wiki,give,special,if,if
p0000035,1,2.1,causal_connector,adjectival,1,S,1001+,1001+,0,1,2,1,3964,16559,bnc_spoken,gutenberg,give,able,if,though
p0000036,0,0.0,causal_connector,adjectival,1,S,1001+,1001+,0,2,2,0,6280,19831,simple_wiki,gutenberg,deal,give,because,therefore
p0000037,0,0.0,causal_connector,adjectival,1,S,1001+,1001+,0,3-4,3-4,0,5509,17340,gutenberg,open_subtitles,real,give,though,if
p0000038,0,0.0,causal_connector,adjectival,1,S,1001+,1001+,0,3-4,3-4,0,16327,9612,open_subtitles,childes,able,real,because,because
p0000039,0,0.005,causal_connector,adjectival,1,S,1001+,1001+,0,2,2,0,14798,8345,fw_preserved_compact_view,qwen_pair_packed,several,give,because,therefore
p0000040,0,0.0,causal_connector,adjectival,1,S,1001+,1001+,0,2,2,0,14490,9708,bnc_spoken,gutenberg,give,live,if,if
p0000041,0,0.0,causal_connector,adjectival,1,S,1001+,1001+,0,5-8,5-8,0,4242,17932,gutenberg,open_subtitles,beautiful,give,if,because
p0000042,0,0.0,causal_connector,adjectival,1,S,1001+,1001+,0,3-4,3-4,0,3528,12502,open_subtitles,gutenberg,live,possible,if,thus
p0000043,0,0.0,causal_connector,adjectival,1,S,1001+,1001+,0,3-4,3-4,0,9494,19672,gutenberg,open_subtitles,live,real,if,if
