mode,source,source_family,rows,words_10M,eligible_spans,rows_with_ge2_spans,candidate_pairs,candidate_pairs_per_1M_words,overlap_mean,overlap_p90,overlap_p95,overlap_p99,row_max_overlap_p90,row_max_overlap_p95,row_max_overlap_p99
refined,bnc_spoken,natural_babylm_subcorpus,3852,605791,12083,3314,17414,28745.887608102465,0.10753289124197124,0.3,0.4285714285714285,0.6666666666666666,0.5,0.6,0.8333333333333334
refined,childes,natural_babylm_subcorpus,17267,2714009,7472,1620,3299,1215.5449742429005,0.15038438313405772,0.375,0.5714285714285714,1.0,0.5,0.6666666666666666,1.0
refined,gutenberg,natural_babylm_subcorpus,12469,1959717,48591,12208,79008,40316.0252220091,0.06237200478585794,0.2,0.25,0.375,0.3333333333333333,0.38461538461538464,0.5555555555555556
refined,open_subtitles,natural_babylm_subcorpus,12249,1924965,14462,4050,10551,5481.138618104745,0.06741443441789546,0.2222222222222222,0.2928571428571428,0.625,0.2672727272727267,0.375,0.8
refined,qwen_pair_packed,designed_qwen_pair_packed,12236,1656800,59075,12179,123968,74823.75663930469,0.15797613254631263,0.7777777777777779,0.8888888888888888,0.9399821746880601,0.9375,1.0,1.0
refined,simple_wiki,natural_babylm_subcorpus,7099,1116634,33127,6833,70009,62696.46097109706,0.09209268580077175,0.2631578947368421,0.375,0.75,0.5555555555555556,0.7,0.8888888888888888
refined,switchboard,natural_babylm_subcorpus,141,22084,359,118,365,16527.80293425104,0.10251144073422372,0.25,0.3333333333333333,0.5,0.375,0.4309523809523808,0.546111111111111
visible,bnc_spoken,natural_babylm_subcorpus,3852,605791,12093,3317,17442,28792.108169319123,0.10769482758130386,0.3,0.42857142857142855,0.6666666666666666,0.5,0.6,0.8333333333333334
visible,childes,natural_babylm_subcorpus,17267,2714009,10773,2574,5740,2114.9524559424817,0.2002922086595739,0.5,0.75,1.0,0.6,0.75,1.0
visible,gutenberg,natural_babylm_subcorpus,12469,1959717,48733,12213,79497,40565.55104640109,0.06277868867979663,0.2,0.25,0.375,0.33333333333333326,0.4,0.5555555555555556
visible,open_subtitles,natural_babylm_subcorpus,12249,1924965,14752,4140,10964,5695.687973547571,0.07050583067021714,0.2222222222222222,0.3,0.6666666666666666,0.2857142857142857,0.37529761904761744,0.8203333333333225
visible,qwen_pair_packed,designed_qwen_pair_packed,12236,1656800,59458,12184,125517,75758.69145340416,0.15728086645548503,0.7777777777777778,0.8888888888888888,0.9375,0.9375,1.0,1.0
visible,simple_wiki,natural_babylm_subcorpus,7099,1116634,33166,6837,70133,62807.50899578555,0.0920290143046189,0.25,0.375,0.75,0.5555555555555556,0.7,0.8888888888888888
visible,switchboard,natural_babylm_subcorpus,141,22084,359,118,365,16527.80293425104,0.10251144073422372,0.25,0.3333333333333333,0.5,0.375,0.4309523809523808,0.546111111111111
visible,ALL,ALL,65313,10000000,179334,41383,309658,30965.800000000003,0.11310847403526489,0.375,0.7333333333333333,0.9230769230769231,0.9090909090909091,0.9285714285714286,1.0
visible,NATURAL_ONLY,NATURAL_ONLY,53077,8343200,119876,29199,184141,22070.788186786845,0.08299901346206949,0.25,0.3333333333333333,0.625,0.4444444444444444,0.5555555555555556,0.875
visible,DESIGNED_QWEN_PAIR_PACKED,DESIGNED_QWEN_PAIR_PACKED,12236,1656800,59458,12184,125517,75758.69145340416,0.15728086645548503,0.7777777777777778,0.8888888888888888,0.9375,0.9375,1.0,1.0
refined,ALL,ALL,65313,10000000,175169,40322,304614,30461.399999999998,0.11186810722851455,0.375,0.7333333333333333,0.9230769230769231,0.9090909090909091,0.9285714285714286,1.0
refined,NATURAL_ONLY,NATURAL_ONLY,53077,8343200,116094,28143,180646,21651.884169143734,0.08022655589277064,0.25,0.3333333333333333,0.6,0.42857142857142855,0.5,0.875
refined,DESIGNED_QWEN_PAIR_PACKED,DESIGNED_QWEN_PAIR_PACKED,12236,1656800,59075,12179,123968,74823.75663930469,0.15797613254631263,0.7777777777777779,0.8888888888888888,0.9399821746880601,0.9375,1.0,1.0
