arch,arm,checkpoint,seed,role,probe_family,probe_id,effect_no_all_relevant_updates,effect_no_initial_qbox,effect_no_last_relevant_update,entity_type,irrelevant_ops,item_index,margin_full,margin_no_all_relevant_updates,margin_no_initial_qbox,margin_no_last_relevant_update,prefix_words_full,query_box,relevant_updates,reported_numops,stale_idx,total_ops,uid
D,D_C_43222,chck_90M,43222,C,entity_gold_stale_cue_ablation,entityabl:0:regular_2_ops:7,-1.1254473701119423,0.9583377540111542,0.8972260728478432,regular,1,7,6.069894641637802,4.94444727152586,7.028232395648956,6.967120714485645,89,0,2,2,1,3,regular_2_ops
D,D_C_43222,chck_90M,43222,C,entity_gold_stale_cue_ablation,entityabl:1000:move_contents_3_ops:54,-2.608072280883789,-1.116912841796875,-1.555790901184082,move_contents,5,54,-1.8105049133300781,-4.418577194213867,-2.927417755126953,-3.36629581451416,136,5,3,3,1,8,move_contents_3_ops
D,D_C_43222,chck_90M,43222,C,entity_gold_stale_cue_ablation,entityabl:1001:move_contents_3_ops:56,-8.031479477882385,-2.406012177467346,-1.2105141878128052,move_contents,5,56,8.343634247779846,0.31215476989746094,5.9376220703125,7.133120059967041,111,2,3,3,1,8,move_contents_3_ops
D,D_C_43222,chck_90M,43222,C,entity_gold_stale_cue_ablation,entityabl:1002:move_contents_3_ops:71,-5.206635475158691,0.5251073837280273,1.143564224243164,move_contents,5,71,0.07721328735351562,-5.129422187805176,0.602320671081543,1.2207775115966797,134,5,3,3,1,8,move_contents_3_ops
D,D_C_43222,chck_90M,43222,C,entity_gold_stale_cue_ablation,entityabl:1003:move_contents_3_ops:78,0.5015459060668945,-1.3613853454589844,-0.5007257461547852,move_contents,5,78,0.8213939666748047,1.3229398727416992,-0.5399913787841797,0.32066822052001953,119,2,3,3,1,8,move_contents_3_ops
D,D_C_43222,chck_90M,43222,C,entity_gold_stale_cue_ablation,entityabl:1004:move_contents_3_ops:91,-1.684544563293457,-0.3936958312988281,-0.3396186828613281,move_contents,5,91,-0.5633640289306641,-2.247908592224121,-0.9570598602294922,-0.9029827117919922,124,2,3,3,1,8,move_contents_3_ops
D,D_C_43222,chck_90M,43222,C,entity_gold_stale_cue_ablation,entityabl:1005:move_contents_3_ops:97,-4.571425408124924,11.649773567914963,0.27403776347637177,move_contents,7,97,-4.493786066770554,-9.065211474895477,7.155987501144409,-4.219748303294182,149,4,2,3,1,9,move_contents_3_ops
D,D_C_43222,chck_90M,43222,C,entity_gold_stale_cue_ablation,entityabl:1006:move_contents_3_ops:108,-1.787672519683838,-0.34885120391845703,-2.359865665435791,move_contents,6,108,3.127516269683838,1.33984375,2.778665065765381,0.7676506042480469,143,0,3,3,1,9,move_contents_3_ops
D,D_C_43222,chck_90M,43222,C,entity_gold_stale_cue_ablation,entityabl:1007:move_contents_3_ops:109,-1.3282279968261719,0.5886721611022949,-1.3538289070129395,move_contents,7,109,-3.809253215789795,-5.137481212615967,-3.2205810546875,-5.163082122802734,119,4,2,3,1,9,move_contents_3_ops
D,D_C_43222,chck_90M,43222,C,entity_gold_stale_cue_ablation,entityabl:1008:move_contents_3_ops:111,0.34908461570739746,-0.1760406494140625,0.5111083984375,move_contents,7,111,-6.24062442779541,-5.891539812088013,-6.416665077209473,-5.72951602935791,130,0,2,3,1,9,move_contents_3_ops
