label,pred_id,entity_type,reported_numops,total_ops,irrelevant_ops,irrelevant_bin,base_correct,label_correct,gold,pred,pred_item_count,gold_item_count,pred_item_hits,gold_item_hits,pred_minus_gold_item_hits,pred_item_hit_fraction,gold_item_hit_fraction,pred_token_hits,gold_token_hits,pred_minus_gold_token_hits,pred_token_hit_fraction,gold_token_hit_fraction,pred_more_items,pred_more_tokens,pred_less_items,pred_less_tokens,pred_hit_items,gold_hit_items,operation_items,operations
coherent86,ambiref_0_ops_0,ambiref,0,0,0,0,0,0,the blue card and the small tissue and the red rose.,the red shirt and the yellow coat and the blue jacket.,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_1,ambiref,0,0,0,0,1,1,the yellow meat.,the yellow meat.,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_2,ambiref,0,0,0,0,0,0,the small flower and the red milk and the big watch.,the green letter and the yellow book and the blue machine.,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_3,ambiref,0,0,0,0,0,0,the red engine.,the red fig.,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_4,ambiref,0,0,0,0,1,1,the small paper and the big egg.,the small paper and the big egg.,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_5,ambiref,0,0,0,0,0,0,the big tie and the red boat.,the big tie and the red bottle.,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_6,ambiref,0,0,0,0,0,0,the blue document and the red television and the red pot.,the yellow bone and the big bowl and the green medicine.,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_7,ambiref,0,0,0,0,0,0,the yellow knife and the small cup and the small ring.,the blue bomb and the green medicine and the blue pot.,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_8,ambiref,0,0,0,0,0,0,the small wire and the green creature.,the green bus and the small note.,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_9,ambiref,0,0,0,0,0,0,the blue string and the red leaf and the green string.,the blue ice and the red leaf and the green string.,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_10,ambiref,0,0,0,0,0,0,the big shirt and the red knife.,the big shirt and the big string.,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_11,ambiref,0,0,0,0,0,0,the blue string and the small card and the small document.,the yellow rose and the blue disk and the small meat.,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_12,ambiref,0,0,0,0,0,0,the yellow phone and the green cake.,the red crown and the green sheet.,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_13,ambiref,0,0,0,0,0,0,the small bill and the yellow bone.,the red rock and the big bone.,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_14,ambiref,0,0,0,0,0,0,the big leaf and the red creature and the red cheese.,the green ticket and the red paper and the yellow fan.,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_15,ambiref,0,0,0,0,0,0,the blue bell and the small meat and the yellow tea.,the small plant and the small phone and the red shell.,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_16,ambiref,0,0,0,0,0,0,the small milk and the yellow fish.,the blue bag and the small brick.,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_17,ambiref,0,0,0,0,0,0,the small radio.,the green radio.,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_18,ambiref,0,0,0,0,0,0,the red ice and the small coffee and the big branch.,the red ice and the blue ice and the big branch.,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_19,ambiref,0,0,0,0,1,1,the blue bomb.,the blue bomb.,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_20,ambiref,0,0,0,0,0,0,the red pot and the small note and the red drink.,the green mirror and the small note and the red drink.,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_21,ambiref,0,0,0,0,0,0,the yellow bone and the big bowl and the green medicine.,the yellow bone and the red pot and the green medicine.,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_22,ambiref,0,0,0,0,1,1,the big radio and the yellow rose and the blue bag.,the big radio and the yellow rose and the blue bag.,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_23,ambiref,0,0,0,0,0,0,the green cake and the blue plane and the big plane.,the big bowl and the small jacket and the red bag.,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_24,ambiref,0,0,0,0,0,0,the green phone and the green coffee and the blue glass.,the green phone and the green coffee and the yellow dress.,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_25,ambiref,0,0,0,0,1,1,the blue dress and the blue seed and the yellow coat.,the blue dress and the blue seed and the yellow coat.,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_26,ambiref,0,0,0,0,0,0,the red car and the red leaf.,the green book and the big meat.,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_27,ambiref,0,0,0,0,1,1,the yellow bomb.,the yellow bomb.,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_28,ambiref,0,0,0,0,0,0,the blue fig and the blue machine and the yellow camera.,the red coffee and the blue machine and the yellow camera.,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_29,ambiref,0,0,0,0,1,1,the big beer.,the big beer.,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_30,ambiref,0,0,0,0,0,0,the red coffee.,the yellow bread.,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_31,ambiref,0,0,0,0,0,0,the blue tape.,the big phone.,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_32,ambiref,0,0,0,0,1,1,the red bus.,the red bus.,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_33,ambiref,0,0,0,0,0,0,the big glass and the yellow cash and the big engine.,the green plane and the green coffee and the green magazine.,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_34,ambiref,0,0,0,0,1,1,the big cream and the red cream and the small bag.,the big cream and the red cream and the small bag.,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_35,ambiref,0,0,0,0,1,1,the blue bone and the red brick.,the blue bone and the red brick.,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_36,ambiref,0,0,0,0,0,0,the blue drink and the red ice.,the blue bowl and the red stone.,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_37,ambiref,0,0,0,0,0,0,the blue document.,the small cup.,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_38,ambiref,0,0,0,0,0,0,the red coat and the big cash.,the red coat and the blue block.,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_39,ambiref,0,0,0,0,1,1,the blue painting and the blue glass and the green engine.,the blue painting and the blue glass and the green engine.,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_40,ambiref,0,0,0,0,0,0,the small creature.,the green plate.,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_41,ambiref,0,0,0,0,0,0,the red disk and the small chemical.,the red disk and the green sheet.,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_42,ambiref,0,0,0,0,0,0,the yellow fig.,the big suit.,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_43,ambiref,0,0,0,0,1,1,the big painting.,the big painting.,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_44,ambiref,0,0,0,0,1,1,the big disk.,the big disk.,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_45,ambiref,0,0,0,0,0,0,the yellow wire and the big cake.,the blue phone and the small card.,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_46,ambiref,0,0,0,0,0,0,the big medicine and the green rose.,the big medicine and the small crown.,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_47,ambiref,0,0,0,0,0,0,the blue bell and the blue cross.,the blue bell and the small radio.,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_48,ambiref,0,0,0,0,0,0,the red pot and the green engine.,the green machine and the blue knife.,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_49,ambiref,0,0,0,0,1,1,the big cheese and the red cheese and the big hat.,the big cheese and the red cheese and the big hat.,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_50,ambiref,0,0,0,0,0,0,the red newspaper.,the blue painting.,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_51,ambiref,0,0,0,0,0,0,the small cake.,the green coat.,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_52,ambiref,0,0,0,0,1,1,the green mirror and the red bottle and the small bottle.,the green mirror and the red bottle and the small bottle.,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_53,ambiref,0,0,0,0,0,0,the big painting.,the blue crown.,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_54,ambiref,0,0,0,0,0,0,the red wheel and the green glass.,the red fish and the small paper.,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_55,ambiref,0,0,0,0,0,0,the big computer and the small rose and the big tea.,the green branch and the yellow branch and the big branch.,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_56,ambiref,0,0,0,0,0,0,the small bone and the yellow book and the blue brain.,the blue suit and the yellow book and the blue brain.,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_57,ambiref,0,0,0,0,1,0,the blue ball and the yellow chemical and the small magazine.,the green bomb and the red jacket and the small hat.,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_58,ambiref,0,0,0,0,0,0,the green mirror and the green map.,the green mirror and the green train.,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_59,ambiref,0,0,0,0,0,0,the green pipe.,the yellow bread.,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_60,ambiref,0,0,0,0,0,0,the blue ticket and the yellow bomb.,the blue knife and the yellow fig.,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_61,ambiref,0,0,0,0,0,0,the green bag and the small brain.,the yellow meat and the green hat.,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_62,ambiref,0,0,0,0,0,0,the red shirt and the yellow coat and the blue jacket.,the red shirt and the yellow coat and the red creature.,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_63,ambiref,0,0,0,0,0,0,the red tape.,the big bill.,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_64,ambiref,0,0,0,0,1,1,the red brain and the red rock and the yellow cup.,the red brain and the red rock and the yellow cup.,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_65,ambiref,0,0,0,0,0,0,the red meat and the big knife.,the red meat and the red tie.,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_66,ambiref,0,0,0,0,1,1,the big string and the red fig and the small camera.,the big string and the red fig and the small camera.,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_67,ambiref,0,0,0,0,0,0,the red fish and the green television.,the yellow flower and the yellow radio.,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_68,ambiref,0,0,0,0,0,0,the small document and the small guitar and the yellow wire.,the big television and the blue clock and the big cake.,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_69,ambiref,0,0,0,0,0,0,the green engine and the big cup and the red engine.,the yellow coffee and the red coat and the red ticket.,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_70,ambiref,0,0,0,0,0,0,the blue ice and the small tissue.,the blue ice and the red ice.,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_71,ambiref,0,0,0,0,0,0,the big radio and the red cross.,the blue disk and the blue ball.,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_72,ambiref,0,0,0,0,0,0,the small guitar and the green branch and the small radio.,the red fig and the big machine and the small note.,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_73,ambiref,0,0,0,0,1,1,the yellow painting and the small car.,the yellow painting and the small car.,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_74,ambiref,0,0,0,0,0,0,the big engine.,the big document.,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
coherent86,ambiref_0_ops_75,ambiref,0,0,0,0,0,0,the blue ticket and the green picture.,the yellow guitar and the green picture.,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,,,,
