bin_start,bin_end,bin_m_start,bin_m_end,total_words,source_words__cleanqwen_fineweb_compact_view_reinvest,source_frac__cleanqwen_fineweb_compact_view_reinvest,source_words__childes,source_frac__childes,source_words__gutenberg,source_frac__gutenberg,source_words__open_subtitles,source_frac__open_subtitles,source_words__qwen_pair_packed,source_frac__qwen_pair_packed,source_words__simple_wiki,source_frac__simple_wiki,source_words__bnc_spoken,source_frac__bnc_spoken,source_words__switchboard,source_frac__switchboard,source_words__neutral_cleanqwen_topup_compact_reinvest::open_subtitles,source_frac__neutral_cleanqwen_topup_compact_reinvest::open_subtitles,family_words__official_base,family_frac__official_base,family_words__compact_pair_block,family_frac__compact_pair_block,family_words__inherited_qwen_pair,family_frac__inherited_qwen_pair,family_words__compact_topup,family_frac__compact_topup
0,1000000,0.0,1.0,1000000,423511,0.423511,149920,0.14992,113440,0.11344,110977,0.110977,102303,0.102303,66080,0.06608,32000,0.032,1760,0.00176,9,9e-06,474177,0.474177,423511,0.423511,102303,0.102303,9,9e-06
1000000,2000000,1.0,2.0,1000000,,,270560,0.27056,194720,0.19472,187025,0.187025,171215,0.171215,113280,0.11328,60800,0.0608,2400,0.0024,,,828785,0.828785,,,171215,0.171215,,
2000000,3000000,2.0,3.0,1000000,,,269280,0.26928,196160,0.19616,191438,0.191438,174566,0.174566,111040,0.11104,55436,0.055436,2080,0.00208,,,825434,0.825434,,,174566,0.174566,,
3000000,4000000,3.0,4.0,1000000,,,269120,0.26912,192480,0.19248,195840,0.19584,175717,0.175717,107079,0.107079,57844,0.057844,1920,0.00192,,,824283,0.824283,,,175717,0.175717,,
4000000,5000000,4.0,5.0,1000000,,,262083,0.262083,196640,0.19664,183520,0.18352,177796,0.177796,109241,0.109241,68640,0.06864,2080,0.00208,,,822204,0.822204,,,177796,0.177796,,
5000000,6000000,5.0,6.0,1000000,,,277437,0.277437,192640,0.19264,194172,0.194172,172391,0.172391,103520,0.10352,58080,0.05808,1760,0.00176,,,827609,0.827609,,,172391,0.172391,,
6000000,7000000,6.0,7.0,1000000,,,262046,0.262046,200640,0.20064,189828,0.189828,166046,0.166046,117600,0.1176,60480,0.06048,3360,0.00336,,,833954,0.833954,,,166046,0.166046,,
7000000,8000000,7.0,8.0,1000000,,,279874,0.279874,185839,0.185839,192000,0.192,173327,0.173327,104640,0.10464,63200,0.0632,1120,0.00112,,,826673,0.826673,,,173327,0.173327,,
8000000,9000000,8.0,9.0,1000000,,,263520,0.26352,196721,0.196721,196800,0.1968,165904,0.165904,118880,0.11888,55520,0.05552,2655,0.002655,,,834096,0.834096,,,165904,0.165904,,
9000000,10000000,9.0,10.0,1000000,,,271040,0.27104,190080,0.19008,187840,0.18784,177535,0.177535,107680,0.10768,63840,0.06384,1985,0.001985,,,822465,0.822465,,,177535,0.177535,,
