arch,arm,checkpoint,seed,role,probe_family,probe_id,effect_no_all_relevant_updates,effect_no_initial_qbox,effect_no_last_relevant_update,entity_type,irrelevant_ops,item_index,margin_full,margin_no_all_relevant_updates,margin_no_initial_qbox,margin_no_last_relevant_update,prefix_words_full,query_box,relevant_updates,reported_numops,stale_idx,total_ops,uid
RBT,RBT_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:0:regular_2_ops:7,0.7398569583892822,-0.6331944465637207,-1.3261315822601318,regular,1,7,7.6716554164886475,8.41151237487793,7.038460969924927,6.345523834228516,89,0,2,2,1,3,regular_2_ops
RBT,RBT_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1000:move_contents_3_ops:54,-1.3999919891357422,-0.6288318634033203,-2.035289764404297,move_contents,5,54,-1.1933784484863281,-2.5933704376220703,-1.8222103118896484,-3.228668212890625,136,5,3,3,1,8,move_contents_3_ops
RBT,RBT_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1001:move_contents_3_ops:56,0.8817329406738281,-0.6268444061279297,2.319016456604004,move_contents,5,56,4.248887062072754,5.130620002746582,3.622042655944824,6.567903518676758,111,2,3,3,1,8,move_contents_3_ops
RBT,RBT_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1002:move_contents_3_ops:71,-0.4638700485229492,0.8709754943847656,0.4419851303100586,move_contents,5,71,-2.0187625885009766,-2.482632637023926,-1.147787094116211,-1.576777458190918,134,5,3,3,1,8,move_contents_3_ops
RBT,RBT_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1003:move_contents_3_ops:78,-0.5480899810791016,0.01468658447265625,0.06260108947753906,move_contents,5,78,-0.8609542846679688,-1.4090442657470703,-0.8462677001953125,-0.7983531951904297,119,2,3,3,1,8,move_contents_3_ops
RBT,RBT_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1004:move_contents_3_ops:91,1.1774139404296875,-0.3617057800292969,1.5638179779052734,move_contents,5,91,-1.1133556365966797,0.06405830383300781,-1.4750614166259766,0.45046234130859375,124,2,3,3,1,8,move_contents_3_ops
RBT,RBT_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1005:move_contents_3_ops:97,0.31637656688690186,0.8439712524414062,0.6976739168167114,move_contents,7,97,9.686415076255798,10.0027916431427,10.530386328697205,10.38408899307251,149,4,2,3,1,9,move_contents_3_ops
RBT,RBT_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1006:move_contents_3_ops:108,-1.3016462326049805,-0.5381660461425781,-1.156926155090332,move_contents,6,108,2.8712854385375977,1.5696392059326172,2.3331193923950195,1.7143592834472656,143,0,3,3,1,9,move_contents_3_ops
RBT,RBT_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1007:move_contents_3_ops:109,0.29228687286376953,0.02322864532470703,-0.08999824523925781,move_contents,7,109,-1.6874589920043945,-1.395172119140625,-1.6642303466796875,-1.7774572372436523,119,4,2,3,1,9,move_contents_3_ops
RBT,RBT_V_43022,chck_90M,43022,V,entity_gold_stale_cue_ablation,entityabl:1008:move_contents_3_ops:111,-0.3739004135131836,0.40813350677490234,-0.22656917572021484,move_contents,7,111,-1.2872314453125,-1.6611318588256836,-0.8790979385375977,-1.5138006210327148,130,0,2,3,1,9,move_contents_3_ops
