global_index,domain,ContextType,ContextDiff,TargetDiff,ConceptA,ConceptB,context_diff_c1,context_diff_c2,target_diff_words,depth_interaction_sum,shallow_interaction_sum,depth_local_min_actual_over_swapped_sum,shallow_local_min_actual_over_swapped_sum
5,agent-properties,direct,antonym,concept swap,believe,doubt,outside.,inside.,believes doubts,-0.08060064725577831,-0.7156448499299586,-1.7294330596923828,-1.6839971542358398
25,agent-properties,indirect,antonym,concept swap,believe,doubt,from,to,believes doubts,-0.0990994218736887,-0.0991299597080797,-1.5236005187034607,-1.670134425163269
31,agent-properties,indirect,antonym,concept swap,believe,doubt,from,to,believes doubts,-0.26580473128706217,-0.02535693207755685,-1.7420997023582458,-2.187379837036133
35,agent-properties,indirect,antonym,concept swap,believe,doubt,from,to,believes doubts,-0.13460871018469334,-0.31840357079636306,-2.618796229362488,-2.6591900885105133
37,agent-properties,indirect,antonym,concept swap,believe,doubt,outside,inside,believes doubts,-0.4484731596894562,-1.0047814585268497,-0.7044963836669922,-1.294041633605957
41,agent-properties,indirect,antonym,concept swap,believe,doubt,from,to,believes doubts,-0.19775581825524569,-0.22196784405969083,-2.704968363046646,-3.0237331092357635
45,agent-properties,indirect,antonym,concept swap,believe,doubt,from,to,believes doubts,-0.18817858747206628,-0.5274029176216573,-2.542401283979416,-1.6592492461204529
51,agent-properties,indirect,antonym,concept swap,believe,doubt,from,to,believes doubts,-0.24427731148898602,-0.24118333053775132,-2.871922478079796,-1.9922351837158203
57,agent-properties,indirect,antonym,concept swap,believe,doubt,from,to,believes doubts,-0.08573351195082068,-0.20981963421218097,-2.066740095615387,-1.890562117099762
67,agent-properties,indirect,antonym,concept swap,believe,doubt,from,to,believes doubts,-0.24684144044294953,-0.1486951014958322,-0.9461403489112854,-1.8128966689109802
69,agent-properties,indirect,antonym,concept swap,believe,doubt,from,to,believes doubts,-0.12847426626831293,-0.04750835883896798,-1.549057126045227,-2.3263102173805237
86,agent-properties,indirect,other,concept swap,believe,doubt,moved to the other side of,removed from,believes doubts,-0.14923058077692986,-0.08009236853104085,-2.5957055361941457,-2.009341308148578
99,agent-properties,indirect,variable swap,concept swap,believe,doubt,Alex ||| Jesse,Jesse ||| Alex,believes doubts,-1.1045743273571134,-0.4016715129837394,-0.12121105194091797,-1.5690374374389648
101,agent-properties,indirect,variable swap,concept swap,believe,doubt,Maria ||| Li,Li ||| Maria,believes doubts,-1.471069572493434,-2.3010990978218615,-2.7777109146118164,-3.3842215538024902
111,agent-properties,direct,negation,concept swap,believe,imagine,not,,believes imagines,-0.29878580290824175,-0.122434550547041,nan,nan
131,agent-properties,indirect,antonym,variable swap,choose,-,less,more,,-0.5094731636345387,-0.5724665820598602,-3.652099370956421,-2.8376123905181885
137,agent-properties,indirect,antonym,variable swap,choose,-,more,less,,-0.23161954060196877,-0.033784206956624985,-2.7057790756225586,-3.5085200667381287
164,agent-properties,indirect,antonym,variable swap,choose,-,closer,further,,-0.08383418992161751,-1.3521658629179,-0.8336257934570312,-0.4035301208496094
170,agent-properties,indirect,antonym,variable swap,choose,-,closer to,farther from,,-2.3107392359524965,-0.4777776077389717,-7.118751674890518,-8.006350815296173
171,agent-properties,indirect,antonym,variable swap,choose,-,farther from,closer to,,-2.3107392359524965,-0.4777776077389717,-7.118751674890518,-8.006350815296173
176,agent-properties,indirect,antonym,variable swap,choose,-,less,more,,-2.037339687347412,-0.9540194720029831,-4.1410791873931885,-3.450298547744751
181,agent-properties,indirect,antonym,variable swap,choose,-,more,less,,-0.6805451377294958,-0.31400721706449986,-2.7902937531471252,-3.287604510784149
182,agent-properties,indirect,antonym,variable swap,choose,-,less,more,,-1.634460210800171,-1.0266697704792023,-3.785883903503418,-2.165546476840973
186,agent-properties,indirect,antonym,variable swap,choose,-,less,more,,-0.40864086151123047,-0.11606152355670929,-3.022515296936035,-2.584275722503662
197,agent-properties,indirect,antonym,variable swap,choose,-,less,more,,-0.7359655052423477,-2.278608910739422,-2.740159034729004,-3.100174903869629
198,agent-properties,indirect,antonym,variable swap,choose,-,less,more,,-1.172024980187416,-1.0039070025086403,-2.8848100900650024,-2.555712580680847
203,agent-properties,indirect,antonym,variable swap,choose,-,more,less,,-0.19332568906247616,-0.14212503470480442,-3.0939684212207794,-3.3046502470970154
206,agent-properties,indirect,antonym,variable swap,choose,-,less,more,,-1.415454924106598,-0.6809723377227783,-1.863303303718567,-2.052980422973633
208,agent-properties,indirect,antonym,variable swap,choose,-,closer,further,,-2.8055706918239594,-0.0228729210793972,-2.2148966789245605,-0.086669921875
217,agent-properties,indirect,antonym,variable swap,choose,-,less,more,,-0.49262523651123047,-0.007188743911683559,-2.410062789916992,-3.5114088654518127
220,agent-properties,indirect,antonym,variable swap,choose,-,less,more,,-0.6447843164205551,-2.543071299791336,-2.670659899711609,-4.225212931632996
226,agent-properties,indirect,antonym,variable swap,choose,-,less,more,,-0.9051966071128845,-4.227008193731308,-2.8503551483154297,-1.9691868424415588
227,agent-properties,indirect,antonym,variable swap,choose,-,more,less,,-0.9051966071128845,-4.227008193731308,-2.8503551483154297,-1.9691868424415588
239,agent-properties,indirect,antonym,variable swap,choose,-,less,more,,-0.6579870693385601,-0.16923865512944758,-2.6013736724853516,-3.363542318344116
243,agent-properties,indirect,variable swap,variable swap,choose,-,cards ||| hockey.,hockey ||| cards.,,-28.64529872685671,-7.5398945808410645,-2.6885972023010254,-2.827139377593994
244,agent-properties,indirect,variable swap,variable swap,choose,-,Jesse ||| Wei.,Wei ||| Jesse.,,-27.85934653878212,-35.70772682130337,-0.47852516174316406,-1.210106372833252
245,agent-properties,indirect,variable swap,variable swap,choose,-,Wei ||| Jesse.,Jesse ||| Wei.,,-27.85934653878212,-35.70772682130337,-0.47852516174316406,-1.210106372833252
248,agent-properties,indirect,variable swap,variable swap,choose,-,Jesse ||| Wei.,Wei ||| Jesse.,,-26.458285465836525,-33.84917639195919,-0.9625544548034668,-0.06316709518432617
249,agent-properties,indirect,variable swap,variable swap,choose,-,Wei ||| Jesse.,Jesse ||| Wei.,,-26.458285465836525,-33.84917639195919,-0.9625544548034668,-0.06316709518432617
