model_name,seed,arm,checkpoint,probe_set,packet_id,slot_mode,condition,packet_type,gold_state_type,competitor_state_type,updated_conflict_heuristic,state_type_source,state_type_new,swap_pair_id,source_state,original_new_state,swapped_new_state,full_lp_source,full_lp_original_new,full_lp_swapped_new,full_m_orig_new_minus_source,full_m_source_minus_orig_new,full_m_source_minus_swapped_new,full_m_orig_new_minus_swapped_new,full_gold_margin_vs_original_competitor,full_retention_margin_vs_swapped_new,content_lp_source,content_lp_original_new,content_lp_swapped_new,content_m_orig_new_minus_source,content_m_source_minus_orig_new,content_m_source_minus_swapped_new,content_m_orig_new_minus_swapped_new,content_gold_margin_vs_original_competitor,content_retention_margin_vs_swapped_new
seed43022_base,43022,base,chck_86M,extended_nontrain,rw2s0_007606,template,T,UNCHANGED_DISTRACTOR_USE,possession_artifact,possession_artifact,,possession_artifact,possession_artifact,rw2s0_021141,site of geological proofs of antiquity,source of personal gathering evidence,now wear bright blue wigs,-1.6821808679029346,-5.197221398353577,-7.407154480616252,-3.515040530450642,3.515040530450642,5.724973612713317,2.2099330822626753,3.515040530450642,5.724973612713317,-1.5697667428757995,-6.4144613444805145,-7.256821918487549,-4.844694601604715,4.844694601604715,5.687055175611749,0.8423605740070341,4.844694601604715,5.687055175611749
seed43022_base,43022,base,chck_86M,extended_nontrain,rw2s0_007606,template,U,UNCHANGED_DISTRACTOR_USE,possession_artifact,possession_artifact,,possession_artifact,possession_artifact,rw2s0_021141,site of geological proofs of antiquity,source of personal gathering evidence,now wear bright blue wigs,-1.6020672057755292,-5.9841096013784405,-2.7427329843242965,-4.3820423956029115,4.3820423956029115,1.1406657785487673,-3.241376617054144,4.3820423956029115,1.1406657785487673,-1.5062039910117164,-7.4310503005981445,-2.3760068684816362,-5.924846309586428,5.924846309586428,0.8698028774699198,-5.055043432116508,5.924846309586428,0.8698028774699198
seed43022_base,43022,base,chck_86M,extended_nontrain,rw2s0_007606,template,N,UNCHANGED_DISTRACTOR_USE,possession_artifact,possession_artifact,,possession_artifact,possession_artifact,rw2s0_021141,site of geological proofs of antiquity,source of personal gathering evidence,now wear bright blue wigs,-1.6706819716840982,-5.547223174571991,-6.436472098032634,-3.876541202887893,3.876541202887893,4.765790126348536,0.8892489234606424,3.876541202887893,4.765790126348536,-1.5305108805187047,-6.840422630310059,-6.796634197235107,-5.309911749791354,5.309911749791354,5.266123316716403,-0.04378843307495117,5.309911749791354,5.266123316716403
seed43022_base,43022,base,chck_86M,extended_nontrain,rw2s0_011096,template,T,UNCHANGED_DISTRACTOR_USE,other_relation_state,other_relation_state,,other_relation_state,other_relation_state,rw2s0_010657,condoned his offence,forgotten by everyone,faced economic collapse,-0.1123531199991703,-5.791367332140605,-9.006765683492025,-5.679014212141435,5.679014212141435,8.894412563492855,3.2153983513514204,5.679014212141435,8.894412563492855,-0.12846879474818707,-8.279744148254395,-9.006765683492025,-8.151275353506207,8.151275353506207,8.878296888743838,0.7270215352376308,8.151275353506207,8.878296888743838
seed43022_base,43022,base,chck_86M,extended_nontrain,rw2s0_011096,template,U,UNCHANGED_DISTRACTOR_USE,other_relation_state,other_relation_state,,other_relation_state,other_relation_state,rw2s0_010657,condoned his offence,forgotten by everyone,faced economic collapse,-0.10955625325441361,-5.613143761952718,-3.337464392185211,-5.503587508698304,5.503587508698304,3.2279081389307978,-2.2756793697675066,5.503587508698304,3.2279081389307978,-0.12593642808496952,-7.749480724334717,-3.337464392185211,-7.623544296249747,7.623544296249747,3.2115279641002417,-4.412016332149506,7.623544296249747,3.2115279641002417
seed43022_base,43022,base,chck_86M,extended_nontrain,rw2s0_011096,template,N,UNCHANGED_DISTRACTOR_USE,other_relation_state,other_relation_state,,other_relation_state,other_relation_state,rw2s0_010657,condoned his offence,forgotten by everyone,faced economic collapse,-0.11626651100814342,-5.768392125765483,-8.796558539072672,-5.652125614757339,5.652125614757339,8.680292028064528,3.028166413307189,5.652125614757339,8.680292028064528,-0.13820694386959076,-7.888359546661377,-8.796558539072672,-7.750152602791786,7.750152602791786,8.658351595203081,0.908198992411295,7.750152602791786,8.658351595203081
seed43022_base,43022,base,chck_86M,extended_nontrain,rw2s0_017880,template,T,UNCHANGED_DISTRACTOR_USE,other_relation_state,role_identity_affiliation,,other_relation_state,role_identity_affiliation,rw2s0_016104,one of the largest music streaming services,retired founder,retired from fighting,-0.0397807009430835,-1.6747251749038696,-4.958191951115926,-1.6349444739607861,1.6349444739607861,4.918411250172842,3.283466776212056,1.6349444739607861,4.918411250172842,-0.05051896050572395,-1.6747251749038696,-6.637463808059692,-1.6242062143981457,1.6242062143981457,6.586944847553968,4.962738633155823,1.6242062143981457,6.586944847553968
seed43022_base,43022,base,chck_86M,extended_nontrain,rw2s0_017880,template,U,UNCHANGED_DISTRACTOR_USE,other_relation_state,role_identity_affiliation,,other_relation_state,role_identity_affiliation,rw2s0_016104,one of the largest music streaming services,retired founder,retired from fighting,-0.0437916481459979,-12.040507793426514,-2.02824201186498,-11.996716145280516,11.996716145280516,1.9844503637189823,-10.012265781561533,11.996716145280516,1.9844503637189823,-0.058290202543139456,-12.040507793426514,-3.0227401852607727,-11.982217590883375,11.982217590883375,2.964449982717633,-9.017767608165741,11.982217590883375,2.964449982717633
seed43022_base,43022,base,chck_86M,extended_nontrain,rw2s0_017880,template,N,UNCHANGED_DISTRACTOR_USE,other_relation_state,role_identity_affiliation,,other_relation_state,role_identity_affiliation,rw2s0_016104,one of the largest music streaming services,retired founder,retired from fighting,-0.0368069791875314,-10.823606014251709,-5.109545469284058,-10.786799035064178,10.786799035064178,5.072738490096526,-5.714060544967651,10.786799035064178,5.072738490096526,-0.04914290197193623,-10.823606014251709,-7.033784627914429,-10.774463112279772,10.774463112279772,6.984641725942493,-3.7898213863372803,10.774463112279772,6.984641725942493
seed43022_base,43022,base,chck_86M,extended_nontrain,rw_002632,template,T,UNCHANGED_DISTRACTOR_USE,location_containment,location_containment,,location_containment,location_containment,rw2s0_014674,in the utmost anxiety about his young nephew Attalus,living between Treves and Metz,fortified with heavy artillery on the hill,-0.24585770689882339,-0.3402869105006435,-4.474024030897352,-0.09442920360182014,0.09442920360182014,4.228166323998529,4.133737120396709,0.09442920360182014,4.228166323998529,-0.2052607840547959,-0.39674747463626164,-6.427734772364299,-0.19148669058146575,0.19148669058146575,6.222473988309503,6.030987297728037,0.19148669058146575,6.222473988309503
seed43022_base,43022,base,chck_86M,extended_nontrain,rw_002632,template,U,UNCHANGED_DISTRACTOR_USE,location_containment,location_containment,,location_containment,location_containment,rw2s0_014674,in the utmost anxiety about his young nephew Attalus,living between Treves and Metz,fortified with heavy artillery on the hill,-0.25625103325583043,-0.5436245841306767,-0.07548721020834313,-0.2873735508748463,0.2873735508748463,-0.18076382304748728,-0.46813737392233357,0.2873735508748463,-0.18076382304748728,-0.24257487896829844,-0.634037162642926,-0.1011788290925324,-0.39146228367462754,0.39146228367462754,-0.14139604987576604,-0.5328583335503936,0.39146228367462754,-0.14139604987576604
seed43022_base,43022,base,chck_86M,extended_nontrain,rw_002632,template,N,UNCHANGED_DISTRACTOR_USE,location_containment,location_containment,,location_containment,location_containment,rw2s0_014674,in the utmost anxiety about his young nephew Attalus,living between Treves and Metz,fortified with heavy artillery on the hill,-0.20559907779097558,-0.35358960846705095,-4.375498370991813,-0.14799053067607537,0.14799053067607537,4.169899293200837,4.021908762524761,0.14799053067607537,4.169899293200837,-0.19281144067645073,-0.41234570702848333,-6.2361148198445635,-0.2195342663520326,0.2195342663520326,6.043303379168113,5.8237691128160805,0.2195342663520326,6.043303379168113
seed43022_base,43022,base,chck_86M,extended_nontrain,rw_023936,template,T,UNCHANGED_DISTRACTOR_USE,location_containment,other_relation_state,,location_containment,other_relation_state,rw2s0_022730,aired on BET and TBS channels,broadcasts classic 1980s dramas,regional carrier base,-2.642378443585975,-2.2530805499462243,-9.525245904922485,0.38929789363975065,-0.38929789363975065,6.88286746133651,7.272165354976261,-0.38929789363975065,6.88286746133651,-3.3023933343589307,-2.4780545549467208,-9.525245904922485,0.8243387794122099,-0.8243387794122099,6.222852570563555,7.047191349975765,-0.8243387794122099,6.222852570563555
seed43022_base,43022,base,chck_86M,extended_nontrain,rw_023936,template,U,UNCHANGED_DISTRACTOR_USE,location_containment,other_relation_state,,location_containment,other_relation_state,rw2s0_022730,aired on BET and TBS channels,broadcasts classic 1980s dramas,regional carrier base,-2.5411704166659286,-6.738570559092543,-1.4155163168907166,-4.1974001424266145,4.1974001424266145,-1.125654099775212,-5.3230542422018265,4.1974001424266145,-1.125654099775212,-3.1990273274481296,-7.404579046741128,-1.4155163168907166,-4.205551719292998,4.205551719292998,-1.783511010557413,-5.989062729850412,4.205551719292998,-1.783511010557413
seed43022_base,43022,base,chck_86M,extended_nontrain,rw_023936,template,N,UNCHANGED_DISTRACTOR_USE,location_containment,other_relation_state,,location_containment,other_relation_state,rw2s0_022730,aired on BET and TBS channels,broadcasts classic 1980s dramas,regional carrier base,-2.1005537744079317,-6.818214136429808,-9.69853162765503,-4.717660362021876,4.717660362021876,7.597977853247098,2.880317491225221,4.717660362021876,7.597977853247098,-2.600702103227377,-7.487985120341182,-9.69853162765503,-4.887283017113805,4.887283017113805,7.097829524427652,2.2105465073138477,4.887283017113805,7.097829524427652
seed43022_base,43022,base,chck_86M,extended_nontrain,rw2s0_014674,template,T,UNCHANGED_DISTRACTOR_USE,location_containment,location_containment,,location_containment,location_containment,rw_002632,encamped a few miles from the River Alma,fortified with heavy artillery on the hill,living between Treves and Metz,-0.14387734262272717,-0.0607371485999061,-5.419757426849434,0.08314019402282107,-0.08314019402282107,5.275880084226706,5.3590202782495275,-0.08314019402282107,5.275880084226706,-0.20165014932198183,-0.0792077643952022,-6.312605460484822,0.12244238492677963,-0.12244238492677963,6.11095531116284,6.23339769608962,-0.12244238492677963,6.11095531116284
seed43022_base,43022,base,chck_86M,extended_nontrain,rw2s0_014674,template,U,UNCHANGED_DISTRACTOR_USE,location_containment,location_containment,,location_containment,location_containment,rw_002632,encamped a few miles from the River Alma,fortified with heavy artillery on the hill,living between Treves and Metz,-0.13130078334361314,-4.615971574352847,-0.2997981305234134,-4.484670791009234,4.484670791009234,0.16849734717980028,-4.316173443829434,4.484670791009234,0.16849734717980028,-0.18382326167609012,-6.581610520680745,-0.34948086986939114,-6.397787259004655,6.397787259004655,0.16565760819330103,-6.232129650811354,6.397787259004655,0.16565760819330103
seed43022_base,43022,base,chck_86M,extended_nontrain,rw2s0_014674,template,N,UNCHANGED_DISTRACTOR_USE,location_containment,location_containment,,location_containment,location_containment,rw_002632,encamped a few miles from the River Alma,fortified with heavy artillery on the hill,living between Treves and Metz,-0.13795507135801016,-4.570772864752346,-5.304498724639416,-4.432817793394336,4.432817793394336,5.166543653281406,0.7337258598870697,4.432817793394336,5.166543653281406,-0.19334028395158903,-6.498538812001546,-6.176821907361348,-6.3051985280499565,6.3051985280499565,5.983481623409759,-0.32171690464019775,6.3051985280499565,5.983481623409759
seed43022_base,43022,base,chck_86M,extended_nontrain,rw2s1_018012,template,T,UNCHANGED_DISTRACTOR_USE,other_relation_state,other_relation_state,,other_relation_state,other_relation_state,rw2s1_009894,followed the weary rounds of literature and physical geography,replaced by a jarring pause of German adjectives,movie studio,-1.4127617464400828,-1.0494824244894765,-10.370199203491211,0.3632793219506063,-0.3632793219506063,8.957437457051128,9.320716779001735,-0.3632793219506063,8.957437457051128,-1.3730102282549654,-0.627822492737323,-10.370199203491211,0.7451877355176424,-0.7451877355176424,8.997188975236245,9.742376710753888,-0.7451877355176424,8.997188975236245
seed43022_base,43022,base,chck_86M,extended_nontrain,rw2s1_018012,template,U,UNCHANGED_DISTRACTOR_USE,other_relation_state,other_relation_state,,other_relation_state,other_relation_state,rw2s1_009894,followed the weary rounds of literature and physical geography,replaced by a jarring pause of German adjectives,movie studio,-1.6139373551122844,-5.762932254509493,-2.7062984853982925,-4.148994899397208,4.148994899397208,1.0923611302860081,-3.0566337691112,4.148994899397208,1.0923611302860081,-1.5819039706672942,-7.555104583501816,-2.7062984853982925,-5.973200612834521,5.973200612834521,1.1243945147309984,-4.848806098103523,5.973200612834521,1.1243945147309984
seed43022_base,43022,base,chck_86M,extended_nontrain,rw2s1_018012,template,N,UNCHANGED_DISTRACTOR_USE,other_relation_state,other_relation_state,,other_relation_state,other_relation_state,rw2s1_009894,followed the weary rounds of literature and physical geography,replaced by a jarring pause of German adjectives,movie studio,-1.2578246875666081,-5.676772981882095,-9.08625602722168,-4.418948294315487,4.418948294315487,7.828431339655071,3.4094830453395844,4.418948294315487,7.828431339655071,-1.1753877044788428,-7.456883430480957,-9.08625602722168,-6.281495726002114,6.281495726002114,7.910868322742837,1.6293725967407227,6.281495726002114,7.910868322742837
