probe_set,pair_id,packet_type,swap_pair_id,swap_packet_type,swap_update_words,swap_state_type_new,swap_new_state,swap_update_sentence
extended_nontrain,rw2s0_007606,UNCHANGED_DISTRACTOR_USE,rw2s0_021141,UNCHANGED_DISTRACTOR_USE,14,possession_artifact,now wear bright blue wigs,The fierce-looking crowd arrived and replaced their fierce appearance with bright blue wigs.
extended_nontrain,rw2s0_011096,UNCHANGED_DISTRACTOR_USE,rw2s0_010657,UNCHANGED_DISTRACTOR_USE,9,other_relation_state,faced economic collapse,The Japanese Empire suffered economic collapse while agents operated.
extended_nontrain,rw2s0_017880,UNCHANGED_DISTRACTOR_USE,rw2s0_016104,UNCHANGED_DISTRACTOR_USE,11,status_condition_event,retired from fighting,Powerhouse Hobbs decided to retire from fighting after his last match.
extended_nontrain,rw_002632,UNCHANGED_DISTRACTOR_USE,rw2s0_014674,UNCHANGED_DISTRACTOR_USE,12,location_containment,fortified with heavy artillery on the hill,The Russian position was hastily fortified with heavy artillery on the hill.
extended_nontrain,rw_023936,UNCHANGED_DISTRACTOR_USE,rw2s0_022730,UNCHANGED_DISTRACTOR_USE,11,other_relation_state,regional carrier base,Frontier Airlines shifted its regional carrier base to a different location.
extended_nontrain,rw2s0_014674,UNCHANGED_DISTRACTOR_USE,rw_002632,UNCHANGED_DISTRACTOR_USE,12,location_containment,living between Treves and Metz,The Frank resided between Treves and Metz instead of caring for Attalus.
extended_nontrain,rw2s1_018012,UNCHANGED_DISTRACTOR_USE,rw2s1_009894,UNCHANGED_DISTRACTOR_USE,10,other_relation_state,movie studio,She moved to Universal which became a major movie studio.
extended_nontrain,rw2s0_021141,UNCHANGED_DISTRACTOR_USE,rw2s0_007606,UNCHANGED_DISTRACTOR_USE,12,possession_artifact,source of personal gathering evidence,He began gathering proofs in the Connecticut Valley to support his theory.
extended_nontrain,rw2s0_016104,UNCHANGED_DISTRACTOR_USE,rw2s0_022730,UNCHANGED_DISTRACTOR_USE,11,other_relation_state,regional carrier base,Frontier Airlines shifted its regional carrier base to a different location.
extended_nontrain,rw2s0_021911,UNCHANGED_DISTRACTOR_USE,rw_002632,UNCHANGED_DISTRACTOR_USE,12,location_containment,living between Treves and Metz,The Frank resided between Treves and Metz instead of caring for Attalus.
extended_nontrain,rw2s0_010657,UNCHANGED_DISTRACTOR_USE,rw2s0_011096,UNCHANGED_DISTRACTOR_USE,9,other_relation_state,forgotten by everyone,Everyone forgot the memory of Bolsover after the scandal.
extended_nontrain,rw2s0_032195,UNCHANGED_DISTRACTOR_USE,rw2s1_030906,UNCHANGED_DISTRACTOR_USE,14,other_relation_state,matches that of similar peers,The college-graduation rate now matches that of similar peers without pre-paid education.
extended_nontrain,rw2s1_008877,UNCHANGED_DISTRACTOR_USE,rw2s0_022730,UNCHANGED_DISTRACTOR_USE,11,other_relation_state,regional carrier base,Frontier Airlines shifted its regional carrier base to a different location.
extended_nontrain,rw2s1_030906,UNCHANGED_DISTRACTOR_USE,rw2s0_011493,UNCHANGED_DISTRACTOR_USE,13,other_relation_state,artificially bred for the market,The Brown Trout are artificially bred for the market instead of reproducing naturally.
extended_nontrain,rw2s1_008903,UNCHANGED_DISTRACTOR_USE,rw2s0_021911,UNCHANGED_DISTRACTOR_USE,10,location_containment,resides in the clouds of Olympus,Zeus moved his residence to the high clouds of Olympus.
extended_nontrain,rw2s1_009894,UNCHANGED_DISTRACTOR_USE,rw2s1_018012,UNCHANGED_DISTRACTOR_USE,10,other_relation_state,replaced by a jarring pause of German adjectives,French verbs vanished and German adjectives filled the jarring pause.
extended_nontrain,rw2s1_008492,UNCHANGED_DISTRACTOR_USE,rw2s0_010657,UNCHANGED_DISTRACTOR_USE,9,other_relation_state,faced economic collapse,The Japanese Empire suffered economic collapse while agents operated.
extended_nontrain,rw_005535,UNCHANGED_DISTRACTOR_USE,rw2s0_010657,UNCHANGED_DISTRACTOR_USE,9,other_relation_state,faced economic collapse,The Japanese Empire suffered economic collapse while agents operated.
extended_nontrain,rw2s0_022730,UNCHANGED_DISTRACTOR_USE,rw_023936,UNCHANGED_DISTRACTOR_USE,11,other_relation_state,broadcasts classic 1980s dramas,Bounce TV switched its schedule to air classic 1980s dramas instead.
extended_nontrain,rw2s0_011493,UNCHANGED_DISTRACTOR_USE,rw2s1_030906,UNCHANGED_DISTRACTOR_USE,14,other_relation_state,matches that of similar peers,The college-graduation rate now matches that of similar peers without pre-paid education.
