pair_id,match_level,pair_cost,category,target_class,target_token_len,target_token_pattern,target_freq_bin_a,target_freq_bin_b,target_freq_bin_delta,distance_bin_a,distance_bin_b,distance_bin_delta,row_a,row_b,source_a,source_b,target_norm_a,target_norm_b,pivot_norm_a,pivot_norm_b
p0000000,0,0.021,causal_connector,adjectival,1,S,51-100,51-100,0,2,2,0,10805,44465,qwen_pair_packed,gutenberg,inaugural,occasional,although,though
p0000001,1,2.129,causal_connector,adjectival,1,S,51-100,51-100,0,2,3-4,1,62748,13123,qwen_pair_packed,simple_wiki,comprehensive,competitive,although,because
p0000002,0,0.0,causal_connector,adjectival,1,S,51-100,51-100,0,1,1,0,56734,1649,qwen_pair_packed,gutenberg,careless,fearful,if,though
p0000003,1,2.11,causal_connector,adjectival,1,S,51-100,51-100,0,1,2,1,10512,39309,gutenberg,qwen_pair_packed,doubtless,reveal,though,if
p0000004,1,2.134,causal_connector,adjectival,1,S,51-100,51-100,0,3-4,2,1,34957,19772,gutenberg,qwen_pair_packed,disagreeable,fundamental,though,because
p0000005,0,0.0,causal_connector,adjectival,1,S,101-250,101-250,0,5-8,5-8,0,25549,56193,gutenberg,switchboard,reasonable,mental,if,though
p0000006,0,0.0,causal_connector,adjectival,1,S,101-250,101-250,0,2,2,0,40029,3285,gutenberg,open_subtitles,electric,clinical,though,if
p0000007,0,0.006,causal_connector,adjectival,1,S,101-250,101-250,0,3-4,3-4,0,44064,48019,fw_preserved_compact_view,qwen_pair_packed,sexual,remarkable,because,because
p0000008,0,0.0,causal_connector,adjectival,1,S,101-250,101-250,0,1,1,0,3888,6712,gutenberg,simple_wiki,visible,illegal,if,because
p0000009,0,0.004,causal_connector,adjectival,1,S,101-250,101-250,0,3-4,3-4,0,48388,6670,fw_preserved_compact_view,bnc_spoken,negative,arrive,because,if
p0000010,0,0.0,causal_connector,adjectival,1,S,101-250,101-250,0,5-8,5-8,0,59961,55046,open_subtitles,gutenberg,criminal,actual,if,though
p0000011,0,0.006,causal_connector,adjectival,1,S,101-250,101-250,0,3-4,3-4,0,29572,21262,qwen_pair_packed,fw_preserved_compact_view,weary,capable,because,thus
p0000012,0,0.018000000000000002,causal_connector,adjectival,1,S,101-250,101-250,0,3-4,3-4,0,45489,50323,qwen_pair_packed,fw_preserved_compact_view,arrive,cultural,if,because
p0000013,0,0.0,causal_connector,adjectival,1,S,101-250,101-250,0,3-4,3-4,0,27434,17078,gutenberg,simple_wiki,glorious,contrary,because,because
p0000014,0,0.0,causal_connector,adjectival,1,S,101-250,101-250,0,5-8,5-8,0,37467,29294,bnc_spoken,gutenberg,rural,generous,because,if
p0000015,0,0.0,causal_connector,adjectival,1,S,101-250,101-250,0,3-4,3-4,0,61353,51074,bnc_spoken,simple_wiki,obvious,illegal,because,because
p0000016,0,0.0,causal_connector,adjectival,1,S,101-250,101-250,0,2,2,0,5235,36271,gutenberg,bnc_spoken,tremendous,reasonable,if,therefore
p0000017,0,0.0,causal_connector,adjectival,1,S,101-250,101-250,0,3-4,3-4,0,45978,12790,gutenberg,bnc_spoken,mortal,valuable,though,because
p0000018,0,0.0,causal_connector,adjectival,1,S,101-250,101-250,0,2,2,0,22438,42242,simple_wiki,gutenberg,extensive,miserable,because,because
p0000019,0,0.005,causal_connector,adjectival,1,S,101-250,101-250,0,3-4,3-4,0,13939,15629,qwen_pair_packed,simple_wiki,faithful,practical,because,because
p0000020,0,0.0,causal_connector,adjectival,1,S,101-250,101-250,0,3-4,3-4,0,5659,59596,gutenberg,open_subtitles,delightful,external,although,if
p0000021,0,0.004,causal_connector,adjectival,1,S,101-250,101-250,0,2,2,0,54955,42095,qwen_pair_packed,gutenberg,arrive,cathedral,although,because
p0000022,1,2.1,causal_connector,adjectival,1,S,101-250,101-250,0,5-8,3-4,1,10744,41317,gutenberg,open_subtitles,mental,actual,if,if
p0000023,0,0.057,causal_connector,adjectival,1,S,101-250,101-250,0,3-4,3-4,0,5452,43165,qwen_pair_packed,open_subtitles,practical,sensitive,because,if
p0000024,0,0.0,causal_connector,adjectival,1,S,101-250,101-250,0,3-4,3-4,0,13881,57171,simple_wiki,gutenberg,administrative,generous,thus,because
p0000025,0,0.0,causal_connector,adjectival,1,S,101-250,101-250,0,3-4,3-4,0,29267,6598,gutenberg,simple_wiki,conscious,remarkable,though,because
p0000026,0,0.0,causal_connector,adjectival,1,S,101-250,101-250,0,2,2,0,40400,26843,bnc_spoken,gutenberg,strategic,invisible,therefore,if
