pair_id,match_level,pair_cost,category,target_class,target_token_len,target_token_pattern,target_freq_bin_a,target_freq_bin_b,target_freq_bin_delta,distance_bin_a,distance_bin_b,distance_bin_delta,row_a,row_b,source_a,source_b,target_norm_a,target_norm_b,pivot_norm_a,pivot_norm_b
p0000000,1,2.121,causal_connector,adjectival,1,S,51-100,51-100,0,2,1,1,10805,1649,qwen_pair_packed,gutenberg,inaugural,fearful,although,though
p0000001,1,2.134,causal_connector,adjectival,1,S,51-100,51-100,0,1,2,1,10512,19772,gutenberg,qwen_pair_packed,doubtless,fundamental,though,because
p0000002,0,0.0,causal_connector,adjectival,1,S,101-250,101-250,0,1,1,0,3888,6712,gutenberg,simple_wiki,visible,illegal,if,because
p0000003,0,0.0,causal_connector,adjectival,1,S,101-250,101-250,0,3-4,3-4,0,6670,6721,bnc_spoken,gutenberg,arrive,delightful,if,if
p0000004,0,0.0,causal_connector,adjectival,1,S,101-250,101-250,0,2,2,0,5235,13891,gutenberg,simple_wiki,tremendous,initial,if,because
p0000005,0,0.005,causal_connector,adjectival,1,S,101-250,101-250,0,3-4,3-4,0,13939,15629,qwen_pair_packed,simple_wiki,faithful,practical,because,because
p0000006,0,0.0,causal_connector,adjectival,1,S,101-250,101-250,0,3-4,3-4,0,5659,12790,gutenberg,bnc_spoken,delightful,valuable,although,because
p0000007,0,0.0,causal_connector,adjectival,1,S,101-250,101-250,0,3-4,3-4,0,17078,16137,simple_wiki,open_subtitles,contrary,impressive,because,because
p0000008,1,2.1,causal_connector,adjectival,1,S,101-250,101-250,0,5-8,3-4,1,10744,13881,gutenberg,simple_wiki,mental,administrative,if,thus
p0000009,0,0.157,causal_connector,adjectival,1,S,101-250,101-250,0,3-4,3-4,0,5452,6598,qwen_pair_packed,simple_wiki,practical,remarkable,because,because
p0000010,0,0.0,causal_connector,adjectival,1,S,101-250,101-250,0,2,2,0,4917,3285,simple_wiki,open_subtitles,internal,clinical,because,if
p0000011,0,0.0,causal_connector,adjectival,1,S,101-250,101-250,0,3-4,3-4,0,14539,19075,bnc_spoken,childes,enormous,magnetic,thus,if
p0000012,0,0.042,causal_connector,adjectival,1,S,251-500,251-500,0,3-4,3-4,0,370,14784,qwen_pair_packed,gutenberg,numerous,critical,because,if
p0000013,0,0.0,causal_connector,adjectival,1,S,251-500,251-500,0,3-4,3-4,0,18042,9901,simple_wiki,gutenberg,official,impossible,although,unless
p0000014,0,0.0,causal_connector,adjectival,1,S,251-500,251-500,0,3-4,3-4,0,10027,2670,open_subtitles,gutenberg,global,legal,because,if
p0000015,0,0.0,causal_connector,adjectival,1,S,251-500,251-500,0,3-4,3-4,0,17984,16918,simple_wiki,gutenberg,official,anxious,although,if
p0000016,0,0.0,causal_connector,adjectival,1,S,251-500,251-500,0,2,2,0,1545,17134,open_subtitles,gutenberg,active,trial,because,though
p0000017,0,0.2,causal_connector,adjectival,1,S,251-500,251-500,0,5-8,5-8,0,2919,6643,open_subtitles,gutenberg,ordinary,powerful,because,if
p0000018,0,0.1,causal_connector,adjectival,1,S,251-500,251-500,0,3-4,3-4,0,550,18646,bnc_spoken,gutenberg,additional,impossible,if,if
