global_step,epoch,stage_length,step_in_epoch,n_chunks,charged_words,active_tokens,masked_tokens,microbatches,cumulative_words
1,0,256,0,316,40010,58553,8762,5,40010
2,0,256,1,316,38717,57349,8721,5,78727
3,0,256,2,316,39706,58149,8726,5,118433
4,0,256,3,316,40190,58474,8976,5,158623
5,0,256,4,316,39633,57655,8630,5,198256
6,0,256,5,316,40185,58841,8853,5,238441
7,0,256,6,316,38446,57256,8479,5,276887
8,0,256,7,316,38529,56882,8591,5,315416
9,0,256,8,316,41290,59566,8911,5,356706
10,0,256,9,316,40537,58580,8884,5,397243
11,0,256,10,316,40126,58784,8844,5,437369
12,0,256,11,316,39186,57586,8518,5,476555
13,0,256,12,316,39806,58292,8618,5,516361
14,0,256,13,316,38211,56577,8475,5,554572
15,0,256,14,316,40600,58953,8909,5,595172
16,0,256,15,316,37983,56186,8449,5,633155
17,0,256,16,316,39554,58503,8837,5,672709
18,0,256,17,316,39763,58595,8612,5,712472
19,0,256,18,316,38826,57464,8467,5,751298
20,0,256,19,316,39375,58000,8577,5,790673
21,0,256,20,316,38967,57660,8451,5,829640
22,0,256,21,316,39371,58107,8704,5,869011
23,0,256,22,316,40298,58777,8838,5,909309
24,0,256,23,316,39895,58121,8579,5,949204
25,0,256,24,316,39287,57852,8836,5,988491
26,0,256,25,316,38659,57293,8708,5,1027150
27,0,256,26,316,38322,57510,8738,5,1065472
28,0,256,27,316,39115,57319,8820,5,1104587
29,0,256,28,316,38767,57610,8792,5,1143354
30,0,256,29,316,39341,57923,8427,5,1182695
31,0,256,30,316,38633,56748,8276,5,1221328
32,0,256,31,316,39495,57806,8428,5,1260823
33,0,256,32,316,38904,57723,8827,5,1299727
34,0,256,33,316,39488,57608,8687,5,1339215
35,0,256,34,316,39723,58401,8841,5,1378938
36,0,256,35,316,41041,59849,9069,5,1419979
37,0,256,36,316,39035,58168,8686,5,1459014
38,0,256,37,316,39287,58337,8575,5,1498301
39,0,256,38,316,39725,58213,8828,5,1538026
40,0,256,39,316,38858,57359,8506,5,1576884
41,0,256,40,316,38349,57098,8551,5,1615233
42,0,256,41,316,40597,59031,8890,5,1655830
43,0,256,42,316,38792,57369,8606,5,1694622
44,0,256,43,316,39459,58313,8845,5,1734081
45,0,256,44,316,38432,56999,8527,5,1772513
46,0,256,45,316,39875,58340,8931,5,1812388
47,0,256,46,316,39786,58325,8817,5,1852174
48,0,256,47,316,38725,56996,8568,5,1890899
49,0,256,48,316,40693,59024,8645,5,1931592
50,0,256,49,316,40370,58232,8766,5,1971962
51,0,256,50,316,40347,59425,8859,5,2012309
52,0,256,51,316,39620,57244,8622,5,2051929
53,0,256,52,316,39800,57619,8710,5,2091729
54,0,256,53,316,39571,58607,8743,5,2131300
55,0,256,54,316,39866,58360,8653,5,2171166
56,0,256,55,316,38847,57593,8609,5,2210013
57,0,256,56,316,37561,56216,8451,5,2247574
58,0,256,57,316,38568,56950,8584,5,2286142
59,0,256,58,316,38570,57383,8547,5,2324712
60,0,256,59,316,40030,58961,8885,5,2364742
61,0,256,60,316,39533,57693,8545,5,2404275
62,0,256,61,316,39204,57934,8836,5,2443479
63,0,256,62,316,40105,58839,8791,5,2483584
64,0,256,63,316,38977,57707,8667,5,2522561
65,0,256,64,316,37985,56182,8506,5,2560546
66,0,256,65,316,39771,57978,8840,5,2600317
67,0,256,66,316,40258,58480,8537,5,2640575
68,0,256,67,316,39412,58043,8737,5,2679987
69,0,256,68,316,40086,58010,8797,5,2720073
70,0,256,69,316,40285,58327,8782,5,2760358
71,0,256,70,316,39844,58019,8617,5,2800202
72,0,256,71,316,41258,59829,8982,5,2841460
73,0,256,72,316,39099,57347,8626,5,2880559
74,0,256,73,316,40098,58309,8816,5,2920657
75,0,256,74,316,40040,58894,8905,5,2960697
76,0,256,75,316,38310,56340,8427,5,2999007
77,0,256,76,316,37847,56214,8449,5,3036854
78,0,256,77,316,38796,57642,8607,5,3075650
79,0,256,78,316,39410,57545,8632,5,3115060
80,0,256,79,316,38631,56591,8305,5,3153691
81,0,256,80,316,40911,59395,8821,5,3194602
82,0,256,81,316,39329,57712,8583,5,3233931
83,0,256,82,316,38926,57665,8432,5,3272857
84,0,256,83,316,39625,57780,8653,5,3312482
85,0,256,84,316,38151,56484,8533,5,3350633
86,0,256,85,316,40604,59005,8740,5,3391237
87,0,256,86,316,39462,57679,8599,5,3430699
88,0,256,87,316,38536,56634,8614,5,3469235
89,0,256,88,316,40786,59826,8900,5,3510021
90,0,256,89,316,38954,57117,8223,5,3548975
91,0,256,90,316,39455,57435,8655,5,3588430
92,0,256,91,316,40157,58002,8799,5,3628587
93,0,256,92,316,37657,56082,8562,5,3666244
94,0,256,93,316,39278,57843,8608,5,3705522
95,0,256,94,316,39743,58501,8610,5,3745265
96,0,256,95,316,39687,57902,8617,5,3784952
97,0,256,96,316,37962,56339,8271,5,3822914
98,0,256,97,316,39384,57831,8922,5,3862298
99,0,256,98,316,39735,57870,8552,5,3902033
100,0,256,99,316,41094,59301,8960,5,3943127
101,0,256,100,316,40814,60088,9098,5,3983941
102,0,256,101,316,40032,58502,8577,5,4023973
103,0,256,102,316,39678,57938,8824,5,4063651
104,0,256,103,316,39399,57814,8662,5,4103050
105,0,256,104,316,39235,57672,8490,5,4142285
106,0,256,105,316,40009,58474,8850,5,4182294
107,0,256,106,316,38062,56901,8717,5,4220356
108,0,256,107,316,39422,57875,8800,5,4259778
109,0,256,108,316,38889,57925,8634,5,4298667
110,0,256,109,316,40938,59824,9021,5,4339605
111,0,256,110,316,39694,58108,8710,5,4379299
112,0,256,111,316,38501,56968,8742,5,4417800
113,0,256,112,316,39564,57978,8669,5,4457364
114,0,256,113,316,39833,58443,8665,5,4497197
115,0,256,114,316,39334,57574,8619,5,4536531
116,0,256,115,316,40724,59466,8853,5,4577255
117,0,256,116,316,38731,57016,8415,5,4615986
118,0,256,117,316,39282,57721,8653,5,4655268
119,0,256,118,316,39848,58244,8979,5,4695116
120,0,256,119,316,39542,57741,8571,5,4734658
121,0,256,120,316,38703,57596,8489,5,4773361
122,0,256,121,316,40555,59798,9035,5,4813916
123,0,256,122,316,39726,58329,8693,5,4853642
124,0,256,123,316,39563,58059,8664,5,4893205
125,0,256,124,316,39370,58137,8683,5,4932575
126,0,256,125,316,40893,59929,9082,5,4973468
127,0,256,126,316,37319,55609,8486,5,5010787
128,0,256,127,316,40626,59091,9025,5,5051413
129,0,256,128,316,38997,57454,8398,5,5090410
130,0,256,129,316,39503,57814,8582,5,5129913
131,0,256,130,316,39296,57211,8721,5,5169209
132,0,256,131,316,37863,56193,8330,5,5207072
133,0,256,132,316,41407,59373,8762,5,5248479
134,0,256,133,316,39174,57751,8813,5,5287653
135,0,256,134,316,39153,57159,8627,5,5326806
136,0,256,135,316,41299,58979,8831,5,5368105
137,0,256,136,316,39680,58524,8736,5,5407785
138,0,256,137,316,40248,58761,8768,5,5448033
139,0,256,138,316,40423,58657,8747,5,5488456
140,0,256,139,316,38716,57441,8484,5,5527172
141,0,256,140,316,39355,57517,8754,5,5566527
142,0,256,141,316,41743,60645,9340,5,5608270
143,0,256,142,316,38621,57299,8586,5,5646891
144,0,256,143,316,39761,58088,8642,5,5686652
145,0,256,144,316,40337,59118,9072,5,5726989
146,0,256,145,316,39390,57968,8521,5,5766379
147,0,256,146,316,39858,58533,8799,5,5806237
148,0,256,147,316,39647,58115,8882,5,5845884
149,0,256,148,316,39086,57316,8663,5,5884970
150,0,256,149,316,38638,57543,8924,5,5923608
151,0,256,150,316,38231,56934,8513,5,5961839
152,0,256,151,316,39606,58626,8790,5,6001445
153,0,256,152,316,40328,58681,8741,5,6041773
154,0,256,153,316,40533,58640,8803,5,6082306
155,0,256,154,316,39405,57593,8694,5,6121711
156,0,256,155,316,40126,58690,8648,5,6161837
157,0,256,156,316,40255,59035,9038,5,6202092
158,0,256,157,316,41684,59925,9118,5,6243776
159,0,256,158,316,40405,58335,8984,5,6284181
160,0,256,159,316,40850,59577,9065,5,6325031
161,0,256,160,316,38086,55802,8313,5,6363117
162,0,256,161,316,40467,58592,8461,5,6403584
163,0,256,162,316,39244,57612,8671,5,6442828
164,0,256,163,316,38392,57341,8707,5,6481220
165,0,256,164,316,38809,57674,8555,5,6520029
166,0,256,165,316,39050,57223,8589,5,6559079
167,0,256,166,316,39689,58368,8583,5,6598768
168,0,256,167,316,38486,57071,8470,5,6637254
169,0,256,168,316,40906,59582,8960,5,6678160
170,0,256,169,316,41562,60088,8965,5,6719722
171,0,256,170,316,40161,57976,8669,5,6759883
172,0,256,171,316,40224,58325,8766,5,6800107
173,0,256,172,316,40468,58898,8853,5,6840575
174,0,256,173,316,38757,57530,8493,5,6879332
175,0,256,174,316,39139,57513,8473,5,6918471
176,0,256,175,316,38439,56791,8676,5,6956910
177,0,256,176,316,38614,56708,8617,5,6995524
178,0,256,177,316,39161,57978,8556,5,7034685
179,0,256,178,316,40045,58224,8401,5,7074730
180,0,256,179,316,39398,58046,8739,5,7114128
181,0,256,180,316,40610,59304,8906,5,7154738
182,0,256,181,316,39342,57639,8732,5,7194080
183,0,256,182,316,38490,57103,8451,5,7232570
184,0,256,183,316,38903,57249,8630,5,7271473
185,0,256,184,316,39902,58236,8868,5,7311375
186,0,256,185,316,39868,58500,8614,5,7351243
187,0,256,186,316,38936,57214,8427,5,7390179
188,0,256,187,315,40221,58497,8788,5,7430400
189,0,256,188,315,39692,58664,8892,5,7470092
190,0,256,189,315,38118,56230,8497,5,7508210
191,0,256,190,315,39318,57837,8549,5,7547528
192,0,256,191,315,41225,59243,8820,5,7588753
193,0,256,192,315,39596,57445,8595,5,7628349
194,0,256,193,315,39929,58105,8545,5,7668278
195,0,256,194,315,39379,57985,8718,5,7707657
196,0,256,195,315,39074,57496,8667,5,7746731
197,0,256,196,315,40235,58996,8599,5,7786966
198,0,256,197,315,39274,57779,8752,5,7826240
199,0,256,198,315,40415,59432,8890,5,7866655
200,0,256,199,315,38516,57183,8573,5,7905171
201,0,256,200,315,39017,57431,8718,5,7944188
202,0,256,201,315,40267,58673,8971,5,7984455
203,0,256,202,315,40376,58780,8568,5,8024831
204,0,256,203,315,39193,57928,8704,5,8064024
205,0,256,204,315,39653,57673,8786,5,8103677
206,0,256,205,315,40517,59322,9049,5,8144194
207,0,256,206,315,38581,56358,8582,5,8182775
208,0,256,207,315,40344,58491,8815,5,8223119
209,0,256,208,315,39309,58044,8730,5,8262428
210,0,256,209,315,39140,57260,8602,5,8301568
211,0,256,210,315,39741,58016,8508,5,8341309
212,0,256,211,315,38224,57350,8860,5,8379533
213,0,256,212,315,38838,57476,8758,5,8418371
214,0,256,213,315,40498,58941,9130,5,8458869
215,0,256,214,315,39520,57896,8677,5,8498389
216,0,256,215,315,39386,57432,8602,5,8537775
217,0,256,216,315,38250,57101,8528,5,8576025
218,0,256,217,315,41728,59946,9123,5,8617753
219,0,256,218,315,40466,58581,8841,5,8658219
