arm,checkpoint,split,numops,local_index,sample_id,example_id,item_key,pred,pred_idx,correct,gold,option_count
view,chck_80M,ambiref,0,0,42,0,ambiref:0:0,the red shirt and the yellow coat and the blue jacket.,1,False,the blue card and the small tissue and the red rose.,5
view,chck_80M,ambiref,0,1,754,1,ambiref:0:1,the yellow meat.,0,True,the yellow meat.,5
view,chck_80M,ambiref,0,2,2139,2,ambiref:0:2,the green letter and the yellow book and the blue machine.,1,False,the small flower and the red milk and the big watch.,5
view,chck_80M,ambiref,0,3,168,3,ambiref:0:3,the red engine.,0,True,the red engine.,5
view,chck_80M,ambiref,0,4,147,4,ambiref:0:4,the small paper and the big egg.,0,True,the small paper and the big egg.,5
view,chck_80M,ambiref,0,5,1550,5,ambiref:0:5,the blue car and the yellow stone.,1,False,the big tie and the red boat.,5
view,chck_80M,ambiref,0,6,702,6,ambiref:0:6,the yellow bone and the big bowl and the green medicine.,2,False,the blue document and the red television and the red pot.,5
view,chck_80M,ambiref,0,7,232,7,ambiref:0:7,the blue bomb and the green medicine and the blue pot.,2,False,the yellow knife and the small cup and the small ring.,5
view,chck_80M,ambiref,0,8,401,9,ambiref:0:8,the green bus and the small note.,1,False,the small wire and the green creature.,5
view,chck_80M,ambiref,0,9,122,10,ambiref:0:9,the blue ice and the red leaf and the green string.,4,False,the blue string and the red leaf and the green string.,5
view,chck_80M,ambiref,0,10,116,13,ambiref:0:10,the big shirt and the red knife.,0,True,the big shirt and the red knife.,5
view,chck_80M,ambiref,0,11,636,14,ambiref:0:11,the yellow rose and the blue disk and the small meat.,1,False,the blue string and the small card and the small document.,5
view,chck_80M,ambiref,0,12,477,15,ambiref:0:12,the yellow phone and the green sheet.,4,False,the yellow phone and the green cake.,5
view,chck_80M,ambiref,0,13,593,16,ambiref:0:13,the small bill and the big bone.,3,False,the small bill and the yellow bone.,5
