mode,source,source_family,threshold_overlap_coef,hit_pairs_unique_10M,hit_pair_exposures_100M_repeat10,rows_with_hit_unique_10M,hit_pairs_per_1M_words_unique,hit_pair_exposures_per_1M_training_words_100M,hit_overlap_mean,hit_jaccard_mean
fixed_window,bnc_spoken,natural_babylm_subcorpus,0.5,1472,14720,353,2429.880932532837,147.2,0.5959727809931614,0.3530613372844831
fixed_window,bnc_spoken,natural_babylm_subcorpus,0.6,599,5990,195,988.7898631706314,59.9,0.7063900391947137,0.43269690567269864
fixed_window,bnc_spoken,natural_babylm_subcorpus,0.7,257,2570,115,424.2387225957467,25.700000000000003,0.8013573758709945,0.5138402561554313
fixed_window,bnc_spoken,natural_babylm_subcorpus,0.8,147,1470,76,242.65794638745047,14.7,0.8549876804978847,0.5542346164795144
fixed_window,childes,natural_babylm_subcorpus,0.5,44769,447690,13054,16495.523780503307,4476.9,0.5891681652202325,0.3514784883570631
fixed_window,childes,natural_babylm_subcorpus,0.6,16991,169910,7627,6260.480344759358,1699.1000000000001,0.6993146847201935,0.43485079250558034
fixed_window,childes,natural_babylm_subcorpus,0.7,6902,69020,3938,2543.1013677552287,690.1999999999999,0.7945817930097849,0.5188556666135629
fixed_window,childes,natural_babylm_subcorpus,0.8,3213,32130,1965,1183.857533265365,321.3,0.8677681847149634,0.5713307139310874
fixed_window,gutenberg,natural_babylm_subcorpus,0.5,373,3730,267,190.33360429082362,37.3,0.5747621755664651,0.35703085201784146
fixed_window,gutenberg,natural_babylm_subcorpus,0.6,124,1240,88,63.27444217711027,12.4,0.6901817716333846,0.4544718162661711
fixed_window,gutenberg,natural_babylm_subcorpus,0.7,50,500,38,25.513887974641236,5.0,0.7706659451659452,0.5461787101787102
fixed_window,gutenberg,natural_babylm_subcorpus,0.8,20,200,15,10.205555189856495,2.0,0.8416865079365079,0.6101262626262627
fixed_window,open_subtitles,natural_babylm_subcorpus,0.5,1189,11890,685,617.6735680908484,118.9,0.63920904345631,0.3825449565276657
fixed_window,open_subtitles,natural_babylm_subcorpus,0.6,574,5740,324,298.1872397679958,57.4,0.7652792232931606,0.4744256711155666
fixed_window,open_subtitles,natural_babylm_subcorpus,0.7,318,3180,186,165.19780879132867,31.8,0.8706826803524916,0.5643664773381755
fixed_window,open_subtitles,natural_babylm_subcorpus,0.8,223,2230,127,115.84626213983111,22.3,0.9287527743805771,0.6117224703547574
fixed_window,qwen_pair_packed,designed_qwen_pair_packed,0.5,14077,140770,8484,8496.499275712216,1407.7,0.6369922932631606,0.4574247952053425
fixed_window,qwen_pair_packed,designed_qwen_pair_packed,0.6,7710,77100,5609,4653.549010140029,771.0,0.7223873017744613,0.5459025595747385
fixed_window,qwen_pair_packed,designed_qwen_pair_packed,0.7,4358,43580,3539,2630.371801062289,435.8,0.784358971939284,0.6201977144267186
fixed_window,qwen_pair_packed,designed_qwen_pair_packed,0.8,1905,19050,1703,1149.8068565910187,190.5,0.8508393458393458,0.7104817754424054
fixed_window,simple_wiki,natural_babylm_subcorpus,0.5,3922,39220,1250,3512.3415550663867,392.2,0.6861302432057149,0.48396163445414275
fixed_window,simple_wiki,natural_babylm_subcorpus,0.6,2710,27100,702,2426.9366685950813,271.0,0.7588390228058125,0.5596396597457483
fixed_window,simple_wiki,natural_babylm_subcorpus,0.7,1999,19990,464,1790.2016238086965,199.9,0.8033061805072811,0.6113902688940208
fixed_window,simple_wiki,natural_babylm_subcorpus,0.8,1043,10430,304,934.0571754039372,104.3,0.8650645961048645,0.6821721529775221
fixed_window,switchboard,natural_babylm_subcorpus,0.5,9,90,6,407.5348668719435,0.8999999999999999,0.5111111111111111,0.3082983193277311
fixed_window,switchboard,natural_babylm_subcorpus,0.6,1,10,1,45.28165187466039,0.09999999999999999,0.6,0.375
sentence,bnc_spoken,natural_babylm_subcorpus,0.5,709,7090,352,1170.3706393789275,70.9,0.6107014854297689,0.29030534341010483
sentence,bnc_spoken,natural_babylm_subcorpus,0.6,321,3210,171,529.8857196623919,32.1,0.7179618172127793,0.34829960139939203
sentence,bnc_spoken,natural_babylm_subcorpus,0.7,155,1550,99,255.8638210207811,15.5,0.8082118466606133,0.40601095510398255
sentence,bnc_spoken,natural_babylm_subcorpus,0.8,83,830,58,137.01094932080537,8.3,0.8728367850355803,0.4438469640371054
sentence,childes,natural_babylm_subcorpus,0.5,1245,12450,736,458.73097694222827,124.49999999999999,0.6721805646853205,0.4636539822086736
sentence,childes,natural_babylm_subcorpus,0.6,672,6720,412,247.6041899639979,67.19999999999999,0.8014853054561701,0.6082804092384282
sentence,childes,natural_babylm_subcorpus,0.7,440,4400,262,162.12179104785577,44.0,0.888869971070928,0.7258483151123097
sentence,childes,natural_babylm_subcorpus,0.8,317,3170,169,116.80138127765971,31.7,0.9473220260286507,0.8217530670468323
sentence,gutenberg,natural_babylm_subcorpus,0.5,351,3510,301,179.1074935819815,35.1,0.5825916937279431,0.2881754599465099
sentence,gutenberg,natural_babylm_subcorpus,0.6,101,1010,77,51.538053708775294,10.1,0.7438457097164144,0.42340321292580324
sentence,gutenberg,natural_babylm_subcorpus,0.7,49,490,30,25.003610215148413,4.8999999999999995,0.8626130672049039,0.5435023945214137
sentence,gutenberg,natural_babylm_subcorpus,0.8,30,300,17,15.308332784784742,3.0,0.9427621452621453,0.653954193954194
sentence,open_subtitles,natural_babylm_subcorpus,0.5,221,2210,144,114.8072822103259,22.099999999999998,0.6937804676119623,0.44474266980389754
sentence,open_subtitles,natural_babylm_subcorpus,0.6,136,1360,94,70.65063520635441,13.6,0.803915983530068,0.544127215150911
sentence,open_subtitles,natural_babylm_subcorpus,0.7,89,890,63,46.23460686298192,8.9,0.8891896268583401,0.6396071536638477
sentence,open_subtitles,natural_babylm_subcorpus,0.8,66,660,49,34.28633767367199,6.6000000000000005,0.9376406366537946,0.7168978860776247
sentence,qwen_pair_packed,designed_qwen_pair_packed,0.5,22528,225280,10983,13597.295992274263,2252.8,0.7741399769054789,0.5992940556318764
sentence,qwen_pair_packed,designed_qwen_pair_packed,0.6,19281,192810,10018,11637.49396426847,1928.1000000000001,0.814906159311054,0.6451071118606201
sentence,qwen_pair_packed,designed_qwen_pair_packed,0.7,15808,158080,8824,9541.284403669724,1580.8,0.8528866328482309,0.6929488519987639
sentence,qwen_pair_packed,designed_qwen_pair_packed,0.8,11599,115990,7281,7000.845002414292,1159.8999999999999,0.891739045793275,0.7485202390636299
sentence,simple_wiki,natural_babylm_subcorpus,0.5,2050,20500,1172,1835.8746017047663,205.0,0.6656521117488232,0.44959250541149154
sentence,simple_wiki,natural_babylm_subcorpus,0.6,1133,11330,554,1014.6565481617075,113.3,0.7857910189439814,0.591443974089515
sentence,simple_wiki,natural_babylm_subcorpus,0.7,836,8360,353,748.6786180610657,83.6,0.8401608404651607,0.6669333093567233
sentence,simple_wiki,natural_babylm_subcorpus,0.8,554,5540,212,496.1339167533856,55.4,0.8894788592521656,0.7419224975660184
sentence,switchboard,natural_babylm_subcorpus,0.5,5,50,4,226.40825937330195,0.5,0.5444444444444444,0.19114230019493178
sentence,switchboard,natural_babylm_subcorpus,0.6,1,10,1,45.28165187466039,0.09999999999999999,0.6666666666666666,0.16
sentence,ALL,ALL,0.5,27109,271090,13692,2710.9,2710.9,0.7538013860739097,0.5682994668067761
sentence,ALL,ALL,0.6,21645,216450,11327,2164.5,2164.5,0.8111202775624821,0.6350616714830906
sentence,ALL,ALL,0.7,17377,173770,9631,1737.7,1737.7,0.8530003968050149,0.6892762450202478
sentence,ALL,ALL,0.8,12649,126490,7786,1264.9,1264.9,0.8932695202757488,0.7476780949576481
sentence,NATURAL_ONLY,NATURAL_ONLY,0.5,4581,45810,2709,549.0699012369355,458.1,0.6537822255732355,0.415877267057407
sentence,NATURAL_ONLY,NATURAL_ONLY,0.6,2364,23640,1309,283.3445200882155,236.4,0.7802422801030005,0.5531301419064633
sentence,NATURAL_ONLY,NATURAL_ONLY,0.7,1569,15690,807,188.0573401093106,156.9,0.8541465922344872,0.6522739689741147
sentence,NATURAL_ONLY,NATURAL_ONLY,0.8,1050,10500,505,125.85099242496884,105.0,0.9101761617254762,0.7383752097335703
sentence,DESIGNED_QWEN_PAIR_PACKED,DESIGNED_QWEN_PAIR_PACKED,0.5,22528,225280,10983,13597.295992274263,2252.8,0.7741399769054789,0.5992940556318764
sentence,DESIGNED_QWEN_PAIR_PACKED,DESIGNED_QWEN_PAIR_PACKED,0.6,19281,192810,10018,11637.49396426847,1928.1000000000001,0.814906159311054,0.6451071118606201
sentence,DESIGNED_QWEN_PAIR_PACKED,DESIGNED_QWEN_PAIR_PACKED,0.7,15808,158080,8824,9541.284403669724,1580.8,0.8528866328482309,0.6929488519987639
sentence,DESIGNED_QWEN_PAIR_PACKED,DESIGNED_QWEN_PAIR_PACKED,0.8,11599,115990,7281,7000.845002414292,1159.8999999999999,0.891739045793275,0.7485202390636299
fixed_window,ALL,ALL,0.5,65811,658110,24099,6581.1,6581.1,0.6061401694646896,0.3826580093322221
fixed_window,ALL,ALL,0.6,28709,287090,14546,2870.9,2870.9,0.7125534189242434,0.47728298842278777
fixed_window,ALL,ALL,0.7,13884,138840,8280,1388.3999999999999,1388.3999999999999,0.7944114250294025,0.565036518229042
fixed_window,ALL,ALL,0.8,6551,65510,4190,655.1,655.1,0.8641244532024566,0.6305522891769266
fixed_window,NATURAL_ONLY,NATURAL_ONLY,0.5,51734,517340,15615,6200.738325822227,5173.4,0.5977452000691069,0.3623137087806329
fixed_window,NATURAL_ONLY,NATURAL_ONLY,0.6,20999,209990,8937,2516.899990411353,2099.9,0.708942807143912,0.45208860328151723
fixed_window,NATURAL_ONLY,NATURAL_ONLY,0.7,9526,95260,4741,1141.768146514527,952.5999999999999,0.7990102693047266,0.5398011106047008
fixed_window,NATURAL_ONLY,NATURAL_ONLY,0.8,4646,46460,2487,556.8606769584812,464.6,0.8695717475474256,0.5977787912570521
fixed_window,DESIGNED_QWEN_PAIR_PACKED,DESIGNED_QWEN_PAIR_PACKED,0.5,14077,140770,8484,8496.499275712216,1407.7,0.6369922932631606,0.4574247952053425
fixed_window,DESIGNED_QWEN_PAIR_PACKED,DESIGNED_QWEN_PAIR_PACKED,0.6,7710,77100,5609,4653.549010140029,771.0,0.7223873017744613,0.5459025595747385
