mode,source,source_family,rows,words_10M_stream,rows_with_ge2_spans,span_count,candidate_pairs,candidate_pairs_per_1M_words,overlap_mean,overlap_p50,overlap_p90,overlap_p95,overlap_p99,jaccard_mean,row_max_overlap_p50,row_max_overlap_p90,row_max_overlap_p95,row_max_overlap_p99
fixed_window,bnc_spoken,natural_babylm_subcorpus,3852,605791,3852,21232,50029,82584.5877538623,0.1012147918132447,0.08333333333333333,0.2857142857142857,0.375,0.6,0.054069054530077924,0.25,0.45454545454545453,0.6,0.8571428571428571
fixed_window,childes,natural_babylm_subcorpus,17267,2714009,17267,120420,367358,135356.22026308684,0.27983254381052985,0.25,0.5,0.5714285714285714,0.75,0.15187781402127684,0.5714285714285714,0.8,0.857142857142857,1.0
fixed_window,gutenberg,natural_babylm_subcorpus,12469,1959717,12469,72405,178532,91100.90895777298,0.052859863377025564,0.0,0.16666666666666666,0.2,0.3333333333333333,0.027993329524132318,0.18181818181818182,0.3333333333333333,0.4,0.5555555555555556
fixed_window,open_subtitles,natural_babylm_subcorpus,12249,1924965,12246,70817,173900,90339.30487047817,0.06222216372216372,0.0,0.18181818181818182,0.25,0.4166666666666667,0.032465251434349675,0.2,0.4,0.5,0.8
fixed_window,qwen_pair_packed,designed_qwen_pair_packed,12236,1656800,12232,66980,156535,94480.32351521005,0.12519956787852146,0.0,0.4545454545454546,0.5833333333333334,0.8181818181818182,0.0790246593795807,0.5833333333333334,0.8181818181818182,0.8333333333333334,0.9166666666666665
fixed_window,simple_wiki,natural_babylm_subcorpus,7099,1116634,7099,49544,150840,135084.54874202292,0.08991876635621664,0.0,0.25,0.3333333333333333,0.75,0.05053219208117724,0.3,0.5833333333333334,0.75,0.8888888888888888
fixed_window,switchboard,natural_babylm_subcorpus,141,22084,141,599,1010,45734.468393407,0.10523445201663023,0.09090909090909091,0.2727272727272727,0.3333333333333333,0.45454545454545453,0.05537404239433616,0.2222222222222222,0.4166666666666667,0.4444444444444444,0.5
sentence,bnc_spoken,natural_babylm_subcorpus,3852,605791,3322,12106,17472,28841.63019919411,0.10771279531844791,0.06666666666666667,0.3,0.42857142857142855,0.6666666666666666,0.04818689336179816,0.2,0.5,0.6,0.8333333333333334
sentence,childes,natural_babylm_subcorpus,17267,2714009,4008,15484,10526,3878.3953922039314,0.22177787339010702,0.14285714285714285,0.5,0.625,1.0,0.12620761607371986,0.2222222222222222,0.6,0.75,1.0
sentence,gutenberg,natural_babylm_subcorpus,12469,1959717,12216,48800,79708,40673.21965365407,0.06271492383666669,0.0,0.2,0.25,0.375,0.02718913878988081,0.14285714285714285,0.3333333333333333,0.4,0.5555555555555556
sentence,open_subtitles,natural_babylm_subcorpus,12249,1924965,4163,14817,11020,5724.779411573717,0.07050926987472661,0.0,0.2222222222222222,0.3,0.6666666666666666,0.03519780482745633,0.0,0.2857142857142857,0.3803571428571407,0.8333333333333335
sentence,qwen_pair_packed,designed_qwen_pair_packed,12236,1656800,12195,59997,127761,77113.1096088846,0.15597409631886336,0.0,0.7692307692307693,0.8888888888888888,0.9375,0.11593914347565751,0.8571428571428571,0.9375,1.0,1.0
sentence,simple_wiki,natural_babylm_subcorpus,7099,1116634,6842,33199,70246,62908.70598602585,0.0919806201738095,0.0,0.25,0.375,0.75,0.04720154232669453,0.26666666666666666,0.5555555555555556,0.7,0.8888888888888888
sentence,switchboard,natural_babylm_subcorpus,141,22084,118,360,368,16663.64788987502,0.10218148635625753,0.1,0.25,0.3333333333333333,0.5,0.04551206604005957,0.14285714285714285,0.375,0.4309523809523808,0.546111111111111
sentence,ALL,ALL,65313,10000000,42864,184763,317101,31710.1,0.11484847133816523,0.0,0.375,0.7272727272727273,0.9230769230769231,0.07212346647802721,0.25,0.9000000000000001,0.9285714285714286,1.0
sentence,NATURAL_ONLY,NATURAL_ONLY,53077,8343200,30669,124766,189340,22693.930386422475,0.08709812290065083,0.0,0.25,0.36363636363636365,0.625,0.042557950956245,0.16666666666666666,0.4444444444444444,0.5555555555555556,0.875
sentence,DESIGNED_QWEN_PAIR_PACKED,DESIGNED_QWEN_PAIR_PACKED,12236,1656800,12195,59997,127761,77113.1096088846,0.15597409631886336,0.0,0.7692307692307693,0.8888888888888888,0.9375,0.11593914347565751,0.8571428571428571,0.9375,1.0,1.0
fixed_window,ALL,ALL,65313,10000000,65306,401997,1078204,107820.4,0.1496820246632898,0.09090909090909091,0.4,0.5,0.7142857142857143,0.08272116571230954,0.36363636363636365,0.7272727272727273,0.8181818181818182,0.9166666666666666
fixed_window,NATURAL_ONLY,NATURAL_ONLY,53077,8343200,53074,335017,921669,110469.48413078915,0.15384009157538484,0.1,0.375,0.5,0.7,0.08334897528254974,0.3,0.6666666666666666,0.7777777777777779,1.0
fixed_window,DESIGNED_QWEN_PAIR_PACKED,DESIGNED_QWEN_PAIR_PACKED,12236,1656800,12232,66980,156535,94480.32351521005,0.12519956787852146,0.0,0.4545454545454546,0.5833333333333334,0.8181818181818182,0.0790246593795807,0.5833333333333334,0.8181818181818182,0.8333333333333334,0.9166666666666665
