words,need,available_nonqwen,child_take_min_score,adult_take_min_score,child_available_score_ge_0p5,adult_available_score_ge_0p5,feasible_exact_count
79,1,1,1.0,-1.0,1,0,True
80,1,1,-0.05,0.05,0,0,True
82,1,1,-1.0,1.0,0,1,True
83,1,1,0.46987951807228917,-0.46987951807228917,0,0,True
86,1,1,1.0,-1.0,1,0,True
88,1,1,1.0,-1.0,1,0,True
90,1,1,1.0,-1.0,1,0,True
91,1,1,1.0,-1.0,1,0,True
92,1,1,1.0,-1.0,1,0,True
93,1,1,1.0,-1.0,1,0,True
95,1,1,-1.0,1.0,0,1,True
96,3,3,-1.0,-1.0,2,1,True
97,1,1,1.0,-1.0,1,0,True
98,2,2,1.0,-1.0,2,0,True
99,3,3,-1.0,-1.0,1,1,True
100,6,6,-1.0,-1.0,2,2,True
101,15,15,-1.0,-1.0,9,4,True
102,9,9,-1.0,-1.0,5,3,True
103,14,14,-1.0,-1.0,7,5,True
104,13,13,-1.0,-1.0,9,3,True
105,15,15,-1.0,-1.0,7,5,True
106,23,23,-1.0,-1.0,13,7,True
107,32,32,-1.0,-1.0,18,6,True
108,29,29,-1.0,-1.0,17,9,True
109,33,33,-1.0,-1.0,20,10,True
110,31,31,-1.0,-1.0,23,2,True
111,38,38,-1.0,-1.0,23,8,True
112,50,50,-1.0,-1.0,31,13,True
113,44,44,-1.0,-1.0,27,13,True
114,42,42,-1.0,-1.0,17,17,True
115,38,38,-1.0,-1.0,15,8,True
116,50,50,-1.0,-1.0,28,15,True
117,45,45,-1.0,-1.0,27,10,True
118,74,74,-1.0,-1.0,39,25,True
119,58,58,-1.0,-1.0,29,21,True
120,75,75,-1.0,-1.0,34,20,True
121,73,73,-1.0,-1.0,41,17,True
122,73,73,-1.0,-1.0,41,21,True
123,88,88,-1.0,-1.0,51,23,True
124,89,89,-1.0,-1.0,44,28,True
125,108,108,-1.0,-1.0,57,29,True
126,93,93,-1.0,-1.0,50,28,True
127,107,107,-1.0,-1.0,55,33,True
128,110,110,-1.0,-1.0,59,32,True
129,102,102,-1.0,-1.0,52,28,True
130,144,144,-1.0,-1.0,80,36,True
131,131,131,-1.0,-1.0,74,31,True
132,126,126,-1.0,-1.0,79,29,True
133,149,150,-1.0,-1.0,75,38,True
134,144,144,-1.0,-1.0,68,40,True
135,161,161,-1.0,-1.0,90,41,True
136,173,173,-1.0,-1.0,94,45,True
137,163,163,-1.0,-1.0,92,40,True
138,169,169,-1.0,-1.0,80,43,True
139,141,141,-1.0,-1.0,80,36,True
140,217,217,-1.0,-1.0,102,59,True
141,175,175,-1.0,-1.0,98,48,True
142,198,198,-1.0,-1.0,112,50,True
143,193,193,-1.0,-1.0,92,65,True
144,252,252,-1.0,-1.0,134,61,True
145,193,193,-1.0,-1.0,97,56,True
146,222,222,-1.0,-1.0,106,55,True
147,252,252,-1.0,-1.0,136,64,True
148,245,245,-1.0,-1.0,134,65,True
149,218,218,-1.0,-1.0,116,60,True
150,240,240,-1.0,-1.0,113,67,True
151,196,196,-1.0,-1.0,103,50,True
152,258,258,-1.0,-1.0,134,73,True
153,249,249,-1.0,-1.0,139,65,True
154,240,240,-1.0,-1.0,132,59,True
155,223,223,-1.0,-1.0,124,53,True
156,234,234,-1.0,-1.0,119,66,True
157,243,243,-1.0,-1.0,126,69,True
158,241,241,-1.0,-1.0,125,67,True
159,253,253,-1.0,-1.0,129,63,True
160,283,45436,1.0,1.0,28661,16714,True
