regime,match_key,target_words_each_arm,transition_rows_available,control_rows_available,transition_words_available,control_words_available,transition_rows_selected,control_rows_selected
surface_no_quote,"('fw_frozen_sources_38167', 'a02_compact_reinvest', '26_35', 'physical_anchor', '1_3', '0_0', '0_0', '1_3')",57,2,4,57,124,2,2
surface_no_quote,"('fw_frozen_sources_38167', 'v3_stable', '36_50', 'physical_anchor', '1_3', '0_0', '2_3', '1_3')",36,1,1,36,36,1,1
surface_no_quote,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '36_50', 'physical_anchor', '1_3', '1_3', '0_0', '1_3')",47,1,2,47,83,1,1
surface_no_quote,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '36_50', 'quantity_anchor', '1_3', '4_8', '0_0', '1_3')",42,2,1,78,42,1,1
surface_no_quote,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '51_70', 'physical_anchor', '1_3', '4_8', '0_0', '4_8')",172,3,4,172,230,3,3
surface_no_quote,"('compact_experience_aligned_10m_rows', 'childes', '16_25', 'physical_anchor', '0_0', '1_3', '0_0', '0_0')",19,2,2,41,44,1,1
surface_no_quote,"('compact_experience_aligned_10m_rows', 'childes', '26_35', 'physical_anchor', '0_0', '1_3', '0_0', '0_0')",89,4,3,117,89,3,3
surface_no_quote,"('compact_experience_aligned_10m_rows', 'gutenberg', '26_35', 'physical_anchor', '1_3', '1_3', '0_0', '1_3')",268,20,9,609,268,9,9
surface_no_quote,"('compact_experience_aligned_10m_rows', 'gutenberg', '26_35', 'physical_anchor', '1_3', '1_3', '0_0', '4_8')",129,6,4,192,129,4,4
surface_no_quote,"('compact_experience_aligned_10m_rows', 'gutenberg', '26_35', 'physical_anchor', '1_3', '4_8', '0_0', '1_3')",162,5,7,162,222,5,5
surface_no_quote,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '0_0', '1_3', '0_0', '1_3')",41,1,2,41,81,1,1
surface_no_quote,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '1_3', '1_3', '0_0', '1_3')",208,6,9,244,391,5,5
surface_no_quote,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '1_3', '1_3', '0_0', '4_8')",532,12,18,532,791,12,12
surface_no_quote,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '1_3', '4_8', '0_0', '1_3')",793,19,22,836,901,18,19
surface_no_quote,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '1_3', '4_8', '0_0', '4_8')",436,31,10,1375,436,10,10
surface_no_quote,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '4_7', '1_3', '0_0', '4_8')",136,4,5,174,230,3,3
surface_no_quote,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'quantity_anchor', '1_3', '4_8', '0_0', '1_3')",37,1,1,37,37,1,1
surface_no_quote,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'spatial_anchor', '1_3', '1_3', '0_0', '1_3')",77,6,2,257,77,2,2
surface_no_quote,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'spatial_anchor', '1_3', '1_3', '0_0', '4_8')",43,1,1,43,43,1,1
surface_no_quote,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'spatial_anchor', '1_3', '4_8', '0_0', '4_8')",46,3,5,138,230,1,1
surface_no_quote,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '1_3', '1_3', '0_0', '4_8')",561,11,11,613,612,10,10
