regime,match_key,target_words_each_arm,transition_rows_available,control_rows_available,transition_words_available,control_words_available,transition_rows_selected,control_rows_selected
medium_style,"('fw_compact_rewrites', 'new_qwen35_full26k', '08_15', 'physical_anchor', '0_0', '1_3', '0_0')",14,2,1,28,14,1,1
medium_style,"('fw_frozen_sources_38167', 'a02_compact_reinvest', '26_35', 'physical_anchor', '0_0', '1_3', '0_0')",61,3,6,89,190,2,2
medium_style,"('fw_frozen_sources_38167', 'a02_compact_reinvest', '26_35', 'spatial_anchor', '0_0', '1_3', '0_0')",29,1,2,29,63,1,1
medium_style,"('fw_frozen_sources_38167', 'a02_compact_reinvest', '36_50', 'physical_anchor', '0_0', '1_3', '0_0')",37,1,3,37,121,1,1
medium_style,"('fw_frozen_sources_38167', 'v3_stable', '16_25', 'physical_anchor', '0_0', '1_3', '0_0')",42,3,4,65,86,2,2
medium_style,"('fw_frozen_sources_38167', 'v3_stable', '36_50', 'physical_anchor', '0_0', '1_3', '2_3')",36,1,1,36,36,1,1
medium_style,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '36_50', 'quantity_anchor', '1_2', '1_3', '0_0')",42,1,1,42,42,1,1
medium_style,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '51_70', 'physical_anchor', '0_0', '1_3', '0_0')",109,2,4,109,228,2,2
medium_style,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '51_70', 'physical_anchor', '1_2', '1_3', '0_0')",113,2,13,113,748,2,2
medium_style,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '51_70', 'physical_anchor', '3_6', '1_3', '0_0')",115,2,5,115,296,2,2
medium_style,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '51_70', 'physical_anchor', '3_6', '4_7', '0_0')",54,2,2,122,107,1,1
medium_style,"('compact_experience_aligned_10m_rows', 'childes', '16_25', 'physical_anchor', '0_0', '0_0', '0_0')",65,5,3,107,65,3,3
medium_style,"('compact_experience_aligned_10m_rows', 'childes', '16_25', 'physical_anchor', '0_0', '1_3', '0_0')",25,1,2,25,44,1,1
medium_style,"('compact_experience_aligned_10m_rows', 'childes', '26_35', 'physical_anchor', '0_0', '0_0', '0_0')",146,8,5,238,146,5,5
medium_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '16_25', 'physical_anchor', '0_0', '1_3', '0_0')",24,1,7,24,164,1,1
medium_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '26_35', 'physical_anchor', '0_0', '0_0', '0_0')",116,4,4,116,116,4,4
medium_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '26_35', 'physical_anchor', '0_0', '1_3', '0_0')",344,26,11,809,344,11,11
medium_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '26_35', 'physical_anchor', '1_2', '1_3', '0_0')",93,3,10,93,318,3,3
medium_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '26_35', 'physical_anchor', '3_6', '1_3', '0_0')",89,3,6,89,173,3,3
medium_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '26_35', 'physical_anchor', '7_plus', '1_3', '0_0')",30,1,1,30,30,1,1
medium_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '0_0', '0_0', '0_0')",207,5,9,207,384,5,5
medium_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '0_0', '1_3', '0_0')",1163,32,27,1415,1163,26,27
medium_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '1_2', '1_3', '0_0')",884,21,20,933,884,20,20
medium_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '1_2', '4_7', '0_0')",135,6,4,251,184,3,3
medium_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '3_6', '0_0', '0_0')",38,2,2,79,81,1,1
medium_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '3_6', '1_3', '0_0')",618,17,15,731,618,14,15
medium_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '3_6', '4_7', '0_0')",50,4,5,184,225,1,1
medium_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '7_plus', '1_3', '0_0')",38,3,3,117,118,1,1
medium_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'spatial_anchor', '0_0', '0_0', '0_0')",46,1,4,46,179,1,1
medium_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'spatial_anchor', '0_0', '1_3', '0_0')",131,4,6,181,258,3,3
medium_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'spatial_anchor', '1_2', '1_3', '0_0')",79,6,3,250,128,2,2
medium_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'spatial_anchor', '3_6', '1_3', '0_0')",49,4,1,183,49,1,1
medium_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '0_0', '0_0', '0_0')",115,8,2,484,115,2,2
medium_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '0_0', '1_3', '0_0')",1565,31,27,1778,1565,27,27
medium_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '0_0', '4_7', '0_0')",351,9,6,509,351,6,6
medium_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '1_2', '1_3', '0_0')",995,17,25,995,1511,17,16
medium_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '1_2', '4_7', '0_0')",496,11,9,655,549,8,8
medium_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '3_6', '1_3', '0_0')",565,13,10,731,565,10,10
medium_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '3_6', '4_7', '0_0')",473,17,8,1044,473,8,8
medium_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '7_plus', '1_3', '0_0')",125,3,4,186,231,2,2
medium_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'spatial_anchor', '0_0', '1_3', '0_0')",370,7,7,430,427,6,6
medium_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'spatial_anchor', '1_2', '1_3', '0_0')",431,9,7,542,431,7,7
medium_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'spatial_anchor', '1_2', '4_7', '0_0')",61,2,1,122,61,1,1
medium_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'spatial_anchor', '3_6', '1_3', '0_0')",64,4,2,255,134,1,1
medium_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'spatial_anchor', '3_6', '4_7', '0_0')",122,4,4,243,235,2,2
medium_style,"('compact_experience_aligned_10m_rows', 'open_subtitles', '26_35', 'physical_anchor', '0_0', '1_3', '0_0')",60,2,3,60,91,2,2
medium_style,"('compact_experience_aligned_10m_rows', 'open_subtitles', '36_50', 'physical_anchor', '3_6', '4_7', '0_0')",65,1,2,65,108,1,1
medium_style,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '16_25', 'physical_anchor', '0_0', '1_3', '0_0')",22,7,2,166,43,1,1
medium_style,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '26_35', 'physical_anchor', '0_0', '0_0', '0_0')",62,5,4,149,131,2,2
