regime,match_key,target_words_each_arm,transition_rows_available,control_rows_available,transition_words_available,control_words_available,transition_rows_selected,control_rows_selected
source_origin_len_cap_pronoun,"('fw_compact_rewrites', 'existing_a02_qwen35', '16_25', 'physical_anchor', '0_0')",23,1,1,23,23,1,1
source_origin_len_cap_pronoun,"('fw_compact_rewrites', 'new_qwen35_full26k', '08_15', 'physical_anchor', '1_3')",14,1,1,14,14,1,1
source_origin_len_cap_pronoun,"('fw_compact_rewrites', 'new_qwen35_full26k', '16_25', 'spatial_anchor', '0_0')",18,3,2,60,33,1,1
source_origin_len_cap_pronoun,"('fw_compact_rewrites', 'new_qwen35_full26k', '26_35', 'quantity_anchor', '1_3')",30,2,1,59,30,1,1
source_origin_len_cap_pronoun,"('fw_frozen_sources_38167', 'a02_compact_reinvest', '26_35', 'physical_anchor', '0_0')",116,4,9,116,275,4,4
source_origin_len_cap_pronoun,"('fw_frozen_sources_38167', 'a02_compact_reinvest', '26_35', 'physical_anchor', '1_3')",32,3,1,94,32,1,1
source_origin_len_cap_pronoun,"('fw_frozen_sources_38167', 'v3_stable', '16_25', 'physical_anchor', '0_0')",42,4,4,93,84,2,2
source_origin_len_cap_pronoun,"('fw_frozen_sources_38167', 'v3_stable', '26_35', 'physical_anchor', '0_0')",27,1,5,27,151,1,1
source_origin_len_cap_pronoun,"('fw_frozen_sources_38167', 'v3_stable', '26_35', 'physical_anchor', '1_3')",61,3,3,95,89,2,2
source_origin_len_cap_pronoun,"('fw_frozen_sources_38167', 'v3_stable', '36_50', 'physical_anchor', '0_0')",72,3,5,114,183,2,2
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '36_50', 'physical_anchor', '1_3')",47,2,7,93,285,1,1
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '36_50', 'physical_anchor', '4_8')",49,7,2,295,92,1,1
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '36_50', 'quantity_anchor', '4_8')",42,3,1,117,42,1,1
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '51_70', 'physical_anchor', '1_3')",105,2,16,105,915,2,2
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '51_70', 'physical_anchor', '4_8')",349,6,10,349,574,6,6
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'childes', '16_25', 'physical_anchor', '0_0')",25,2,4,48,89,1,1
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'childes', '16_25', 'physical_anchor', '1_3')",44,5,2,104,44,2,2
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'childes', '26_35', 'physical_anchor', '1_3')",89,7,3,210,89,3,3
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'gutenberg', '16_25', 'physical_anchor', '1_3')",46,2,7,46,158,2,2
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'gutenberg', '26_35', 'physical_anchor', '0_0')",30,1,3,30,89,1,1
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'gutenberg', '26_35', 'physical_anchor', '1_3')",577,30,19,928,577,18,19
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'gutenberg', '26_35', 'physical_anchor', '4_8')",342,11,13,342,407,11,11
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '0_0')",126,3,9,126,377,3,3
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '1_3')",1210,28,43,1210,1890,28,27
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '4_8')",1926,60,45,2619,1926,44,45
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'quantity_anchor', '1_3')",86,2,6,86,267,2,2
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'quantity_anchor', '4_8')",37,2,2,81,79,1,1
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'spatial_anchor', '1_3')",210,7,6,300,246,5,5
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'spatial_anchor', '4_8')",363,8,10,363,451,8,8
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '1_3')",1420,35,24,1951,1420,25,24
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '4_8')",3779,77,65,4591,3779,63,65
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '9_plus')",498,9,9,564,553,8,8
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'spatial_anchor', '1_3')",540,10,10,598,609,9,9
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'spatial_anchor', '4_8')",902,21,15,1290,902,15,15
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'spatial_anchor', '9_plus')",249,6,6,366,384,4,4
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'open_subtitles', '26_35', 'physical_anchor', '1_3')",63,3,3,95,91,2,2
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'open_subtitles', '36_50', 'physical_anchor', '4_8')",108,2,2,108,108,2,2
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'open_subtitles', '51_70', 'physical_anchor', '4_8')",63,2,2,115,125,1,1
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '16_25', 'physical_anchor', '0_0')",25,2,1,45,25,1,1
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '16_25', 'physical_anchor', '1_3')",91,5,4,119,91,4,4
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '16_25', 'physical_anchor', '4_8')",25,2,1,50,25,1,1
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '26_35', 'physical_anchor', '0_0')",26,4,2,111,56,1,1
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '26_35', 'physical_anchor', '1_3')",122,4,7,122,216,4,4
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '26_35', 'physical_anchor', '4_8')",67,7,2,215,67,2,2
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '26_35', 'spatial_anchor', '1_3')",32,4,4,127,113,1,1
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '26_35', 'spatial_anchor', '4_8')",35,1,3,35,98,1,1
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '36_50', 'physical_anchor', '0_0')",163,4,9,163,380,4,4
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '36_50', 'physical_anchor', '1_3')",546,19,13,785,546,13,13
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '36_50', 'physical_anchor', '4_8')",508,17,12,720,508,12,12
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '36_50', 'quantity_anchor', '4_8')",42,1,1,42,42,1,1
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '36_50', 'spatial_anchor', '1_3')",42,4,1,162,42,1,1
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '36_50', 'spatial_anchor', '4_8')",82,3,3,129,121,2,2
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '51_70', 'physical_anchor', '1_3')",54,2,5,105,276,1,1
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '51_70', 'physical_anchor', '4_8')",229,6,5,351,282,4,4
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'simple_wiki', '16_25', 'physical_anchor', '0_0')",24,2,2,40,44,1,1
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'simple_wiki', '26_35', 'physical_anchor', '0_0')",63,3,3,90,98,2,2
source_origin_len_cap_pronoun,"('compact_experience_aligned_10m_rows', 'simple_wiki', '36_50', 'physical_anchor', '1_3')",36,6,1,253,36,1,1
