regime,match_key,target_words_each_arm,transition_rows_available,control_rows_available,transition_words_available,control_words_available,transition_rows_selected,control_rows_selected
surface_no_comma,"('fw_compact_rewrites', 'new_qwen35_full26k', '08_15', 'physical_anchor', '0_0', '1_3', '1_3', '0_0')",14,1,1,14,14,1,1
surface_no_comma,"('fw_frozen_sources_38167', 'a02_compact_reinvest', '26_35', 'physical_anchor', '0_0', '1_3', '0_0', '0_0')",29,2,5,57,158,1,1
surface_no_comma,"('fw_frozen_sources_38167', 'a02_compact_reinvest', '26_35', 'physical_anchor', '0_0', '1_3', '1_3', '0_0')",32,1,1,32,32,1,1
surface_no_comma,"('fw_frozen_sources_38167', 'v3_stable', '16_25', 'physical_anchor', '0_0', '1_3', '0_0', '0_0')",23,1,3,23,61,1,1
surface_no_comma,"('fw_frozen_sources_38167', 'v3_stable', '36_50', 'physical_anchor', '0_0', '1_3', '0_0', '2_3')",36,1,1,36,36,1,1
surface_no_comma,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '36_50', 'quantity_anchor', '1_2', '1_3', '4_8', '0_0')",42,1,1,42,42,1,1
surface_no_comma,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '51_70', 'physical_anchor', '0_0', '1_3', '4_8', '0_0')",57,1,1,57,57,1,1
surface_no_comma,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '51_70', 'physical_anchor', '3_6', '1_3', '4_8', '0_0')",115,2,3,115,179,2,2
surface_no_comma,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '51_70', 'physical_anchor', '3_6', '4_7', '1_3', '0_0')",54,1,2,54,107,1,1
surface_no_comma,"('compact_experience_aligned_10m_rows', 'childes', '16_25', 'physical_anchor', '0_0', '0_0', '1_3', '0_0')",44,4,2,84,44,2,2
surface_no_comma,"('compact_experience_aligned_10m_rows', 'childes', '16_25', 'physical_anchor', '0_0', '1_3', '0_0', '0_0')",25,1,2,25,44,1,1
surface_no_comma,"('compact_experience_aligned_10m_rows', 'childes', '26_35', 'physical_anchor', '0_0', '0_0', '1_3', '0_0')",89,7,3,210,89,3,3
surface_no_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '26_35', 'physical_anchor', '0_0', '1_3', '1_3', '0_0')",127,20,4,615,127,4,4
surface_no_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '26_35', 'physical_anchor', '0_0', '1_3', '4_8', '0_0')",129,6,5,194,158,4,4
surface_no_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '26_35', 'physical_anchor', '1_2', '1_3', '1_3', '0_0')",93,3,7,93,224,3,3
surface_no_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '26_35', 'physical_anchor', '3_6', '1_3', '1_3', '0_0')",58,3,4,89,111,2,2
surface_no_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '0_0', '0_0', '1_3', '0_0')",41,1,5,41,218,1,1
surface_no_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '0_0', '0_0', '4_8', '0_0')",49,4,1,166,49,1,1
surface_no_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '0_0', '1_3', '1_3', '0_0')",474,11,16,474,716,11,10
surface_no_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '0_0', '1_3', '4_8', '0_0')",361,20,9,892,361,8,9
surface_no_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '1_2', '1_3', '1_3', '0_0')",170,4,8,170,347,4,4
surface_no_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '1_2', '1_3', '4_8', '0_0')",537,16,12,725,537,12,12
surface_no_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '1_2', '4_7', '1_3', '0_0')",39,3,3,119,135,1,1
surface_no_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '3_6', '0_0', '4_8', '0_0')",38,2,2,79,81,1,1
surface_no_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '3_6', '1_3', '1_3', '0_0')",80,4,3,172,119,2,2
surface_no_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '3_6', '1_3', '4_8', '0_0')",414,13,10,559,414,10,10
surface_no_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '3_6', '4_7', '1_3', '0_0')",50,3,4,147,176,1,1
surface_no_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '7_plus', '1_3', '4_8', '0_0')",38,2,3,74,118,1,1
surface_no_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'spatial_anchor', '0_0', '0_0', '4_8', '0_0')",46,1,2,46,90,1,1
surface_no_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'spatial_anchor', '0_0', '1_3', '1_3', '0_0')",43,1,2,43,84,1,1
surface_no_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'spatial_anchor', '0_0', '1_3', '4_8', '0_0')",88,3,4,138,174,2,2
surface_no_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'spatial_anchor', '1_2', '1_3', '1_3', '0_0')",36,4,1,168,36,1,1
surface_no_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '0_0', '0_0', '4_8', '0_0')",51,4,1,246,51,1,1
surface_no_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '0_0', '1_3', '1_3', '0_0')",448,9,9,501,499,8,8
surface_no_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '0_0', '1_3', '4_8', '0_0')",941,22,16,1277,941,16,16
surface_no_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '0_0', '4_7', '4_8', '0_0')",179,4,5,236,299,3,3
surface_no_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '1_2', '1_3', '4_8', '0_0')",832,15,17,883,1024,14,14
surface_no_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '1_2', '4_7', '4_8', '0_0')",180,4,6,248,346,3,3
surface_no_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '3_6', '1_3', '1_3', '0_0')",111,4,2,217,111,2,2
surface_no_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '3_6', '1_3', '4_8', '0_0')",335,8,6,462,335,6,6
surface_no_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '3_6', '1_3', '9_plus', '0_0')",52,1,2,52,119,1,1
surface_no_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '3_6', '4_7', '1_3', '0_0')",243,6,4,351,243,4,4
surface_no_comma,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '3_6', '4_7', '4_8', '0_0')",125,9,4,562,230,2,2
