regime,match_key,target_words_each_arm,transition_rows_available,control_rows_available,transition_words_available,control_words_available,transition_rows_selected,control_rows_selected
source_origin_len_cap_proper,"('fw_compact_rewrites', 'existing_a02_qwen35', '16_25', 'physical_anchor', '1_3')",23,2,1,44,23,1,1
source_origin_len_cap_proper,"('fw_compact_rewrites', 'new_qwen35_full26k', '08_15', 'physical_anchor', '1_3')",14,2,1,28,14,1,1
source_origin_len_cap_proper,"('fw_compact_rewrites', 'new_qwen35_full26k', '16_25', 'spatial_anchor', '1_3')",18,1,4,18,75,1,1
source_origin_len_cap_proper,"('fw_compact_rewrites', 'new_qwen35_full26k', '26_35', 'quantity_anchor', '1_3')",30,1,1,30,30,1,1
source_origin_len_cap_proper,"('fw_frozen_sources_38167', 'a02_compact_reinvest', '26_35', 'physical_anchor', '0_0')",32,1,2,32,62,1,1
source_origin_len_cap_proper,"('fw_frozen_sources_38167', 'a02_compact_reinvest', '26_35', 'physical_anchor', '1_3')",179,6,8,179,245,6,6
source_origin_len_cap_proper,"('fw_frozen_sources_38167', 'a02_compact_reinvest', '26_35', 'spatial_anchor', '1_3')",29,2,2,60,63,1,1
source_origin_len_cap_proper,"('fw_frozen_sources_38167', 'a02_compact_reinvest', '36_50', 'physical_anchor', '1_3')",120,3,4,120,165,3,3
source_origin_len_cap_proper,"('fw_frozen_sources_38167', 'v3_stable', '16_25', 'physical_anchor', '1_3')",67,5,4,116,86,3,3
source_origin_len_cap_proper,"('fw_frozen_sources_38167', 'v3_stable', '26_35', 'physical_anchor', '1_3')",122,4,7,122,209,4,4
source_origin_len_cap_proper,"('fw_frozen_sources_38167', 'v3_stable', '36_50', 'physical_anchor', '1_3')",111,4,5,153,183,3,3
source_origin_len_cap_proper,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '26_35', 'physical_anchor', '1_3')",68,2,3,68,97,2,2
source_origin_len_cap_proper,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '36_50', 'physical_anchor', '0_0')",37,2,2,83,82,1,1
source_origin_len_cap_proper,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '36_50', 'physical_anchor', '1_3')",211,5,7,211,300,5,5
source_origin_len_cap_proper,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '36_50', 'quantity_anchor', '1_3')",42,2,1,78,42,1,1
source_origin_len_cap_proper,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '51_70', 'physical_anchor', '1_3')",337,6,23,337,1331,6,6
source_origin_len_cap_proper,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '51_70', 'physical_anchor', '4_7')",54,2,3,122,158,1,1
source_origin_len_cap_proper,"('compact_experience_aligned_10m_rows', 'childes', '16_25', 'physical_anchor', '0_0')",65,6,3,127,65,3,3
source_origin_len_cap_proper,"('compact_experience_aligned_10m_rows', 'childes', '16_25', 'physical_anchor', '1_3')",25,1,3,25,68,1,1
