regime,match_key,target_words_each_arm,transition_rows_available,control_rows_available,transition_words_available,control_words_available,transition_rows_selected,control_rows_selected
source_origin_len_cap_quote,"('fw_compact_rewrites', 'new_qwen35_full26k', '08_15', 'physical_anchor', '0_0')",14,2,1,28,14,1,1
source_origin_len_cap_quote,"('fw_compact_rewrites', 'new_qwen35_full26k', '16_25', 'spatial_anchor', '0_0')",60,3,4,60,75,3,3
source_origin_len_cap_quote,"('fw_compact_rewrites', 'new_qwen35_full26k', '26_35', 'quantity_anchor', '0_0')",30,2,1,59,30,1,1
source_origin_len_cap_quote,"('fw_frozen_sources_38167', 'a02_compact_reinvest', '26_35', 'physical_anchor', '0_0')",214,8,9,242,281,7,7
source_origin_len_cap_quote,"('fw_frozen_sources_38167', 'a02_compact_reinvest', '26_35', 'spatial_anchor', '0_0')",29,3,2,89,63,1,1
source_origin_len_cap_quote,"('fw_frozen_sources_38167', 'a02_compact_reinvest', '36_50', 'physical_anchor', '0_0')",122,4,4,158,167,3,3
source_origin_len_cap_quote,"('fw_frozen_sources_38167', 'v3_stable', '16_25', 'physical_anchor', '0_0')",109,5,5,109,109,5,5
source_origin_len_cap_quote,"('fw_frozen_sources_38167', 'v3_stable', '26_35', 'physical_anchor', '0_0')",61,2,7,61,211,2,2
source_origin_len_cap_quote,"('fw_frozen_sources_38167', 'v3_stable', '36_50', 'physical_anchor', '0_0')",36,1,3,36,108,1,1
source_origin_len_cap_quote,"('fw_frozen_sources_38167', 'v3_stable', '36_50', 'physical_anchor', '1_2')",75,3,2,117,75,2,2
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '36_50', 'physical_anchor', '0_0')",37,2,4,83,162,1,1
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '36_50', 'physical_anchor', '1_2')",134,6,4,245,173,3,3
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '36_50', 'quantity_anchor', '1_2')",42,3,1,130,42,1,1
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '51_70', 'physical_anchor', '0_0')",109,2,5,109,291,2,2
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '51_70', 'physical_anchor', '1_2')",222,4,16,222,912,4,4
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '51_70', 'physical_anchor', '3_6')",237,4,7,237,403,4,4
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'childes', '16_25', 'physical_anchor', '0_0')",109,6,5,132,109,5,5
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'childes', '26_35', 'physical_anchor', '0_0')",146,8,5,238,146,5,5
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'gutenberg', '16_25', 'physical_anchor', '0_0')",24,1,9,24,205,1,1
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'gutenberg', '26_35', 'physical_anchor', '0_0')",460,31,15,957,460,15,15
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'gutenberg', '26_35', 'physical_anchor', '1_2')",190,6,11,190,348,6,6
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'gutenberg', '26_35', 'physical_anchor', '3_6')",123,4,8,123,235,4,4
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'gutenberg', '26_35', 'physical_anchor', '7_plus')",30,1,1,30,30,1,1
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '0_0')",1705,39,42,1705,1828,39,39
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '1_2')",1145,27,27,1184,1187,26,26
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '3_6')",899,23,23,994,972,21,21
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '7_plus')",81,3,6,117,252,2,2
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'quantity_anchor', '0_0')",92,3,6,129,263,2,2
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'spatial_anchor', '0_0')",227,5,11,227,477,5,5
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'spatial_anchor', '1_2')",125,6,4,250,174,3,3
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'spatial_anchor', '3_6')",135,5,3,232,135,3,3
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '0_0')",2097,50,36,2884,2097,37,36
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '1_2')",1888,32,36,1888,2167,32,31
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '3_6')",1038,34,18,2016,1038,17,18
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '7_plus')",185,6,10,379,565,3,3
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'quantity_anchor', '3_6')",69,2,1,126,69,1,1
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'spatial_anchor', '0_0')",622,13,10,795,622,10,10
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'spatial_anchor', '1_2')",665,13,11,775,665,11,11
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'spatial_anchor', '3_6')",369,9,6,558,369,6,6
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'spatial_anchor', '7_plus')",126,2,5,126,295,2,2
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'open_subtitles', '26_35', 'physical_anchor', '0_0')",60,3,4,94,124,2,2
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'open_subtitles', '36_50', 'physical_anchor', '3_6')",65,1,3,65,146,1,1
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'open_subtitles', '51_70', 'physical_anchor', '0_0')",63,1,2,63,124,1,1
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '16_25', 'physical_anchor', '0_0')",116,7,5,166,116,5,5
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '26_35', 'physical_anchor', '0_0')",255,14,8,417,255,9,8
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '26_35', 'spatial_anchor', '0_0')",67,4,6,133,177,2,2
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '36_50', 'physical_anchor', '0_0')",678,29,16,1198,678,17,16
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '36_50', 'physical_anchor', '1_2')",380,9,10,380,418,9,9
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '36_50', 'physical_anchor', '3_6')",135,4,8,185,338,3,3
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '36_50', 'quantity_anchor', '0_0')",42,1,1,42,42,1,1
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '36_50', 'spatial_anchor', '0_0')",42,5,2,209,84,1,1
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '36_50', 'spatial_anchor', '1_2')",40,2,2,82,79,1,1
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '51_70', 'physical_anchor', '0_0')",175,4,5,235,279,3,3
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '51_70', 'physical_anchor', '1_2')",54,4,2,221,114,1,1
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'simple_wiki', '16_25', 'physical_anchor', '0_0')",24,2,2,40,44,1,1
source_origin_len_cap_quote,"('compact_experience_aligned_10m_rows', 'simple_wiki', '26_35', 'physical_anchor', '0_0')",63,4,3,117,98,2,2
