regime,match_key,target_words_each_arm,transition_rows_available,control_rows_available,transition_words_available,control_words_available,transition_rows_selected,control_rows_selected
coarse_source_style,"('fw_compact_rewrites', 'existing_a02_qwen35', '16_25', 'physical_anchor')",23,2,2,44,45,1,1
coarse_source_style,"('fw_compact_rewrites', 'new_qwen35_full26k', '08_15', 'physical_anchor')",14,2,1,28,14,1,1
coarse_source_style,"('fw_compact_rewrites', 'new_qwen35_full26k', '16_25', 'physical_anchor')",21,2,2,41,43,1,1
coarse_source_style,"('fw_compact_rewrites', 'new_qwen35_full26k', '16_25', 'spatial_anchor')",60,3,4,60,75,3,3
coarse_source_style,"('fw_compact_rewrites', 'new_qwen35_full26k', '26_35', 'quantity_anchor')",30,2,1,59,30,1,1
coarse_source_style,"('fw_frozen_sources_38167', 'a02_compact_reinvest', '26_35', 'physical_anchor')",242,8,10,242,307,8,8
coarse_source_style,"('fw_frozen_sources_38167', 'a02_compact_reinvest', '26_35', 'spatial_anchor')",29,3,2,89,63,1,1
coarse_source_style,"('fw_frozen_sources_38167', 'a02_compact_reinvest', '36_50', 'physical_anchor')",167,5,5,203,211,4,4
coarse_source_style,"('fw_frozen_sources_38167', 'v3_stable', '16_25', 'physical_anchor')",109,6,5,135,109,5,5
coarse_source_style,"('fw_frozen_sources_38167', 'v3_stable', '26_35', 'physical_anchor')",122,4,8,122,240,4,4
coarse_source_style,"('fw_frozen_sources_38167', 'v3_stable', '36_50', 'physical_anchor')",111,4,5,153,183,3,3
coarse_source_style,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '26_35', 'physical_anchor')",68,4,3,122,97,2,2
coarse_source_style,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '36_50', 'physical_anchor')",389,10,11,425,465,9,9
coarse_source_style,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '36_50', 'quantity_anchor')",42,4,2,166,84,1,1
coarse_source_style,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '51_70', 'physical_anchor')",568,10,29,568,1665,10,10
coarse_source_style,"('compact_experience_aligned_10m_rows', 'childes', '16_25', 'physical_anchor')",133,7,6,152,133,6,6
coarse_source_style,"('compact_experience_aligned_10m_rows', 'childes', '26_35', 'physical_anchor')",146,9,5,272,146,5,5
coarse_source_style,"('compact_experience_aligned_10m_rows', 'childes', '36_50', 'physical_anchor')",45,2,7,88,279,1,1
coarse_source_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '16_25', 'physical_anchor')",120,5,13,120,281,5,6
coarse_source_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '26_35', 'physical_anchor')",1073,42,35,1300,1073,35,35
coarse_source_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor')",4000,92,98,4000,4239,92,92
coarse_source_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'quantity_anchor')",167,4,8,167,346,4,4
coarse_source_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'spatial_anchor')",709,16,18,709,786,16,16
coarse_source_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor')",5867,122,100,7167,5867,100,100
coarse_source_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'quantity_anchor')",69,2,3,126,173,1,1
coarse_source_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'spatial_anchor')",1951,37,32,2254,1951,32,32
coarse_source_style,"('compact_experience_aligned_10m_rows', 'open_subtitles', '26_35', 'physical_anchor')",129,4,11,129,366,4,4
coarse_source_style,"('compact_experience_aligned_10m_rows', 'open_subtitles', '36_50', 'physical_anchor')",108,4,4,196,193,2,2
coarse_source_style,"('compact_experience_aligned_10m_rows', 'open_subtitles', '51_70', 'physical_anchor')",63,3,3,170,186,1,1
coarse_source_style,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '16_25', 'physical_anchor')",141,9,6,214,141,6,6
coarse_source_style,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '26_35', 'physical_anchor')",339,15,11,448,339,11,11
coarse_source_style,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '26_35', 'spatial_anchor')",130,5,7,162,211,4,4
coarse_source_style,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '36_50', 'physical_anchor')",1434,42,34,1763,1434,34,34
coarse_source_style,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '36_50', 'quantity_anchor')",42,1,1,42,42,1,1
coarse_source_style,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '36_50', 'spatial_anchor')",163,7,4,291,163,4,4
coarse_source_style,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '51_70', 'physical_anchor')",402,8,11,456,608,7,7
coarse_source_style,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '51_70', 'quantity_anchor')",51,1,1,51,51,1,1
coarse_source_style,"('compact_experience_aligned_10m_rows', 'simple_wiki', '16_25', 'physical_anchor')",24,2,2,40,44,1,1
coarse_source_style,"('compact_experience_aligned_10m_rows', 'simple_wiki', '26_35', 'physical_anchor')",63,5,3,146,98,2,2
coarse_source_style,"('compact_experience_aligned_10m_rows', 'simple_wiki', '36_50', 'physical_anchor')",36,6,1,253,36,1,1
