regime,match_key,target_words_each_arm,transition_rows_available,control_rows_available,transition_words_available,control_words_available,transition_rows_selected,control_rows_selected
strict_style,"('fw_frozen_sources_38167', 'v3_stable', '36_50', 'physical_anchor', '0_0', '1_3', '0_0', '2_3', '1_3')",36,1,1,36,36,1,1
strict_style,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '36_50', 'quantity_anchor', '1_2', '1_3', '4_8', '0_0', '1_3')",42,1,1,42,42,1,1
strict_style,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '51_70', 'physical_anchor', '0_0', '1_3', '4_8', '0_0', '4_8')",57,1,1,57,57,1,1
strict_style,"('compact_experience_aligned_10m_rows', 'childes', '16_25', 'physical_anchor', '0_0', '0_0', '1_3', '0_0', '0_0')",19,2,2,41,44,1,1
strict_style,"('compact_experience_aligned_10m_rows', 'childes', '26_35', 'physical_anchor', '0_0', '0_0', '1_3', '0_0', '0_0')",89,4,3,117,89,3,3
strict_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '26_35', 'physical_anchor', '0_0', '1_3', '1_3', '0_0', '1_3')",66,15,2,461,66,2,2
strict_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '26_35', 'physical_anchor', '0_0', '1_3', '4_8', '0_0', '1_3')",66,5,3,162,95,2,2
strict_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '26_35', 'physical_anchor', '1_2', '1_3', '1_3', '0_0', '1_3')",29,2,3,61,91,1,1
strict_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '26_35', 'physical_anchor', '3_6', '1_3', '1_3', '0_0', '1_3')",57,2,4,57,111,2,2
strict_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '0_0', '0_0', '1_3', '0_0', '1_3')",41,1,2,41,81,1,1
strict_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '0_0', '1_3', '1_3', '0_0', '1_3')",125,3,5,125,217,3,3
strict_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '0_0', '1_3', '1_3', '0_0', '4_8')",309,7,11,309,499,7,7
strict_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '0_0', '1_3', '4_8', '0_0', '1_3')",127,7,7,308,276,3,3
strict_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '0_0', '1_3', '4_8', '0_0', '4_8')",85,13,2,584,85,2,2
strict_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '1_2', '1_3', '1_3', '0_0', '4_8')",88,2,4,88,173,2,2
strict_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '1_2', '1_3', '4_8', '0_0', '1_3')",306,9,8,394,341,7,7
strict_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '1_2', '1_3', '4_8', '0_0', '4_8')",98,7,3,331,148,2,2
strict_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '3_6', '1_3', '4_8', '0_0', '4_8')",166,9,5,386,203,4,4
strict_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '3_6', '4_7', '1_3', '0_0', '4_8')",50,1,2,50,86,1,1
strict_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'spatial_anchor', '1_2', '1_3', '1_3', '0_0', '1_3')",36,3,1,125,36,1,1
strict_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '0_0', '1_3', '1_3', '0_0', '4_8')",337,7,7,390,388,6,6
strict_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '0_0', '1_3', '4_8', '0_0', '1_3')",168,5,3,281,168,3,3
strict_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '0_0', '1_3', '4_8', '0_0', '4_8')",706,17,12,996,706,12,12
strict_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '0_0', '4_7', '4_8', '0_0', '4_8')",128,4,3,236,186,2,2
strict_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '1_2', '1_3', '4_8', '0_0', '1_3')",217,7,5,388,268,4,4
strict_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '1_2', '1_3', '4_8', '0_0', '4_8')",425,7,12,425,756,7,7
strict_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '1_2', '4_7', '4_8', '0_0', '4_8')",120,2,4,120,228,2,2
strict_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '3_6', '1_3', '1_3', '0_0', '4_8')",55,3,1,166,55,1,1
strict_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '3_6', '1_3', '4_8', '0_0', '1_3')",106,4,2,238,106,2,2
strict_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '3_6', '1_3', '4_8', '0_0', '4_8')",173,4,3,224,173,3,3
strict_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '3_6', '4_7', '4_8', '0_0', '4_8')",120,5,2,306,120,2,2
strict_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'spatial_anchor', '0_0', '1_3', '4_8', '0_0', '4_8')",61,3,4,186,244,1,1
strict_style,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'spatial_anchor', '3_6', '4_7', '4_8', '0_0', '4_8')",58,4,1,243,58,1,1
strict_style,"('compact_experience_aligned_10m_rows', 'open_subtitles', '26_35', 'physical_anchor', '0_0', '1_3', '1_3', '0_0', '1_3')",32,1,1,32,32,1,1
strict_style,"('compact_experience_aligned_10m_rows', 'open_subtitles', '36_50', 'physical_anchor', '3_6', '4_7', '4_8', '0_0', '0_0')",65,1,1,65,65,1,1
strict_style,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '26_35', 'spatial_anchor', '0_0', '1_3', '4_8', '0_0', '1_3')",35,1,2,35,64,1,1
strict_style,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '36_50', 'physical_anchor', '0_0', '1_3', '1_3', '0_0', '4_8')",48,3,2,131,91,1,1
