regime,match_key,target_words_each_arm,transition_rows_available,control_rows_available,transition_words_available,control_words_available,transition_rows_selected,control_rows_selected
source_origin_len_cap_digit,"('fw_compact_rewrites', 'existing_a02_qwen35', '16_25', 'physical_anchor', '0_0')",23,2,2,44,45,1,1
source_origin_len_cap_digit,"('fw_compact_rewrites', 'new_qwen35_full26k', '08_15', 'physical_anchor', '0_0')",14,2,1,28,14,1,1
source_origin_len_cap_digit,"('fw_frozen_sources_38167', 'a02_compact_reinvest', '26_35', 'physical_anchor', '0_0')",120,4,8,120,246,4,4
source_origin_len_cap_digit,"('fw_frozen_sources_38167', 'a02_compact_reinvest', '26_35', 'physical_anchor', '1_1')",32,1,2,32,61,1,1
source_origin_len_cap_digit,"('fw_frozen_sources_38167', 'a02_compact_reinvest', '26_35', 'spatial_anchor', '0_0')",29,2,2,58,63,1,1
source_origin_len_cap_digit,"('fw_frozen_sources_38167', 'a02_compact_reinvest', '36_50', 'physical_anchor', '0_0')",128,4,4,165,167,3,3
source_origin_len_cap_digit,"('fw_frozen_sources_38167', 'v3_stable', '16_25', 'physical_anchor', '0_0')",84,5,5,110,109,4,4
source_origin_len_cap_digit,"('fw_frozen_sources_38167', 'v3_stable', '26_35', 'physical_anchor', '0_0')",64,2,7,64,209,2,2
source_origin_len_cap_digit,"('fw_frozen_sources_38167', 'v3_stable', '26_35', 'physical_anchor', '2_3')",31,1,1,31,31,1,1
source_origin_len_cap_digit,"('fw_frozen_sources_38167', 'v3_stable', '36_50', 'physical_anchor', '2_3')",36,2,1,78,36,1,1
source_origin_len_cap_digit,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '26_35', 'physical_anchor', '0_0')",68,3,3,96,97,2,2
source_origin_len_cap_digit,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '36_50', 'physical_anchor', '0_0')",389,10,11,425,465,9,9
source_origin_len_cap_digit,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '36_50', 'quantity_anchor', '0_0')",42,4,2,166,84,1,1
source_origin_len_cap_digit,"('compact_experience_aligned_10m_rows', 'bnc_spoken', '51_70', 'physical_anchor', '0_0')",568,10,29,568,1665,10,10
source_origin_len_cap_digit,"('compact_experience_aligned_10m_rows', 'childes', '16_25', 'physical_anchor', '0_0')",133,7,6,152,133,6,6
source_origin_len_cap_digit,"('compact_experience_aligned_10m_rows', 'childes', '26_35', 'physical_anchor', '0_0')",146,9,5,272,146,5,5
source_origin_len_cap_digit,"('compact_experience_aligned_10m_rows', 'childes', '36_50', 'physical_anchor', '0_0')",45,2,7,88,279,1,1
source_origin_len_cap_digit,"('compact_experience_aligned_10m_rows', 'gutenberg', '16_25', 'physical_anchor', '0_0')",120,5,12,120,265,5,5
source_origin_len_cap_digit,"('compact_experience_aligned_10m_rows', 'gutenberg', '26_35', 'physical_anchor', '0_0')",1073,41,35,1266,1073,35,35
source_origin_len_cap_digit,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'physical_anchor', '0_0')",4000,92,95,4000,4109,92,92
source_origin_len_cap_digit,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'quantity_anchor', '0_0')",85,2,8,85,346,2,2
source_origin_len_cap_digit,"('compact_experience_aligned_10m_rows', 'gutenberg', '36_50', 'spatial_anchor', '0_0')",709,16,18,709,786,16,16
source_origin_len_cap_digit,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'physical_anchor', '0_0')",5712,114,97,6690,5712,97,97
source_origin_len_cap_digit,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'spatial_anchor', '0_0')",1828,34,30,2074,1828,30,30
source_origin_len_cap_digit,"('compact_experience_aligned_10m_rows', 'gutenberg', '51_70', 'spatial_anchor', '1_1')",67,3,2,180,123,1,1
source_origin_len_cap_digit,"('compact_experience_aligned_10m_rows', 'open_subtitles', '26_35', 'physical_anchor', '0_0')",95,3,11,95,366,3,3
source_origin_len_cap_digit,"('compact_experience_aligned_10m_rows', 'open_subtitles', '36_50', 'physical_anchor', '0_0')",108,2,3,108,146,2,2
source_origin_len_cap_digit,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '16_25', 'physical_anchor', '0_0')",141,9,6,214,141,6,6
source_origin_len_cap_digit,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '26_35', 'physical_anchor', '0_0')",339,13,11,397,339,11,11
source_origin_len_cap_digit,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '26_35', 'spatial_anchor', '0_0')",98,3,7,98,211,3,3
source_origin_len_cap_digit,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '36_50', 'physical_anchor', '0_0')",1393,40,33,1674,1393,33,33
source_origin_len_cap_digit,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '36_50', 'quantity_anchor', '0_0')",42,1,1,42,42,1,1
source_origin_len_cap_digit,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '36_50', 'spatial_anchor', '0_0')",163,7,4,291,163,4,4
source_origin_len_cap_digit,"('compact_experience_aligned_10m_rows', 'qwen_pair_packed', '51_70', 'physical_anchor', '0_0')",348,7,9,405,505,6,6
source_origin_len_cap_digit,"('compact_experience_aligned_10m_rows', 'simple_wiki', '16_25', 'physical_anchor', '0_0')",24,2,1,40,24,1,1
source_origin_len_cap_digit,"('compact_experience_aligned_10m_rows', 'simple_wiki', '26_35', 'physical_anchor', '0_0')",63,2,3,63,98,2,2
