block,domain,record_hits,record_hit_fraction,pair_words_total,domain_words,domain_word_fraction
dose1_pair_metadata,no_domain,6975,0.5738379267791033,423511,,
dose1_pair_metadata,science_physical,1589,0.1307280954339778,423511,,
dose1_pair_metadata,causal_relational,1537,0.12645002056766763,423511,,
dose1_pair_metadata,quant_numeric,974,0.08013163307280954,423511,,
dose1_pair_metadata,institutions_society,862,0.07091731797614151,423511,,
dose1_pair_metadata,geography_places,772,0.06351295763060469,423511,,
dose1_pair_metadata,media_culture,370,0.030440148087206912,423511,,
dose1_pair_metadata,people_history,358,0.029452900041135335,423511,,
dose1p82_pair_metadata,no_domain,13127,0.6008330281948004,771199,,
dose1p82_pair_metadata,science_physical,2740,0.1254119370194068,771199,,
dose1p82_pair_metadata,causal_relational,2017,0.09231966312705968,771199,,
dose1p82_pair_metadata,quant_numeric,1881,0.08609483705602343,771199,,
dose1p82_pair_metadata,institutions_society,1641,0.07510984987184181,771199,,
dose1p82_pair_metadata,geography_places,1293,0.05918161845477847,771199,,
dose1p82_pair_metadata,media_culture,629,0.02878982057854266,771199,,
dose1p82_pair_metadata,people_history,585,0.026775906261442696,771199,,
dose2p64_pair_metadata,no_domain,20838,0.6259349373704605,1118587,,
dose2p64_pair_metadata,science_physical,3922,0.11780961821513322,1118587,,
dose2p64_pair_metadata,quant_numeric,2831,0.08503799825778739,1118587,,
dose2p64_pair_metadata,causal_relational,2660,0.07990147487308882,1118587,,
dose2p64_pair_metadata,institutions_society,2368,0.07113033552611817,1118587,,
dose2p64_pair_metadata,geography_places,1834,0.055089964254603344,1118587,,
dose2p64_pair_metadata,media_culture,832,0.024991739509176655,1118587,,
dose2p64_pair_metadata,people_history,790,0.02373013727433841,1118587,,
dose2p64_breadth_companion_metadata_inferred,entity_factual,5817,,428122,163261,0.38134223422295516
dose2p64_breadth_companion_metadata_inferred,quant_numeric,3797,,428122,115623,0.27007021363069406
dose2p64_breadth_companion_metadata_inferred,no_domain,3096,,428122,77695,0.1814786439379429
dose2p64_breadth_companion_metadata_inferred,causal_relational,1564,,428122,45913,0.10724279527798151
dose2p64_breadth_companion_metadata_inferred,science_technical,849,,428122,25630,0.059866112930426374
dose1_clean_heldout,childes,,,423520,137760,0.3252738949754439
dose1_clean_heldout,gutenberg,,,423520,99520,0.23498299962221383
dose1_clean_heldout,open_subtitles,,,423520,97760,0.2308273517189271
dose1_clean_heldout,simple_wiki,,,423520,56640,0.13373630525122782
dose1_clean_heldout,bnc_spoken,,,423520,30720,0.07253494522100491
dose1_clean_heldout,switchboard,,,423520,1120,0.0026445032111824707
dose1p82_clean_heldout,childes,,,771200,250720,0.32510373443983404
dose1p82_clean_heldout,gutenberg,,,771200,181120,0.23485477178423236
dose1p82_clean_heldout,open_subtitles,,,771200,178080,0.23091286307053943
dose1p82_clean_heldout,simple_wiki,,,771200,103200,0.1338174273858921
dose1p82_clean_heldout,bnc_spoken,,,771200,56000,0.07261410788381743
dose1p82_clean_heldout,switchboard,,,771200,2080,0.0026970954356846473
dose2p64_clean_heldout,childes,,,1118720,363680,0.3250858123569794
dose2p64_clean_heldout,gutenberg,,,1118720,262720,0.23483981693363845
dose2p64_clean_heldout,open_subtitles,,,1118720,258400,0.23097826086956522
dose2p64_clean_heldout,simple_wiki,,,1118720,149600,0.13372425629290619
dose2p64_clean_heldout,bnc_spoken,,,1118720,81280,0.07265446224256293
dose2p64_clean_heldout,switchboard,,,1118720,3040,0.002717391304347826
