pair_id,category,match_level,target_a,target_b,pivot_a,pivot_b,source_a,source_b,target_class,target_token_len,target_freq_bin_a,target_freq_bin_b,a_generic,b_generic,either_generic,both_generic,maybe_antonym,same_prefix3,same_suffix3,levenshtein,normalized_levenshtein,char_jaccard,cross_context_target_leaks,context_word_jaccard,local_window_jaccard,target_len_chars_a,target_len_chars_b
p0000000,causal_connector,0,inaugural,occasional,although,though,qwen_pair_packed,gutenberg,adjectival,1,51-100,51-100,False,False,False,False,False,False,False,7,0.7,0.4,0,0.12121212121212122,0.04,9,10
p0000001,causal_connector,1,comprehensive,competitive,although,because,qwen_pair_packed,simple_wiki,adjectival,1,51-100,51-100,False,False,False,False,False,True,True,5,0.38461538461538464,0.5833333333333334,0,0.08571428571428572,0.08695652173913043,13,11
p0000002,causal_connector,0,careless,fearful,if,though,qwen_pair_packed,gutenberg,adjectival,1,51-100,51-100,False,False,False,False,False,False,False,7,0.875,0.5,0,0.12903225806451613,0.10526315789473684,8,7
p0000003,causal_connector,1,doubtless,reveal,though,if,gutenberg,qwen_pair_packed,adjectival,1,51-100,51-100,False,False,False,False,False,False,False,8,0.8888888888888888,0.18181818181818182,0,0.12222222222222222,0.04,9,6
p0000004,causal_connector,1,disagreeable,fundamental,though,because,gutenberg,qwen_pair_packed,adjectival,1,51-100,51-100,False,False,False,False,False,False,False,10,0.8333333333333334,0.2857142857142857,0,0.10666666666666667,0.041666666666666664,12,11
p0000005,causal_connector,0,reasonable,mental,if,though,gutenberg,switchboard,adjectival,1,101-250,101-250,False,False,False,False,False,False,False,7,0.7,0.4,0,0.09933774834437085,0.058823529411764705,10,6
p0000006,causal_connector,0,electric,clinical,though,if,gutenberg,open_subtitles,adjectival,1,101-250,101-250,False,False,False,False,False,False,False,7,0.875,0.375,0,0.1358695652173913,0.0,8,8
p0000007,causal_connector,0,sexual,remarkable,because,because,fw_preserved_compact_view,qwen_pair_packed,adjectival,1,101-250,101-250,False,False,False,False,False,False,False,7,0.7,0.3,0,0.07801418439716312,0.1,6,10
p0000008,causal_connector,0,visible,illegal,if,because,gutenberg,simple_wiki,adjectival,1,101-250,101-250,False,False,False,False,False,False,False,7,1.0,0.375,0,0.11891891891891893,0.058823529411764705,7,7
p0000009,causal_connector,0,negative,arrive,because,if,fw_preserved_compact_view,bnc_spoken,adjectival,1,101-250,101-250,False,False,False,False,False,False,True,5,0.625,0.5,0,0.06451612903225806,0.041666666666666664,8,6
p0000010,causal_connector,0,criminal,actual,if,though,open_subtitles,gutenberg,adjectival,1,101-250,101-250,False,False,False,False,False,False,False,6,0.75,0.3333333333333333,0,0.1099476439790576,0.041666666666666664,8,6
p0000011,causal_connector,0,weary,capable,because,thus,qwen_pair_packed,fw_preserved_compact_view,adjectival,1,101-250,101-250,False,False,False,False,False,False,False,6,0.8571428571428571,0.2222222222222222,0,0.0851063829787234,0.13636363636363635,5,7
p0000012,causal_connector,0,arrive,cultural,if,because,qwen_pair_packed,fw_preserved_compact_view,adjectival,1,101-250,101-250,False,False,False,False,False,False,False,8,1.0,0.2222222222222222,0,0.06711409395973154,0.0,6,8
p0000013,causal_connector,0,glorious,contrary,because,because,gutenberg,simple_wiki,adjectival,1,101-250,101-250,False,False,False,False,False,False,False,8,1.0,0.16666666666666666,0,0.07407407407407407,0.19047619047619047,8,8
p0000014,causal_connector,0,rural,generous,because,if,bnc_spoken,gutenberg,adjectival,1,101-250,101-250,False,False,False,False,False,False,False,7,0.875,0.2222222222222222,0,0.09497206703910614,0.045454545454545456,5,8
p0000015,causal_connector,0,obvious,illegal,because,because,bnc_spoken,simple_wiki,adjectival,1,101-250,101-250,False,False,False,False,False,False,False,7,1.0,0.1,0,0.049723756906077346,0.0,7,7
p0000016,causal_connector,0,tremendous,reasonable,if,therefore,gutenberg,bnc_spoken,adjectival,1,101-250,101-250,False,False,False,False,False,False,False,8,0.8,0.4166666666666667,0,0.0825242718446602,0.0,10,10
p0000017,causal_connector,0,mortal,valuable,though,because,gutenberg,bnc_spoken,adjectival,1,101-250,101-250,False,False,False,False,False,False,False,6,0.75,0.2,0,0.08196721311475409,0.04,6,8
p0000018,causal_connector,0,extensive,miserable,because,because,simple_wiki,gutenberg,adjectival,1,101-250,101-250,False,False,False,False,False,False,False,7,0.7777777777777778,0.25,0,0.10638297872340426,0.13636363636363635,9,9
p0000019,causal_connector,0,faithful,practical,because,because,qwen_pair_packed,simple_wiki,adjectival,1,101-250,101-250,False,False,False,False,False,False,False,6,0.6666666666666666,0.4,0,0.09696969696969697,0.041666666666666664,8,9
p0000020,causal_connector,0,delightful,external,although,if,gutenberg,open_subtitles,adjectival,1,101-250,101-250,False,False,False,False,False,False,False,8,0.8,0.23076923076923078,0,0.07142857142857142,0.04,10,8
p0000021,causal_connector,0,arrive,cathedral,although,because,qwen_pair_packed,gutenberg,adjectival,1,101-250,101-250,False,False,False,False,False,False,False,8,0.8888888888888888,0.3,0,0.12048192771084337,0.18181818181818182,6,9
p0000022,causal_connector,1,mental,actual,if,if,gutenberg,open_subtitles,adjectival,1,101-250,101-250,False,False,False,False,False,False,False,4,0.6666666666666666,0.375,0,0.13917525773195877,0.04,6,6
p0000023,causal_connector,0,practical,sensitive,because,if,qwen_pair_packed,open_subtitles,adjectival,1,101-250,101-250,False,False,False,False,False,False,False,8,0.8888888888888888,0.18181818181818182,0,0.09352517985611511,0.0,9,9
p0000024,causal_connector,0,administrative,generous,thus,because,simple_wiki,gutenberg,adjectival,1,101-250,101-250,False,False,False,False,False,False,False,12,0.8571428571428571,0.3076923076923077,0,0.04790419161676647,0.0,14,8
p0000025,causal_connector,0,conscious,remarkable,though,because,gutenberg,simple_wiki,adjectival,1,101-250,101-250,False,False,False,False,False,False,False,10,1.0,0.0,0,0.061224489795918366,0.11764705882352941,9,10
p0000026,causal_connector,0,strategic,invisible,therefore,if,bnc_spoken,gutenberg,adjectival,1,101-250,101-250,False,False,False,False,False,False,False,9,1.0,0.25,0,0.14606741573033707,0.041666666666666664,9,9
p0000027,causal_connector,0,initial,steal,if,if,fw_preserved_compact_view,qwen_pair_packed,adjectival,1,101-250,101-250,False,False,False,False,False,False,False,4,0.5714285714285714,0.42857142857142855,0,0.0784313725490196,0.05,7,5
p0000028,causal_connector,0,dreadful,educational,if,unless,gutenberg,open_subtitles,adjectival,1,101-250,101-250,False,False,False,False,False,False,False,8,0.7272727272727273,0.4166666666666667,0,0.1443850267379679,0.0,8,11
p0000029,causal_connector,0,internal,tropical,because,because,simple_wiki,open_subtitles,adjectival,1,101-250,101-250,False,False,False,False,False,False,False,6,0.75,0.5,0,0.05829596412556054,0.09090909090909091,8,8
p0000030,causal_connector,0,sensitive,survive,though,if,gutenberg,open_subtitles,adjectival,1,101-250,101-250,False,False,False,False,False,False,True,5,0.5555555555555556,0.5,0,0.14705882352941177,0.08333333333333333,9,7
p0000031,causal_connector,0,steal,rival,if,if,open_subtitles,gutenberg,adjectival,1,101-250,101-250,False,False,False,False,False,False,False,3,0.6,0.25,0,0.08780487804878048,0.045454545454545456,5,5
p0000032,causal_connector,0,initial,actual,although,though,qwen_pair_packed,fw_preserved_compact_view,adjectival,1,101-250,101-250,False,False,False,False,False,False,False,4,0.5714285714285714,0.42857142857142855,0,0.08609271523178808,0.041666666666666664,7,6
p0000033,causal_connector,0,enormous,impressive,thus,because,bnc_spoken,open_subtitles,adjectival,1,101-250,101-250,False,False,False,False,False,False,False,9,0.9,0.4,0,0.13333333333333333,0.0,8,10
p0000034,causal_connector,0,attractive,arrival,because,because,open_subtitles,gutenberg,adjectival,1,101-250,101-250,False,False,False,False,False,False,False,7,0.7,0.5,0,0.14124293785310735,0.047619047619047616,10,7
p0000035,causal_connector,0,useless,magnetic,because,if,open_subtitles,childes,adjectival,1,101-250,101-250,False,False,False,False,False,False,False,7,0.875,0.09090909090909091,0,0.13815789473684212,0.0,7,8
p0000036,causal_connector,0,initial,arrival,because,if,simple_wiki,gutenberg,adjectival,1,101-250,101-250,False,False,False,False,False,False,False,5,0.7142857142857143,0.42857142857142855,0,0.10679611650485436,0.041666666666666664,7,7
